Name Equatorial Polar Photon-Count
FE01 167.81 117.10 6958
FE02 218.13 134.29 573
FE03 331.60 102.13 33646
FE04 211.35 78.17 3248
FE05 260.97 64.45 320
FE06 91.28 36.38 12534
FE07 98.62 42.33 24738
FE08 131.09 50.87 4555
FE09 270.88 53.88 6303
FE10 270.78 53.89 6404
FE11 21.06 48.04 7311
FE12 201.40 105.52 34725027
FE13 65.43 59.49 6140
FE14 262.59 79.19 683
FE15 274.28 134.44 4547
FE16 238.81 105.82 771
FE17 25.76 46.78 1524
FE18 224.33 124.36 3781
FE19 16.67 45.70 1147
FE20 53.21 85.03 816
FE21 275.29 46.75 7231
FE22 132.05 51.32 385
FE23 170.52 25.94 4696
FE24 172.90 83.03 702
FE25 36.52 66.73 1012
FE26 252.48 16.70 434
FE27 53.67 16.18 86283
FE28 66.45 159.45 26131
FE29 239.08 144.75 925
FE30 293.35 51.28 2384
FE31 111.61 111.21 459
FE32 219.72 30.83 7851
FE33 194.73 113.83 6584428
FE34 193.20 64.50 21093
FE35 305.65 64.31 2010
FE36 25.09 115.77 3044
FE37 26.00 57.91 3208
FE38 161.93 56.76 9386
FE39 319.96 118.74 195148
FE40 108.39 63.07 857
FE41 157.29 117.77 11360
FE42 21.28 117.12 65063
FE43 254.58 25.40 507
FE44 92.09 112.39 20977
FE45 193.22 62.47 24263
FE46 317.32 17.90 1132
FE47 355.78 54.39 3588
FE48 30.49 116.70 5332
FE49 257.46 98.93 611
FE50 96.22 100.75 3226
FE51 108.36 135.04 9741
FE52 212.85 73.64 4499
FE53 30.32 111.10 2461
FE54 80.50 75.84 1410
FE55 52.87 158.79 50582
