Name Equat Polar BlueF GreenF RedF Size RadialVelocity
DG0007 145.0178 60.946 1.215e-17 1.097e-17 4.929e-18 94.9571 1084.85
DG0008 144.9935 60.8392 1.896e-17 1.535e-17 6.642e-18 61.4266 1084.04
DG0009 145.0382 61.0548 1.868e-17 1.557e-17 7.401e-18 67.4237 1085.5
DG0010 145.1095 60.9224 1.805e-17 1.519e-17 6.528e-18 49.1752 1084.6
DG0011 145.1659 60.971 1.987e-17 1.604e-17 7.004e-18 75.469 1085.46
DG0082 139.1834 120.9515 3.583e-17 2.913e-17 1.292e-17 76.4092 726.93
DG0083 139.0155 120.9493 2.333e-17 1.754e-17 8.243e-18 108.563 726.04
DG0084 139.0959 120.9694 3.582e-17 3.007e-17 1.312e-17 92.7116 727.26
DG0085 139.2972 120.9703 4.798e-17 3.772e-17 1.624e-17 76.2082 727.4
DG0141 149.6936 130.411 1.658e-16 1.372e-16 6.592e-17 206.4645 368.12
DG0170 190.4157 77.6744 1.852e-17 1.361e-17 7.158e-18 105.1676 858.95
DG0171 190.4447 77.7923 1.917e-17 1.448e-17 7.705e-18 90.6621 859.24
DG0172 190.4556 77.7865 2.395e-17 2.062e-17 8.773e-18 65.92 857.66
DG0173 190.4857 77.7165 2.569e-17 2.097e-17 9.6e-18 63.4607 857.54
DG0174 190.4274 77.6237 2.83e-17 2.379e-17 1.066e-17 79.0369 858.56
DG0175 175.6924 60.9064 2.482e-17 1.808e-17 8.744e-18 64.1411 922.32
DG0176 175.6327 60.9701 2.234e-17 1.807e-17 8.78e-18 69.6943 922.49
DG0193 195.6917 49.5308 1.525e-17 1.193e-17 5.627e-18 110.1041 1019.66
DG0194 195.9031 49.6039 1.978e-17 1.543e-17 7.414e-18 63.7695 1021.59
DG0195 195.5641 49.4872 1.994e-17 1.63e-17 7.25e-18 69.9393 1021.36
DG0196 195.5145 49.5292 2.118e-17 1.638e-17 8.315e-18 65.0635 1020.81
DG0197 195.6067 49.5032 1.364e-17 1.078e-17 5.186e-18 82.0849 1022.27
DG0198 195.6273 49.6017 2.653e-17 2.055e-17 9.343e-18 60.8244 1021.67
DG0243 201.0398 113.2252 1.252e-17 1.045e-17 4.714e-18 46.2773 1322.78
DG0244 201.0843 113.2624 1.409e-17 1.057e-17 4.973e-18 64.9996 1322.06
DG0245 201.1271 113.1725 1.762e-17 1.658e-17 6.3e-18 55.1415 1323.39
DG0246 200.9834 113.199 1.264e-17 1.011e-17 4.703e-18 47.5698 1323.6
DG0282 193.7096 120.2515 8.842e-18 8.2e-18 3.274e-18 60.3584 1278.91
DG0293 202.9506 123.1631 2.966e-17 2.251e-17 9.992e-18 139.76 681.51
DG0294 203.1307 122.9208 4.622e-17 3.645e-17 1.69e-17 98.0943 682.65
DG0295 202.9163 123.199 4.35e-17 3.429e-17 1.573e-17 121.9032 682.52
DG0296 202.9633 122.9066 4.331e-17 3.029e-17 1.329e-17 87.2926 682.1
DG0297 202.8756 123.0287 4.141e-17 3.268e-17 1.248e-17 97.0198 682.64
DG0325 166.4986 77.4569 6.417e-17 5.359e-17 2.508e-17 154.6391 481.24
DG0350 186.8129 110.4384 2.18e-17 1.694e-17 8.419e-18 134.5193 830.48
DG0351 186.6919 110.6033 3.16e-17 2.585e-17 1.298e-17 93.9267 830.18
DG0352 186.9763 110.2895 3.1e-17 2.272e-17 1.052e-17 76.9021 831.44
DG0353 186.9972 110.5333 2.981e-17 2.506e-17 1.048e-17 69.8658 829.67
