Name Equatorial Polar BlueF GreenF RedF Size RadialVelocity
DG3660 18.3972 75.2314 2.444e-16 1.792e-16 5.901e-17 506.0011 462.17
DG3661 18.2985 74.1845 8.989e-17 7.456e-17 3.241e-17 162.4165 458.46
DG3662 18.5444 75.5318 5.755e-17 4.405e-17 2.141e-17 266.2491 459.61
DG3663 17.8974 75.1312 6.646e-17 5.099e-17 2.163e-17 173.0006 458.78
DG3664 18.7107 75.3673 8.136e-17 6.711e-17 3.07e-17 138.0284 459.7
DG3665 18.3141 75.0133 1.24e-16 1.085e-16 3.854e-17 129.3961 462.7
DG3666 18.0973 75.7278 5.985e-17 5.147e-17 2.261e-17 225.0044 459.8
DG3667 18.8576 75.2952 7.382e-17 6.407e-17 3.131e-17 120.5963 462.95
DG3668 18.4791 74.8527 6.086e-17 4.697e-17 1.868e-17 290.0975 463.87
DG3669 18.0891 74.9318 8.988e-17 8.334e-17 3.613e-17 143.8226 462.44
DG3670 19.4766 75.4246 1.183e-16 9.837e-17 3.758e-17 165.5713 462.54
DG3671 18.4554 76.0069 9.397e-17 7.448e-17 2.97e-17 184.7987 464.35
DG3672 18.6102 75.3928 9.692e-17 7.003e-17 3.422e-17 148.9962 458.9
DG3673 18.9447 75.5368 8.356e-17 6.519e-17 3.088e-17 124.6775 460.77
DG3674 17.8338 74.7564 9.363e-17 7.838e-17 3.371e-17 155.3869 461.58
DG3675 18.0155 74.9252 9.454e-17 7.975e-17 3.42e-17 175.478 458.04
