Name X Y BlueF GreenF RedF Size RadialVelocity
DG0007 -31.4885 30.5120 1.215e-17 1.097e-17 4.929e-18 94.9571 1084.85
DG0008 -31.5169 30.6552 1.896e-17 1.535e-17 6.642e-18 61.4266 1084.04
DG0009 -31.4646 30.3681 1.868e-17 1.557e-17 7.401e-18 67.4237 1085.5
DG0010 -31.3813 30.5074 1.805e-17 1.519e-17 6.528e-18 49.1752 1084.6
DG0011 -31.3156 30.4257 1.987e-17 1.604e-17 7.004e-18 75.469 1085.46
DG0082 -38.8657 -35.6590 3.583e-17 2.913e-17 1.292e-17 76.4092 726.93
DG0083 -39.0966 -35.7465 2.333e-17 1.754e-17 8.243e-18 108.563 726.04
DG0084 -38.9858 -35.7314 3.582e-17 3.007e-17 1.312e-17 92.7116 727.26
DG0085 -38.7099 -35.6245 4.798e-17 3.772e-17 1.624e-17 76.2082 727.4
DG0141 -26.3026 -44.3775 1.658e-16 1.372e-16 6.592e-17 206.4645 368.12
DG0170 8.2718 9.9974 1.852e-17 1.361e-17 7.158e-18 105.1676 858.95
DG0171 8.2953 9.8997 1.917e-17 1.448e-17 7.705e-18 90.6621 859.24
DG0172 8.3042 9.9049 2.395e-17 2.062e-17 8.773e-18 65.92 857.66
DG0173 8.3286 9.9644 2.569e-17 2.097e-17 9.600e-18 63.4607 857.54
DG0174 8.2813 10.0402 2.830e-17 2.379e-17 1.066e-17 79.0369 858.56
DG0175 -3.3896 25.1110 2.482e-17 1.808e-17 8.744e-18 64.1411 922.32
DG0176 -3.4367 25.0473 2.234e-17 1.807e-17 8.780e-18 69.6943 922.49
DG0193 12.6419 39.8780 1.525e-17 1.193e-17 5.627e-18 110.1041 1019.66
DG0194 12.8212 39.8166 1.978e-17 1.543e-17 7.414e-18 63.7695 1021.59
DG0195 12.5338 39.9147 1.994e-17 1.630e-17 7.250e-18 69.9393 1021.36
DG0196 12.4919 39.8458 2.118e-17 1.638e-17 8.315e-18 65.0635 1020.81
DG0197 12.5699 39.9004 1.364e-17 1.078e-17 5.186e-18 82.0849 1022.27
DG0198 12.5873 39.7657 2.653e-17 2.055e-17 9.343e-18 60.8244 1021.67
DG0243 17.3098 -20.6898 1.252e-17 1.045e-17 4.714e-18 46.2773 1322.78
DG0244 17.3499 -20.7331 1.409e-17 1.057e-17 4.973e-18 64.9996 1322.06
