Name X Y BlueF GreenF RedF Parallax RadialVelocity Variable?
S080066 44.2373 -29.8624 1.399e-19 1.587e-19 1.485e-19 0.0 40.89 0.0
S080068 44.2562 -29.8771 8.581e-20 9.933e-20 9.908e-20 0.0 41.0 0.0
S080072 44.342 -29.8653 3.980e-21 6.682e-21 1.363e-20 0.0 38.8 0.0
S080073 44.2875 -29.8441 2.833e-22 5.760e-22 1.854e-21 0.0 40.02 0.0
S080074 44.3448 -29.8635 2.103e-21 3.580e-21 7.768e-21 0.0 38.64 0.0
S080075 44.3765 -29.8665 1.675e-20 2.313e-20 3.190e-20 0.0 37.52 0.0
S080077 44.3835 -29.8572 8.863e-20 1.068e-19 1.163e-19 0.0 37.77 0.0
S080078 44.3941 -29.8745 1.108e-19 1.298e-19 1.285e-19 0.0 37.38 0.0
S080079 44.3359 -29.8575 1.553e-18 1.444e-18 9.012e-19 0.0 39.14 0.0
S080080 44.3565 -29.8602 8.379e-19 8.490e-19 6.307e-19 0.0 37.75 0.0
S080082 44.3223 -29.8569 1.290e-19 1.528e-19 1.546e-19 0.0 39.45 0.0
S080088 44.4756 -29.8902 1.055e-21 1.931e-21 4.833e-21 0.0 37.34 0.0
S080092 44.2292 -29.8383 1.212e-21 2.257e-21 5.903e-21 0.0 40.32 0.0
S080093 44.3359 -29.862 7.286e-22 1.296e-21 3.106e-21 0.0 39.11 0.0
S080094 44.4873 -29.9274 4.013e-22 8.133e-22 2.511e-21 0.0 38.12 0.0
S080095 44.3414 -29.8641 3.029e-18 5.822e-18 1.629e-17 0.0 38.79 0.0
S080098 44.4047 -29.8479 5.836e-22 1.044e-21 2.451e-21 0.001 37.15 0.0
S080099 44.3198 -29.8268 3.519e-20 4.838e-20 6.564e-20 0.0 39.0 0.0
S080100 44.2814 -29.891 8.959e-22 1.692e-21 4.564e-21 0.0 39.76 0.0
S080101 44.2975 -29.8643 1.297e-21 2.335e-21 5.574e-21 0.0 40.07 0.0
S080102 44.3815 -29.8797 2.187e-20 2.975e-20 4.221e-20 0.0 37.71 0.0
S080103 44.2998 -29.8488 3.715e-19 4.030e-19 3.470e-19 0.0 40.1 0.0
S080104 44.32 -29.8737 1.188e-22 2.717e-22 1.093e-21 0.0 40.15 0.0
S080105 44.6477 -29.8357 2.823e-21 4.638e-21 9.519e-21 0.0 37.03 0.0
S080106 44.2468 -29.8674 9.793e-22 1.810e-21 4.530e-21 0.0 40.63 0.0
S080107 44.2616 -29.8881 7.016e-19 7.224e-19 5.608e-19 0.0 40.72 0.0
S080108 44.3158 -29.847 2.867e-22 5.750e-22 1.721e-21 0.0 39.48 0.0
S080111 44.3617 -29.8836 4.157e-22 7.843e-22 2.127e-21 0.0 38.73 0.0
S080113 44.2637 -29.8703 1.284e-19 1.503e-19 1.474e-19 0.0 40.17 0.0
S080114 44.3859 -29.9076 1.025e-21 1.787e-21 4.201e-21 0.0 38.58 0.0
S080115 44.3661 -29.8641 7.596e-20 8.998e-20 8.969e-20 0.001 37.8 0.0
S080116 44.4256 -29.8679 1.727e-19 1.867e-19 1.607e-19 0.0 37.33 0.0
S080117 44.3609 -29.8955 5.403e-22 1.026e-21 2.736e-21 0.0 38.77 0.0
S080119 44.3304 -29.851 6.883e-20 8.422e-20 9.353e-20 0.0 39.04 0.0
S080121 44.3907 -29.8919 1.160e-13 9.399e-14 4.395e-14 0.0 37.87 1.0
S080122 44.181 -29.8577 2.880e-21 4.728e-21 9.482e-21 0.0 41.23 0.0
S080124 44.3252 -29.8629 9.617e-22 1.855e-21 5.094e-21 0.0 39.96 0.0
S080125 44.5077 -29.9214 8.560e-19 8.803e-19 6.481e-19 0.0 37.44 0.0
S080126 44.3373 -29.8625 2.082e-21 3.536e-21 7.338e-21 0.0 39.49 1.0
S080128 44.3209 -29.8563 1.550e-20 2.073e-20 2.768e-20 0.0 39.88 0.0
S080129 44.5255 -29.871 7.207e-21 1.150e-20 2.188e-20 0.0 36.92 0.0
S080131 44.4177 -29.872 3.131e-18 2.795e-18 1.571e-18 0.0 37.07 0.0
S080132 44.221 -29.8504 1.980e-20 2.621e-20 3.424e-20 0.0 40.96 0.0
S080133 44.1688 -29.8713 3.362e-19 3.631e-19 3.068e-19 0.0 40.82 0.0
S080134 44.3809 -29.8492 3.524e-18 6.710e-18 1.915e-17 0.0 38.13 0.0
S080135 44.3355 -29.8611 1.053e-18 1.052e-18 7.730e-19 0.0 39.06 0.0
S080136 44.4752 -29.8639 6.628e-19 6.686e-19 4.999e-19 0.0 37.05 0.0
S080138 44.1729 -29.8456 7.497e-19 1.164e-18 2.081e-18 0.0 40.79 0.0
S080139 44.3443 -29.9603 1.464e-20 2.225e-20 3.661e-20 0.0 39.06 0.0
S080141 44.5299 -29.8795 1.206e-21 2.161e-21 5.152e-21 0.0 36.83 0.0
S080143 44.3118 -29.8706 1.708e-14 1.146e-14 3.601e-15 0.0 40.09 0.0
S080144 44.3419 -29.8724 1.014e-22 2.011e-22 6.091e-22 0.0 39.0 0.0
S080145 44.3299 -29.863 4.847e-21 7.695e-21 1.440e-20 0.0 39.31 0.0
S080146 44.3634 -29.8883 2.142e-20 2.966e-20 4.147e-20 0.0 38.74 0.0
S080148 44.2564 -29.878 2.020e-22 4.169e-22 1.388e-21 0.0 40.66 0.0
S080149 44.5758 -29.9299 2.649e-19 2.799e-19 2.290e-19 0.0 37.6 0.0
S080151 44.2411 -29.8673 1.364e-22 2.872e-22 9.773e-22 0.0 40.83 0.0
S080152 44.3528 -29.8733 1.661e-18 2.698e-18 5.124e-18 0.0 38.56 0.0
S080154 44.4768 -29.8713 2.606e-18 2.294e-18 1.281e-18 0.0 36.71 0.0
S080158 44.4152 -29.8847 1.055e-13 7.546e-14 2.675e-14 0.0 37.1 0.0
S080160 44.0578 -29.8874 2.135e-13 1.794e-13 9.310e-14 0.0 40.75 1.0
S080162 44.3083 -29.8622 2.365e-21 3.747e-21 7.021e-21 0.0 39.93 0.0
S080163 44.1412 -29.8032 6.897e-20 8.687e-20 9.826e-20 0.0 40.24 0.0
S080164 44.4064 -29.8678 2.759e-22 5.594e-22 1.709e-21 0.0 37.41 0.0
S080167 44.3051 -29.8493 1.571e-20 2.259e-20 3.612e-20 0.0 40.02 0.0
S080168 44.3364 -29.8656 5.234e-19 5.911e-19 5.345e-19 0.0 39.23 0.0
S080171 44.3949 -29.8658 6.738e-22 1.260e-21 3.311e-21 0.0 37.37 0.0
S080172 44.4942 -29.889 1.010e-20 1.459e-20 2.169e-20 0.0 36.73 0.0
S080175 44.4111 -29.8492 5.273e-20 6.821e-20 8.430e-20 0.0 37.11 0.0
S080176 44.2575 -29.8858 7.934e-22 1.308e-21 2.681e-21 0.0 39.94 0.0
S080177 44.1839 -29.8205 4.828e-22 3.261e-22 1.084e-22 0.0 40.07 0.0
S080180 44.1979 -29.8584 2.010e-17 1.647e-17 7.852e-18 0.0 41.17 0.0
S080182 44.3227 -29.8546 8.400e-22 1.488e-21 3.627e-21 0.0 39.47 0.0
S080183 44.4076 -29.8741 1.953e-21 3.358e-21 7.408e-21 0.0 37.34 0.0
S080184 44.1879 -29.8419 1.721e-22 3.276e-22 8.773e-22 0.0 40.75 0.0
S080186 44.3338 -29.865 1.325e-13 1.044e-13 4.907e-14 0.0 39.35 1.0
S080187 44.2506 -29.8743 5.806e-21 8.908e-21 1.569e-20 0.0 41.05 0.0
S080189 44.345 -29.8889 2.017e-17 5.146e-17 2.560e-16 0.0 40.18 1.0
S080190 44.3367 -29.8639 1.071e-21 1.863e-21 4.195e-21 0.0 39.49 0.0
S080192 44.3634 -29.8629 1.554e-19 1.787e-19 1.686e-19 0.0 37.94 0.0
S080194 44.3354 -29.9201 5.066e-21 7.849e-21 1.390e-20 0.0 39.21 0.0
S080195 44.3789 -29.8748 9.903e-18 2.302e-17 9.757e-17 0.0 38.12 1.0
S080199 44.2647 -29.8555 6.093e-18 4.871e-18 2.293e-18 0.0 40.82 0.0
S080202 44.5768 -29.896 3.929e-19 4.131e-19 3.393e-19 0.0 37.08 0.0
S080204 44.3672 -29.8658 1.243e-21 2.085e-21 4.442e-21 0.0 37.93 0.0
S080205 44.3165 -29.8815 2.088e-20 2.724e-20 3.554e-20 0.0 40.23 0.0
S080207 44.1884 -29.8836 1.970e-21 3.106e-21 6.038e-21 0.0 40.57 0.0
S080208 44.5177 -29.8714 3.469e-21 5.300e-21 9.030e-21 0.0 36.62 0.0
S080210 44.4475 -29.8961 3.589e-21 5.651e-21 1.045e-20 0.0 37.93 0.0
S080211 44.5519 -29.9265 2.518e-21 4.073e-21 8.017e-21 0.0 37.46 0.0
S080213 44.3635 -29.8799 2.667e-22 5.299e-22 1.600e-21 0.0 38.51 0.0
S080214 44.2081 -29.8184 3.023e-17 2.411e-17 1.076e-17 0.0 40.04 1.0
S080216 44.5085 -29.8818 9.329e-19 9.284e-19 6.521e-19 0.0 36.78 0.0
S080217 44.6013 -29.9044 3.905e-22 7.843e-22 2.489e-21 0.0 36.74 0.0
S080218 44.4012 -29.8908 2.723e-18 2.458e-18 1.467e-18 0.0 37.53 0.0
S080219 44.3335 -29.8627 3.309e-22 6.722e-22 2.085e-21 0.001 39.41 0.0
S080220 44.3409 -29.8687 4.155e-20 5.454e-20 6.779e-20 0.0 38.94 0.0
S080221 44.3129 -29.8606 1.974e-18 4.563e-18 1.895e-17 0.0 39.93 0.0
S080222 44.2057 -29.8441 1.155e-21 1.917e-21 3.856e-21 0.0 40.88 0.0
S080224 44.3074 -29.8595 3.196e-19 3.252e-19 2.523e-19 0.0 40.32 0.0
S080225 44.3306 -29.8555 3.164e-21 5.260e-21 1.118e-20 0.0 39.06 0.0
S080228 44.3445 -29.8706 2.141e-17 5.186e-17 2.313e-16 0.0 38.74 1.0
S080229 44.4567 -29.8857 1.505e-18 1.338e-18 7.881e-19 0.0 37.12 0.0
S080230 44.3383 -29.8571 3.700e-20 4.764e-20 5.936e-20 0.0 38.37 0.0
S080231 44.5045 -29.8874 5.424e-20 6.576e-20 6.760e-20 0.0 36.68 0.0
S080232 44.3429 -29.8665 9.223e-21 1.339e-20 2.104e-20 0.0 38.59 0.0
S080234 44.2213 -29.8696 8.468e-22 1.596e-21 4.233e-21 0.0 40.48 0.0
S080235 44.3618 -29.8774 9.652e-22 1.682e-21 3.854e-21 0.0 37.95 0.0
S080237 44.5119 -29.8619 5.921e-21 8.540e-21 1.335e-20 0.0 36.78 0.0
S080238 44.3626 -29.8755 2.424e-19 2.743e-19 2.536e-19 0.0 37.9 0.0
S080241 44.3958 -29.8923 1.124e-19 1.366e-19 1.471e-19 0.0 37.93 0.0
S080242 44.3244 -29.8515 5.886e-22 1.189e-21 3.623e-21 0.0 39.36 0.0
S080247 44.3134 -29.8664 6.157e-19 6.349e-19 4.703e-19 0.0 39.76 0.0
S080250 44.2037 -29.8717 1.225e-21 2.108e-21 4.638e-21 0.0 40.84 0.0
S080253 44.3199 -29.865 2.642e-18 2.326e-18 1.301e-18 0.0 39.99 0.0
S080255 44.3378 -29.864 1.176e-19 1.394e-19 1.468e-19 0.0 39.28 0.0
S080256 44.5053 -29.8968 1.423e-19 1.627e-19 1.559e-19 0.0 36.92 0.0
S080259 44.5151 -29.9159 1.724e-21 2.970e-21 6.529e-21 0.0 37.55 0.0
S080260 44.3017 -29.8527 2.516e-22 5.083e-22 1.569e-21 0.0 40.33 0.0
S080264 44.3395 -29.8721 3.232e-22 6.156e-22 1.746e-21 0.0 39.1 0.0
S080267 44.3333 -29.8562 1.830e-18 1.703e-18 1.091e-18 0.0 39.39 0.0
S080269 44.3035 -29.7992 2.444e-21 4.160e-21 8.993e-21 0.0 39.05 0.0
S080276 44.4045 -29.8607 2.023e-21 3.462e-21 7.675e-21 0.0 37.65 0.0
S080280 44.4184 -29.8653 7.392e-20 8.739e-20 8.742e-20 0.0 37.76 0.0
S080281 44.4454 -29.8555 3.870e-20 4.686e-20 4.974e-20 0.0 37.83 0.0
S080282 44.3016 -29.863 3.908e-20 5.143e-20 6.566e-20 0.0 39.9 0.0
S080283 44.1972 -29.8469 2.568e-20 3.341e-20 4.082e-20 0.0 40.76 0.0
S080284 44.3191 -29.8681 1.081e-22 2.413e-22 9.258e-22 0.0 40.2 0.0
S080287 44.3862 -29.8513 1.964e-22 4.022e-22 1.296e-21 0.0 37.68 0.0
S080289 44.3165 -29.8615 1.512e-20 2.047e-20 2.790e-20 0.0 39.5 0.0
S080290 44.4204 -29.8855 1.358e-21 2.387e-21 5.524e-21 0.0 37.2 0.0
S080291 44.1829 -29.8629 1.476e-22 3.242e-22 1.189e-21 0.0 41.12 0.0
S080292 44.3427 -29.8712 3.585e-22 7.099e-22 2.145e-21 0.0 38.9 0.0
S080293 44.1766 -29.8426 4.359e-20 5.335e-20 5.895e-20 0.0 41.23 0.0
S080295 44.4024 -29.8725 2.475e-22 4.440e-22 1.063e-21 0.0 37.24 0.0
S080299 44.2359 -29.7645 7.036e-20 8.284e-20 8.046e-20 0.0 39.26 0.0
S080300 44.3758 -29.874 4.905e-21 7.743e-21 1.430e-20 0.0 37.8 0.0
S080301 44.3463 -29.8626 9.343e-22 1.701e-21 4.390e-21 0.0 38.67 0.0
S080303 44.4389 -29.8721 2.578e-18 2.277e-18 1.322e-18 0.0 37.0 0.0
S080304 44.3992 -29.8767 1.477e-13 1.404e-13 9.177e-14 0.0 37.37 1.0
S080305 44.4031 -29.8884 5.666e-19 5.618e-19 4.014e-19 0.0 38.19 0.0
S080306 44.3865 -29.8481 1.045e-22 2.247e-22 7.957e-22 0.0 37.45 0.0
S080307 44.3585 -29.8667 1.124e-19 1.325e-19 1.324e-19 0.0 38.23 0.0
S080309 44.4179 -29.895 1.168e-18 1.831e-18 3.387e-18 0.0 37.5 0.0
S080310 44.3202 -29.8435 4.892e-22 9.150e-22 2.456e-21 0.0 39.7 0.0
S080312 44.3625 -29.8468 9.540e-22 1.767e-21 4.490e-21 0.0 38.18 0.0
S080313 44.3227 -29.8726 1.990e-18 1.802e-18 1.094e-18 0.0 39.5 0.0
S080314 44.3232 -29.8569 3.647e-22 7.153e-22 2.101e-21 0.0 39.54 0.0
S080315 44.0554 -29.8175 4.109e-20 5.407e-20 6.572e-20 0.0 40.71 0.0
S080318 44.3672 -29.8632 1.036e-20 1.502e-20 2.318e-20 0.0 37.87 0.0
S080322 44.4377 -29.8446 1.993e-18 1.884e-18 1.259e-18 0.0 37.31 0.0
S080325 44.1888 -29.9037 6.470e-22 1.163e-21 2.793e-21 0.0 40.38 0.0
S080328 44.2623 -29.8503 3.977e-22 7.833e-22 2.226e-21 0.0 40.12 0.0
S080329 44.2557 -29.8438 8.268e-21 1.175e-20 1.767e-20 0.0 40.21 0.0
S080330 44.4378 -29.8678 1.487e-18 1.442e-18 9.806e-19 0.0 36.8 0.0
S080331 44.344 -29.8592 8.658e-20 1.028e-19 1.058e-19 0.0 38.66 0.0
S080333 44.3372 -29.8614 2.684e-19 2.816e-19 2.253e-19 0.0 39.04 0.0
S080335 44.3366 -29.8637 1.161e-22 2.412e-22 7.845e-22 0.0 39.11 0.0
S080339 44.296 -29.8516 7.733e-14 5.396e-14 1.911e-14 0.0 40.42 0.0
S080340 44.4148 -29.8816 3.916e-22 7.373e-22 1.973e-21 0.0 37.13 0.0
S080342 44.4931 -29.9073 8.988e-22 1.554e-21 3.557e-21 0.0 37.24 0.0
S080345 44.2848 -29.8441 2.293e-22 4.666e-22 1.487e-21 0.0 39.71 0.0
S080346 44.1942 -29.8832 6.601e-21 1.008e-20 1.764e-20 0.0 40.93 0.0
S080347 44.3601 -29.8509 1.040e-20 1.511e-20 2.373e-20 0.0 37.84 0.0
S080348 44.2585 -29.8248 5.940e-18 4.956e-18 2.471e-18 0.0 39.72 0.0
S080349 44.4355 -29.8801 1.424e-22 2.962e-22 9.439e-22 0.0 36.94 0.0
S080350 44.3653 -29.8842 1.243e-22 2.768e-22 1.069e-21 0.0 37.8 0.0
S080352 44.3535 -29.8827 6.835e-21 1.006e-20 1.623e-20 0.0 38.24 0.0
S080353 44.4322 -29.911 1.923e-21 3.300e-21 7.115e-21 0.0 38.22 0.0
S080354 43.6792 -29.7658 2.227e-20 3.168e-20 4.731e-20 0.0 41.11 0.0
S080356 44.3231 -29.7975 1.825e-18 1.625e-18 9.216e-19 0.0 38.94 0.0
S080358 44.2612 -29.8665 2.320e-21 3.696e-21 7.143e-21 0.0 40.86 0.0
S080359 44.365 -29.8616 9.299e-20 1.151e-19 1.275e-19 0.0 37.68 0.0
S080363 44.1174 -29.8637 4.107e-20 5.318e-20 6.357e-20 0.0 41.08 0.0
S080365 44.4638 -29.8968 1.979e-18 3.488e-18 8.402e-18 0.0 37.45 0.0
S080366 44.3021 -29.8644 1.079e-21 1.780e-21 3.623e-21 0.0 40.3 0.0
S080368 43.9984 -29.8615 3.624e-22 6.802e-22 1.851e-21 0.0 41.3 0.0
S080371 44.0032 -29.8195 6.254e-21 9.321e-21 1.459e-20 0.0 41.33 0.0
S080372 44.3589 -29.8599 2.742e-22 5.209e-22 1.412e-21 0.0 38.37 0.0
S080373 44.3064 -29.9218 2.398e-22 4.500e-22 1.241e-21 0.0 39.26 0.0
S080374 44.3279 -29.8613 6.981e-20 8.331e-20 8.767e-20 0.0 39.86 0.0
S080376 44.2458 -29.8355 1.345e-22 2.922e-22 1.064e-21 0.0 39.77 0.0
S080377 44.3449 -29.8657 2.082e-20 2.878e-20 4.129e-20 0.0 38.39 0.0
S080378 44.2478 -29.9651 4.185e-21 6.663e-21 1.265e-20 0.0 39.44 0.0
S080380 44.2962 -29.8635 3.844e-22 6.893e-22 1.683e-21 0.0 40.34 0.0
S080381 44.3536 -29.868 5.412e-21 8.407e-21 1.473e-20 0.0 38.56 0.0
S080382 44.3145 -29.8798 1.280e-21 2.348e-21 6.040e-21 0.0 39.89 0.0
S080383 44.368 -29.8425 9.070e-20 1.098e-19 1.161e-19 0.0 38.06 0.0
S080385 44.361 -29.9352 6.866e-18 1.662e-17 7.729e-17 0.0 39.16 1.0
S080387 44.3287 -29.9519 6.709e-19 6.602e-19 4.585e-19 0.0 40.53 0.0
S080388 44.3199 -29.8448 2.599e-18 4.277e-18 8.677e-18 0.0 39.42 0.0
S080389 44.3268 -29.9136 2.522e-16 1.793e-16 6.440e-17 0.0 40.74 0.0
S080390 44.3546 -29.8656 6.657e-19 6.576e-19 4.470e-19 0.0 38.48 0.0
S080392 44.3692 -29.8146 7.157e-18 5.991e-18 2.974e-18 0.0 37.07 0.0
S080394 44.4496 -29.8981 4.106e-22 8.015e-22 2.298e-21 0.0 36.83 0.0
S080395 44.2791 -29.8787 8.999e-19 8.828e-19 6.194e-19 0.0 40.33 0.0
S080396 44.3536 -29.9168 3.189e-21 5.385e-21 1.105e-20 0.0 39.21 0.0
S080398 44.3629 -29.8687 7.448e-22 1.436e-21 4.109e-21 0.0 38.59 0.0
S080400 44.4188 -29.85 3.188e-20 4.114e-20 5.004e-20 0.0 36.89 0.0
S080401 44.3283 -29.872 2.172e-18 3.726e-18 8.261e-18 0.0 39.34 0.0
S080402 44.3037 -29.9162 3.516e-19 3.755e-19 3.246e-19 0.0 40.7 0.0
S080403 44.333 -29.9018 4.405e-18 3.606e-18 1.744e-18 0.0 39.93 0.0
S080405 44.3853 -29.8302 1.157e-19 1.394e-19 1.398e-19 0.0 37.44 0.0
S080406 44.3119 -29.8285 2.128e-19 2.292e-19 1.924e-19 0.0 39.47 0.0
S080407 44.3216 -29.8571 1.769e-18 3.139e-18 7.511e-18 0.0 39.37 0.0
S080409 44.3662 -29.8442 9.441e-20 1.137e-19 1.201e-19 0.0 37.8 0.0
S080410 44.3366 -29.861 6.059e-22 1.065e-21 2.493e-21 0.0 39.1 0.0
S080411 44.3067 -29.8615 6.771e-18 5.495e-18 2.596e-18 0.001 39.9 0.0
