Name Equatorial Polar BlueF GreenF RedF Parallax RadialVelocity Variable?
S038957 63.063 127.7558 2.546e-18 4.954e-18 1.397e-17 0.0 97.52 0.0
S038958 63.0024 127.8062 2.454e-19 2.746e-19 2.447e-19 0.0 97.98 0.0
S038965 63.0068 127.8119 1.0810000000000001e-20 1.438e-20 1.946e-20 0.0 96.94 0.0
S038967 62.9766 127.8354 5.551e-22 9.870999999999998e-22 2.3270000000000002e-21 0.0 100.03 0.0
S038972 62.9931 127.8265 7.934e-21 1.1330000000000001e-20 1.6510000000000002e-20 0.0 99.52 0.0
S038973 63.029 127.8024 3.944e-19 6.113e-19 1.061e-18 0.0 96.54 0.0
S038974 63.0254 127.81 1.6529999999999998e-22 3.208e-22 9.049e-22 0.0 96.33 0.0
S038976 62.9817 127.8325 1.0120000000000001e-20 1.3070000000000001e-20 1.573e-20 0.0 99.96 0.0
S038977 63.0757 127.773 5.942e-22 1.087e-21 2.777e-21 0.0 96.67 0.0
S038979 62.9318 127.8539 4.571e-18 3.628e-18 1.592e-18 0.0 100.46 0.0
S038981 62.9923 127.8301 1.085e-21 1.813e-21 3.671e-21 0.0 99.63 0.0
S038982 63.014 127.82 4.33e-21 6.255e-21 1.0010000000000002e-20 0.0 96.88 0.0
S038983 62.9709 127.8285 4.746e-21 7.026000000000001e-21 1.163e-20 0.0 98.9 0.0
S038986 63.0021 127.8261 2.327e-19 2.376e-19 1.831e-19 0.0 97.66 0.0
S038987 62.99 127.8273 2.756e-22 5.247999999999999e-22 1.407e-21 0.0 99.25 0.0
S038988 62.9982 127.8212 4.645e-18 3.734e-18 1.8e-18 0.0 97.7 0.0
S038989 62.9313 127.8541 1.3160000000000001e-20 1.777e-20 2.4090000000000003e-20 0.0 99.97 0.0
S038990 62.97 127.8443 4.411e-22 8.024999999999999e-22 2.013e-21 0.0 99.64 0.0
S038991 62.9916 127.8273 2.595e-18 3.897e-18 6.696e-18 0.001 99.98 0.0
S038992 63.0561 127.778 1.2330000000000001e-20 1.6990000000000002e-20 2.3370000000000003e-20 0.0 96.76 0.0
S038993 62.9723 127.8409 2.323e-22 4.35e-22 1.157e-21 0.0 99.98 0.0
S038995 62.9835 127.8345 1.614e-18 2.801e-18 6.402e-18 0.0 100.11 0.0
S038997 62.906 127.8759 2.283e-18 4.574e-18 1.428e-17 0.0 100.44 0.0
S038998 62.9724 127.839 3.5679999999999997e-22 6.193e-22 1.347e-21 0.0 99.45 0.0
S038999 63.0141 127.8024 8.431e-21 1.1450000000000001e-20 1.518e-20 0.0 97.26 0.0
S039002 63.0648 127.7769 9.559e-22 1.615e-21 3.516e-21 0.0 96.66 0.0
S039003 63.1277 127.7778 1.044e-20 1.394e-20 1.8550000000000002e-20 0.0 97.16 0.0
S039004 63.099 127.7699 1.124e-21 1.942e-21 4.2980000000000004e-21 0.0 96.2 0.0
S039005 62.9682 127.8411 2.7630000000000005e-20 3.553e-20 4.2540000000000005e-20 0.0 100.32 0.0
S039007 62.9884 127.8263 8.912e-21 1.1580000000000002e-20 1.4930000000000002e-20 0.0 99.55 0.0
S039008 62.9446 127.8424 9.497e-19 1.901e-18 5.845e-18 0.0 100.2 0.0
S039010 62.9828 127.8338 9.65e-14 7.341e-14 3.132e-14 0.0 99.25 1.0
S039013 62.9447 127.8513 6.636e-14 4.84e-14 1.817e-14 0.0 100.32 0.0
S039014 63.0018 127.8243 1.4780000000000003e-20 1.9210000000000002e-20 2.467e-20 0.0 97.67 0.0
S039016 62.93 127.8523 5.066e-19 4.934e-19 3.332e-19 0.0 100.2 0.0
