Name X Y BlueF GreenF RedF Size RadialVelocity
DG0049 -0.7602 9.2492 2.214e-16 1.464e-16 4.900e-17 217.2702 489.81
DG0050 -0.1441 9.1746 8.162e-17 5.742e-17 2.753e-17 151.2708 489.39
DG0051 -0.7240 9.2842 7.891e-17 6.181e-17 2.761e-17 146.6316 489.36
DG0052 -0.3338 9.0461 7.132e-17 6.784e-17 3.014e-17 169.6322 488.49
DG0053 -0.6885 9.6383 7.242e-17 6.378e-17 2.818e-17 136.2615 488.16
DG0054 -0.8432 9.6091 7.729e-17 5.867e-17 2.554e-17 107.1141 488.48
DG0055 -0.9603 9.2712 5.761e-17 4.722e-17 2.055e-17 226.2189 487.69
DG0056 -0.8969 9.1237 7.077e-17 6.449e-17 2.767e-17 130.6024 489.37
DG0057 -0.8835 8.7662 6.863e-17 5.749e-17 2.379e-17 114.7832 487.9
DG0058 -1.0888 8.7869 7.753e-17 6.747e-17 2.582e-17 108.9 487.77
DG0059 -1.1163 8.8738 8.204e-17 6.364e-17 3.006e-17 131.4865 488.97
DG0060 -1.2264 9.1002 7.636e-17 6.344e-17 3.188e-17 128.4233 487.71
DG0061 -1.2114 8.9141 8.066e-17 6.209e-17 2.874e-17 139.6741 489.28
DG0062 -0.5078 8.7504 7.497e-17 5.515e-17 2.462e-17 121.5327 486.74
DG0125 0.1942 1.3781 5.619e-17 4.034e-17 1.487e-17 168.6373 997.15
DG0126 0.0716 1.6039 2.037e-17 1.672e-17 7.717e-18 56.5651 995.53
DG0127 0.4266 1.4206 1.495e-17 1.125e-17 5.170e-18 62.9039 996.75
DG0128 0.1088 1.3837 1.436e-17 1.128e-17 4.895e-18 151.5132 996.06
DG0129 0.0906 1.5255 1.969e-17 1.753e-17 7.357e-18 48.5462 995.29
DG0130 0.2025 1.2488 2.203e-17 1.647e-17 8.450e-18 73.9278 996.93
DG0131 0.2876 1.4066 1.954e-17 1.508e-17 7.165e-18 56.7563 997.27
DG0132 0.1255 1.2707 1.248e-17 1.317e-17 5.022e-18 71.6254 996.05
DG0133 0.0710 1.3745 1.981e-17 1.668e-17 7.637e-18 70.2734 996.5
DG0134 -0.0189 1.3353 1.873e-17 1.521e-17 7.494e-18 60.3546 996.14
DG0135 0.1564 1.3838 1.312e-17 1.115e-17 4.776e-18 130.4544 997.18
DG0142 4.1904 -8.4800 7.763e-18 7.062e-18 3.091e-18 175.2156 1275.04
DG0143 4.1801 -8.5870 1.912e-17 1.467e-17 5.889e-18 53.2249 1274.55
DG0144 4.3349 -8.4213 1.345e-17 1.001e-17 4.686e-18 52.6358 1274.87
DG0145 4.0747 -8.4341 1.205e-17 1.077e-17 4.730e-18 44.8611 1274.93
DG0146 4.1889 -8.5053 1.546e-17 1.156e-17 5.183e-18 46.1783 1273.92
DG0147 4.0861 -8.4548 1.392e-17 1.011e-17 4.484e-18 46.7054 1273.49
DG0148 4.1334 -8.5456 1.208e-17 1.048e-17 4.538e-18 42.2731 1274.28
DG0149 4.3311 -8.4682 1.256e-17 1.020e-17 4.642e-18 50.3104 1273.86
DG0150 4.2866 -8.3413 1.331e-17 1.181e-17 5.033e-18 60.1372 1274.88
DG0199 -31.9342 -12.9672 1.696e-16 1.179e-16 3.995e-17 310.4626 589.17
DG0200 -32.0721 -13.4966 4.299e-17 3.751e-17 1.701e-17 195.6 583.92
DG0201 -32.4971 -12.7519 4.675e-17 3.601e-17 1.588e-17 223.2622 591.24
DG0202 -30.6934 -12.2062 5.562e-17 5.237e-17 1.987e-17 119.5414 590.35
DG0203 -32.1825 -13.4567 4.710e-17 3.762e-17 1.539e-17 174.1916 586.67
DG0204 -32.2377 -12.7849 3.957e-17 3.296e-17 1.437e-17 221.609 591.09
DG0205 -31.6702 -13.0763 5.954e-17 4.554e-17 2.036e-17 100.2231 590.71
DG0206 -31.9621 -12.4648 5.610e-17 4.645e-17 1.845e-17 106.8772 590.54
DG0207 -32.4454 -13.0191 7.038e-17 5.742e-17 2.504e-17 133.8142 585.1
DG0208 -32.4274 -12.8884 3.701e-17 3.070e-17 1.520e-17 250.7773 588.69
DG0209 -31.9451 -12.1261 4.215e-17 3.229e-17 1.463e-17 148.3383 588.58
DG0210 -33.0814 -13.0733 6.164e-17 5.241e-17 2.160e-17 124.9627 585.14
DG0211 -32.6252 -12.9643 6.068e-17 4.804e-17 2.078e-17 126.222 589.82
DG0212 -32.0765 -13.6396 4.080e-17 3.674e-17 1.407e-17 130.6613 588.6
DG0213 -31.3412 -12.7752 4.799e-17 3.725e-17 1.751e-17 207.9411 586.07
DG0214 -30.8911 -12.7471 6.867e-17 5.711e-17 2.623e-17 123.4264 589.96
DG0215 -32.6593 -12.8975 6.539e-17 5.073e-17 2.443e-17 129.3307 591.01
DG0216 -32.6146 -13.4796 6.252e-17 4.622e-17 2.106e-17 149.2235 591.29
DG0217 -32.7849 -12.6994 4.168e-17 3.402e-17 1.630e-17 144.6752 591.09
DG0218 -30.8890 -12.9073 5.152e-17 4.596e-17 2.039e-17 113.7441 587.93
DG0219 -31.7489 -11.7545 5.659e-17 4.672e-17 2.066e-17 103.4434 585.12
DG0220 -31.6631 -11.7989 6.688e-17 5.356e-17 2.416e-17 111.5882 583.99
DG0221 -32.8949 -12.2116 6.037e-17 4.455e-17 2.090e-17 136.1529 589.8
DG0222 -32.0186 -12.4253 6.556e-17 5.496e-17 2.443e-17 116.4382 591.01
DG0223 -31.8527 -13.1602 6.611e-17 5.220e-17 2.379e-17 150.48 588.87
DG0247 33.8308 -0.1143 4.238e-17 3.309e-17 1.143e-17 151.9984 1167.18
DG0248 34.1254 0.2132 1.024e-17 8.761e-18 4.103e-18 60.1104 1171.2
DG0249 33.6708 0.2605 1.835e-17 1.334e-17 6.600e-18 65.7542 1171.08
DG0250 34.0950 0.3216 1.475e-17 1.112e-17 5.234e-18 45.6455 1171.18
DG0251 34.0518 -0.3217 1.471e-17 1.156e-17 5.896e-18 51.3303 1168.41
DG0252 33.9141 -0.4163 9.248e-18 8.232e-18 3.749e-18 75.2735 1168.76
DG0253 33.4718 -0.1455 1.523e-17 1.342e-17 5.893e-18 59.8617 1167.87
DG0254 33.7898 0.0906 1.530e-17 1.387e-17 5.831e-18 75.9239 1169.96
