Name Equatorial Polar BlueF GreenF RedF Parallax RadialVelocity Variable?
S00001 307.479 64.239 1.149e-19 1.467e-19 1.819e-19 0.0 -62.07 0.0
S00002 307.4835 64.1911 1.129e-19 1.496e-19 1.942e-19 0.001 -61.19 0.0
S00003 307.4775 64.2358 9.659e-24 3.000e-23 2.284e-22 0.0 -62.01 0.0
S00004 307.4511 64.2735 2.079e-20 3.323e-20 6.156e-20 0.0 -62.26 0.0
S00005 307.5096 64.2337 1.653e-16 1.307e-16 5.926e-17 0.0 -61.65 1.0
S00006 307.4741 64.2377 1.026e-18 1.104e-18 9.254e-19 0.0 -61.95 0.0
S00007 307.5242 64.2566 1.482e-21 3.137e-21 1.057e-20 0.0 -61.91 0.0
S00008 307.5184 64.2034 6.249e-19 7.278e-19 7.209e-19 0.0 -61.31 0.0
S00009 307.453 64.246 9.083e-22 1.860e-21 5.680e-21 0.0 -62.05 0.0
S00010 307.4819 64.2497 6.718e-23 1.549e-22 6.403e-22 0.0 -62.21 0.0
S00011 307.4825 64.2057 4.575e-22 8.977e-22 2.693e-21 0.0 -61.24 0.0
S00012 307.5258 64.2328 1.950e-20 3.144e-20 5.933e-20 0.0 -61.69 0.0
S00013 307.5093 64.1361 6.967e-22 1.474e-21 4.985e-21 0.0 -61.09 0.0
S00014 307.4704 64.2024 2.219e-21 1.485e-21 4.872e-22 0.0 -61.26 0.0
S00015 307.4698 64.2321 1.102e-18 1.161e-18 9.649e-19 0.0 -61.79 0.0
S00016 307.4977 64.2389 2.388e-22 5.203e-22 1.965e-21 0.0 -61.84 0.0
S00017 307.476 64.2383 1.231e-23 3.455e-23 2.225e-22 0.0 -62.09 0.0
S00018 307.477 64.2322 2.693e-20 3.938e-20 6.215e-20 0.0 -61.77 0.0
S00019 307.4771 64.2449 9.074e-18 8.032e-18 4.603e-18 0.0 -62.11 0.0
S00020 307.5939 64.0753 2.055e-20 3.198e-20 5.894e-20 0.0 -61.17 0.0
S00021 307.5352 64.1957 5.150e-22 4.203e-22 1.993e-22 0.0 -61.35 0.0
S00022 307.5618 64.0996 2.236e-20 3.558e-20 6.523e-20 0.0 -61.08 0.0
S00023 307.4671 64.2109 2.762e-21 5.079e-21 1.329e-20 0.0 -61.46 0.0
S00024 307.4816 64.2145 7.424e-20 1.084e-19 1.702e-19 0.0 -61.36 0.0
S00025 307.4774 64.2347 7.474e-20 1.037e-19 1.481e-19 0.0 -62.08 0.0
S00026 307.4951 64.2386 4.134e-22 8.261e-22 2.572e-21 0.0 -61.84 0.0
S00027 307.4803 64.2688 6.140e-21 1.036e-20 2.299e-20 0.0 -62.35 0.0
S00028 307.4798 64.187 4.365e-23 1.114e-22 5.679e-22 0.0 -61.25 0.0
S00029 307.4256 64.197 3.494e-24 1.070e-23 8.189e-23 0.0 -61.64 0.0
S00030 307.4345 64.2508 1.805e-20 2.672e-20 4.496e-20 0.0 -62.07 0.0
S00031 307.4832 64.2354 3.606e-23 8.922e-23 4.119e-22 0.0 -61.92 0.0
S00032 307.4649 64.2648 8.131e-22 1.684e-21 5.527e-21 0.0 -62.33 0.0
S00033 307.4704 64.241 8.458e-19 9.283e-19 8.244e-19 0.0 -62.07 0.0
S00034 307.4952 64.2332 1.401e-20 2.278e-20 4.461e-20 0.0 -61.6 0.0
S00035 307.5088 64.2261 5.043e-13 3.637e-13 1.347e-13 0.0 -61.53 0.0
S00036 307.4174 64.2602 1.641e-19 2.075e-19 2.426e-19 0.0 -62.1 0.0
S00037 307.4902 64.243 4.226e-13 2.999e-13 1.061e-13 0.0 -61.99 0.0
S00038 307.4965 64.0935 2.597e-19 3.167e-19 3.504e-19 0.0 -61.16 0.0
S00039 307.524 64.185 3.977e-20 5.896e-20 9.788e-20 0.0 -61.25 0.0
S00040 307.6012 64.1893 2.950e-17 2.514e-17 1.383e-17 0.0 -61.48 0.0
S00041 307.3476 64.268 3.735e-20 5.614e-20 9.779e-20 0.0 -61.99 0.0
S00042 307.5263 64.2349 1.444e-22 3.292e-22 1.281e-21 0.0 -61.67 0.0
S00043 307.4463 64.3161 6.136e-13 5.583e-13 3.282e-13 0.0 -62.39 1.0
S00044 307.5259 64.2802 2.655e-22 6.107e-22 2.501e-21 0.0 -62.03 0.0
S00045 307.5255 64.1983 7.455e-27 4.768e-26 1.649e-24 0.0 -61.36 0.0
S00046 307.4614 64.3444 1.615e-22 4.084e-22 1.945e-21 0.0 -62.41 1.0
S00047 307.5027 64.2297 4.385e-20 6.445e-20 9.845e-20 0.0 -61.58 0.0
S00048 307.4863 64.2256 5.448e-22 1.181e-21 4.204e-21 0.0 -61.36 0.0
S00049 307.4819 64.2352 5.508e-21 9.601e-21 2.134e-20 0.0 -62.35 0.0
S00050 307.5062 64.304 7.881e-22 5.991e-22 2.487e-22 0.0 -62.25 0.0
S00051 307.4799 64.2043 1.391e-23 4.320e-23 3.228e-22 0.0 -61.31 0.0
S00052 307.491 64.2305 6.670e-22 1.390e-21 4.465e-21 0.0 -61.49 0.0
S00053 307.4849 64.2372 4.716e-19 5.646e-19 6.004e-19 0.0 -62.11 0.0
S00054 307.4586 64.2423 4.590e-19 5.162e-19 4.736e-19 0.0 -62.0 0.0
S00055 307.4079 64.2406 2.496e-21 4.865e-21 1.437e-20 0.0 -61.95 0.0
S00056 307.481 64.251 3.027e-13 2.081e-13 6.991e-14 0.0 -62.22 0.0
S00057 307.4982 64.2377 3.682e-23 8.804e-23 3.915e-22 0.0 -61.77 0.0
S00058 307.4803 64.2354 4.542e-23 1.180e-22 6.181e-22 0.0 -61.98 0.0
S00059 307.5581 64.1893 7.090e-24 2.094e-23 1.425e-22 0.0 -61.45 0.0
S00060 307.4265 64.2376 6.565e-22 5.159e-22 2.306e-22 0.0 -61.92 0.0
S00061 307.3751 64.283 1.204e-21 8.506e-22 3.078e-22 0.0 -62.08 0.0
S00062 307.4171 64.2973 3.707e-18 3.591e-18 2.463e-18 0.0 -62.3 0.0
S00063 307.4752 64.253 6.217e-23 1.555e-22 7.856e-22 0.0 -62.27 0.0
S00064 307.4837 64.2428 2.579e-19 3.339e-19 4.122e-19 0.0 -62.21 0.0
S00065 307.5152 64.2298 1.541e-16 1.479e-16 9.606e-17 0.0 -61.61 0.0
S00066 307.4876 64.232 1.462e-23 4.031e-23 2.464e-22 0.0 -61.48 0.0
S00067 307.4519 64.116 6.578e-22 1.348e-21 4.381e-21 0.0 -61.28 0.0
S00068 307.4977 64.255 3.297e-22 7.245e-22 2.602e-21 0.0 -62.01 0.0
S00069 307.4721 64.2197 2.665e-23 7.054e-23 3.756e-22 0.0 -61.51 0.0
S00070 307.4623 64.2825 1.196e-13 8.094e-14 2.730e-14 0.0 -62.37 0.0
