Name Equatorial Polar PeakFlux(W)
SNe1 287.90 38.96 4.617e-06
SNe2 246.32 146.93 2.795e-07
SNe3 281.16 37.25 2.865e-06
SNe4 183.37 112.56 5.846e-07
SNe5 239.06 146.68 2.916e-07
SNe6 344.47 59.66 1.890e-07
SNe7 244.95 141.15 2.719e-07
SNe8 187.51 112.12 6.248e-07
SNe9 238.71 67.59 2.875e-05
SNe10 203.06 129.55 5.929e-05
SNe11 292.73 45.04 3.056e-06
SNe12 124.35 55.88 1.920e-07
SNe13 285.12 36.04 3.361e-06
SNe14 153.56 142.14 1.694e-09
SNe15 275.20 40.43 3.089e-06
SNe16 315.99 108.29 1.328e-05
SNe17 250.48 160.28 5.439e-05
SNe18 153.35 142.15 1.710e-09
SNe19 287.88 38.95 4.584e-06
SNe20 343.73 58.98 1.961e-07
SNe21 346.22 59.34 1.853e-07
SNe22 343.89 59.01 1.721e-07
SNe23 273.27 53.79 3.096e-06
SNe24 122.08 55.88 1.942e-07
SNe25 153.49 142.16 1.669e-09
SNe26 124.37 55.90 1.897e-07
SNe27 259.85 29.77 2.825e-06
SNe28 268.03 132.43 2.154e-05
SNe29 273.44 55.76 2.453e-06
SNe30 343.51 61.46 1.802e-07
SNe31 184.54 116.82 6.248e-07
SNe32 192.46 112.73 6.704e-07
SNe33 124.38 55.91 1.950e-07
SNe34 38.68 67.77 4.746e-09
SNe35 109.88 25.15 7.432e-09
SNe36 123.10 56.00 1.872e-07
SNe37 277.93 29.07 2.392e-06
SNe38 242.49 143.71 2.539e-07
SNe39 273.44 42.47 4.866e-06
SNe40 244.96 141.15 2.611e-07
SNe41 188.58 116.77 6.986e-07
SNe42 126.31 55.33 1.882e-07
SNe43 259.85 29.79 2.819e-06
SNe44 183.40 112.57 5.794e-07
SNe45 313.89 129.35 2.208e-05
SNe46 327.74 122.82 2.505e-06
SNe47 244.96 141.14 2.700e-07
SNe48 38.72 67.78 4.757e-09
SNe49 292.72 45.03 3.111e-06
SNe50 187.48 112.12 6.156e-07
SNe51 281.17 37.25 2.860e-06
SNe52 273.44 55.75 2.453e-06
SNe53 122.08 55.88 1.978e-07
SNe54 257.06 37.19 2.772e-06
SNe55 122.80 55.81 1.831e-07
