Name Equatorial Polar BlueF GreenF RedF Parallax RadialVelocity Variable?
S00001 22.2719 29.6529 5.748e-21 1.103e-20 3.004e-20 0.0 -50.09 0.0
S00002 22.3749 29.5 9.823e-21 1.865e-20 5.072e-20 0.0 -49.1 0.0
S00003 22.2216 29.6649 1.134e-16 1.037e-16 6.251e-17 0.0 -49.87 0.0
S00004 22.2442 29.6042 2.059e-18 2.563e-18 2.919e-18 0.0 -49.09 0.0
S00005 22.1279 29.5575 4.859e-21 1.063e-20 3.815e-20 0.0 -48.42 0.0
S00006 22.2101 29.6712 5.359e-12 3.974e-12 1.563e-12 0.0 -49.8 0.0
S00007 22.2417 29.6553 1.294e-18 1.666e-18 1.966e-18 0.0 -50.01 0.0
S00008 22.2479 29.6125 8.123e-19 1.118e-18 1.596e-18 0.0 -49.0 0.0
S00009 23.3713 29.6615 1.156e-20 8.071e-21 2.812e-21 0.0 -50.24 0.0
S00010 22.1464 29.7603 4.006e-19 5.677e-19 8.612e-19 0.0 -50.05 0.0
S00011 22.2138 29.6111 4.775e-22 1.226e-21 6.460e-21 0.0 -48.89 0.0
S00012 22.5763 29.5696 2.413e-18 2.888e-18 3.041e-18 0.0 -49.78 0.0
S00013 22.0265 29.5558 2.584e-23 7.926e-23 5.958e-22 0.0 -48.49 0.0
S00014 21.9005 29.6608 8.887e-21 1.816e-20 5.660e-20 0.0 -48.96 0.0
S00015 22.2001 29.5258 1.039e-20 7.184e-21 2.568e-21 0.001 -48.83 0.0
S00016 22.1486 29.6372 8.595e-19 1.176e-18 1.612e-18 0.0 -48.87 0.0
S00017 22.241 29.7214 2.466e-21 5.775e-21 2.567e-20 0.0 -50.25 0.0
S00018 22.3061 29.597 9.641e-21 6.873e-21 2.556e-21 0.0 -49.33 0.0
S00019 22.2108 29.6451 3.297e-20 6.202e-20 1.588e-19 0.0 -49.13 0.0
S00020 22.2005 29.6572 1.341e-20 9.261e-21 3.104e-21 0.0 -49.47 0.0
S00021 21.9754 29.7012 2.309e-20 4.260e-20 1.098e-19 0.0 -49.12 0.0
S00022 22.1312 29.6332 2.731e-21 5.968e-21 2.207e-20 0.0 -48.81 0.0
S00023 22.0819 29.6684 3.241e-22 7.920e-22 3.775e-21 0.0 -49.04 0.0
S00024 22.2483 29.6551 4.695e-23 1.472e-22 1.155e-21 0.0 -50.09 0.0
S00025 22.4545 29.7679 1.248e-18 1.561e-18 1.768e-18 0.0 -50.56 0.0
S00026 22.2018 29.6391 7.978e-22 2.172e-21 1.277e-20 0.0 -48.85 0.0
S00027 22.7315 29.5695 2.353e-16 2.079e-16 1.181e-16 0.0 -49.93 0.0
S00028 22.078 29.6178 4.143e-22 1.030e-21 4.867e-21 0.0 -48.46 0.0
S00029 22.3227 29.6294 2.021e-18 2.538e-18 2.832e-18 0.0 -49.76 0.0
S00030 22.1182 29.6992 8.877e-20 1.520e-19 3.233e-19 0.0 -49.5 1.0
S00031 22.4469 29.7579 2.454e-22 6.487e-22 3.578e-21 0.0 -50.33 0.0
S00032 22.3119 29.6513 2.419e-16 3.892e-16 7.813e-16 0.0 -50.2 0.0
S00033 22.2317 29.6558 1.631e-21 3.624e-21 1.357e-20 0.0 -49.97 0.0
S00034 22.152 29.673 4.147e-20 7.684e-20 2.050e-19 0.0 -49.35 0.0
S00035 21.6519 29.6297 6.847e-19 9.235e-19 1.242e-18 0.0 -48.56 0.0
S00036 22.1053 29.8533 1.994e-21 4.381e-21 1.627e-20 0.0 -49.86 0.0
S00037 22.6245 29.7003 3.096e-21 6.488e-21 2.190e-20 0.0 -50.33 0.0
S00038 22.2319 29.6408 6.483e-18 7.460e-18 7.327e-18 0.0 -49.88 0.0
S00039 22.0452 29.6506 7.119e-20 1.224e-19 2.638e-19 0.0 -48.76 0.0
S00040 22.1538 29.5825 1.455e-20 2.914e-20 8.771e-20 0.0 -48.51 0.0
S00041 22.204 29.6528 6.576e-21 1.331e-20 3.954e-20 0.0 -49.59 0.0
S00042 21.726 29.5755 1.366e-22 3.723e-22 2.175e-21 0.0 -48.47 0.0
S00043 22.0876 29.7808 4.035e-19 5.394e-19 6.808e-19 0.0 -49.68 0.0
S00044 22.0618 29.6446 1.654e-15 1.458e-15 8.203e-16 0.0 -48.81 0.0
S00045 22.3108 29.6491 3.472e-19 4.910e-19 7.241e-19 0.0 -49.99 0.0
S00046 22.6473 29.5715 1.502e-17 1.602e-17 1.325e-17 0.0 -50.0 0.0
S00047 22.1755 29.6259 1.468e-23 5.634e-23 6.969e-22 0.0 -48.77 0.0
S00048 22.4421 29.4548 3.052e-20 5.493e-20 1.338e-19 0.0 -49.15 0.0
S00049 22.4309 29.5234 3.445e-22 9.175e-22 5.035e-21 0.0 -49.33 0.0
S00050 22.1652 29.635 1.040e-21 2.503e-21 1.144e-20 0.0 -48.84 0.0
S00051 22.0993 29.7116 1.039e-22 2.802e-22 1.604e-21 0.0 -49.45 0.0
S00052 22.2267 29.6317 5.635e-17 5.265e-17 3.385e-17 0.0 -49.07 1.0
S00053 22.2306 29.7749 4.488e-22 1.035e-21 4.135e-21 0.0 -50.23 0.0
S00054 22.0796 29.583 1.248e-20 2.442e-20 6.907e-20 0.0 -48.44 0.0
S00055 22.2499 29.664 8.522e-20 1.392e-19 2.756e-19 0.0 -50.15 0.0
S00056 22.2974 29.7011 1.066e-19 1.548e-19 2.472e-19 0.0 -50.31 0.0
S00057 22.1305 29.6723 2.380e-20 4.364e-20 1.139e-19 0.0 -49.33 0.0
S00058 22.3612 29.6619 6.660e-19 7.985e-19 8.219e-19 0.0 -50.28 0.0
S00059 22.4218 29.9134 3.055e-18 3.711e-18 3.876e-18 0.0 -50.58 0.0
S00060 22.3819 29.6184 1.621e-20 2.922e-20 7.239e-20 0.0 -49.74 0.0
S00061 22.3886 29.6773 6.438e-22 1.582e-21 7.078e-21 0.0 -50.24 0.0
S00062 22.1976 29.6031 9.428e-19 1.296e-18 1.798e-18 0.0 -48.7 0.0
S00063 22.3111 29.6292 8.586e-21 6.109e-21 2.261e-21 0.0 -49.59 0.0
S00064 22.2199 29.6404 3.297e-12 2.973e-12 1.716e-12 0.0 -48.67 1.0
S00065 21.9227 29.587 7.952e-19 1.066e-18 1.354e-18 0.0 -48.51 0.0
S00066 22.1981 29.6681 1.515e-21 3.283e-21 1.165e-20 0.0 -49.71 0.0
S00067 22.3296 29.6598 7.017e-18 7.980e-18 7.534e-18 0.0 -50.18 0.0
S00068 22.3482 29.5069 6.904e-22 1.640e-21 7.229e-21 0.0 -49.08 0.0
S00069 22.1357 29.294 1.216e-20 8.277e-21 2.858e-21 0.0 -48.61 0.0
S00070 22.1996 29.6692 1.049e-17 1.096e-17 8.589e-18 0.0 -49.74 0.0
S00071 22.259 29.6454 1.411e-20 2.691e-20 7.161e-20 0.0 -50.09 0.0
S00072 22.231 29.6378 1.068e-17 1.090e-17 8.336e-18 0.0 -49.1 0.0
S00073 22.2156 29.6372 2.917e-21 6.155e-21 2.091e-20 0.0 -48.77 0.0
S00074 22.0824 29.7561 7.215e-22 1.787e-21 8.476e-21 0.0 -49.69 0.0
S00075 22.2286 29.6396 4.347e-20 7.484e-20 1.701e-19 0.0 -49.41 0.0
S00076 22.2768 29.6494 4.997e-20 8.639e-20 1.957e-19 0.001 -50.04 0.0
S00077 22.2208 29.6213 5.874e-21 1.204e-20 3.837e-20 0.0 -48.89 0.0
S00078 22.3364 29.763 2.250e-20 4.175e-20 1.073e-19 0.0 -50.24 0.0
S00079 21.9891 29.2548 4.214e-21 9.271e-21 3.528e-20 0.0 -48.47 0.0
S00080 22.2661 29.6921 5.658e-23 1.722e-22 1.209e-21 0.0 -50.15 0.0
S00081 22.1688 29.6456 6.286e-21 1.252e-20 3.717e-20 0.001 -49.09 0.0
S00082 22.2805 29.6425 1.645e-16 1.325e-16 6.417e-17 0.0 -49.99 0.0
S00083 22.2468 29.643 1.519e-22 4.402e-22 2.922e-21 0.0 -49.84 0.0
S00084 22.2013 29.6739 3.593e-21 6.636e-21 1.749e-20 0.0 -49.8 0.0
S00085 22.3041 29.6944 2.380e-19 3.576e-19 5.983e-19 0.0 -50.41 0.0
S00086 22.2536 29.8609 2.721e-19 3.917e-19 5.955e-19 0.0 -50.3 0.0
S00087 22.286 29.4467 1.653e-21 3.589e-21 1.256e-20 0.0 -48.68 0.0
S00088 22.2616 29.6055 1.776e-16 1.596e-16 9.007e-17 0.0 -49.17 1.0
S00089 22.3258 29.519 2.231e-22 5.968e-22 3.178e-21 0.0 -48.93 0.0
S00090 22.0249 29.7972 3.685e-18 4.362e-18 4.491e-18 0.0 -49.75 0.0
S00091 22.2684 29.6171 1.692e-20 3.149e-20 7.957e-20 0.0 -49.26 0.0
S00092 21.944 29.5993 4.359e-21 9.098e-21 3.010e-20 0.0 -48.49 0.0
S00093 22.4161 29.6917 8.059e-24 2.841e-23 2.787e-22 0.0 -50.2 0.0
