Name Equatorial Polar PeakFlux(W)
SNe01 281.82 127.44 1.988e-07
SNe02 20.06 90.14 2.385e-07
SNe03 342.21 94.24 1.553e-05
SNe04 50.51 45.93 1.376e-09
SNe05 283.16 127.15 1.856e-07
SNe06 50.51 45.92 1.355e-09
SNe07 281.75 127.49 1.970e-07
SNe08 0.08 81.69 1.746e-05
SNe09 295.40 66.32 2.017e-07
SNe10 169.63 24.26 1.447e-09
SNe11 25.85 27.94 1.569e-06
SNe12 359.34 86.45 1.336e-05
SNe13 342.37 93.70 1.573e-05
SNe14 282.91 127.84 1.785e-07
SNe15 2.81 86.91 6.420e-05
SNe16 50.78 45.87 1.374e-09
SNe17 280.93 127.17 1.946e-07
SNe18 19.14 89.93 2.228e-07
SNe19 350.59 77.52 3.088e-05
SNe20 350.53 77.26 3.069e-05
SNe21 18.95 91.12 2.292e-07
SNe22 50.64 45.87 1.357e-09
SNe23 4.49 113.72 6.994e-05
SNe24 281.69 128.12 1.978e-07
SNe25 50.46 45.67 1.373e-09
SNe26 50.58 45.85 1.356e-09
SNe27 281.00 127.16 1.989e-07
SNe28 351.19 77.51 3.115e-05
SNe29 28.45 93.48 5.136e-05
SNe30 50.51 45.91 1.379e-09
SNe31 4.69 115.87 6.985e-05
SNe32 50.51 45.93 1.361e-09
SNe33 359.62 87.70 1.342e-05
SNe34 294.51 67.17 2.076e-07
SNe35 62.65 90.46 1.904e-07
SNe36 28.27 91.74 5.249e-05
SNe37 29.58 93.38 5.240e-05
SNe38 169.64 24.24 1.451e-09
SNe39 5.50 112.91 7.152e-05
SNe40 4.16 113.08 7.019e-05
SNe41 49.42 78.14 8.904e-05
SNe42 343.28 94.56 1.552e-05
SNe43 50.78 45.91 1.361e-09
SNe44 23.69 67.71 2.389e-05
SNe45 294.50 67.25 2.075e-07
SNe46 342.24 93.89 1.561e-05
SNe47 19.38 91.19 2.384e-07
SNe48 50.47 45.67 1.347e-09
SNe49 281.78 128.18 1.971e-07
