Name Equatorial Polar BlueF GreenF RedF Size RadialVelocity
DG001 55.6160 93.0980 1.796e-15 1.538e-15 4.232e-16 274.5983 415.65
DG002 55.1168 93.9331 5.215e-16 4.661e-16 1.440e-16 132.6189 417.55
DG003 57.0116 93.7700 5.970e-16 3.493e-16 1.774e-16 129.7776 412.12
DG004 57.4833 94.1145 6.374e-16 3.957e-16 1.563e-16 124.6564 427.91
DG005 54.6176 93.1054 6.267e-16 4.829e-16 1.908e-16 202.2506 428.86
DG006 55.8458 92.6052 5.324e-16 3.583e-16 1.991e-16 275.0239 413.44
DG007 53.5600 93.3233 1.196e-15 7.323e-16 3.598e-16 127.164 425.08
DG008 53.9826 92.4882 9.791e-16 6.088e-16 3.123e-16 139.9577 425.05
DG009 56.2666 92.0622 7.650e-16 5.209e-16 2.770e-16 149.6979 414.73
DG010 53.7190 92.2020 7.415e-16 4.771e-16 1.840e-16 119.8612 427.98
DG011 56.3415 93.4904 8.259e-16 7.097e-16 2.538e-16 116.8396 418.04
DG012 56.4854 93.5306 8.321e-16 3.840e-16 2.644e-16 135.537 424.61
DG013 56.0274 94.6349 8.454e-16 6.367e-16 2.784e-16 137.895 420.09
DG014 56.9343 92.3916 5.842e-16 4.604e-16 2.109e-16 163.8724 418.73
DG015 54.9801 93.5087 4.482e-16 3.821e-16 1.990e-16 118.044 425.67
DG016 55.5735 93.4527 7.487e-16 4.743e-16 3.093e-16 135.0711 418.88
DG017 53.3584 93.4908 7.405e-16 5.169e-16 2.675e-16 109.4511 425.95
DG018 56.4161 91.9556 8.515e-16 4.647e-16 2.474e-16 111.5342 421.95
DG019 57.1552 93.4117 5.425e-16 3.897e-16 1.670e-16 183.1155 426.13
DG020 55.8142 91.8535 7.552e-16 4.771e-16 2.622e-16 131.6951 414.12
DG021 55.5063 93.9221 9.041e-16 6.456e-16 3.187e-16 125.8734 420.2
DG022 57.2009 92.3422 4.499e-16 5.511e-16 2.501e-16 103.5581 413.56
DG023 56.1192 92.9913 4.875e-16 2.919e-16 1.883e-16 249.2047 414.77
DG024 54.8879 94.6755 9.383e-16 7.064e-16 2.332e-16 165.5483 424.24
DG025 55.3841 92.2926 8.619e-16 5.149e-16 3.310e-16 133.0021 424.36
DG026 55.6030 93.9163 4.772e-16 4.670e-16 1.825e-16 143.2202 425.07
DG027 55.3243 92.4441 8.577e-16 8.110e-16 2.530e-16 135.4435 428.31
DG028 55.1135 93.7820 5.374e-16 3.583e-16 2.097e-16 226.8276 422.01
DG029 55.3854 93.7944 5.985e-16 3.850e-16 2.207e-16 223.9003 424.43
DG030 54.6851 93.7041 9.740e-16 6.623e-16 3.117e-16 141.3829 419.59
DG031 55.3309 92.2802 4.347e-16 2.733e-16 1.807e-16 162.1063 416.62
DG032 55.4082 93.9375 6.165e-16 3.293e-16 1.807e-16 124.1449 417.97
DG033 53.9214 94.1922 7.278e-16 4.958e-16 2.884e-16 158.2843 413.94
DG034 54.8893 95.1700 7.461e-16 6.707e-16 2.273e-16 111.7244 425.82
DG035 56.1578 93.5929 4.194e-16 4.576e-16 1.406e-16 172.6268 418.52
DG036 54.3045 92.6818 4.792e-16 4.268e-16 2.275e-16 183.7208 426.08
DG037 55.5421 95.2190 6.102e-16 5.883e-16 2.280e-16 109.7466 419.02
DG038 56.3273 93.0677 4.028e-16 4.601e-16 1.358e-16 215.6278 428.12
DG039 55.4400 94.6079 8.590e-16 4.202e-16 3.207e-16 138.2004 428.76
DG040 57.0939 94.5703 9.379e-16 5.042e-16 2.401e-16 148.3013 416.15
DG041 55.0238 93.7878 7.785e-16 5.144e-16 2.794e-16 105.795 412.95
DG042 56.8743 92.3854 5.488e-16 4.576e-16 3.059e-16 105.4225 414.59
DG043 54.7201 92.4456 8.757e-16 7.186e-16 2.511e-16 115.7518 416.08
DG044 53.6971 93.1160 6.885e-16 6.099e-16 2.848e-16 142.5665 429.74
DG045 54.8127 93.7742 8.217e-16 7.125e-16 3.551e-16 125.5218 415.03
DG046 53.2992 92.8922 8.068e-16 5.605e-16 2.562e-16 125.4379 411.54
DG047 54.5240 94.8230 8.704e-16 4.566e-16 2.142e-16 111.9335 419.2
DG048 56.3929 93.1630 8.261e-16 6.254e-16 2.872e-16 150.3027 419.1
DG049 55.3335 94.7821 6.974e-16 6.139e-16 2.200e-16 125.2997 425.18
DG050 55.1189 92.0456 8.251e-16 3.870e-16 2.224e-16 125.6311 418.33
DG051 54.9059 95.2757 9.446e-16 7.174e-16 2.575e-16 134.0634 417.29
DG052 55.8144 93.6326 7.551e-16 4.721e-16 2.424e-16 109.2399 419.94
DG053 300.4429 73.2962 1.443e-15 7.221e-16 4.068e-16 330.569 277.85
DG054 299.9009 73.4392 1.499e-15 1.247e-15 7.077e-16 160.947 278.09
DG055 300.6627 73.3617 1.495e-15 8.585e-16 5.780e-16 185.2589 277.55
DG056 300.1332 73.7740 1.713e-15 1.532e-15 5.492e-16 155.6562 275.74
DG057 300.5191 72.9453 1.670e-15 1.416e-15 5.903e-16 172.6849 277.11
DG058 300.3051 73.1746 1.238e-15 1.032e-15 4.735e-16 169.7486 277.43
DG059 300.9780 73.3232 2.020e-15 1.553e-15 7.516e-16 184.2415 278.01
DG060 293.5255 71.7846 7.799e-16 5.003e-16 2.305e-16 288.4015 603.3
DG061 293.3584 71.7530 2.588e-16 1.775e-16 1.044e-16 77.8715 602.32
DG062 293.2964 71.4902 3.672e-16 1.994e-16 9.725e-17 74.5087 602.54
DG063 293.7667 71.5665 3.489e-16 2.036e-16 1.249e-16 71.0454 606.19
DG064 293.2101 71.6610 3.379e-16 2.348e-16 1.030e-16 84.9004 605.84
DG065 293.7130 72.0217 3.059e-16 2.547e-16 1.228e-16 74.4799 599.99
DG066 293.6247 71.5898 3.429e-16 2.476e-16 1.089e-16 75.5698 598.36
DG067 293.4861 71.7525 2.074e-16 1.232e-16 6.812e-17 94.8803 603.9
DG068 293.4584 71.6358 3.302e-16 2.005e-16 8.872e-17 79.7355 600.13
DG069 293.6948 71.6306 2.005e-16 1.695e-16 8.033e-17 69.7254 602.94
DG070 232.2796 79.4487 4.444e-16 3.371e-16 1.227e-16 254.7626 453.18
DG071 231.9729 79.3372 4.063e-16 2.851e-16 1.673e-16 105.3149 457.65
DG072 232.0175 79.6227 4.939e-16 4.096e-16 1.886e-16 107.5233 456.44
DG073 232.3876 79.4825 4.938e-16 4.259e-16 1.560e-16 86.1686 454.49
DG074 232.5123 79.4300 5.069e-16 4.145e-16 1.683e-16 88.2976 457.06
DG075 232.5648 79.1453 5.646e-16 3.822e-16 2.481e-16 123.9411 455.81
DG076 231.9600 79.4837 8.210e-16 5.482e-16 1.799e-16 101.6156 454.5
DG077 232.4461 79.5884 5.018e-16 4.713e-16 1.853e-16 119.6124 453.39
DG078 310.4329 36.4506 1.495e-16 1.210e-16 3.895e-17 62.523 833.65
DG079 152.7508 146.1911 4.730e-16 3.327e-16 2.213e-16 175.1143 397.56
DG080 152.5370 146.3180 8.199e-16 4.548e-16 1.927e-16 122.4152 399.17
DG081 152.4251 146.2318 1.000e-15 6.813e-16 4.172e-16 114.1956 398.68
DG082 152.9196 146.1114 7.213e-16 4.858e-16 2.430e-16 111.6803 397.37
DG083 152.6372 146.2196 6.235e-16 4.907e-16 3.211e-16 124.0231 397.72
DG084 127.3036 114.9691 9.986e-16 7.930e-16 3.327e-16 140.4897 343.48
DG085 127.2625 115.0896 1.101e-15 6.275e-16 3.652e-16 122.7237 344.05
DG086 21.8864 98.4217 1.531e-16 1.245e-16 6.046e-17 72.7512 726.62
DG087 276.2103 91.4451 8.304e-16 8.460e-16 2.613e-16 187.8095 536.77
DG088 276.5846 91.6661 3.888e-16 3.073e-16 1.000e-16 87.032 534.21
DG089 276.3291 91.4479 2.228e-16 2.528e-16 9.596e-17 111.0229 536.03
DG090 276.4858 91.2043 4.238e-16 2.376e-16 1.075e-16 80.9623 530.66
DG091 275.8870 91.6468 3.973e-16 3.472e-16 1.529e-16 94.6956 533.25
DG092 275.9135 91.3054 3.444e-16 3.271e-16 1.455e-16 82.9157 533.39
DG093 276.2329 91.7411 3.179e-16 2.705e-16 1.506e-16 98.2983 534.69
DG094 276.2174 91.6210 4.835e-16 4.003e-16 1.644e-16 76.3818 532.1
DG095 276.0207 91.5511 3.585e-16 3.672e-16 1.110e-16 86.7011 535.26
DG096 276.0934 91.1415 4.065e-16 3.372e-16 1.120e-16 81.6472 534.29
DG097 276.6417 91.3137 4.257e-16 2.966e-16 1.555e-16 68.7277 535.05
DG098 276.0741 91.8265 3.246e-16 3.058e-16 1.360e-16 78.9449 535.24
DG099 52.9584 74.8157 3.152e-16 3.397e-16 1.460e-16 160.7019 448.39
DG100 53.0785 74.6612 4.541e-16 2.521e-16 1.543e-16 83.0145 448.71
DG101 52.7000 74.8418 3.723e-16 3.955e-16 1.400e-16 78.4689 450.91
DG102 52.7918 74.7998 5.835e-16 2.600e-16 1.847e-16 89.8293 449.5
DG103 52.7721 74.6222 5.117e-16 3.076e-16 1.801e-16 105.1965 451.35
DG104 52.8880 74.7358 3.846e-16 3.149e-16 1.761e-16 98.8761 449.81
DG105 350.8494 147.0294 2.133e-15 1.476e-15 6.842e-16 189.3676 301.01
DG106 350.6462 146.9941 1.583e-15 1.263e-15 5.001e-16 173.8299 301.69
DG107 198.9929 150.1880 3.672e-16 3.293e-16 1.430e-16 189.0593 465.66
DG108 199.2244 150.0662 4.919e-16 3.879e-16 1.986e-16 99.177 465.12
DG109 199.2288 149.9251 4.209e-16 3.508e-16 1.707e-16 125.3184 464.59
DG110 199.4160 150.3002 4.604e-16 2.749e-16 1.485e-16 125.0898 464.97
DG111 198.4106 150.2344 6.031e-16 4.283e-16 2.123e-16 125.1915 465.01
DG112 199.2846 150.1206 4.953e-16 3.624e-16 2.062e-16 100.2642 464.62
DG113 173.9850 117.7648 4.450e-15 3.599e-15 1.337e-15 213.5948 269.73
DG114 173.5238 117.5254 1.799e-15 1.298e-15 7.175e-16 164.5161 267.09
DG115 173.3948 118.5642 1.969e-15 1.479e-15 6.357e-16 198.0748 266.53
DG116 173.8559 117.0292 1.866e-15 1.254e-15 6.728e-16 196.2068 265.1
DG117 174.8704 118.4289 1.924e-15 1.027e-15 6.413e-16 190.4041 271.4
DG118 174.0998 117.8278 1.211e-15 1.183e-15 5.718e-16 323.9322 266.51
DG119 174.2981 117.9776 1.320e-15 1.117e-15 4.711e-16 188.789 270.8
DG120 173.3944 117.7882 1.949e-15 1.422e-15 6.696e-16 162.9693 266.07
DG121 173.6276 117.7858 1.768e-15 1.339e-15 4.922e-16 160.3135 268.44
DG122 173.9483 117.8305 1.432e-15 1.273e-15 5.198e-16 181.3343 268.79
DG123 174.1821 118.5865 1.841e-15 1.186e-15 5.425e-16 186.2818 266.93
DG124 174.0270 117.6414 1.905e-15 1.112e-15 7.331e-16 194.3925 272.67
DG125 173.7498 116.9855 1.869e-15 1.528e-15 5.199e-16 169.3437 265.93
DG126 173.9096 117.4135 1.550e-15 1.111e-15 6.367e-16 161.2257 265.9
DG127 174.7868 118.0900 1.339e-15 1.890e-15 5.405e-16 192.9568 264.41
DG128 173.1995 117.2265 1.922e-15 1.245e-15 4.661e-16 158.836 264.86
DG129 174.5182 117.0735 1.353e-15 1.196e-15 6.298e-16 185.1085 273.04
DG130 52.9194 145.7926 2.925e-16 1.876e-16 1.061e-16 99.5262 498.31
DG131 203.6445 75.0867 2.578e-16 1.675e-16 7.131e-17 60.2575 690.11
DG132 203.6645 75.0934 2.548e-16 1.634e-16 7.720e-17 90.7152 687.54
DG133 203.7510 75.1508 2.359e-16 1.488e-16 7.241e-17 66.7577 688.21
DG134 203.8617 75.1298 2.324e-16 2.221e-16 5.418e-17 55.5141 689.87
DG135 0.1923 68.6111 6.033e-17 6.418e-17 2.847e-17 50.4152 996.32
DG136 140.3790 66.9809 3.938e-16 2.174e-16 1.015e-16 75.9775 518.11
DG137 140.3490 66.9795 4.322e-16 2.403e-16 1.239e-16 81.1135 517.87
DG138 140.4086 67.1403 3.737e-16 2.788e-16 1.271e-16 79.5631 517.34
DG139 199.0854 63.5983 2.521e-16 1.904e-16 5.096e-17 117.8159 1102.22
DG140 199.1348 63.3365 6.516e-17 5.111e-17 2.621e-17 62.9949 1109.71
DG141 199.2943 63.3694 9.115e-17 7.581e-17 3.298e-17 46.4369 1110.17
DG142 198.9919 63.9159 1.039e-16 9.381e-17 3.976e-17 47.1874 1105.18
DG143 199.0182 63.8635 7.862e-17 5.203e-17 3.550e-17 83.954 1111.69
DG144 198.8153 63.6028 1.337e-16 1.009e-16 4.561e-17 43.6954 1112.61
DG145 198.6694 63.5021 1.669e-16 9.312e-17 4.627e-17 46.9349 1103.56
DG146 198.7295 63.3675 1.176e-16 7.544e-17 3.839e-17 51.8938 1105.21
DG147 199.1380 63.2250 1.119e-16 8.641e-17 3.648e-17 44.3996 1111.58
DG148 198.9508 63.4143 1.573e-16 7.954e-17 3.753e-17 54.0836 1102.45
DG149 199.1666 63.7624 9.771e-17 7.496e-17 2.739e-17 87.3734 1105.62
DG150 198.9119 63.6269 1.073e-16 7.709e-17 4.050e-17 47.2054 1103.99
DG151 199.2764 63.2579 1.158e-16 1.079e-16 3.338e-17 45.8142 1102.96
DG152 199.2876 64.0711 1.468e-16 1.050e-16 5.157e-17 52.2621 1109.87
DG153 199.5117 63.7645 9.080e-17 7.129e-17 3.104e-17 46.4837 1102.75
DG154 198.8563 63.6667 9.393e-17 7.111e-17 2.825e-17 91.5246 1106.9
DG155 198.9427 63.5176 7.483e-17 6.158e-17 2.525e-17 96.5246 1111.67
DG156 199.2648 63.8293 9.954e-17 9.299e-17 4.592e-17 54.5771 1109.76
DG157 199.0970 63.4892 1.079e-16 1.043e-16 4.861e-17 43.619 1109.74
DG158 199.3196 63.5467 6.092e-17 6.562e-17 2.545e-17 81.236 1103.68
DG159 199.4246 63.8084 1.091e-16 8.621e-17 3.342e-17 55.8003 1101.29
DG160 198.5380 63.5043 1.070e-16 8.418e-17 3.676e-17 37.6922 1111.19
DG161 198.8766 63.9584 6.432e-17 5.286e-17 2.867e-17 58.15 1111.51
DG162 199.5172 63.5513 8.154e-17 6.751e-17 3.023e-17 56.5533 1111.01
DG163 199.3658 63.5681 1.187e-16 8.593e-17 2.976e-17 46.9095 1110.31
DG164 199.1387 63.2906 7.131e-17 7.902e-17 2.672e-17 65.8418 1110.0
DG165 297.1475 83.2667 6.834e-17 5.620e-17 2.750e-17 76.9929 1120.68
DG166 297.1788 83.3323 1.038e-16 9.207e-17 3.984e-17 48.5219 1119.23
DG167 297.1810 83.3522 9.315e-17 8.308e-17 4.472e-17 46.6299 1120.47
DG168 297.1442 83.1594 8.728e-17 8.232e-17 3.732e-17 44.7194 1124.87
DG169 297.2521 83.3050 9.364e-17 7.660e-17 3.162e-17 42.0733 1121.12
DG170 297.1399 83.1842 1.106e-16 6.935e-17 3.913e-17 50.2575 1120.16
DG171 297.1924 83.1789 9.346e-17 6.383e-17 3.739e-17 41.4723 1119.04
DG172 297.0851 83.2379 1.240e-16 9.453e-17 3.113e-17 44.7089 1120.2
