Name Equatorial Polar Luminosity
RS0001 54.10 50.13 5.961e-10
RS0002 53.86 50.04 7.152e-10
RS0003 351.97 53.58 3.994e-09
RS0004 346.32 49.68 9.338e-11
RS0005 357.59 49.84 3.580e-10
RS0006 344.92 53.67 8.149e-10
RS0007 1.59 54.48 3.849e-10
RS0008 357.09 53.92 5.321e-10
RS0009 350.09 56.36 1.296e-09
RS0010 358.96 52.62 7.650e-10
RS0011 353.81 48.65 9.694e-10
RS0012 355.15 58.19 8.710e-10
RS0013 352.51 54.16 1.374e-09
RS0014 353.34 51.37 6.531e-10
RS0015 0.39 56.37 1.492e-09
RS0016 352.82 52.53 6.591e-10
RS0017 357.40 52.98 4.601e-09
RS0018 356.83 51.32 1.684e-09
RS0019 350.01 50.68 9.097e-10
RS0020 351.19 47.01 2.752e-10
RS0021 352.14 54.48 1.098e-09
RS0022 358.76 53.96 8.546e-10
RS0023 348.39 59.38 3.915e-10
RS0024 355.79 48.42 6.877e-11
RS0025 347.70 52.61 7.468e-10
RS0026 36.76 123.20 1.534e-09
RS0027 36.59 126.55 1.488e-09
RS0028 37.23 120.99 6.894e-10
RS0029 36.66 121.30 9.572e-11
RS0030 39.73 121.93 4.261e-10
RS0031 37.83 124.71 2.421e-10
RS0032 37.55 124.35 7.276e-10
RS0033 36.74 123.75 2.238e-10
RS0034 35.87 122.13 4.409e-10
RS0035 172.51 61.02 7.934e-11
RS0036 172.91 61.44 4.573e-10
RS0037 172.14 61.55 4.853e-11
RS0038 279.70 94.84 3.613e-10
RS0039 43.88 129.08 1.482e-08
RS0040 36.50 130.63 7.828e-10
RS0041 45.16 135.34 1.463e-09
RS0042 35.62 124.57 4.995e-10
RS0043 46.89 135.61 1.434e-09
RS0044 53.76 127.74 2.664e-09
RS0045 42.17 121.59 2.846e-09
RS0046 45.99 123.61 2.353e-10
RS0047 38.83 126.69 1.825e-09
RS0048 45.55 137.35 7.329e-10
RS0049 46.22 128.10 3.448e-10
RS0050 38.28 125.92 3.117e-10
RS0051 42.86 134.03 3.835e-09
RS0052 41.10 123.25 3.208e-10
RS0053 44.34 123.08 1.358e-09
RS0054 35.09 129.21 5.431e-10
RS0055 46.72 123.36 9.332e-10
RS0056 39.68 134.33 1.322e-09
RS0057 43.11 132.60 1.712e-09
RS0058 303.32 71.44 1.466e-09
RS0059 305.76 72.68 3.200e-10
RS0060 302.99 72.38 8.198e-10
RS0061 301.93 71.24 1.196e-10
RS0062 302.61 71.60 1.538e-10
RS0063 303.91 72.10 4.302e-10
RS0064 304.38 74.10 1.048e-10
RS0065 304.29 73.07 6.150e-11
RS0066 304.03 70.09 6.029e-11
RS0067 304.69 72.35 4.702e-10
RS0068 187.40 124.92 1.557e-09
RS0069 188.33 127.20 1.586e-09
RS0070 191.12 127.42 1.233e-10
RS0071 184.13 123.64 7.130e-11
RS0072 191.83 124.35 1.889e-10
RS0073 191.34 122.94 4.003e-10
RS0074 186.24 123.88 1.730e-10
RS0075 192.42 126.69 3.018e-10
RS0076 182.11 123.75 3.686e-10
RS0077 184.03 126.45 6.079e-10
RS0078 189.29 124.58 7.627e-10
RS0079 184.77 122.60 9.311e-10
RS0080 191.14 124.61 6.028e-10
RS0081 187.40 125.60 4.670e-10
RS0082 185.68 124.16 7.064e-11
RS0083 80.79 88.12 1.698e-10
RS0084 134.29 91.33 1.105e-09
RS0085 132.56 91.54 6.167e-10
RS0086 133.07 90.51 2.487e-10
RS0087 114.71 102.69 1.515e-09
RS0088 113.76 101.98 6.734e-11
RS0089 114.22 100.73 7.040e-11
RS0090 117.01 101.40 5.241e-11
RS0091 113.03 102.26 4.133e-10
RS0092 114.23 100.03 7.969e-11
RS0093 114.31 105.06 4.289e-10
RS0094 115.44 102.31 5.636e-11
RS0095 116.35 100.75 6.682e-10
RS0096 116.08 101.75 3.307e-10
RS0097 23.49 135.82 2.734e-09
RS0098 25.84 136.03 9.298e-11
RS0099 23.53 137.11 2.063e-10
RS0100 24.80 137.75 1.196e-10
RS0101 22.15 135.84 7.388e-11
RS0102 25.35 136.22 4.554e-11
RS0103 23.77 137.09 4.156e-10
RS0104 159.31 116.47 1.418e-09
RS0105 159.11 117.36 7.083e-10
RS0106 158.67 117.27 1.537e-10
