Equatorial Polar PeakFlux(W)
243.79 76.32 2.549e-09
249.03 58.92 1.253e-09
177.02 42.52 7.422e-09
247.68 152.41 3.775e-08
316.37 93.45 5.328e-09
114.67 11.72 4.207e-09
243.87 76.49 2.571e-09
172.51 124.14 1.698e-08
160.12 154.72 7.674e-09
174.61 29.56 4.517e-08
202.58 88.90 5.711e-09
203.04 100.69 1.934e-09
10.65 101.18 8.777e-08
105.24 55.57 2.015e-07
310.22 92.93 8.586e-10
152.08 73.20 2.431e-07
276.25 143.67 1.698e-09
285.02 57.42 3.554e-09
96.90 138.54 1.245e-08
232.05 96.96 6.864e-08
308.45 78.36 5.807e-09
250.20 101.53 3.425e-05
173.32 77.83 1.052e-09
301.51 63.86 8.200e-08
358.11 42.89 2.137e-09
55.66 74.58 2.140e-09
21.29 52.26 3.004e-07
264.61 160.36 1.902e-07
191.78 69.19 4.140e-05
213.14 40.67 2.724e-09
308.49 79.10 6.034e-09
172.87 123.50 1.767e-08
149.03 52.50 5.660e-08
68.46 135.60 6.784e-09
2.22 88.91 1.063e-08
328.02 60.94 2.387e-08
121.95 102.76 1.749e-07
134.41 154.81 8.914e-07
73.91 39.58 6.603e-09
2.63 97.39 3.633e-07
134.20 96.56 4.908e-07
173.00 122.96 1.674e-08
26.54 157.87 5.311e-09
358.47 42.86 2.081e-09
319.45 72.70 3.254e-09
200.70 165.03 4.105e-09
222.84 77.98 3.344e-08
21.32 33.36 1.481e-09
34.04 97.32 3.421e-09
93.83 55.43 3.924e-08
200.71 165.05 4.062e-09
234.46 19.34 9.464e-10
346.62 9.95 4.246e-07
277.45 143.40 1.768e-09
358.51 42.73 2.048e-09
