Name Equatorial Polar BlueF GreenF RedF Size RadialVelocity
DG01 322.1357 132.1641 1.083e-15 8.946e-16 3.814e-16 277.7723 162.56
DG02 321.6809 132.5391 6.280e-16 3.254e-16 1.278e-16 91.7104 162.11
DG03 322.1525 132.0402 6.096e-16 4.562e-16 1.211e-16 85.6676 161.67
DG04 321.8395 132.2201 6.552e-16 3.789e-16 1.868e-16 104.1503 161.52
DG05 322.1572 131.6248 6.585e-16 4.706e-16 1.681e-16 106.0156 161.95
DG06 321.7347 131.7701 4.276e-16 3.873e-16 1.724e-16 116.5732 162.7
DG07 321.8584 131.7383 4.199e-16 4.392e-16 2.247e-16 129.4363 162.63
DG08 322.4284 132.4767 5.214e-16 4.124e-16 2.008e-16 106.0961 161.7
DG09 322.1145 131.6781 6.310e-16 4.835e-16 2.246e-16 104.01 162.49
DG10 321.8717 132.3487 5.066e-16 3.353e-16 1.648e-16 89.8765 162.95
DG11 322.1958 132.6002 3.333e-16 2.791e-16 1.268e-16 88.4692 162.71
DG12 322.6534 132.2155 4.268e-16 2.819e-16 1.732e-16 92.8423 162.14
DG13 322.4396 132.4274 6.565e-16 6.932e-16 2.126e-16 108.1744 162.86
DG14 113.2022 85.3265 8.628e-17 5.100e-17 2.531e-17 56.4235 342.41
DG15 227.6668 63.0674 1.974e-16 1.733e-16 5.617e-17 139.0516 220.89
DG16 227.6087 63.2945 2.301e-16 1.884e-16 7.682e-17 66.1049 219.45
DG17 227.4050 63.0101 2.230e-16 2.149e-16 1.091e-16 84.0997 220.66
DG18 227.6616 63.0443 2.435e-16 2.034e-16 8.790e-17 60.8661 220.21
DG19 227.5599 63.1920 2.438e-16 1.949e-16 7.743e-17 86.917 220.85
DG20 227.6014 63.1598 2.232e-16 1.671e-16 6.733e-17 70.862 219.78
DG21 227.8845 62.9144 2.591e-16 1.847e-16 1.025e-16 78.76 220.43
