Name Equatorial Polar BlueF GreenF RedF Parallax RadialVelocity
S00001 319.7987 123.9418 1.624e-21 3.249e-21 1.012e-20 0.0 21.03
S00002 319.7784 123.973 3.874e-17 6.508e-17 1.407e-16 0.0 20.9
S00003 319.8387 123.9783 1.109e-21 2.252e-21 6.845e-21 0.0 20.26
S00004 319.7894 123.9604 2.128e-23 6.320e-23 4.402e-22 0.0 21.02
S00005 319.8076 123.9752 5.187e-18 5.424e-18 4.247e-18 0.0 20.88
S00006 319.8067 123.9926 1.692e-19 2.321e-19 3.230e-19 0.0 20.47
S00007 319.8754 124.0587 1.535e-18 1.797e-18 1.779e-18 0.0 19.87
S00008 319.7816 123.9991 5.045e-20 7.783e-20 1.413e-19 0.0 20.52
S00009 319.7929 123.9819 3.242e-16 2.990e-16 1.840e-16 0.0 20.63
S00010 319.8456 124.0067 3.838e-21 8.008e-21 2.687e-20 0.0 19.83
S00011 319.8104 123.9731 3.321e-24 1.175e-23 1.193e-22 0.0 20.99
S00012 319.8071 124.0896 2.476e-18 2.392e-18 1.617e-18 0.0 20.19
S00013 319.8085 124.0075 3.651e-21 2.540e-21 8.561e-22 0.0 20.28
S00014 319.8214 123.9579 2.696e-21 5.370e-21 1.642e-20 0.0 20.76
S00015 319.8359 123.9727 6.652e-17 5.410e-17 2.646e-17 0.0 20.41
S00016 319.7741 123.8928 1.795e-18 2.043e-18 1.943e-18 0.0 20.95
S00017 319.8036 123.9715 7.129e-21 1.305e-20 3.316e-20 0.0 20.85
S00018 319.8318 123.9822 3.801e-22 9.152e-22 4.216e-21 0.0 20.13
S00019 319.8114 123.9803 4.714e-23 1.182e-22 5.633e-22 0.0 20.78
S00020 319.9046 123.9814 6.347e-22 1.502e-21 6.623e-21 0.0 20.21
S00021 319.7477 123.8929 3.413e-13 2.356e-13 8.043e-14 0.0 21.01
S00022 319.8712 123.9784 1.018e-21 2.039e-21 6.183e-21 0.0 20.23
S00023 319.8329 123.999 1.646e-21 3.657e-21 1.329e-20 0.0 20.08
S00024 319.824 123.9942 2.810e-22 7.425e-22 4.041e-21 0.0 19.92
S00025 319.8573 124.0105 1.647e-22 3.582e-22 1.305e-21 0.0 19.85
S00026 319.8227 123.9728 5.329e-24 1.729e-23 1.420e-22 0.0 20.73
S00027 319.8116 123.9824 4.640e-22 9.232e-22 2.840e-21 0.0 20.95
S00028 319.8228 123.9927 3.639e-18 3.752e-18 2.810e-18 0.0 19.92
S00029 319.8394 123.9849 4.267e-19 5.118e-19 5.477e-19 0.0 20.12
S00030 319.8292 123.9878 5.687e-23 1.758e-22 1.345e-21 0.0 19.87
S00031 319.8002 123.9869 5.462e-22 1.248e-21 5.007e-21 0.0 20.58
S00032 319.8178 123.983 9.525e-23 2.745e-22 1.811e-21 0.0 21.27
S00033 319.8626 124.0269 4.092e-19 5.142e-19 5.645e-19 0.0 19.83
S00034 319.8152 123.9632 6.066e-22 1.375e-21 5.457e-21 0.0 20.88
S00035 319.8819 124.0299 2.688e-18 2.899e-18 2.365e-18 0.0 19.83
S00036 319.8162 123.9979 3.985e-20 5.931e-20 9.687e-20 0.0 20.27
S00037 319.9061 124.0462 5.890e-21 1.163e-20 3.347e-20 0.0 19.8
S00038 319.8011 123.9556 2.423e-22 6.350e-22 3.361e-21 0.0 21.03
S00039 319.8251 123.9851 2.241e-20 3.854e-20 8.617e-20 0.0 19.92
S00040 319.7899 124.0212 1.257e-22 2.938e-22 1.264e-21 0.0 20.34
S00041 319.8403 123.9868 2.007e-21 4.466e-21 1.717e-20 0.0 19.99
S00042 319.8311 123.9549 1.015e-19 1.377e-19 1.948e-19 0.0 20.66
S00043 319.8234 123.9601 2.352e-22 5.816e-22 2.692e-21 0.0 20.73
S00044 319.8249 123.9687 1.693e-21 3.574e-21 1.169e-20 0.0 20.64
S00045 319.8579 123.9915 2.464e-24 8.550e-24 8.440e-23 0.0 20.09
S00046 319.7643 123.9611 6.515e-27 4.625e-26 1.938e-24 0.0 20.91
S00047 319.8441 123.981 3.319e-21 2.306e-21 8.082e-22 0.0 20.24
S00048 319.8238 123.9796 2.675e-18 2.970e-18 2.759e-18 0.0 21.17
S00049 319.8851 124.0108 1.176e-24 4.552e-24 5.492e-23 0.0 20.0
S00050 319.8484 123.9498 2.715e-21 5.177e-21 1.453e-20 0.0 20.5
S00051 319.875 123.9953 3.475e-22 8.201e-22 3.547e-21 0.0 20.1
S00052 319.8329 124.0256 1.118e-23 3.560e-23 2.803e-22 0.001 20.1
S00053 319.7812 123.9664 2.509e-21 4.906e-21 1.372e-20 0.0 20.91
S00054 319.832 123.9832 9.679e-23 2.641e-22 1.474e-21 0.0 19.98
S00055 319.9267 124.0436 8.832e-19 1.053e-18 1.117e-18 0.0 19.85
S00056 319.8634 123.9605 2.273e-20 3.715e-20 7.705e-20 0.0 20.36
S00057 319.8383 123.9906 1.259e-24 5.023e-24 6.605e-23 0.0 19.86
S00058 319.819 123.9722 1.879e-19 2.649e-19 3.797e-19 0.0 20.87
S00059 319.8251 123.978 4.048e-21 8.300e-21 2.514e-20 0.0 20.51
S00060 319.8662 123.9057 2.607e-20 4.359e-20 9.120e-20 0.0 20.52
S00061 319.8459 123.9845 8.470e-23 2.351e-22 1.420e-21 0.0 20.14
S00062 319.8287 123.9886 6.080e-21 1.132e-20 2.997e-20 0.0 19.86
S00063 319.7753 123.9648 6.892e-18 6.719e-18 4.567e-18 0.0 20.95
