Equatorial Polar PeakFlux(W)
31.52 109.17 4.575e-07
143.80 140.45 2.357e-07
78.11 98.75 2.012e-07
322.16 132.04 6.349e-09
7.60 124.21 2.681e-07
113.19 85.34 1.572e-09
73.35 103.50 2.180e-07
144.76 141.59 2.345e-07
79.73 103.81 1.806e-07
322.41 132.46 6.327e-09
227.56 63.17 3.077e-09
76.18 105.34 1.734e-07
209.06 96.03 1.855e-05
322.13 132.17 6.287e-09
321.73 131.77 6.284e-09
246.84 94.74 1.265e-05
75.57 105.42 1.884e-07
79.73 103.80 1.778e-07
206.54 63.41 1.231e-05
73.36 103.49 2.146e-07
78.11 98.77 2.028e-07
4.54 124.01 2.913e-07
31.52 109.18 4.606e-07
78.91 105.19 1.747e-07
29.70 105.83 4.510e-07
202.15 103.86 1.095e-04
76.42 106.46 1.926e-07
76.18 103.78 2.076e-07
74.92 98.89 1.913e-07
176.94 19.11 1.015e-04
243.06 108.46 2.611e-05
322.12 131.66 6.179e-09
227.67 63.03 3.117e-09
5.17 123.51 2.570e-07
143.72 142.56 2.211e-07
32.56 112.23 4.509e-07
197.51 85.95 2.608e-05
75.67 102.16 2.192e-07
7.62 124.24 2.687e-07
34.76 110.47 5.104e-07
74.67 107.30 2.112e-07
7.26 123.96 2.654e-07
181.51 117.47 5.651e-05
243.06 108.47 2.693e-05
72.91 102.87 2.240e-07
206.51 63.35 1.200e-05
197.49 85.93 2.587e-05
321.68 132.54 6.269e-09
156.48 69.74 9.564e-05
113.19 85.32 1.569e-09
322.11 131.68 6.186e-09
32.58 112.23 4.511e-07
218.69 76.77 4.166e-05
79.73 103.79 1.769e-07
32.62 105.96 4.769e-07
