Name Equatorial Polar BlueF GreenF RedF Size RadialVelocity
DG01 158.6408 142.6183 1.247e-15 1.020e-15 5.160e-16 377.1557 88.34
DG02 158.3998 142.4116 1.804e-15 1.573e-15 6.073e-16 181.9396 88.87
DG03 158.5580 142.6034 2.161e-15 1.706e-15 7.592e-16 248.3353 89.28
DG04 158.2741 142.7359 2.198e-15 1.357e-15 5.193e-16 198.1031 88.84
DG05 159.0522 142.4916 1.581e-15 1.784e-15 7.622e-16 225.5759 89.1
DG06 158.4577 142.5909 2.396e-15 2.108e-15 1.085e-15 198.2391 89.74
DG07 157.9995 142.2438 1.409e-15 1.268e-15 6.318e-16 177.7975 88.35
DG08 39.2951 30.6378 6.006e-16 4.467e-16 1.185e-16 113.5662 147.86
DG09 39.1628 30.5902 6.317e-16 4.561e-16 2.231e-16 114.22 147.88
DG10 71.1555 26.7975 3.585e-15 2.387e-15 1.195e-15 208.7581 64.89
DG11 71.1653 26.9507 2.665e-15 2.630e-15 9.332e-16 230.4373 64.76
