Equatorial Polar PeakFlux(W)
17.69 75.99 3.904e-07
71.15 26.79 4.038e-08
14.63 69.96 4.922e-07
99.98 67.17 2.094e-07
17.71 75.99 3.888e-07
157.43 93.23 2.076e-07
71.17 26.80 4.075e-08
103.32 68.97 2.218e-07
96.63 83.63 8.806e-05
153.30 100.31 2.031e-05
158.65 142.62 2.421e-08
10.92 82.19 4.797e-07
96.68 63.30 2.424e-07
157.45 93.24 2.100e-07
104.48 67.67 2.161e-07
100.55 64.69 2.702e-07
156.30 93.83 2.169e-07
156.44 93.59 2.003e-07
106.05 136.96 5.573e-05
279.24 75.06 2.917e-07
96.25 66.81 2.030e-07
103.82 63.49 2.166e-07
71.16 26.94 4.122e-08
113.44 90.65 1.247e-06
177.22 89.59 2.409e-05
15.17 75.21 5.046e-07
151.36 100.60 1.422e-05
20.21 71.54 4.233e-07
71.14 26.79 4.061e-08
128.88 74.81 1.189e-05
8.36 76.65 5.320e-07
134.50 72.12 3.232e-05
102.37 65.28 2.149e-07
16.78 74.58 4.718e-07
159.06 142.48 2.393e-08
103.33 68.95 2.191e-07
118.95 71.63 1.619e-05
157.13 94.75 2.117e-07
100.07 65.26 2.306e-07
118.96 71.63 1.594e-05
97.51 64.11 2.792e-07
148.13 77.07 3.834e-05
111.71 111.94 9.349e-05
95.11 68.23 2.277e-07
20.87 69.79 5.839e-07
156.53 94.65 2.057e-07
111.70 111.94 9.389e-05
153.32 100.29 2.020e-05
94.03 64.91 2.381e-07
39.16 30.60 5.937e-09
128.87 74.79 1.177e-05
7.44 76.00 6.353e-07
18.54 77.01 4.778e-07
118.95 71.64 1.590e-05
158.27 142.74 2.417e-08
