Name Equatorial Polar Luminosity
RS0001 289.79 17.85 2.737e-10
RS0002 286.00 95.36 5.858e-09
RS0003 286.20 97.76 1.702e-09
RS0004 285.41 96.34 5.005e-10
RS0005 285.45 95.50 1.485e-09
RS0006 287.18 93.80 2.069e-09
RS0007 287.72 96.59 8.683e-11
RS0008 286.41 96.83 2.257e-09
RS0009 282.06 94.61 2.851e-10
RS0010 285.45 93.31 5.385e-10
RS0011 287.03 93.92 8.269e-10
RS0012 286.43 94.67 5.802e-10
RS0013 249.98 124.79 1.035e-09
RS0014 251.98 123.91 1.593e-09
RS0015 234.40 92.94 1.660e-08
RS0016 223.20 99.35 4.199e-10
RS0017 238.09 93.58 7.499e-09
RS0018 228.80 90.95 9.776e-09
RS0019 229.25 97.78 5.007e-10
RS0020 232.95 96.04 2.016e-08
RS0021 226.36 89.54 1.184e-09
RS0022 229.81 98.66 1.231e-08
RS0023 232.59 99.41 4.585e-09
RS0024 246.65 89.83 8.521e-10
RS0025 232.71 92.83 3.025e-09
RS0026 238.70 96.92 1.437e-09
RS0027 225.45 93.82 1.811e-09
RS0028 225.38 98.75 4.437e-09
RS0029 240.59 99.02 3.730e-10
RS0030 233.48 94.45 2.713e-08
RS0031 243.00 82.60 1.035e-09
RS0032 183.57 129.33 7.226e-09
RS0033 186.42 132.79 1.079e-09
RS0034 185.41 132.17 7.582e-10
RS0035 190.59 126.99 2.662e-09
RS0036 188.25 128.80 2.438e-09
RS0037 184.95 134.43 1.908e-10
RS0038 188.94 131.77 1.189e-09
RS0039 174.63 127.01 3.616e-10
RS0040 179.85 126.96 1.695e-10
RS0041 188.65 125.47 1.342e-09
RS0042 179.77 125.12 9.501e-10
RS0043 188.40 130.21 7.564e-10
RS0044 358.57 116.22 3.195e-10
RS0045 25.70 100.61 5.628e-09
RS0046 27.29 101.41 9.074e-10
RS0047 25.36 102.94 1.839e-09
RS0048 25.23 103.52 3.401e-10
RS0049 26.38 103.61 2.694e-10
RS0050 23.33 102.15 1.056e-09
RS0051 269.13 32.40 2.024e-09
RS0052 271.36 30.73 7.651e-11
RS0053 270.18 31.58 2.399e-10
RS0054 268.97 33.21 6.900e-11
RS0055 266.94 31.87 1.009e-09
RS0056 265.14 31.91 7.119e-11
RS0057 268.71 30.49 1.819e-10
RS0058 265.94 31.15 1.211e-10
RS0059 59.19 23.07 1.578e-09
RS0060 59.57 21.45 5.243e-10
RS0061 60.82 25.13 8.143e-10
RS0062 60.69 22.80 1.903e-09
RS0063 56.83 25.09 6.785e-11
RS0064 65.16 24.59 2.273e-10
RS0065 62.18 20.47 1.209e-09
RS0066 61.17 24.57 8.807e-11
RS0067 129.53 39.89 4.697e-09
RS0068 134.93 33.77 7.468e-11
RS0069 125.63 36.80 3.126e-09
RS0070 127.73 43.33 6.759e-10
RS0071 136.51 46.31 2.900e-10
RS0072 140.75 41.16 1.121e-10
RS0073 127.43 45.89 3.874e-10
RS0074 135.30 38.33 1.981e-10
RS0075 133.77 36.07 1.554e-09
RS0076 137.25 43.67 5.035e-10
RS0077 123.70 36.59 6.268e-10
RS0078 127.31 32.90 3.698e-10
RS0079 136.10 35.50 1.360e-09
RS0080 120.35 35.40 1.126e-09
RS0081 128.73 36.21 3.078e-10
RS0082 141.86 42.45 8.326e-11
RS0083 136.32 37.03 2.267e-09
RS0084 138.31 42.56 2.893e-10
RS0085 129.21 43.20 4.878e-10
RS0086 124.74 48.44 1.090e-10
RS0087 128.56 33.14 1.908e-10
RS0088 128.78 40.19 4.599e-10
RS0089 129.30 41.78 1.242e-10
RS0090 130.92 39.15 2.755e-10
RS0091 131.81 38.19 1.106e-09
RS0092 136.57 35.26 2.507e-10
RS0093 338.47 101.74 9.501e-09
RS0094 346.85 93.54 8.677e-09
RS0095 347.93 89.38 5.898e-10
RS0096 342.60 95.42 1.565e-09
RS0097 338.44 96.23 9.043e-09
RS0098 335.14 111.42 6.796e-09
RS0099 341.45 98.39 5.652e-09
RS0100 334.47 112.36 3.800e-10
RS0101 350.49 105.24 8.210e-09
RS0102 346.91 105.48 5.866e-10
RS0103 337.47 102.70 3.777e-09
RS0104 335.38 92.42 3.145e-10
RS0105 333.39 109.48 3.809e-09
RS0106 341.66 103.52 1.018e-08
RS0107 328.30 102.85 5.206e-09
RS0108 331.63 109.71 1.664e-08
RS0109 346.37 91.11 1.082e-09
RS0110 327.68 98.31 5.455e-10
RS0111 348.42 104.58 8.315e-09
RS0112 346.46 112.94 7.697e-10
RS0113 322.89 101.91 3.794e-10
RS0114 346.57 94.25 3.162e-10
RS0115 119.34 49.72 5.323e-10
RS0116 118.41 50.33 2.355e-10
RS0117 118.29 49.02 6.894e-11
RS0118 185.77 34.36 3.181e-09
RS0119 186.56 34.82 1.142e-09
RS0120 192.02 31.40 3.898e-10
RS0121 186.67 31.65 1.446e-09
RS0122 185.35 38.28 7.156e-10
RS0123 187.97 35.70 1.196e-09
RS0124 189.29 36.35 1.126e-10
RS0125 181.78 42.32 3.429e-10
RS0126 187.10 36.06 4.196e-10
RS0127 192.66 39.33 4.105e-10
RS0128 186.77 29.07 4.395e-10
RS0129 187.00 32.83 2.013e-09
