Name Equatorial Polar PeakFlux(W)
SNe0001 81.08 150.69 1.914e-07
SNe0002 302.62 95.49 1.632e-08
SNe0003 294.28 73.56 3.612e-09
SNe0004 226.01 112.23 2.153e-09
SNe0005 266.29 61.61 1.666e-05
SNe0006 190.19 59.64 4.094e-09
SNe0007 349.95 80.19 4.090e-09
SNe0008 67.83 119.64 1.036e-08
SNe0009 167.76 59.08 3.451e-09
SNe0010 65.80 85.23 6.040e-09
SNe0011 3.34 62.62 5.877e-09
SNe0012 153.00 6.68 2.793e-09
SNe0013 270.70 134.80 1.009e-09
SNe0014 56.83 25.08 3.615e-07
SNe0015 274.49 82.81 6.368e-09
SNe0016 254.97 43.76 5.274e-09
SNe0017 206.93 148.46 2.543e-07
SNe0018 92.02 143.10 7.153e-09
SNe0019 30.59 154.69 7.292e-08
SNe0020 67.59 46.15 5.487e-09
SNe0021 40.97 136.32 9.393e-08
SNe0022 322.48 68.33 6.922e-05
SNe0023 81.75 113.41 3.809e-09
SNe0024 78.80 38.19 5.837e-09
SNe0025 220.55 68.83 5.016e-09
SNe0026 58.16 83.94 1.877e-09
SNe0027 45.15 107.91 2.010e-07
SNe0028 62.67 40.56 1.865e-09
SNe0029 15.29 64.62 3.194e-09
SNe0030 27.08 124.24 4.120e-09
SNe0031 244.76 123.75 3.856e-08
SNe0032 68.11 123.76 3.895e-08
SNe0033 164.38 32.54 9.957e-10
SNe0034 212.91 34.64 1.946e-09
SNe0035 196.74 123.75 1.835e-09
SNe0036 35.45 63.14 1.712e-07
SNe0037 352.44 91.30 8.357e-08
SNe0038 138.83 92.56 6.859e-09
SNe0039 31.23 99.01 1.183e-08
SNe0040 157.59 46.45 9.167e-10
SNe0041 133.51 118.44 9.798e-09
SNe0042 59.33 48.96 7.800e-09
SNe0043 91.52 143.78 6.677e-09
SNe0044 90.13 127.78 3.433e-08
SNe0045 255.07 139.46 1.963e-08
SNe0046 294.61 111.55 3.875e-09
SNe0047 334.89 107.21 7.682e-08
SNe0048 282.71 166.39 4.797e-08
SNe0049 10.89 82.58 4.502e-08
SNe0050 332.10 77.85 1.409e-09
SNe0051 218.76 48.99 1.380e-07
SNe0052 24.14 102.17 3.663e-08
SNe0053 213.76 140.31 3.560e-09
SNe0054 337.59 23.78 3.669e-08
SNe0055 219.23 89.86 1.052e-07
