Name Equatorial Polar Photon-Count
FE01 80.23 42.39 13691
FE02 29.93 42.79 41522
FE03 336.99 129.34 384
FE04 214.03 82.37 4827
FE05 287.69 141.54 379
FE06 336.30 29.59 1915
FE07 293.17 16.92 40695
FE08 287.84 141.55 372
FE09 76.25 62.92 1241
FE10 275.50 49.18 15604
FE11 203.09 41.18 8389
FE12 149.72 42.83 1837
FE13 359.16 56.21 326
FE14 4.51 102.98 343
FE15 244.87 126.66 1040
FE16 204.56 24.76 3494
FE17 317.06 66.51 64361
FE18 62.54 148.85 2790
FE19 339.65 109.89 60556
FE20 5.61 119.84 553
FE21 198.78 61.86 1754
FE22 220.58 65.32 1590
FE23 193.88 113.97 16745
FE24 127.71 64.00 15114
FE25 349.37 69.33 6455
FE26 87.74 115.78 1099
FE27 176.10 105.63 5775942
FE28 150.75 43.67 1836
FE29 332.32 131.07 105150
FE30 140.64 146.91 53043
FE31 346.21 54.39 1553
FE32 286.21 64.02 16675
FE33 220.71 65.38 1582
FE34 284.89 119.27 366
FE35 100.76 74.79 74609
FE36 359.59 82.49 2741
FE37 352.51 75.93 12587
FE38 337.01 128.99 387
FE39 275.58 70.84 18058
FE40 41.63 87.70 183342
FE41 349.31 68.07 6785
FE42 340.98 100.86 3087
FE43 140.68 146.81 53297
FE44 164.45 12.63 299939
FE45 140.53 154.43 18787734
FE46 181.73 139.92 344
FE47 237.63 118.50 2350
FE48 18.56 30.72 2977
FE49 147.92 63.19 1437
FE50 238.11 118.73 2327
FE51 272.33 124.23 495
FE52 212.75 44.71 2842
FE53 343.43 50.26 1706
FE54 36.63 56.79 2058
FE55 208.91 73.25 3587
