Name X Y BlueF GreenF RedF Size RadialVelocity
DG0050 39.0511 39.3767 9.977e-16 6.477e-16 2.291e-16 208.4259 627.35
DG0051 39.2236 39.0789 3.689e-16 2.861e-16 1.402e-16 76.2103 630.12
DG0052 39.5157 39.5021 3.198e-16 2.672e-16 1.126e-16 77.7296 626.81
DG0053 39.0491 39.1184 4.739e-16 3.465e-16 1.505e-16 66.1105 630.2
DG0054 38.9915 39.7411 3.839e-16 3.117e-16 1.226e-16 82.6478 628.32
DG0055 39.2902 39.8064 6.547e-26 1.726e-27 8.342e-33 76.8832 629.88
DG0056 39.2243 39.9154 4.838e-16 3.266e-16 1.671e-16 77.0626 629.93
DG0057 39.1273 39.7791 3.102e-16 2.774e-16 1.202e-16 70.557 627.77
DG0058 39.0206 39.3192 2.052e-16 1.742e-16 7.292e-17 243.6268 628.88
DG0059 39.4090 39.3178 3.120e-16 2.524e-16 1.202e-16 67.6622 630.04
DG0060 39.0274 39.3466 3.232e-16 2.656e-16 1.187e-16 69.969 629.57
DG0173 1.3545 -35.6972 4.543e-16 3.486e-16 1.210e-16 95.4262 975.98
DG0174 1.1660 -35.6167 1.526e-16 1.407e-16 5.943e-17 43.761 974.57
DG0175 1.3279 -35.7751 2.400e-16 1.926e-16 8.116e-17 50.0046 975.32
DG0176 1.4231 -35.4082 1.743e-16 1.569e-16 6.921e-17 57.7425 973.22
DG0177 1.5409 -35.7802 1.609e-16 1.262e-16 6.450e-17 46.3027 971.58
DG0178 1.3108 -35.5080 1.313e-25 3.232e-27 1.477e-32 50.4366 973.31
DG0179 1.5246 -35.7798 1.659e-16 1.163e-16 5.478e-17 48.8904 972.71
DG0180 1.4823 -35.8091 1.577e-16 1.414e-16 5.742e-17 47.6921 974.42
DG0181 1.1161 -35.7122 1.692e-16 1.415e-16 6.561e-17 47.0002 972.24
DG0182 1.3143 -35.6213 1.231e-25 3.256e-27 1.497e-32 46.9426 974.2
DG0183 1.4568 -35.5543 1.591e-16 1.329e-16 6.143e-17 48.5585 971.66
DG0211 8.9443 -10.1082 1.914e-16 1.681e-16 6.896e-17 59.1161 854.97
DG0212 8.8955 -10.0411 8.884e-26 2.285e-27 1.142e-32 54.1383 855.37
DG0213 8.9030 -10.0844 1.930e-16 1.531e-16 6.746e-17 47.3895 855.81
DG0233 7.7127 -20.9310 1.265e-16 9.552e-17 4.615e-17 50.7161 920.55
DG0235 4.2999 26.8554 1.714e-15 1.533e-15 5.601e-16 172.6587 308.38
DG0236 4.1375 26.8380 1.261e-15 1.094e-15 4.434e-16 155.6942 308.99
DG0277 24.9194 43.1751 2.623e-16 2.297e-16 9.674e-17 97.0374 633.65
DG0285 -7.0562 10.1460 2.457e-16 1.907e-16 8.295e-17 125.8326 660.58
DG0286 -6.9333 10.1809 2.767e-16 2.593e-16 1.149e-16 60.6321 662.84
DG0287 -6.9988 10.1885 2.818e-16 2.219e-16 1.100e-16 69.7729 662.95
DG0288 -7.2115 10.1766 3.218e-16 2.440e-16 1.022e-16 60.478 662.44
DG0289 -7.0938 10.2137 2.066e-16 1.805e-16 7.456e-17 88.5666 662.3
DG0290 -7.0080 10.2345 4.169e-16 3.601e-16 1.326e-16 80.7289 660.36
DG0294 -0.8440 -16.1621 1.718e-16 1.415e-16 6.459e-17 151.7481 677.94
DG0295 -1.0149 -16.0914 2.554e-16 2.159e-16 9.836e-17 59.5291 675.5
DG0296 -0.7089 -16.1264 2.767e-16 2.372e-16 1.063e-16 66.8008 678.59
DG0297 -0.6067 -16.1345 7.642e-26 1.760e-27 8.732e-33 73.8546 677.97
DG0298 -0.7479 -16.3959 2.666e-16 2.073e-16 9.305e-17 70.4079 676.72
DG0299 -0.7638 -16.2116 3.805e-16 3.344e-16 1.208e-16 63.9469 676.24
DG0300 -0.8140 -16.0970 2.784e-16 2.228e-16 1.035e-16 64.8385 678.89
DG0301 -0.7110 -15.9841 6.706e-26 1.735e-27 9.015e-33 90.1201 678.74
DG0302 -0.8332 -16.2114 3.099e-16 2.515e-16 1.131e-16 76.425 679.25
DG0344 -7.3631 18.3128 4.217e-15 3.082e-15 9.688e-16 321.126 286.35
DG0345 -7.5026 16.9364 6.285e-26 1.552e-27 7.822e-33 197.3373 288.0
DG0346 -7.2915 17.6260 1.181e-15 1.018e-15 4.115e-16 285.9274 284.53
DG0347 -7.8948 18.2304 1.074e-15 8.940e-16 3.618e-16 317.94 281.2
DG0348 -8.0348 17.6491 1.601e-15 1.249e-15 5.446e-16 151.8724 281.7
DG0349 -6.4505 19.0692 6.527e-26 1.607e-27 7.010e-33 217.5955 286.85
DG0350 -6.1496 17.4380 1.540e-15 1.170e-15 5.150e-16 159.3108 289.54
DG0351 -8.7820 18.9364 1.767e-15 1.541e-15 5.761e-16 193.9498 283.36
DG0352 -8.4915 18.4191 2.003e-15 1.703e-15 6.879e-16 159.4374 283.37
DG0353 -7.0540 17.7651 1.972e-15 1.627e-15 6.032e-16 170.2739 287.59
DG0354 -7.4327 19.8490 2.238e-15 1.764e-15 6.694e-16 177.8771 278.71
DG0355 -7.6640 19.4561 1.027e-15 8.642e-16 3.686e-16 221.3017 285.23
DG0356 -6.6209 17.1426 1.080e-15 7.709e-16 3.282e-16 194.2219 280.0
DG0357 -8.5796 19.3227 6.618e-26 1.634e-27 7.821e-33 188.2595 280.3
DG0358 -6.1885 17.6515 2.222e-15 1.635e-15 7.860e-16 181.0621 282.12
DG0359 -8.4393 17.2495 1.502e-15 1.262e-15 5.130e-16 152.4181 281.09
DG0360 -6.5917 17.4653 1.092e-15 7.958e-16 3.765e-16 211.6394 279.56
DG0361 -7.9432 19.3118 5.965e-26 1.591e-27 7.441e-33 190.1836 281.78
DG0362 -6.3616 19.1573 1.686e-15 1.279e-15 5.978e-16 169.6976 282.29
DG0363 -7.9954 17.2774 2.102e-15 1.875e-15 7.082e-16 169.6012 286.63
DG0364 -8.4769 18.7117 1.596e-15 1.143e-15 4.908e-16 172.1479 289.92
DG0365 -7.7991 18.0405 1.543e-15 1.300e-15 5.961e-16 157.6706 289.81
DG0366 -7.2441 18.7461 1.514e-15 1.285e-15 5.206e-16 175.7324 289.18
DG0367 -7.0583 18.1772 1.297e-15 1.114e-15 5.155e-16 133.8202 288.12
DG0368 -7.9374 19.2899 1.044e-15 9.319e-16 3.684e-16 251.9237 289.75
DG0369 -8.6846 18.1529 1.714e-15 1.539e-15 6.259e-16 172.9868 289.84
DG0370 -6.5891 17.5567 9.961e-16 8.863e-16 3.461e-16 200.2893 283.03
DG0371 -7.9835 18.3427 1.434e-15 1.065e-15 5.267e-16 164.5248 281.66
DG0372 -7.6069 18.4334 2.445e-15 1.853e-15 6.574e-16 195.8224 288.07
DG0373 -7.3101 17.7459 1.020e-15 8.447e-16 3.685e-16 260.1173 280.99
DG0374 -7.1804 18.3894 2.381e-15 1.790e-15 6.318e-16 167.2516 281.66
DG0390 24.9259 -15.9576 1.764e-25 4.589e-27 2.194e-32 534.5565 70.88
DG0391 23.1206 -15.5752 1.329e-14 1.069e-14 3.646e-15 439.6237 71.15
DG0392 24.8943 -15.8465 1.643e-25 4.834e-27 2.225e-32 531.7615 70.92
DG0393 24.3915 -15.4443 1.009e-14 7.848e-15 3.202e-15 386.7392 71.71
DG0394 33.8535 21.6967 6.527e-16 4.905e-16 1.660e-16 154.4654 789.26
DG0395 33.7205 21.7971 2.696e-16 2.064e-16 8.377e-17 69.403 786.14
DG0396 33.5895 21.6826 8.343e-26 2.125e-27 1.114e-32 79.0774 788.98
DG0397 33.6582 21.5481 8.642e-26 2.227e-27 9.172e-33 71.0869 787.86
DG0398 34.0419 21.5176 1.644e-16 1.362e-16 5.319e-17 79.741 787.0
DG0399 33.7606 21.7452 2.283e-16 1.782e-16 8.471e-17 56.2338 788.23
DG0400 33.7756 21.7081 2.293e-16 1.872e-16 8.709e-17 58.0915 787.27
DG0401 33.5938 21.5020 2.063e-16 1.696e-16 7.861e-17 54.7212 786.45
DG0402 33.9233 21.8848 2.568e-16 1.999e-16 9.905e-17 54.7964 787.03
DG0403 33.7285 21.6379 8.740e-26 2.260e-27 1.069e-32 47.843 787.14
DG0456 5.4935 13.3501 1.319e-15 9.441e-16 4.834e-16 144.2727 278.82
DG0457 5.4537 13.3725 1.185e-15 1.091e-15 4.631e-16 145.2718 280.48
DG0458 5.3246 13.5614 1.390e-15 1.325e-15 5.889e-16 178.0412 280.55
DG0459 28.2084 42.1202 5.528e-15 4.191e-15 2.115e-15 850.7741 121.12
DG0460 28.2462 43.4233 7.496e-15 6.067e-15 2.720e-15 412.2578 120.86
DG0461 29.3113 42.8831 7.640e-15 5.913e-15 2.379e-15 335.6518 121.38
DG0462 26.7996 42.2642 1.436e-25 3.974e-27 1.793e-32 470.7849 121.44
DG0463 26.9013 40.0083 1.568e-25 4.117e-27 1.761e-32 444.3074 120.24
DG0464 27.6521 44.0216 7.663e-15 6.071e-15 2.425e-15 305.4457 121.31
DG0465 29.2082 43.1172 1.471e-25 4.199e-27 1.938e-32 489.578 121.14
DG0466 27.1436 42.9264 6.932e-15 5.875e-15 2.710e-15 335.3341 121.15
DG0467 -10.0445 24.0881 1.087e-14 8.185e-15 2.400e-15 783.601 233.32
DG0468 -8.8257 26.3003 9.706e-26 2.706e-27 1.196e-32 299.2485 241.0
DG0469 -10.1288 24.1316 3.955e-15 3.316e-15 1.455e-15 250.6275 233.57
DG0470 -11.6433 23.5190 2.395e-15 2.041e-15 8.797e-16 358.653 240.75
DG0471 -9.8450 23.1003 2.706e-15 2.211e-15 9.687e-16 592.7409 240.0
DG0472 -10.7920 24.4876 2.648e-15 2.201e-15 8.733e-16 591.0334 235.72
DG0473 -8.8264 24.8898 2.407e-15 2.068e-15 9.086e-16 322.9576 241.03
DG0474 -10.5085 23.7194 2.760e-15 1.952e-15 9.381e-16 447.6453 239.27
DG0475 -11.5401 25.2719 3.793e-15 3.082e-15 1.404e-15 272.0969 238.58
DG0476 -11.3665 22.0089 3.779e-15 2.941e-15 1.239e-15 226.5325 239.03
DG0477 -11.0792 27.0385 9.612e-26 2.496e-27 1.180e-32 267.5668 236.88
DG0478 -8.8200 25.1856 4.017e-15 3.092e-15 1.447e-15 285.1715 238.26
DG0479 -10.5543 24.1116 3.933e-15 3.192e-15 1.459e-15 332.5853 240.32
DG0480 -9.2248 22.2866 2.351e-15 2.278e-15 8.909e-16 354.4973 233.91
DG0481 -10.1181 21.9057 2.820e-15 2.145e-15 9.160e-16 369.4824 239.93
DG0482 -10.1201 24.2549 3.503e-15 2.705e-15 1.139e-15 260.8502 240.98
DG0483 -10.3630 24.8287 2.500e-15 1.803e-15 8.323e-16 370.7451 241.03
DG0484 -8.7026 25.7627 9.858e-26 2.710e-27 1.234e-32 345.2442 241.09
DG0485 -10.8918 22.9154 1.044e-25 2.589e-27 1.369e-32 306.67 238.08
DG0486 -9.3918 26.5752 5.374e-15 4.592e-15 1.848e-15 277.5896 233.32
DG0487 -10.5974 24.7683 4.176e-15 3.475e-15 1.339e-15 229.3945 239.46
DG0488 -9.3792 26.2356 2.761e-15 2.076e-15 1.018e-15 317.7678 240.93
DG0489 -8.8664 24.6705 4.092e-15 3.395e-15 1.456e-15 283.863 239.49
DG0490 -9.9825 23.0237 3.741e-15 2.922e-15 1.289e-15 259.671 241.28
DG0491 -10.5137 24.1839 1.017e-25 2.465e-27 1.190e-32 306.4987 237.49
DG0541 -41.2346 33.8044 2.634e-16 2.201e-16 1.063e-16 132.2123 611.48
DG0542 -41.0003 33.6259 5.690e-26 1.495e-27 7.358e-33 110.1031 612.61
DG0543 -41.1184 33.7457 3.966e-16 3.434e-16 1.401e-16 74.3695 612.14
DG0544 -41.3249 33.9772 3.904e-16 3.421e-16 1.343e-16 84.8246 612.61
DG0545 -41.4689 33.9308 6.442e-26 1.558e-27 6.757e-33 93.0482 612.98
DG0548 7.1282 17.6750 7.936e-16 6.353e-16 2.754e-16 287.0365 279.57
DG0549 7.2290 18.0047 1.071e-15 9.479e-16 4.077e-16 148.0907 281.66
DG0550 7.1521 17.9023 1.209e-15 9.901e-16 3.900e-16 122.4854 281.05
DG0551 7.1098 17.5872 1.290e-15 1.060e-15 4.615e-16 161.5477 282.12
DG0552 7.5179 17.6166 1.303e-15 1.051e-15 4.569e-16 177.6262 282.39
DG0553 7.1970 17.8132 5.567e-26 1.542e-27 7.237e-33 147.0197 282.35
DG0554 6.9714 17.4237 1.210e-15 8.718e-16 4.093e-16 145.0585 282.83
DG0587 42.9540 21.2134 1.522e-16 1.384e-16 5.521e-17 93.4462 889.08
DG0588 42.8455 21.0838 1.918e-16 1.558e-16 6.383e-17 49.6518 888.98
DG0589 42.9008 21.1406 9.757e-26 2.529e-27 1.239e-32 63.2608 890.17
DG0590 42.9838 21.0987 2.776e-16 2.302e-16 8.638e-17 55.6092 890.08
DG0591 43.0459 21.4067 2.121e-16 1.679e-16 8.320e-17 54.8351 888.72
DG0592 42.8923 21.0833 1.764e-16 1.603e-16 7.286e-17 50.9009 890.01
DG0600 -10.6886 32.5822 1.023e-15 8.170e-16 2.862e-16 246.2632 585.15
DG0601 -10.5047 32.6452 3.851e-16 2.934e-16 1.283e-16 70.3806 586.22
DG0602 -10.7992 32.8228 4.087e-16 3.709e-16 1.614e-16 97.849 580.05
DG0603 -10.5965 31.9987 4.604e-16 3.298e-16 1.547e-16 77.7671 581.84
DG0604 -10.8441 32.5657 4.339e-16 3.538e-16 1.726e-16 95.1859 583.78
DG0605 -10.3886 32.5128 5.837e-26 1.595e-27 7.428e-33 96.4229 581.23
DG0606 -10.7284 32.0066 3.564e-16 3.468e-16 1.432e-16 85.2815 583.45
DG0607 -10.1568 32.2548 4.063e-16 2.867e-16 1.386e-16 80.5826 582.93
DG0608 -10.4525 32.8229 4.542e-16 3.835e-16 1.558e-16 91.8965 580.51
DG0609 -10.4605 32.0275 4.040e-16 3.261e-16 1.314e-16 61.1938 585.73
DG0610 -10.4902 32.8481 2.529e-16 2.168e-16 9.178e-17 105.7554 586.47
DG0611 -10.4389 32.3568 2.915e-16 2.444e-16 1.111e-16 143.8576 579.87
DG0612 -10.8750 32.0193 6.168e-26 1.511e-27 7.385e-33 90.0467 580.14
DG0613 -11.0384 33.1350 2.770e-16 2.274e-16 1.018e-16 93.8271 581.21
DG0614 -10.6600 32.6737 2.601e-16 2.053e-16 9.695e-17 176.0648 580.56
DG0615 -11.0544 32.7934 3.961e-16 3.449e-16 1.419e-16 74.5108 581.99
DG0616 -10.4688 32.9486 3.678e-16 3.061e-16 1.246e-16 64.1625 586.37
DG0617 -10.2578 32.7331 3.855e-16 3.201e-16 1.396e-16 71.7495 585.48
DG0618 4.1088 30.9947 2.392e-16 1.862e-16 8.848e-17 57.3356 830.53
DG0619 4.1383 30.9013 1.741e-16 1.395e-16 6.329e-17 43.4869 829.66
DG0620 -38.9817 -16.5513 1.634e-15 1.230e-15 6.111e-16 220.8014 230.53
DG0679 -38.3842 -9.4009 9.964e-17 7.172e-17 3.435e-17 54.8653 1052.57
DG0718 -31.7048 -11.9338 2.245e-16 1.882e-16 8.293e-17 80.184 650.85
DG0719 -26.9705 43.0088 3.751e-15 3.071e-15 1.410e-15 264.454 162.98
DG0720 -26.7589 42.9223 5.046e-15 4.119e-15 1.538e-15 220.216 162.71
DG0803 -0.3027 5.9000 6.795e-16 5.369e-16 2.509e-16 105.1206 444.56
DG0804 -0.3665 5.7774 7.470e-16 6.183e-16 2.685e-16 131.2937 443.14
DG0805 -0.3158 5.9328 7.297e-16 5.028e-16 2.339e-16 107.512 444.36
DG0806 -0.3670 5.9834 6.697e-16 5.251e-16 2.130e-16 103.0573 445.05
DG0831 4.4218 -25.9556 4.581e-16 3.414e-16 1.068e-16 80.5111 1039.87
DG0832 4.5799 -26.2685 1.490e-16 1.430e-16 6.015e-17 40.388 1039.65
DG0833 4.3115 -26.3080 1.093e-16 7.617e-17 4.074e-17 61.1378 1032.87
DG0834 4.8191 -25.7102 1.125e-25 3.293e-27 1.520e-32 56.4635 1034.61
DG0835 4.6375 -25.6031 1.591e-16 1.270e-16 6.050e-17 46.5875 1038.8
DG0836 4.4880 -25.8919 1.505e-16 1.284e-16 5.737e-17 47.7347 1036.16
DG0837 4.5976 -26.0481 9.664e-17 8.379e-17 4.019e-17 48.1336 1034.97
DG0838 4.6363 -26.1815 1.602e-16 1.356e-16 7.004e-17 56.4977 1035.54
DG0839 4.4612 -25.9030 1.678e-16 1.448e-16 7.229e-17 55.8445 1032.27
DG0840 4.7103 -26.2122 1.600e-16 1.312e-16 5.748e-17 43.4351 1034.12
DG0841 4.6854 -26.0225 1.102e-16 8.359e-17 3.656e-17 57.5908 1037.69
DG0842 4.2849 -26.0310 1.081e-16 8.555e-17 3.914e-17 73.3406 1033.39
DG0843 4.1768 -25.8095 1.708e-16 1.447e-16 6.522e-17 50.2156 1032.33
DG0844 4.4954 -25.9084 1.583e-16 1.222e-16 6.096e-17 46.6463 1038.81
DG0845 4.5321 -26.0141 1.315e-25 3.150e-27 1.500e-32 54.4188 1032.64
DG0846 4.5246 -25.6863 1.081e-16 8.721e-17 3.791e-17 67.4989 1037.17
DG0847 4.3672 -25.7266 1.754e-16 1.544e-16 6.703e-17 51.2972 1032.53
DG0848 4.5890 -26.2709 1.721e-16 1.161e-16 5.762e-17 45.7427 1032.46
DG0849 4.3616 -25.8975 1.847e-16 1.475e-16 6.645e-17 56.7614 1038.06
DG0850 4.1573 -25.7215 2.286e-16 1.786e-16 7.962e-17 44.1639 1039.35
DG0851 4.5414 -25.6848 1.382e-16 1.143e-16 6.012e-17 43.2521 1035.4
DG0852 4.4828 -26.1388 1.062e-16 8.587e-17 3.998e-17 106.1311 1032.63
DG0853 4.1979 -26.1788 1.629e-16 1.200e-16 5.326e-17 49.5201 1031.47
DG0865 -38.1678 18.7547 5.586e-16 4.516e-16 2.148e-16 147.4874 452.79
DG0947 19.6899 44.8551 5.476e-16 4.139e-16 1.908e-16 84.7703 452.02
DG0950 20.1484 44.9712 3.748e-16 3.039e-16 1.324e-16 97.1367 453.09
DG1051 29.4776 -34.3301 2.914e-16 2.070e-16 1.011e-16 69.6632 769.33
DG1052 29.5395 -34.1575 7.455e-26 1.955e-27 9.170e-33 74.4231 769.18
DG1053 29.4164 -34.1821 2.374e-16 2.036e-16 9.144e-17 58.6651 769.29
DG1054 29.4696 -34.3591 2.278e-16 1.999e-16 9.129e-17 57.3824 769.32
DG1077 -19.2578 -39.5975 3.349e-16 2.515e-16 9.354e-17 118.2869 1140.22
DG1078 -18.7378 -39.4779 1.106e-16 9.049e-17 3.899e-17 38.4647 1139.3
DG1079 -19.1938 -39.2511 1.134e-16 8.845e-17 4.217e-17 39.7713 1146.54
DG1080 -19.5898 -39.3351 1.307e-16 1.105e-16 4.571e-17 43.0454 1143.5
DG1081 -19.5277 -39.2871 1.058e-16 8.369e-17 4.166e-17 36.0662 1142.87
DG1082 -19.2100 -40.1051 1.244e-16 1.135e-16 5.161e-17 48.0339 1144.29
DG1083 -19.2693 -39.2797 1.975e-25 5.509e-27 2.906e-32 39.2941 1143.0
DG1084 -19.3083 -39.5952 1.042e-16 9.404e-17 3.816e-17 33.151 1143.4
