Name X Y BlueF GreenF RedF Size RadialVelocity
DG0028 9.5882 -33.4749 3.836e-15 2.610e-15 9.762e-16 357.5326 308.1
DG0029 9.1616 -32.9810 1.025e-15 7.631e-16 3.438e-16 329.3579 312.31
DG0030 9.8088 -34.2937 5.920e-26 1.558e-27 8.033e-33 197.1956 310.12
DG0031 9.6006 -34.3027 1.271e-15 1.127e-15 4.655e-16 149.7109 310.38
DG0032 10.4396 -32.5517 1.231e-15 1.083e-15 4.589e-16 147.3778 312.52
DG0033 10.1342 -34.4591 9.731e-16 8.257e-16 3.446e-16 161.8866 312.44
DG0034 9.9639 -32.7878 1.348e-15 1.142e-15 5.069e-16 161.1077 308.4
DG0035 8.8134 -34.1965 9.675e-16 7.689e-16 3.343e-16 201.4512 307.24
DG0036 10.8993 -34.4926 1.391e-15 1.127e-15 4.660e-16 147.1719 308.48
DG0037 10.1482 -32.7356 1.417e-15 1.135e-15 4.440e-16 160.8186 311.02
DG0038 10.0706 -33.7799 1.075e-15 9.008e-16 4.254e-16 296.1974 310.82
DG0039 9.4912 -33.9271 1.531e-15 1.342e-15 5.045e-16 177.5389 312.21
DG0040 10.1343 -34.5696 1.510e-15 1.206e-15 5.329e-16 195.6943 308.05
DG0041 9.0090 -34.0773 1.382e-15 1.060e-15 4.251e-16 165.5297 307.65
DG0042 10.0868 -34.4248 1.494e-15 1.192e-15 5.450e-16 159.2714 308.2
DG0043 8.8618 -33.3871 1.314e-15 9.590e-16 4.632e-16 135.0906 308.49
DG0044 8.7701 -34.1388 1.308e-15 1.175e-15 4.667e-16 165.3227 308.2
DG0045 10.1530 -32.5476 1.457e-15 1.203e-15 5.096e-16 155.6239 310.76
DG0046 9.3783 -34.9571 1.294e-15 1.192e-15 4.692e-16 148.7937 309.85
DG0047 8.5791 -34.6326 5.841e-26 1.534e-27 7.595e-33 192.6333 310.0
DG0048 10.5836 -34.7898 5.966e-26 1.595e-27 7.248e-33 200.0478 311.07
DG0077 11.7714 -33.5245 1.094e-16 9.483e-17 3.987e-17 56.1167 931.38
DG0157 -10.9443 25.5862 1.156e-15 9.137e-16 4.030e-16 143.01 363.83
DG0158 -10.9785 25.3910 8.792e-16 6.743e-16 2.857e-16 144.2673 363.25
DG0159 27.3082 38.4753 1.578e-16 1.366e-16 6.458e-17 124.2901 782.02
DG0160 27.4603 38.3075 2.453e-16 2.181e-16 9.678e-17 71.2781 781.38
DG0161 27.1194 38.6647 2.315e-16 1.917e-16 8.438e-17 50.4501 782.0
DG0162 27.2595 38.4931 2.336e-16 1.996e-16 8.669e-17 63.0966 781.82
DG0163 27.2897 38.5586 2.421e-16 1.820e-16 9.015e-17 54.705 781.19
DG0164 27.5184 38.4816 2.418e-16 2.029e-16 8.528e-17 62.8726 780.92
DG0165 27.4559 38.5590 2.409e-16 2.064e-16 9.665e-17 58.567 780.86
DG0166 27.2934 38.4176 2.152e-16 2.046e-16 8.427e-17 47.0921 781.61
DG0228 -33.1541 -4.6698 1.182e-15 1.087e-15 4.401e-16 270.6009 294.12
