Name Equat Polar BlueF GreenF RedF Size RadialVelocity
DG0022 207.1609 61.6911 1.473e-15 1.102e-15 5.308e-16 323.0957 251.19
DG0023 206.8852 62.1813 1.792e-15 1.368e-15 6.088e-16 167.3703 252.14
DG0024 207.0773 61.6898 1.575e-15 1.516e-15 6.875e-16 194.9471 251.93
DG0025 206.9709 61.2363 1.923e-15 1.465e-15 5.036e-16 190.9118 251.44
DG0026 207.0741 61.5451 6.631e-26 1.833e-27 7.276e-33 203.2005 250.5
DG0027 207.4771 62.1277 1.818e-15 1.398e-15 6.367e-16 177.6312 251.53
DG0074 192.4516 67.7065 3.059e-15 2.599e-15 1.095e-15 324.1538 167.93
DG0075 192.3762 67.5741 4.462e-15 3.387e-15 1.326e-15 246.6765 167.89
DG0091 148.3554 120.1517 9.875e-17 7.935e-17 3.398e-17 67.7192 1032.15
DG0092 148.4563 120.1389 9.566e-17 7.992e-17 3.856e-17 43.9415 1033.94
DG0093 148.3251 120.1059 1.217e-16 1.081e-16 5.226e-17 40.931 1032.6
DG0094 148.2795 120.181 1.545e-25 3.926e-27 2.006e-32 45.9236 1033.82
DG0095 148.3724 120.063 1.849e-16 1.559e-16 7.064e-17 48.2139 1032.7
DG0237 184.2814 55.1885 3.179e-15 2.396e-15 1.165e-15 451.3596 160.16
DG0238 183.2829 55.2944 3.989e-15 3.075e-15 1.29e-15 266.0434 157.59
DG0239 183.9407 55.4437 3.711e-15 3.284e-15 1.342e-15 282.6359 158.31
DG0240 183.4131 55.0551 4.961e-15 3.902e-15 1.721e-15 310.031 159.82
DG0241 184.5796 55.7855 1.113e-25 2.699e-27 1.211e-32 283.0436 160.16
DG0242 184.4373 55.0201 4.233e-15 3.274e-15 1.328e-15 236.9772 159.35
DG0272 139.6182 71.2083 1.044e-15 8.741e-16 3.741e-16 272.0044 266.33
DG0273 139.8371 70.8173 1.777e-15 1.481e-15 5.566e-16 184.0251 266.47
DG0274 139.4708 70.973 1.443e-15 1.094e-15 5.253e-16 174.6795 265.77
DG0275 139.6861 71.0007 1.11e-15 8.759e-16 3.733e-16 198.7819 265.43
DG0276 139.579 71.5896 1.425e-15 1.195e-15 5.704e-16 152.2431 265.37
DG0278 192.3304 97.3278 6.309e-16 4.688e-16 2.331e-16 256.1441 352.71
DG0279 192.2815 97.29 1.224e-15 9.845e-16 4.198e-16 120.4563 351.63
DG0280 192.3939 97.2691 6.333000000000001e-26 1.461e-27 6.570999999999999e-33 143.5662 353.14
DG0281 192.128 97.5219 8.668e-16 7.711e-16 3.229e-16 134.6241 351.97
DG0282 192.2988 96.9483 9.331e-16 7.17e-16 3.441e-16 111.5055 352.69
DG0283 192.297 97.4341 1.026e-15 8.434e-16 3.569e-16 130.9358 354.92
DG0284 192.1571 97.4594 7.19e-16 5.225e-16 2.341e-16 157.5509 353.39
DG0338 183.6924 129.8669 1.016e-14 7.99e-15 3.363e-15 445.7879 93.79
DG0339 183.7427 130.5534 8.384e-15 6.771e-15 2.986e-15 398.7773 93.75
DG0340 182.5214 130.4828 9.261e-15 8.584e-15 3.475e-15 452.0565 93.83
DG0384 173.8352 124.699 8.699e-16 7.384e-16 3.52e-16 294.1779 342.8
DG0385 173.9487 124.6268 1.127e-15 9.899e-16 4.29e-16 152.6232 340.67
DG0386 173.9399 124.4734 1.743e-15 1.448e-15 5.365e-16 182.4992 342.01
DG0387 173.8599 125.0716 1.218e-15 9.641e-16 4.044e-16 134.5948 342.18
DG0388 173.6965 124.9189 1.002e-15 9.745e-16 4.352e-16 152.813 340.66
DG0389 174.222 124.6067 5.257000000000001e-26 1.494e-27 6.949999999999999e-33 183.6855 340.8
DG0414 161.4176 126.6679 8.789e-15 7.531e-15 3.042e-15 582.3592 122.84
DG0519 159.2347 108.7193 1.052e-15 7.762e-16 2.52e-16 224.5103 573.81
DG0520 159.1854 108.8201 5.707e-16 4.26e-16 1.795e-16 89.0941 574.67
DG0521 158.8397 108.6862 5.790000000000001e-26 1.6179999999999998e-27 7.236e-33 85.5356 574.02
DG0522 159.3601 108.6298 5.867e-26 1.468e-27 7.489e-33 101.1273 573.62
DG0523 159.0475 108.9143 6.243000000000001e-26 1.689e-27 6.389e-33 91.6116 570.17
DG0524 159.1085 108.78 6.126e-26 1.658e-27 7.502e-33 93.2557 570.21
DG0525 158.9814 108.7135 3.464e-16 3.245e-16 1.381e-16 66.0846 574.47
DG0526 159.2758 108.8621 3.743e-16 2.934e-16 1.361e-16 86.3405 572.56
DG0527 159.2591 108.7221 2.851e-16 2.166e-16 9.915e-17 100.622 570.0
DG0528 158.9421 108.4315 6.32e-26 1.586e-27 7.749e-33 94.3195 571.97
DG0536 201.0836 126.4005 1.169e-15 8.97e-16 4.073e-16 202.6092 186.64
DG0578 146.3565 58.4543 6.848e-16 5.802e-16 2.492e-16 311.4214 355.6
DG0579 146.2398 58.626 6.069000000000001e-26 1.627e-27 7.161e-33 128.6469 356.83
DG0580 146.3284 58.6283 1.513e-15 1.235e-15 4.661e-16 143.2805 356.49
DG0581 147.0658 58.4006 5.474e-26 1.5149999999999999e-27 7.456e-33 153.5749 356.49
DG0582 146.5057 58.338 1.029e-15 9.217e-16 3.736e-16 139.0384 353.64
DG0583 146.2792 58.4493 1.235e-15 9.476e-16 4.535e-16 147.6058 356.67
DG0584 146.2053 58.3121 1.051e-15 8.677e-16 3.622e-16 119.4792 354.87
DG0585 146.5777 58.8223 1.155e-15 9.761e-16 4.305e-16 141.615 354.03
DG0586 145.998 58.4551 1.011e-15 8.753e-16 3.771e-16 119.5217 355.19
DG0632 220.3919 55.4052 1.314e-14 9.51e-15 3.207e-15 917.2316 158.33
DG0633 220.6388 54.6013 3.262e-15 2.75e-15 1.144e-15 349.844 161.12
DG0634 221.7704 55.3023 4.582e-15 3.587e-15 1.624e-15 239.1229 157.93
DG0635 221.5427 56.3873 1.139e-25 3e-27 1.351e-32 316.3784 159.32
DG0636 220.3635 55.5839 5.852e-15 4.355e-15 1.848e-15 324.9851 160.89
DG0637 220.0536 55.9071 1.0230000000000001e-25 2.879e-27 1.178e-32 354.1128 158.19
DG0638 218.8954 56.1318 4.897e-15 3.549e-15 1.669e-15 280.1776 159.79
DG0639 220.6681 54.1286 4.968e-15 3.572e-15 1.706e-15 305.4864 160.75
DG0640 222.4794 55.5584 6.805e-15 4.796e-15 2.327e-15 393.4268 159.77
DG0641 220.5873 56.3909 4.355e-15 3.812e-15 1.505e-15 270.8926 156.6
DG0642 219.7303 54.4037 4.607e-15 3.612e-15 1.576e-15 290.4356 159.42
DG0643 219.8356 54.7973 3.388e-15 3e-15 1.33e-15 561.2747 156.64
DG0644 221.6121 55.8013 5.013e-15 3.967e-15 1.937e-15 338.7703 160.1
DG0647 200.2876 127.4085 3.727e-15 2.859e-15 8.498e-16 370.4457 308.1
DG0648 200.5779 127.8217 1.906e-15 1.507e-15 5.791e-16 147.8496 306.89
DG0649 200.6983 126.78 1.407e-15 1.145e-15 5.107e-16 153.2527 308.0
DG0650 200.1577 126.9839 1.482e-15 1.245e-15 4.979e-16 156.1466 308.44
DG0651 200.6618 126.7814 1.474e-15 1.26e-15 5.354e-16 166.5395 310.37
DG0652 200.8527 127.5213 1.269e-15 1.059e-15 4.326e-16 138.7854 308.32
DG0653 200.3721 127.7828 1.716e-15 1.456e-15 6.502e-16 188.5873 309.18
DG0654 200.7604 126.6746 1.33e-15 1.035e-15 4.507e-16 162.7964 308.38
DG0655 199.1221 127.5377 5.547e-26 1.412e-27 7.233e-33 179.1951 309.74
DG0656 199.5371 126.8663 1.247e-15 1.022e-15 4.175e-16 149.0776 307.72
DG0657 201.3931 127.5827 8.937e-16 8.593e-16 3.182e-16 187.019 307.66
DG0658 199.673 126.804 5.662000000000001e-26 1.58e-27 7.583e-33 173.5783 311.85
DG0659 200.1749 127.6523 1.939e-15 1.426e-15 5.701e-16 149.695 308.38
DG0660 200.0332 127.8593 6.282e-26 1.66e-27 7.352e-33 165.6574 307.17
DG0704 146.7894 115.9807 1.304e-15 1.033e-15 4.609e-16 270.5939 246.69
DG0705 146.8158 115.9975 1.888e-15 1.462e-15 5.569e-16 157.7683 246.24
DG0706 146.9003 116.3359 6.199e-26 1.727e-27 8.278e-33 185.7868 247.89
DG0707 147.022 115.9437 1.597e-15 1.418e-15 6.425e-16 171.2039 247.89
DG0708 146.9883 115.886 1.744e-15 1.514e-15 6.308e-16 174.1436 245.92
DG0789 156.1239 70.1638 1.091e-14 8.801e-15 3.912e-15 990.1187 65.15
DG0790 157.2629 69.1724 1.439e-14 1.207e-14 5.554e-15 618.0299 64.59
DG0791 154.5417 69.9355 1.98e-14 1.766e-14 5.783e-15 551.7717 65.7
DG0792 154.6124 69.9782 2.6490000000000003e-25 6.427e-27 3.033e-32 589.6581 64.35
DG0793 157.1347 70.0655 1.35e-14 1.153e-14 4.737e-15 510.9819 64.36
DG0794 157.1427 70.4317 1.38e-14 1.079e-14 5.135e-15 530.8798 65.8
DG0824 143.809 69.2688 9.645e-16 6.869e-16 3.359e-16 304.3 314.37
DG0825 144.4063 69.4002 1.422e-15 1.064e-15 4.841e-16 164.5172 316.85
DG0826 144.2787 69.0131 6.239e-26 1.5759999999999999e-27 7.761e-33 163.1587 316.23
DG0827 143.9153 69.1762 6.451e-26 1.633e-27 7.139e-33 184.9602 314.76
DG0828 143.8769 69.1946 6.161e-26 1.553e-27 7.708e-33 160.3831 317.49
DG0829 143.9594 69.4909 6.157000000000001e-26 1.61e-27 7.764e-33 179.3472 316.0
DG0830 144.1197 69.2975 1.41e-15 1.129e-15 4.268e-16 125.0239 314.74
DG0854 168.9186 100.239 4.435e-15 3.121e-15 1.127e-15 371.9907 272.6
DG0855 168.1541 100.1089 6.271000000000001e-26 1.686e-27 7.801e-33 210.2364 273.71
DG0856 168.7196 100.6022 1.684e-15 1.443e-15 5.567e-16 176.1705 273.5
DG0857 169.4198 100.3195 1.601e-15 1.281e-15 5.506e-16 151.1681 272.81
DG0858 168.4292 99.5937 1.247e-15 9.627e-16 4.782e-16 210.0965 274.27
DG0859 169.1958 100.7213 1.674e-15 1.459e-15 7.002e-16 182.6314 272.65
DG0860 169.365 100.3919 1.871e-15 1.463e-15 6.731e-16 210.7653 275.2
DG0861 169.6022 100.0922 1.669e-15 1.247e-15 5.77e-16 172.7453 274.93
DG0862 168.0763 100.3313 1.679e-15 1.351e-15 5.48e-16 172.1868 274.86
DG0863 169.2334 100.019 6.07e-26 1.764e-27 8.072e-33 167.9479 275.54
DG0866 220.8409 99.8691 2.857e-16 2.32e-16 1.076e-16 118.3645 589.1
DG0867 220.7654 99.8632 5.995e-26 1.595e-27 7.121e-33 90.9047 589.74
DG0868 220.7939 99.8443 4.135e-16 3.336e-16 1.416e-16 78.9701 587.86
DG0869 220.9044 99.8454 4.326e-16 3.568e-16 1.837e-16 74.1589 589.5
DG0870 220.8634 100.0226 3.837e-16 3.416e-16 1.447e-16 79.9644 588.95
DG0877 164.3686 56.9413 1.426e-15 1.08e-15 3.8e-16 256.1947 504.81
DG0878 164.364 57.3614 5.949e-16 5.289e-16 2.308e-16 98.1599 504.31
DG0879 163.5208 57.0585 5.224e-16 3.966e-16 1.824e-16 92.3395 505.71
DG0880 163.9851 57.0671 3.521e-16 3.032e-16 1.272e-16 200.8268 502.25
DG0881 165.3359 57.3536 8.4e-16 6.127e-16 2.213e-16 107.6613 501.14
DG0882 163.9275 56.3696 4.049e-16 3.095e-16 1.304e-16 118.8227 505.85
DG0883 164.6116 56.3065 3.664e-16 3.008e-16 1.298e-16 104.6965 501.97
DG0884 163.3388 56.8387 5.177e-16 4.144e-16 1.814e-16 110.3375 506.26
DG0885 164.3713 56.3524 5.531e-16 4.911e-16 2.172e-16 97.8311 498.36
DG0886 164.1652 57.031 5.352e-16 4.493e-16 2.265e-16 118.8164 503.66
DG0887 163.6855 57.4066 5.135e-16 4.094e-16 1.775e-16 84.0932 506.05
DG0888 164.0901 57.4395 4.367e-16 3.391e-16 1.633e-16 175.7636 501.35
DG0889 164.4175 57.4773 5.546e-16 4.34e-16 1.874e-16 91.1185 503.79
DG0890 164.2808 57.3049 5.655e-16 5.018e-16 2.246e-16 98.6153 498.41
DG0891 163.7906 57.0858 5.488000000000001e-26 1.349e-27 7.505e-33 109.5897 499.36
DG0892 163.3987 57.392 6.155e-16 4.905e-16 2.217e-16 93.3069 505.16
DG0893 165.2295 56.4257 5.497e-16 4.427e-16 1.915e-16 93.9878 500.75
DG0894 164.0678 56.7405 5.431e-16 4.151e-16 1.768e-16 87.7818 506.03
DG0895 164.7145 57.5682 5.267e-16 4.577e-16 1.744e-16 93.705 504.27
DG0896 163.8688 57.072 5.01e-16 4.067e-16 1.967e-16 85.4377 505.18
DG0897 164.3069 57.5228 4.008e-16 3.426e-16 1.651e-16 163.6082 506.08
DG0898 163.4812 56.7075 6.317e-16 4.325e-16 2.165e-16 99.2448 499.06
DG0899 164.2802 56.948 3.444e-16 2.998e-16 1.424e-16 190.2067 499.71
DG0900 163.9247 56.5845 4.543e-16 3.592e-16 1.559e-16 173.1089 499.82
DG0901 164.5492 56.9099 6.234e-16 4.786e-16 1.944e-16 94.6865 499.99
DG0902 164.3795 56.8246 3.199e-16 2.601e-16 1.203e-16 123.1269 501.54
DG0903 163.7312 56.245 6.019e-16 4.394e-16 2.004e-16 109.0094 505.89
DG0974 172.6039 62.8364 4.781e-15 3.362e-15 1.481e-15 522.9127 150.33
DG0975 172.5855 61.9749 5.319e-15 3.938e-15 1.663e-15 266.9835 150.17
DG0976 173.0341 63.4704 5.709e-15 4.578e-15 2.108e-15 371.4401 150.7
DG0977 172.5475 63.5427 5.27e-15 4.569e-15 1.786e-15 312.3962 151.52
DG0978 172.1139 62.1768 4.976e-15 4.136e-15 1.842e-15 310.1249 149.96
DG0979 172.4379 63.5453 6.051e-15 4.612e-15 2.043e-15 384.7558 150.45
DG0980 153.1322 110.1079 1.525e-15 1.142e-15 3.457e-16 165.8672 518.51
DG0981 152.9547 110.3747 6.791e-16 4.688e-16 2.175e-16 108.5131 518.92
DG0982 152.9455 109.7911 3.485e-16 2.781e-16 1.318e-16 117.357 516.95
DG0983 153.2337 110.7388 5.143e-16 4.03e-16 1.839e-16 86.9565 522.11
DG0984 152.6376 110.0862 4.983e-16 4.321e-16 1.855e-16 93.8183 517.36
DG0985 153.4136 109.536 7.705e-16 6.005e-16 2.243e-16 97.2 520.44
DG0986 153.2539 110.5771 5.336e-16 4.638e-16 1.901e-16 97.6126 521.77
DG0987 153.6431 109.8834 5.676e-26 1.394e-27 6.175e-33 118.4217 518.05
DG0988 152.6601 109.9261 5.17e-16 4.238e-16 1.972e-16 92.4901 516.97
DG0989 153.7651 110.3874 5.347000000000001e-26 1.307e-27 7.678e-33 126.0014 522.3
DG0990 152.7918 109.5918 3.788e-16 3.08e-16 1.282e-16 86.4158 518.54
DG0991 153.7248 109.9091 3.763e-16 2.663e-16 1.126e-16 121.0069 520.23
DG0992 152.8726 110.4243 3.449e-16 2.889e-16 1.228e-16 121.1606 520.09
DG0993 153.0109 110.339 5.493000000000001e-26 1.406e-27 6.783999999999999e-33 122.0042 518.43
