Name Equatorial Polar BlueF GreenF RedF Size RadialVelocity
DG2320 302.7217 51.698 8.483e-15 6.925e-15 2.262e-15 642.4609 207.85
DG2321 302.4599 52.2801 2.177e-15 1.745e-15 8.185e-16 527.3682 213.89
DG2322 300.4313 50.8499 8.672e-26 2.248e-27 1.09e-32 297.8812 213.33
DG2323 301.8497 50.9367 2.206e-15 1.87e-15 8.168e-16 463.3767 213.91
DG2324 301.4963 51.3585 3.678e-15 2.405e-15 1.107e-15 249.06 208.81
DG2325 304.0377 53.5835 3.388e-15 2.632e-15 1.213e-15 222.7452 213.82
DG2326 304.0712 53.0112 2.269e-15 1.988e-15 8.383e-16 366.07 213.2
DG2327 300.133 51.9268 4.551e-15 3.786e-15 1.456e-15 275.2647 213.57
DG2328 301.6348 50.9514 2.583e-15 1.943e-15 9.937e-16 434.4773 212.76
DG2329 303.3796 52.8253 4.873e-15 4.08e-15 1.62e-15 266.9702 213.74
DG2330 301.125 50.6463 8.792000000000001e-26 2.5909999999999998e-27 1.08e-32 294.1719 213.02
DG2331 304.3251 51.6775 1.968e-15 1.696e-15 6.936e-16 314.8177 210.65
DG2332 301.375 53.4529 3.759e-15 3.011e-15 1.483e-15 318.8083 214.71
DG2333 303.323 50.8505 2.585e-15 1.948e-15 9.088e-16 365.5939 212.95
DG2334 304.3133 53.2601 8.935000000000001e-26 2.288e-27 1.146e-32 361.8705 209.44
DG2335 301.1409 50.3594 2.316e-15 1.841e-15 7.613e-16 315.4676 209.09
DG2336 303.3412 50.3142 3.185e-15 3.022e-15 1.261e-15 239.9817 213.8
DG2337 304.6671 52.2651 3.089e-15 2.372e-15 1.125e-15 220.2494 214.88
DG2338 304.8521 51.7109 4.213e-15 3.471e-15 1.406e-15 234.4538 213.89
DG2339 301.1513 51.9146 2.661e-15 2.094e-15 7.95e-16 400.2313 213.7
DG2340 302.6705 52.6243 2.306e-15 1.84e-15 7.72e-16 469.7117 210.66
DG2341 304.192 52.7185 2.974e-15 2.398e-15 1.174e-15 262.7738 209.91
DG2342 304.8211 50.2252 2.536e-15 1.816e-15 8.39e-16 286.1553 213.08
DG2343 301.7473 50.5256 3.349e-15 2.647e-15 1.226e-15 266.2436 210.88
DG2344 303.8354 53.527 9.186000000000001e-26 2.479e-27 1.043e-32 298.2501 209.63
