Name Equatorial Polar BlueF GreenF RedF Size RadialVelocity
DG0001 60.4073 78.6534 6.073e-15 4.678e-15 1.542e-15 361.5463 234.03
DG0002 60.3969 78.8166 2.370e-15 1.751e-15 8.099e-16 181.6891 236.47
DG0003 59.5601 78.3606 1.611e-15 1.315e-15 6.133e-16 333.4454 237.05
DG0004 60.4870 78.2419 2.650e-15 2.114e-15 9.255e-16 206.678 232.58
DG0005 60.4290 77.0615 2.351e-15 1.747e-15 7.801e-16 198.3882 235.25
DG0006 60.0880 77.7100 2.408e-15 1.695e-15 7.512e-16 193.2511 232.9
DG0007 59.2075 77.5923 7.288e-26 2.042e-27 9.002e-33 267.8861 238.98
DG0008 58.8222 77.9475 2.338e-15 1.766e-15 7.157e-16 165.9569 240.58
DG0009 59.2025 78.0671 2.612e-15 2.087e-15 8.795e-16 228.9845 234.88
DG0010 58.8590 78.6487 2.481e-15 2.003e-15 8.787e-16 215.0096 233.48
DG0011 59.6067 79.3579 1.631e-15 1.148e-15 5.423e-16 275.7926 234.81
DG0012 61.4331 79.3358 1.566e-15 1.250e-15 5.922e-16 341.9887 237.66
DG0013 60.6408 79.4800 1.788e-15 1.463e-15 6.673e-16 356.9305 236.22
DG0014 59.8978 76.9842 2.365e-15 1.668e-15 6.951e-16 187.554 236.39
DG0015 60.0010 79.9289 2.371e-15 1.771e-15 8.919e-16 212.3461 233.13
DG0016 60.5849 79.1218 2.104e-15 1.735e-15 7.032e-16 172.1418 234.12
DG0017 60.2148 79.0647 2.580e-15 2.060e-15 9.105e-16 220.4484 238.66
DG0018 61.2463 78.9578 2.042e-15 1.838e-15 7.814e-16 209.1276 234.19
DG0019 59.6295 78.3044 3.076e-15 2.728e-15 9.835e-16 221.3632 237.88
DG0020 60.7361 77.7378 2.348e-15 1.732e-15 7.272e-16 171.5753 233.76
DG0021 60.6008 79.3569 2.369e-15 1.986e-15 7.927e-16 223.0827 238.26
DG0022 207.1609 61.6911 1.473e-15 1.102e-15 5.308e-16 323.0957 251.19
DG0023 206.8852 62.1814 1.792e-15 1.368e-15 6.088e-16 167.3703 252.14
DG0024 207.0773 61.6898 1.575e-15 1.516e-15 6.875e-16 194.9471 251.93
DG0025 206.9709 61.2362 1.923e-15 1.465e-15 5.036e-16 190.9118 251.44
DG0026 207.0741 61.5452 6.631e-26 1.833e-27 7.276e-33 203.2005 250.5
DG0027 207.4771 62.1277 1.818e-15 1.398e-15 6.367e-16 177.6312 251.53
DG0028 254.0168 142.2673 3.836e-15 2.610e-15 9.762e-16 357.5326 308.1
DG0029 254.4756 142.7411 1.025e-15 7.631e-16 3.438e-16 329.3579 312.31
DG0030 254.0382 141.5982 5.920e-26 1.558e-27 8.033e-33 197.1956 310.12
DG0031 254.3642 141.6357 1.271e-15 1.127e-15 4.655e-16 149.7109 310.38
DG0032 252.2185 142.7775 1.231e-15 1.083e-15 4.589e-16 147.3778 312.52
DG0033 253.6117 141.4036 9.731e-16 8.257e-16 3.446e-16 161.8866 312.44
DG0034 253.0965 142.7100 1.348e-15 1.142e-15 5.069e-16 161.1077 308.4
DG0035 255.5478 141.8767 9.675e-16 7.689e-16 3.343e-16 201.4512 307.24
DG0036 252.4640 141.2056 1.391e-15 1.127e-15 4.660e-16 147.1719 308.48
DG0037 252.7763 142.7067 1.417e-15 1.135e-15 4.440e-16 160.8186 311.02
DG0038 253.3994 141.9279 1.075e-15 9.008e-16 4.254e-16 296.1974 310.82
DG0039 254.3709 141.9433 1.531e-15 1.342e-15 5.045e-16 177.5389 312.21
DG0040 253.6612 141.3212 1.510e-15 1.206e-15 5.329e-16 195.6943 308.05
DG0041 255.1916 141.9287 1.382e-15 1.060e-15 4.251e-16 165.5297 307.65
DG0042 253.6689 141.4396 1.494e-15 1.192e-15 5.450e-16 159.2714 308.2
DG0043 255.1349 142.4892 1.314e-15 9.590e-16 4.632e-16 135.0906 308.49
DG0044 255.5925 141.9294 1.308e-15 1.175e-15 4.667e-16 165.3227 308.2
DG0045 252.6751 142.8505 1.457e-15 1.203e-15 5.096e-16 155.6239 310.76
DG0046 254.9823 141.1905 1.294e-15 1.192e-15 4.692e-16 148.7937 309.85
DG0047 256.0869 141.5900 5.841e-26 1.534e-27 7.595e-33 192.6333 310.0
DG0048 253.0795 141.0587 5.966e-26 1.595e-27 7.248e-33 200.0478 311.07
DG0049 67.1885 41.0695 1.588e-15 1.315e-15 5.570e-16 232.4746 216.77
DG0050 40.9515 56.5399 9.977e-16 6.477e-16 2.291e-16 208.4259 627.35
DG0051 41.0766 56.7896 3.689e-16 2.861e-16 1.402e-16 76.2103 630.12
DG0052 41.2872 56.5909 3.198e-16 2.672e-16 1.126e-16 77.7296 626.81
DG0053 40.9501 56.7125 4.739e-16 3.465e-16 1.505e-16 66.1105 630.2
DG0054 40.9082 56.2793 3.839e-16 3.117e-16 1.226e-16 82.6478 628.32
DG0055 41.1247 56.3228 6.547e-26 1.726e-27 8.342e-33 76.8832 629.88
DG0056 41.0770 56.2313 4.838e-16 3.266e-16 1.671e-16 77.0626 629.93
DG0057 41.0068 56.2935 3.102e-16 2.774e-16 1.202e-16 70.557 627.77
DG0058 40.9293 56.5696 2.052e-16 1.742e-16 7.292e-17 243.6268 628.88
DG0059 41.2105 56.6830 3.120e-16 2.524e-16 1.202e-16 67.6622 630.04
DG0060 40.9343 56.5532 3.232e-16 2.656e-16 1.187e-16 69.969 629.57
DG0061 123.7763 65.7936 6.819e-16 5.535e-16 1.925e-16 144.0788 757.44
DG0062 123.4745 65.6943 1.836e-16 1.384e-16 7.049e-17 68.2279 754.45
DG0063 123.8304 65.7286 8.374e-26 1.986e-27 9.129e-33 70.17 757.62
DG0064 123.8273 65.9665 8.378e-26 2.042e-27 9.464e-33 77.3634 754.45
DG0065 123.6279 65.6787 3.462e-16 2.727e-16 1.163e-16 57.4239 758.2
DG0066 123.7508 65.5987 2.775e-16 2.425e-16 1.014e-16 74.595 754.51
DG0067 123.8706 65.7522 2.262e-16 1.998e-16 9.378e-17 54.5976 757.68
DG0068 124.0646 65.8589 3.560e-16 2.755e-16 1.079e-16 68.1807 755.9
DG0069 123.6951 66.0697 2.177e-16 2.027e-16 8.359e-17 65.5096 754.25
DG0070 123.8448 65.6020 7.573e-26 2.135e-27 9.992e-33 68.0697 757.1
DG0071 124.0898 65.8217 3.479e-16 2.877e-16 1.183e-16 67.8737 757.24
DG0072 123.6005 65.6489 2.438e-16 1.912e-16 8.258e-17 59.2834 758.55
DG0073 123.9792 65.7754 8.161e-26 2.209e-27 1.038e-32 72.2217 758.25
