Name Direction X Y Photon-Count
FE01 Top -6.97 -40.48 13691
FE02 Top -36.10 -20.79 41522
FE03 Back -19.11 -40.07 384
FE04 Front 30.39 7.28 4827
FE05 Bottom -10.86 -34.06 379
FE06 Top -23.40 10.27 1915
FE07 Top -5.39 12.59 40695
FE08 Bottom -10.95 -34.02 372
FE09 Left -11.01 23.69 1241
FE10 Right 4.34 39.06 15604
FE11 Top 36.21 15.44 8389
FE12 Top 36.03 -21.03 1837
FE13 Back -0.66 30.12 326
FE14 Back 3.55 -10.40 343
FE15 Right -21.11 -36.99 1040
FE16 Top 18.88 8.63 3494
FE17 Back -41.87 26.71 64361
FE18 Bottom -12.54 24.13 2790
FE19 Back -16.69 -17.36 60556
FE20 Back 4.42 -25.94 553
FE21 Front 15.30 25.42 1754
FE22 Front 38.55 27.23 1590
FE23 Front 11.12 -20.61 16745
FE24 Left 34.79 27.74 15114
FE25 Back -8.44 17.27 6455
FE26 Left -1.78 -21.75 1099
FE27 Front -3.07 -12.62 5775942
FE28 Top 37.48 -20.99 1836
FE29 Back -23.61 -44.28 105150
FE30 Bottom 22.68 18.60 53043
FE31 Back -11.05 33.18 1553
FE32 Right 13.08 22.83 16675
FE33 Front 38.72 27.20 1582
FE34 Right 11.97 -26.10 366
FE35 Left 8.55 12.45 74609
FE36 Back -0.32 5.93 2741
FE37 Back -5.92 11.37 12587
FE38 Back -19.10 -39.57 387
FE39 Right 4.39 15.71 18058
FE40 Back 39.99 2.41 183342
FE41 Back -8.50 18.43 6785
FE42 Back -15.51 -9.14 3087
FE43 Bottom 22.77 18.65 53297
FE44 Top 9.72 -2.70 299939
FE45 Bottom 16.62 13.69 18787734
FE46 Bottom 37.85 -1.14 344
FE47 Right -28.52 -28.93 2350
FE48 Top -25.35 -8.51 2977
FE49 Front -28.20 26.84 1437
FE50 Right -28.00 -29.05 2327
FE51 Right 1.83 -30.65 495
FE52 Top 37.46 24.09 2842
FE53 Back -13.39 39.03 1706
FE54 Back 33.46 36.71 2058
FE55 Front 24.85 15.48 3587
