Name X Y BlueF GreenF RedF Size RadialVelocity
DG0022 23.0881 27.2432 1.473e-15 1.102e-15 5.308e-16 323.0957 251.19
DG0023 22.8152 26.6220 1.792e-15 1.368e-15 6.088e-16 167.3703 252.14
DG0024 23.0052 27.2243 1.575e-15 1.516e-15 6.875e-16 194.9471 251.93
DG0025 22.8999 27.7164 1.923e-15 1.465e-15 5.036e-16 190.9118 251.44
DG0026 23.0020 27.3884 6.631e-26 1.833e-27 7.276e-33 203.2005 250.5
DG0027 23.4027 26.8244 1.818e-15 1.398e-15 6.367e-16 177.6312 251.53
DG0074 9.9364 18.8943 3.059e-15 2.599e-15 1.095e-15 324.1538 167.93
DG0075 9.8743 19.0133 4.462e-15 3.387e-15 1.326e-15 246.6765 167.89
DG0091 -27.7325 -30.7052 9.875e-17 7.935e-17 3.398e-17 67.7192 1032.15
DG0092 -27.6233 -30.6561 9.566e-17 7.992e-17 3.856e-17 43.9415 1033.94
DG0093 -27.7653 -30.6587 1.217e-16 1.081e-16 5.226e-17 40.931 1032.6
DG0094 -27.8148 -30.7664 1.545e-25 3.926e-27 2.006e-32 45.9236 1033.82
DG0095 -27.7141 -30.5902 1.849e-16 1.559e-16 7.064e-17 48.2139 1032.7
DG0237 3.3689 31.3768 3.179e-15 2.396e-15 1.165e-15 451.3596 160.16
DG0238 2.5812 31.2172 3.989e-15 3.075e-15 1.290e-15 266.0434 157.59
DG0239 3.0999 31.0662 3.711e-15 3.284e-15 1.342e-15 282.6359 158.31
DG0240 2.6838 31.5008 4.961e-15 3.902e-15 1.721e-15 310.031 159.82
DG0241 3.6045 30.6966 1.113e-25 2.699e-27 1.211e-32 283.0436 160.16
DG0242 3.4920 31.5805 4.233e-15 3.274e-15 1.328e-15 236.9772 159.35
DG0272 -38.2734 20.1012 1.044e-15 8.741e-16 3.741e-16 272.0044 266.33
DG0273 -37.9780 20.4857 1.777e-15 1.481e-15 5.566e-16 184.0251 266.47
DG0274 -38.4733 20.4170 1.443e-15 1.094e-15 5.253e-16 174.6795 265.77
DG0275 -38.1816 20.3199 1.110e-15 8.759e-16 3.733e-16 198.7819 265.43
DG0276 -38.3264 19.6750 1.425e-15 1.195e-15 5.704e-16 152.2431 265.37
DG0278 9.8366 -5.9235 6.309e-16 4.688e-16 2.331e-16 256.1441 352.71
DG0279 9.7964 -5.8915 1.224e-15 9.845e-16 4.198e-16 120.4563 351.63
DG0280 9.8889 -5.8769 6.333e-26 1.461e-27 6.571e-33 143.5662 353.14
DG0281 9.6702 -6.0775 8.668e-16 7.711e-16 3.229e-16 134.6241 351.97
DG0282 9.8106 -5.6129 9.331e-16 7.170e-16 3.441e-16 111.5055 352.69
DG0283 9.8091 -6.0096 1.026e-15 8.434e-16 3.569e-16 130.9358 354.92
DG0284 9.6941 -6.0271 7.190e-16 5.225e-16 2.341e-16 157.5509 353.39
DG0338 2.9040 -37.6599 1.016e-14 7.990e-15 3.363e-15 445.7879 93.79
