Name X Y BlueF GreenF RedF Size RadialVelocity
DG0001 -25.5559 10.3845 6.073e-15 4.678e-15 1.542e-15 361.5463 234.03
DG0002 -25.5668 10.2323 2.370e-15 1.751e-15 8.099e-16 181.6891 236.47
DG0003 -26.4435 10.7514 1.611e-15 1.315e-15 6.133e-16 333.4454 237.05
DG0004 -25.4733 10.7632 2.650e-15 2.114e-15 9.255e-16 206.678 232.58
DG0005 -25.5334 11.8865 2.351e-15 1.747e-15 7.801e-16 198.3882 235.25
DG0006 -25.8887 11.3100 2.408e-15 1.695e-15 7.512e-16 193.2511 232.9
DG0007 -26.8174 11.5250 7.288e-26 2.042e-27 9.002e-33 267.8861 238.98
DG0008 -27.2292 11.2302 2.338e-15 1.766e-15 7.157e-16 165.9569 240.58
DG0009 -26.8227 11.0712 2.612e-15 2.087e-15 8.795e-16 228.9845 234.88
DG0010 -27.1897 10.5547 2.481e-15 2.003e-15 8.787e-16 215.0096 233.48
DG0011 -26.3943 9.8030 1.631e-15 1.148e-15 5.423e-16 275.7926 234.81
DG0012 -24.5010 9.6483 1.566e-15 1.250e-15 5.922e-16 341.9887 237.66
DG0013 -25.3140 9.5880 1.788e-15 1.463e-15 6.673e-16 356.9305 236.22
DG0014 -26.0879 12.0237 2.365e-15 1.668e-15 6.951e-16 187.554 236.39
DG0015 -25.9797 9.2286 2.371e-15 1.771e-15 8.919e-16 212.3461 233.13
DG0016 -25.3718 9.9277 2.104e-15 1.735e-15 7.032e-16 172.1418 234.12
DG0017 -25.7563 10.0178 2.580e-15 2.060e-15 9.105e-16 220.4484 238.66
DG0018 -24.6916 10.0166 2.042e-15 1.838e-15 7.814e-16 209.1276 234.19
DG0019 -26.3702 10.7971 3.076e-15 2.728e-15 9.835e-16 221.3632 237.88
DG0020 -25.2156 11.2113 2.348e-15 1.732e-15 7.272e-16 171.5753 233.76
DG0021 -25.3554 9.7065 2.369e-15 1.986e-15 7.927e-16 223.0827 238.26
DG0061 30.0979 24.3377 6.819e-16 5.535e-16 1.925e-16 144.0788 757.44
DG0062 29.7560 24.3650 1.836e-16 1.384e-16 7.049e-17 68.2279 754.45
DG0063 30.1595 24.4270 8.374e-26 1.986e-27 9.129e-33 70.17 757.62
DG0064 30.1559 24.1559 8.378e-26 2.042e-27 9.464e-33 77.3634 754.45
DG0065 29.9295 24.4260 3.462e-16 2.727e-16 1.163e-16 57.4239 758.2
DG0066 30.0689 24.5521 2.775e-16 2.425e-16 1.014e-16 74.595 754.51
DG0067 30.2053 24.4117 2.262e-16 1.998e-16 9.378e-17 54.5976 757.68
DG0068 30.4267 24.3458 3.560e-16 2.755e-16 1.079e-16 68.1807 755.9
DG0069 30.0058 24.0021 2.177e-16 2.027e-16 8.359e-17 65.5096 754.25
DG0070 30.1759 24.5754 7.573e-26 2.135e-27 9.992e-33 68.0697 757.1
DG0071 30.4557 24.3955 3.479e-16 2.877e-16 1.183e-16 67.8737 757.24
DG0072 29.8985 24.4521 2.438e-16 1.912e-16 8.258e-17 59.2834 758.55
DG0073 30.3292 24.4164 8.161e-26 2.209e-27 1.038e-32 72.2217 758.25
DG0076 14.0625 9.4810 3.736e-15 2.837e-15 1.215e-15 332.4787 169.38
DG0078 24.7134 -9.7120 3.878e-16 2.963e-16 1.038e-16 116.2488 1038.06
DG0079 24.7018 -9.7086 1.353e-16 1.152e-16 4.715e-17 40.1776 1038.98
DG0080 24.4999 -9.6520 1.416e-16 1.255e-16 5.699e-17 49.8454 1040.65
DG0081 24.7513 -9.6422 9.231e-17 7.751e-17 3.322e-17 103.4539 1039.05
DG0082 24.7244 -9.5730 1.511e-25 3.477e-27 1.935e-32 54.5076 1041.51
DG0083 24.9126 -9.7221 1.314e-16 1.125e-16 5.569e-17 45.4123 1041.75
DG0084 24.8788 -9.8813 1.583e-16 1.310e-16 6.124e-17 51.3741 1036.98
DG0085 24.7085 -9.6504 1.507e-25 3.730e-27 1.960e-32 42.8707 1038.64
DG0086 24.7038 -9.5476 1.556e-16 1.299e-16 5.821e-17 41.5551 1040.52
DG0087 24.8040 -9.6429 2.079e-16 1.575e-16 6.391e-17 52.0134 1042.64
DG0088 24.5070 -9.7862 1.401e-16 1.265e-16 5.897e-17 48.2597 1040.01
DG0089 24.4575 -9.7644 1.416e-25 3.977e-27 1.947e-32 58.4958 1041.03
DG0090 24.7295 -9.4712 1.516e-25 4.151e-27 1.744e-32 62.6964 1040.03
DG0267 -14.8654 -26.1118 1.213e-15 1.087e-15 4.749e-16 277.2762 213.43
DG0268 -14.8731 -26.1863 1.396e-15 9.939e-16 4.567e-16 227.8102 214.7
DG0269 -14.9990 -26.4152 6.616e-26 1.644e-27 8.702e-33 229.0522 213.68
DG0270 -14.7984 -25.7914 1.885e-15 1.320e-15 6.448e-16 173.2584 214.05
DG0271 -14.8637 -26.0913 1.852e-15 1.542e-15 5.561e-16 174.0708 214.36
DG0329 -35.7078 28.6130 2.570e-16 2.212e-16 9.345e-17 148.8569 571.4
DG0330 -35.4366 28.6630 5.817e-26 1.425e-27 7.300e-33 93.0261 569.39
DG0331 -35.6527 28.8002 6.279e-26 1.655e-27 7.800e-33 97.4276 570.38
DG0332 -35.7731 28.4993 4.018e-16 3.457e-16 1.435e-16 95.8545 572.08
DG0333 -35.8216 28.7327 4.102e-16 3.222e-16 1.543e-16 85.3834 569.39
