Name X Y BlueF GreenF RedF Parallax RadialVelocity Variable?
S038039 -22.4356 -39.2244 3.839e-22 7.505e-22 2.098e-21 0.0 99.64 0.0
S038041 -22.3142 -39.1775 4.135e-18 8.453e-18 2.661e-17 0.0 99.01 1.0
S038043 -22.4329 -39.1635 8.990e-21 1.286e-20 1.946e-20 0.0 100.01 0.0
S038044 -22.5792 -39.1 7.471e-19 1.735e-18 6.992e-18 0.0 100.83 0.0
S038045 -22.457 -39.1751 1.075e-18 1.672e-18 2.891e-18 0.0 100.57 0.0
S038046 -22.4026 -39.2533 2.955e-20 3.782e-20 4.350e-20 0.001 99.28 0.0
S038048 -22.4702 -39.1909 2.571e-22 4.930e-22 1.311e-21 0.001 100.53 0.0
S038050 -22.4219 -39.1409 1.496e-21 2.454e-21 4.934e-21 0.0 99.84 0.0
S038051 -22.3854 -39.1638 1.979e-18 1.785e-18 1.058e-18 0.0 99.33 0.0
S038054 -22.4367 -39.1922 1.108e-18 1.835e-18 3.775e-18 0.0 99.79 0.0
S038056 -22.4456 -39.2715 3.606e-21 5.371e-21 8.839e-21 0.0 99.83 0.0
S038057 -22.5366 -39.1706 2.070e-19 2.310e-19 2.087e-19 0.0 100.97 0.0
S038058 -22.5124 -39.1915 7.955e-20 9.478e-20 9.888e-20 0.0 100.7 0.0
S038059 -22.4308 -39.169 1.276e-19 1.421e-19 1.301e-19 0.0 99.87 0.0
S038060 -22.4417 -39.1526 4.036e-22 7.488e-22 1.922e-21 0.0 100.19 0.0
S038061 -22.4437 -39.2009 2.266e-19 2.461e-19 2.036e-19 0.0 100.02 0.0
S038063 -22.4287 -39.1815 1.074e-22 2.337e-22 8.444e-22 0.0 99.4 0.0
S038065 -22.4873 -39.2802 3.427e-22 6.098e-22 1.447e-21 0.0 100.18 0.0
S038069 -22.4341 -39.1849 2.948e-20 3.545e-20 3.763e-20 0.0 99.46 0.0
S038072 -22.4261 -39.1724 4.846e-20 5.888e-20 6.073e-20 0.0 99.66 0.0
S038077 -22.4056 -39.0908 1.122e-22 2.267e-22 7.089e-22 0.0 99.91 0.0
S038078 -22.441 -39.1716 6.790e-21 9.213e-21 1.256e-20 0.0 100.13 0.0
S038082 -22.4419 -39.1772 9.340e-18 1.449e-17 2.558e-17 0.0 100.33 0.0
S038083 -22.4388 -39.2718 1.701e-21 2.564e-21 4.470e-21 0.0 99.69 0.0
S038084 -22.4061 -39.0002 3.550e-20 4.124e-20 4.087e-20 0.0 100.14 0.0
S038088 -22.4458 -39.0441 9.272e-18 7.437e-18 3.438e-18 0.0 100.39 0.0
S038089 -22.4973 -39.223 9.287e-20 9.964e-20 8.494e-20 0.0 100.64 0.0
S038091 -22.4545 -39.2182 3.216e-22 5.954e-22 1.558e-21 0.0 100.14 0.0
S038092 -22.4431 -39.1329 5.672e-19 8.697e-19 1.543e-18 0.0 100.32 0.0
S038093 -22.3311 -39.1989 2.327e-21 3.663e-21 6.884e-21 0.0 98.98 0.0
S038095 -22.4262 -39.1765 4.412e-21 6.286e-21 9.346e-21 0.0 99.4 0.0
S038098 -22.4339 -39.3535 1.441e-18 2.350e-18 4.643e-18 0.0 99.66 0.0
S038099 -22.4277 -39.1957 4.364e-20 4.870e-20 4.438e-20 0.0 99.42 0.0
S038100 -22.3521 -39.3178 2.240e-20 2.587e-20 2.574e-20 0.0 99.16 0.0
S038101 -22.4168 -39.1027 1.588e-18 3.431e-18 1.200e-17 0.0 100.05 0.0
S038103 -22.2602 -39.1675 4.522e-21 6.544e-21 9.864e-21 0.0 99.17 0.0
S038107 -22.4176 -39.0946 5.787e-19 5.944e-19 4.455e-19 0.0 99.98 0.0
S038108 -22.4282 -39.2073 1.274e-20 1.712e-20 2.220e-20 0.001 99.59 0.0
S038110 -22.4056 -39.1719 2.513e-22 4.498e-22 1.096e-21 0.0 99.33 0.0
S038111 -22.4407 -39.1805 7.587e-14 6.117e-14 2.928e-14 0.0 100.41 1.0
S038113 -22.4502 -39.1872 2.637e-19 2.665e-19 1.891e-19 0.0 100.42 0.0
S038115 -22.4433 -39.2376 2.238e-21 3.431e-21 5.948e-21 0.0 99.62 0.0
S038117 -22.5186 -39.1629 2.303e-20 2.806e-20 3.129e-20 0.0 100.86 0.0
S038118 -22.4607 -39.1907 3.228e-18 6.944e-18 2.544e-17 0.0 100.49 1.0
S038120 -22.4056 -39.2341 3.376e-22 5.976e-22 1.415e-21 0.0 99.28 0.0
S038123 -22.4357 -39.1806 5.387e-20 6.569e-20 7.009e-20 0.0 99.93 0.0
S038124 -22.4518 -39.2096 4.692e-21 6.466e-21 9.114e-21 0.0 100.19 0.0
S038128 -22.412 -39.248 2.693e-22 5.261e-22 1.545e-21 0.0 99.36 0.0
S038130 -22.4294 -39.1844 2.217e-21 3.297e-21 5.334e-21 0.0 99.33 0.0
S038133 -22.444 -39.1135 3.799e-20 4.377e-20 4.267e-20 0.0 100.21 0.0
S038134 -22.3394 -39.1797 9.306e-21 1.173e-20 1.329e-20 0.0 99.03 0.0
S038135 -22.4217 -39.1852 1.783e-22 3.474e-22 1.034e-21 0.0 99.53 0.0
S038137 -22.5162 -39.207 2.647e-21 4.027e-21 6.836e-21 0.0 100.54 0.0
S038139 -22.5641 -39.1505 1.814e-18 1.530e-18 7.841e-19 0.0 100.92 0.0
S038140 -22.425 -39.1744 2.840e-20 3.505e-20 4.021e-20 0.0 99.57 0.0
S038143 -22.4111 -39.1921 8.492e-19 7.693e-19 4.499e-19 0.0 99.33 0.0
S038144 -22.3067 -39.2777 3.576e-21 5.427e-21 9.005e-21 0.0 99.17 0.0
S038145 -22.488 -39.1829 2.375e-20 2.782e-20 2.820e-20 0.0 100.63 0.0
S038146 -22.5431 -39.1262 9.658e-19 1.826e-18 4.719e-18 0.0 100.85 0.0
S038147 -22.4465 -39.1583 2.870e-21 4.337e-21 7.233e-21 0.0 100.26 0.0
