Name X Y BlueF GreenF RedF Size RadialVelocity
DG0096 32.9467 -22.2165 4.404e-16 3.579e-16 1.247e-16 181.9105 920.07
DG0097 33.2246 -22.4641 1.135e-16 9.727e-17 4.357e-17 77.5333 927.32
DG0098 33.2197 -22.5483 1.156e-25 3.184e-27 1.403e-32 60.0875 925.39
DG0099 32.7832 -21.7612 2.130e-16 1.879e-16 8.209e-17 58.7014 920.65
DG0100 33.1592 -22.5943 1.122e-16 8.470e-17 3.610e-17 63.4985 919.65
DG0101 33.2528 -22.3639 1.709e-16 1.481e-16 7.184e-17 53.1212 922.96
DG0102 33.3829 -22.4688 1.612e-16 1.249e-16 5.801e-17 46.6805 923.06
DG0103 33.0670 -22.1505 1.104e-25 3.024e-27 1.578e-32 58.8632 922.24
DG0104 33.3552 -22.0437 1.486e-16 1.418e-16 5.642e-17 46.4307 921.76
DG0105 33.2919 -22.6154 1.574e-16 1.399e-16 5.858e-17 51.6993 928.03
DG0106 32.7665 -22.1644 1.598e-16 1.275e-16 5.875e-17 43.8957 924.79
DG0107 32.5345 -22.3410 1.734e-16 1.433e-16 6.449e-17 50.8563 920.54
DG0108 33.0353 -22.4366 1.157e-16 9.649e-17 4.693e-17 48.2839 922.41
DG0109 33.5272 -22.3156 1.120e-25 3.059e-27 1.416e-32 53.94 926.2
DG0110 32.6540 -21.9353 1.590e-16 1.362e-16 6.057e-17 47.3388 924.22
DG0111 32.8579 -21.7782 1.494e-16 1.317e-16 6.293e-17 48.7102 921.34
DG0112 32.7512 -21.6768 1.200e-16 9.852e-17 4.541e-17 48.182 925.37
DG0113 32.6700 -22.5569 1.171e-25 3.250e-27 1.601e-32 63.3004 927.72
DG0114 32.4302 -22.1496 1.224e-16 1.007e-16 4.412e-17 55.5297 920.39
DG0115 32.9700 -22.2201 1.204e-25 2.979e-27 1.645e-32 50.048 925.72
DG0116 33.0357 -22.3972 1.174e-16 8.427e-17 4.108e-17 112.2924 924.85
DG0117 32.7335 -21.7524 2.345e-16 2.108e-16 7.922e-17 51.4259 919.58
DG0118 32.6385 -22.6024 1.113e-25 3.017e-27 1.631e-32 67.1459 920.24
DG0119 33.0301 -22.5873 1.150e-16 9.426e-17 4.446e-17 75.8609 922.84
