Name X Y BlueF GreenF RedF Parallax RadialVelocity Variable?
S007454 -18.4835 22.8291 2.435e-18 2.498e-18 1.853e-18 0.0 113.36 0.0
S007455 -18.5696 22.8195 9.332e-13 7.543e-13 3.499e-13 0.0 116.62 1.0
S007456 -18.494 22.8216 2.157e-19 2.764e-19 3.407e-19 0.0 113.78 0.0
S007457 -18.4969 22.8274 1.172e-17 1.010e-17 5.603e-18 0.0 113.12 0.0
S007458 -18.5141 22.8291 6.895e-25 2.619e-24 2.928e-23 0.0 115.05 0.0
S007459 -18.5104 22.8226 4.116e-25 1.757e-24 2.600e-23 0.0 113.89 0.0
S007460 -18.5162 22.8196 1.105e-24 4.252e-24 5.263e-23 0.0 116.37 0.0
S007461 -18.5121 22.8291 4.956e-24 1.549e-23 1.190e-22 0.0 114.04 0.0
S007462 -18.5474 22.8103 2.253e-20 3.485e-20 6.294e-20 0.0 116.51 0.0
S007463 -18.5888 22.8148 1.658e-21 1.157e-21 3.907e-22 0.0 117.54 0.0
S007464 -18.3686 22.8392 2.121e-22 4.371e-22 1.381e-21 0.0 112.27 0.0
S007465 -18.4934 22.8298 4.980e-22 1.086e-21 3.992e-21 0.0 113.07 0.0
S007466 -18.4876 22.826 8.543e-19 9.695e-19 8.880e-19 0.0 113.62 0.0
S007467 -18.3765 22.8435 5.558e-20 7.901e-20 1.170e-19 0.0 112.36 0.0
S007468 -18.5155 22.8216 2.267e-17 4.380e-17 1.261e-16 0.0 115.53 0.0
S007469 -18.465 22.8213 6.380e-13 5.606e-13 3.114e-13 0.0 113.36 1.0
S007470 -18.5116 22.8266 9.055e-21 1.510e-20 3.265e-20 0.0 114.77 0.0
S007471 -18.4684 22.8297 2.043e-19 2.627e-19 3.073e-19 0.0 112.54 0.0
S007472 -18.5122 22.8234 2.873e-21 5.478e-21 1.481e-20 0.0 116.19 0.0
S007473 -18.5708 22.8094 3.791e-21 6.836e-21 1.680e-20 0.0 117.49 0.0
S007474 -18.5119 22.8255 2.818e-18 2.786e-18 1.945e-18 0.0 113.81 0.0
S007475 -18.5114 22.8243 3.283e-21 6.420e-21 1.870e-20 0.0 114.64 0.0
S007476 -18.5244 22.822 2.778e-17 5.127e-17 1.297e-16 0.0 115.7 0.0
S007477 -18.533 22.8276 4.919e-21 8.670e-21 1.983e-20 0.0 116.5 0.0
S007478 -18.4067 22.822 2.531e-22 6.347e-22 3.028e-21 0.0 113.73 0.0
S007479 -18.4858 22.8336 7.087e-21 1.406e-20 4.030e-20 0.0 113.11 0.0
S007480 -18.4768 22.8219 3.194e-19 3.827e-19 3.937e-19 0.0 113.59 0.0
S007481 -18.4924 22.8311 2.032e-22 4.863e-22 2.225e-21 0.0 113.64 0.0
S007482 -18.4849 22.8232 3.539e-22 7.357e-22 2.489e-21 0.0 112.98 0.0
S007483 -18.4312 22.8297 1.262e-20 2.031e-20 3.858e-20 0.0 113.03 0.0
S007484 -18.498 22.8203 3.517e-20 5.084e-20 8.067e-20 0.0 113.81 0.0
S007485 -18.6032 22.8255 1.022e-17 1.529e-17 2.526e-17 0.0 116.83 0.0
S007486 -18.543 22.8263 1.630e-21 1.123e-21 3.799e-22 0.0 116.57 0.0
S007487 -18.6091 22.8356 7.130e-23 1.815e-22 9.028e-22 0.0 116.12 0.0
S007488 -18.4409 22.833 9.061e-20 1.240e-19 1.697e-19 0.0 112.31 0.0
S007489 -18.509 22.8294 2.157e-23 6.301e-23 4.305e-22 0.0 113.64 0.0
S007490 -18.4865 22.8207 1.429e-18 1.512e-18 1.235e-18 0.0 113.58 0.0
S007491 -18.4532 22.8446 1.633e-22 3.754e-22 1.572e-21 0.0 112.71 0.0
S007492 -18.5042 22.8239 2.044e-23 5.480e-23 3.007e-22 0.0 113.46 0.0
S007493 -18.5002 22.8373 2.087e-28 2.035e-27 1.741e-25 0.0 113.26 0.0
S007494 -18.5024 22.8253 1.361e-23 4.025e-23 2.824e-22 0.0 113.92 0.0
S007495 -18.5197 22.8237 3.275e-21 6.185e-21 1.684e-20 0.0 116.11 0.0
S007496 -18.4861 22.8297 1.568e-21 1.090e-21 3.863e-22 0.0 113.7 0.0
S007497 -18.5557 22.8111 4.227e-20 5.789e-20 8.098e-20 0.0 116.68 0.0
S007498 -18.5142 22.8241 3.392e-23 9.140e-23 5.144e-22 0.0 115.32 0.0
S007499 -18.5243 22.808 5.061e-21 8.455e-21 1.767e-20 0.0 115.49 0.0
S007500 -18.6427 22.8009 2.085e-22 4.555e-22 1.656e-21 0.0 117.74 0.0
S007501 -18.527 22.8237 8.468e-21 1.343e-20 2.410e-20 0.0 116.44 0.0
S007502 -18.5139 22.8265 6.523e-28 5.655e-27 3.698e-25 0.0 115.16 0.0
S007503 -18.5212 22.8221 3.662e-21 7.054e-21 1.977e-20 0.0 116.25 0.0
S007504 -18.428 22.8451 1.859e-25 8.646e-25 1.543e-23 0.0 112.58 0.0
S007505 -18.5542 22.8285 7.325e-23 1.804e-22 8.561e-22 0.0 116.26 0.0
S007506 -18.5033 22.8305 2.537e-19 3.134e-19 3.397e-19 0.0 114.37 0.0
S007507 -18.5169 22.8241 2.998e-24 9.339e-24 7.197e-23 0.0 115.96 0.0
S007508 -18.4917 22.8245 6.327e-22 1.314e-21 4.183e-21 0.0 113.3 0.0
S007509 -18.4778 22.8292 1.231e-17 1.893e-17 3.287e-17 0.0 113.07 0.0
S007510 -18.4321 22.8433 4.252e-21 7.834e-21 1.942e-20 0.0 113.08 0.0
S007511 -18.5401 22.8125 6.770e-23 1.757e-22 9.203e-22 0.0 116.72 0.0
S007512 -18.5724 22.8129 1.191e-23 3.212e-23 1.847e-22 0.0 116.72 0.0
S007513 -18.3254 22.8506 9.595e-22 2.016e-21 6.594e-21 0.0 112.22 0.0
S007514 -18.6427 22.8001 7.500e-25 2.852e-24 3.469e-23 0.0 117.72 0.0
S007515 -18.5191 22.8232 2.361e-24 8.558e-24 9.529e-23 0.0 115.72 0.0
S007516 -18.5452 22.8171 2.335e-21 4.427e-21 1.191e-20 0.0 116.95 0.0
S007517 -18.5214 22.817 4.494e-22 9.943e-22 3.702e-21 0.0 115.61 0.0
S007518 -18.5028 22.8311 1.227e-21 2.404e-21 7.080e-21 0.0 114.41 0.0
S007519 -18.4079 22.8305 5.390e-23 1.208e-22 4.503e-22 0.0 112.23 0.0
S007520 -18.5119 22.8275 1.719e-18 1.838e-18 1.508e-18 0.0 114.42 0.0
S007521 -18.5954 22.8116 5.281e-23 1.233e-22 5.409e-22 0.0 117.52 0.0
S007522 -18.5049 22.8185 2.014e-22 4.557e-22 1.769e-21 0.0 114.46 0.0
S007523 -18.4794 22.8332 5.550e-18 5.116e-18 3.045e-18 0.0 112.82 0.0
S007524 -18.5063 22.8223 7.239e-19 7.817e-19 6.354e-19 0.0 113.95 0.0
S007525 -18.4246 22.8392 4.214e-19 5.028e-19 5.178e-19 0.0 112.43 0.0
S007526 -18.4969 22.8169 3.930e-19 4.804e-19 5.069e-19 0.0 113.45 0.0
