Name Equatorial Polar BlueF GreenF RedF Parallax RadialVelocity Variable?
S434957 199.6365 100.6781 1.469e-18 2.602e-18 6.217e-18 0.001 1.71 0.0
S434958 199.4324 100.291 1.005e-17 1.442e-17 2.212e-17 0.0 4.49 0.0
S434959 199.0104 100.1948 7.913e-17 9.799e-17 1.078e-16 0.001 3.51 0.0
S434960 199.4743 100.4764 7.936e-24 4.747e-23 1.413e-21 0.0 2.75 0.0
S434961 199.3638 100.2723 8.96e-21 2.567e-20 1.695e-19 0.0 4.35 0.0
S434962 199.4404 100.5055 9.742e-18 1.396e-17 2.191e-17 0.0 2.96 0.0
S434963 199.5535 100.3891 2.294e-15 4.795e-15 1.563e-14 0.001 3.36 0.0
S434964 199.4112 100.4862 4.147e-17 5.421e-17 6.563e-17 0.0 3.22 0.0
S434965 199.4449 100.3882 1.3640000000000003e-20 3.658e-20 2.029e-19 0.0 3.26 0.0
S434966 199.5652 100.4782 1.797e-18 2.973e-18 5.829e-18 0.001 1.93 0.0
S434967 199.8144 101.0967 2.604e-16 3.08e-16 3.195e-16 0.001 0.94 0.0
S434968 200.448 101.653 2.762e-19 5.788e-19 1.986e-18 0.001 0.86 0.0
S434969 199.145 99.747 3.327e-18 5.31e-18 1.014e-17 0.0 4.52 0.0
S434970 199.7852 100.5314 3.091e-21 9.389e-21 6.674000000000001e-20 0.0 2.83 0.0
S434971 199.0968 100.0906 3.703e-17 4.922e-17 6.153e-17 0.0 3.97 0.0
S434972 199.442 100.5263 1.366e-18 2.441e-18 5.675e-18 0.0 2.88 0.0
S434973 199.3031 100.2152 1.0679999999999999e-23 5.648e-23 1.291e-21 0.0 4.87 0.0
S434974 199.5302 100.5031 4.747e-21 1.249e-20 6.916e-20 0.001 2.12 0.0
S434975 199.6003 100.4856 6.614e-18 9.948e-18 1.608e-17 0.0 1.96 0.0
S434976 199.474 100.3227 9.711e-20 2.134e-19 7.858e-19 0.0 4.63 0.0
S434977 199.6792 100.7787 3.207e-19 6.655e-19 2.176e-18 0.001 1.49 0.0
