Name X Y BlueF GreenF RedF Size RadialVelocity
DG0049 -15.2032 -36.1467 1.588e-15 1.315e-15 5.570e-16 232.4746 216.77
DG0142 -25.2937 -9.1775 2.081e-15 1.475e-15 5.369e-16 321.5012 437.42
DG0143 -25.2904 -9.0904 7.413e-16 5.374e-16 2.505e-16 109.9185 438.84
DG0144 -25.1462 -8.5536 6.876e-16 6.157e-16 2.522e-16 94.471 438.75
DG0145 -25.4142 -9.0046 5.525e-16 4.256e-16 1.927e-16 188.1383 438.46
DG0146 -25.8843 -9.1747 6.748e-16 5.983e-16 2.538e-16 106.5259 439.17
DG0147 -25.5058 -8.7447 9.817e-16 8.856e-16 3.249e-16 122.7255 438.58
DG0148 -25.6529 -8.8727 7.588e-16 5.924e-16 2.655e-16 120.1686 438.99
DG0149 -26.0865 -9.2933 6.491e-16 5.696e-16 2.588e-16 109.0858 437.34
DG0150 -25.1514 -9.6028 6.092e-16 5.825e-16 2.612e-16 102.5019 438.4
DG0151 -25.3779 -8.5157 7.737e-16 6.593e-16 2.782e-16 124.9342 437.41
DG0152 -25.1035 -9.3472 7.289e-16 5.372e-16 2.504e-16 92.352 437.43
DG0153 -25.4916 -9.5673 5.263e-16 4.368e-16 2.069e-16 161.1877 435.12
DG0154 -25.0424 -9.1577 1.008e-15 8.081e-16 3.434e-16 115.7404 436.73
DG0155 -25.3672 -9.0763 5.408e-16 4.101e-16 1.764e-16 201.9543 437.75
DG0156 -25.0184 -9.6826 8.123e-16 6.918e-16 2.668e-16 113.0149 436.84
DG0167 41.0531 -28.5491 6.408e-16 6.075e-16 2.377e-16 200.778 419.38
DG0168 40.9808 -28.3546 8.007e-16 7.373e-16 3.103e-16 123.1075 419.11
DG0169 40.9528 -28.5282 6.018e-26 1.375e-27 6.812e-33 161.6252 418.95
DG0170 41.5842 -28.5877 9.514e-16 7.402e-16 2.993e-16 127.3469 416.71
DG0171 40.5195 -28.2088 1.224e-15 9.914e-16 3.908e-16 133.7769 416.97
DG0172 41.4675 -28.5613 9.988e-16 7.622e-16 3.811e-16 138.866 419.37
DG0184 -15.9250 -21.2666 1.819e-16 1.256e-16 6.547e-17 125.4798 717.42
DG0185 -15.9492 -21.1655 2.392e-16 2.042e-16 8.806e-17 54.1295 717.58
DG0186 -15.8957 -21.4099 1.779e-16 1.577e-16 6.709e-17 69.2095 716.11
DG0187 -15.7680 -21.2748 2.817e-16 2.344e-16 1.103e-16 64.1814 715.5
DG0188 -15.9442 -21.3755 2.443e-16 2.157e-16 9.214e-17 63.0244 716.96
DG0189 -15.7385 -21.2436 2.919e-16 2.356e-16 1.067e-16 66.2466 715.54
DG0190 -15.8337 -21.2913 1.731e-16 1.580e-16 6.601e-17 58.199 716.97
DG0214 -17.5037 -2.3585 3.843e-15 2.953e-15 8.843e-16 483.7517 263.7
DG0215 -17.8442 -2.8650 1.438e-15 9.965e-16 4.814e-16 165.9098 266.51
DG0216 -18.1309 -2.5186 1.375e-15 1.057e-15 4.975e-16 146.2049 267.13
DG0217 -17.3962 -3.1022 1.441e-15 9.984e-16 4.462e-16 152.1829 265.45
DG0218 -17.3986 -2.5154 1.518e-15 1.152e-15 5.472e-16 196.1254 267.09
DG0219 -17.5411 -2.8909 6.858e-26 1.550e-27 7.502e-33 133.6302 267.31
DG0220 -17.6143 -1.6716 1.404e-15 1.229e-15 5.462e-16 140.6094 267.72
DG0221 -16.6107 -2.2635 1.514e-15 1.248e-15 5.928e-16 162.4565 266.37
DG0222 -17.2902 -2.3959 1.570e-15 1.327e-15 5.280e-16 157.0694 267.62
DG0223 -17.5930 -3.2010 1.326e-15 1.120e-15 4.573e-16 142.7946 265.05
DG0224 -17.2025 -2.3453 1.409e-15 9.994e-16 4.968e-16 153.9044 265.22
DG0225 -17.0839 -2.6117 1.074e-15 8.463e-16 3.979e-16 297.5052 266.15
DG0226 -17.2916 -2.2438 1.382e-15 9.883e-16 4.783e-16 164.0033 266.38
DG0227 -18.0239 -1.9659 1.329e-15 1.002e-15 4.776e-16 158.0856 266.65
DG0252 -31.5475 -21.0179 4.800e-16 3.506e-16 1.272e-16 133.3475 1004.56
DG0253 -31.4145 -21.0325 1.823e-16 1.319e-16 7.017e-17 51.7305 1003.87
DG0254 -31.5123 -21.0378 1.793e-16 1.494e-16 6.719e-17 55.8734 1004.71
DG0255 -31.4890 -21.1160 2.276e-16 1.786e-16 8.161e-17 46.906 1004.5
DG0256 -31.6909 -21.1079 1.448e-16 1.305e-16 6.289e-17 53.3067 1001.37
DG0257 -31.5860 -20.8158 1.278e-25 3.365e-27 1.607e-32 55.9491 1003.04
DG0258 -31.5686 -20.8939 1.631e-16 1.574e-16 7.470e-17 54.9302 1004.92
DG0259 -31.7324 -21.2114 1.240e-25 3.268e-27 1.682e-32 47.829 1002.92
DG0260 -31.5261 -20.8851 1.633e-16 1.281e-16 5.468e-17 46.9454 1004.03
DG0261 -31.6195 -20.9146 1.715e-16 1.293e-16 7.549e-17 49.2358 1001.58
DG0262 18.9083 8.8048 6.386e-16 5.190e-16 2.145e-16 194.2722 351.79
DG0263 18.8977 8.6294 9.776e-16 8.400e-16 3.198e-16 149.5367 350.72
DG0264 18.8344 8.8177 8.325e-16 7.564e-16 2.982e-16 125.39 351.25
DG0265 18.9173 8.6832 8.217e-16 6.469e-16 3.285e-16 101.2052 351.64
DG0266 18.7690 8.7486 9.113e-16 8.464e-16 3.622e-16 140.8168 351.83
DG0303 -4.6668 28.7496 3.567e-16 3.009e-16 9.979e-17 71.0105 1081.92
DG0304 -4.5328 28.6373 1.520e-16 1.145e-16 5.593e-17 45.0948 1080.8
DG0305 -4.6551 28.6952 8.755e-17 7.956e-17 3.441e-17 104.0802 1079.14
DG0306 -4.5922 28.7822 1.272e-16 1.070e-16 4.480e-17 42.7399 1080.84
DG0307 -4.6946 28.6299 1.329e-16 1.083e-16 5.619e-17 43.2111 1081.43
DG0308 -4.6938 28.9044 1.225e-16 9.921e-17 5.499e-17 44.2324 1079.13
DG0309 -4.6717 28.8780 1.304e-16 1.129e-16 5.455e-17 54.3049 1081.06
DG0310 -4.6423 28.7958 1.183e-16 1.034e-16 4.644e-17 35.1675 1079.32
DG0311 -4.7404 28.8806 1.310e-16 1.240e-16 5.238e-17 51.6927 1079.96
DG0312 -4.6170 28.8615 1.210e-16 1.012e-16 4.386e-17 44.1118 1080.4
DG0325 -7.2701 41.6996 1.387e-16 1.173e-16 5.394e-17 78.5586 833.36
DG0326 -7.1617 41.5744 8.121e-26 2.174e-27 1.090e-32 57.1583 832.99
DG0327 -7.2797 41.6903 9.473e-26 2.192e-27 1.132e-32 72.4477 832.63
DG0328 -7.2492 41.6660 1.561e-16 1.240e-16 5.080e-17 84.4198 834.13
DG0404 -19.6280 -44.0095 5.673e-26 1.443e-27 7.039e-33 177.9789 292.0
DG0405 -19.3062 -43.8852 7.160e-16 6.092e-16 2.813e-16 163.4395 292.6
DG0406 -19.2512 -44.1067 1.110e-15 9.096e-16 3.743e-16 129.3043 291.86
DG0407 -19.4095 -44.7205 5.687e-26 1.344e-27 6.990e-33 188.5341 292.53
DG0497 -16.5907 -43.1673 1.423e-15 1.133e-15 4.670e-16 161.3062 277.63
DG0498 -16.4024 -43.1169 9.393e-16 7.228e-16 3.599e-16 156.8318 277.51
DG0512 -14.7314 0.8138 2.290e-15 1.944e-15 8.790e-16 514.886 209.12
DG0513 -14.7496 1.2289 3.731e-15 2.832e-15 1.248e-15 255.5857 208.59
DG0514 -15.0013 0.7459 9.721e-26 2.361e-27 1.220e-32 312.7215 209.6
DG0515 -14.6876 0.3639 3.169e-15 2.727e-15 1.142e-15 245.7617 208.67
DG0516 -14.8945 0.4368 3.643e-15 2.952e-15 1.281e-15 245.7602 209.14
DG0517 -14.5478 1.4580 3.892e-15 3.113e-15 1.219e-15 257.7779 208.01
DG0518 -14.7148 1.3424 2.681e-15 2.227e-15 9.546e-16 285.3964 209.68
DG0529 -5.4969 43.0778 1.277e-16 9.510e-17 4.949e-17 42.0589 1105.31
DG0530 -5.4614 43.0498 1.616e-25 5.140e-27 2.330e-32 56.513 1105.6
DG0531 -5.5288 43.0670 1.369e-16 1.107e-16 5.382e-17 46.7946 1105.51
DG0546 5.9091 6.7769 1.574e-15 1.283e-15 5.291e-16 237.7491 273.7
DG0555 -14.9883 -22.0361 1.307e-15 8.791e-16 3.304e-16 161.5043 541.12
DG0556 -14.8783 -21.5022 4.906e-16 3.985e-16 1.860e-16 92.0507 543.37
DG0557 -14.6891 -22.1760 6.719e-16 5.180e-16 2.228e-16 95.1227 539.1
DG0558 -14.5773 -21.8690 4.557e-16 3.953e-16 1.749e-16 95.0535 540.7
DG0559 -15.1159 -21.5997 6.268e-16 5.196e-16 2.014e-16 86.6111 545.1
DG0560 -14.4158 -21.8145 5.100e-16 3.966e-16 1.763e-16 108.7076 541.35
DG0561 -14.1950 -22.0518 4.827e-16 3.636e-16 1.518e-16 84.8863 543.04
DG0562 -14.5054 -21.8514 3.163e-16 2.555e-16 1.155e-16 121.2643 544.14
DG0563 -14.7865 -22.4676 4.891e-16 4.000e-16 1.645e-16 91.0765 540.73
DG0564 -14.9148 -21.7356 3.548e-16 2.831e-16 1.251e-16 158.9023 543.48
DG0565 -15.1855 -22.1089 3.079e-16 2.661e-16 1.071e-16 183.6488 540.38
DG0566 -15.4435 -21.5700 6.691e-16 5.248e-16 2.126e-16 92.2562 540.96
DG0567 -15.1637 -21.5685 3.313e-16 2.448e-16 1.120e-16 131.825 539.52
DG0568 -14.4454 -22.4010 6.886e-16 5.490e-16 1.974e-16 93.7437 543.0
DG0569 -14.7291 -22.1114 5.936e-26 1.531e-27 6.877e-33 109.1949 539.46
DG0570 -15.3958 -21.4526 4.569e-16 3.862e-16 1.902e-16 90.3907 545.06
DG0571 -14.3978 -21.8579 6.870e-16 4.966e-16 1.942e-16 79.4032 540.45
DG0572 -15.2448 -21.3600 4.451e-16 3.668e-16 1.658e-16 91.3111 543.47
DG0573 -15.0110 -22.0400 2.978e-16 2.526e-16 1.113e-16 176.8484 541.85
DG0574 -14.9259 -22.2890 4.067e-16 3.559e-16 1.556e-16 76.0435 544.39
DG0575 -15.3791 -22.4821 5.999e-26 1.560e-27 7.265e-33 98.0166 540.3
DG0576 -14.7929 -22.4498 3.080e-16 2.555e-16 1.105e-16 99.5938 544.34
DG0577 -14.6303 -22.5545 2.816e-16 2.432e-16 1.098e-16 97.008 540.97
DG0661 -19.3149 -10.3287 7.494e-16 6.070e-16 2.249e-16 224.567 669.0
DG0662 -18.9811 -9.9600 3.203e-16 2.573e-16 1.263e-16 82.3302 668.86
DG0663 -19.1203 -10.3368 1.856e-16 1.510e-16 7.302e-17 75.7622 668.25
DG0664 -19.5466 -10.4559 3.051e-16 2.525e-16 1.200e-16 71.0321 669.12
DG0665 -18.9897 -10.2234 7.204e-26 1.905e-27 8.112e-33 77.5065 668.51
DG0666 -18.8664 -10.3558 6.808e-26 1.642e-27 8.802e-33 70.0914 664.3
DG0667 -19.4987 -10.3676 4.044e-16 3.079e-16 1.322e-16 70.1397 667.16
DG0668 -18.9502 -10.1639 2.427e-16 2.209e-16 1.071e-16 65.2073 667.04
DG0669 -19.2413 -10.4342 2.804e-16 2.350e-16 1.041e-16 59.2885 668.53
DG0670 -19.6501 -10.1760 2.788e-16 2.549e-16 1.163e-16 69.6768 666.2
DG0671 -19.5810 -9.9979 2.006e-16 1.666e-16 7.238e-17 83.9152 667.11
DG0672 -19.1949 -10.4572 1.845e-16 1.523e-16 7.024e-17 89.2 667.7
DG0673 -19.2271 -10.1334 2.586e-16 2.282e-16 9.379e-17 62.5376 669.15
DG0674 -19.6926 -10.1899 6.765e-26 1.627e-27 8.632e-33 73.0274 667.43
DG0675 -19.4048 -10.1745 2.683e-16 2.535e-16 9.136e-17 56.5913 668.58
DG0676 -19.4702 -10.3793 3.045e-16 2.657e-16 1.196e-16 63.2123 663.67
DG0677 -19.0673 -10.3711 1.943e-16 1.419e-16 6.293e-17 84.0307 666.75
DG0678 -19.2679 -10.6489 2.755e-16 2.246e-16 9.511e-17 61.6013 669.07
DG0680 39.2999 -34.1018 2.197e-15 1.741e-15 5.289e-16 397.2399 387.77
DG0681 38.9636 -33.5703 5.787e-16 4.557e-16 2.012e-16 128.6434 387.27
DG0682 39.0046 -32.9678 5.285e-26 1.434e-27 6.197e-33 143.0102 384.76
DG0683 38.4950 -33.6342 5.722e-26 1.357e-27 6.678e-33 121.4531 386.47
DG0684 38.8815 -34.5153 5.558e-26 1.460e-27 6.882e-33 133.5311 386.6
DG0685 39.1708 -34.2860 8.464e-16 5.918e-16 2.866e-16 113.7573 385.4
DG0686 38.4474 -33.3932 8.246e-16 6.198e-16 2.956e-16 107.2213 384.28
DG0687 39.1856 -34.3563 5.140e-26 1.421e-27 7.097e-33 127.6529 386.13
DG0688 40.3905 -34.8842 8.493e-16 6.283e-16 2.715e-16 90.8397 387.02
DG0689 39.5265 -34.4896 5.517e-26 1.494e-27 6.850e-33 117.8778 387.2
DG0690 38.7614 -33.7763 6.447e-16 5.175e-16 2.163e-16 232.0026 384.8
DG0691 39.2352 -34.1159 5.423e-26 1.403e-27 6.247e-33 148.431 384.42
DG0692 39.2085 -34.5158 5.342e-26 1.517e-27 6.239e-33 150.2711 387.36
DG0693 38.7388 -33.8206 8.778e-16 7.098e-16 3.414e-16 122.8736 387.19
DG0740 -5.0305 8.7081 1.317e-16 1.135e-16 4.887e-17 114.6106 953.92
DG0741 -5.1845 8.7404 1.269e-16 1.112e-16 4.227e-17 60.8778 954.42
DG0742 -5.0230 8.7252 1.103e-25 2.946e-27 1.514e-32 71.0465 955.19
DG0743 -4.9050 8.7859 1.994e-16 1.539e-16 6.499e-17 55.757 955.2
DG0744 -4.9350 8.6494 2.349e-16 1.864e-16 8.460e-17 55.8073 954.23
DG0745 -5.0551 8.8692 1.659e-16 1.382e-16 5.993e-17 49.3546 954.83
DG0746 -5.0773 8.5706 1.867e-16 1.475e-16 7.071e-17 63.872 955.44
DG0747 -5.1019 8.5964 1.213e-16 1.047e-16 4.898e-17 52.7119 954.21
DG0767 -13.3730 -34.6678 3.992e-16 3.181e-16 1.114e-16 162.9376 1018.37
DG0768 -13.4297 -34.8401 1.352e-25 3.672e-27 1.781e-32 59.1568 1023.41
DG0769 -13.7083 -35.0077 1.284e-16 1.224e-16 5.156e-17 46.4182 1021.87
DG0770 -13.2836 -34.2257 1.557e-16 1.204e-16 5.309e-17 43.6608 1019.23
DG0771 -13.2463 -34.3939 1.416e-16 1.017e-16 5.418e-17 47.3943 1018.87
DG0772 -13.5793 -34.7166 1.489e-16 1.134e-16 5.009e-17 39.9881 1020.94
DG0773 -13.3773 -34.5385 1.059e-16 7.844e-17 3.860e-17 100.2287 1018.79
DG0774 -13.4100 -35.1867 1.505e-16 1.266e-16 6.341e-17 52.4561 1022.92
DG0775 -13.2475 -34.7526 1.111e-16 8.960e-17 4.173e-17 74.5928 1021.58
DG0776 -13.2610 -35.0666 1.602e-16 1.240e-16 6.387e-17 52.4612 1019.29
DG0777 -13.0859 -34.7039 1.418e-16 1.148e-16 5.059e-17 42.642 1020.52
DG0778 -13.6089 -34.8163 1.114e-16 9.572e-17 4.272e-17 89.357 1019.77
DG0779 -12.9933 -34.3818 1.476e-16 1.132e-16 4.772e-17 43.9258 1023.16
DG0780 -13.5715 -34.8920 1.467e-16 1.180e-16 5.335e-17 43.3102 1018.09
DG0781 -13.0613 -34.7955 1.349e-16 1.231e-16 5.119e-17 38.904 1023.22
DG0782 -13.5450 -34.2305 1.452e-16 1.191e-16 4.876e-17 46.4974 1021.85
DG0783 -13.6032 -34.7471 9.401e-17 8.936e-17 3.638e-17 70.1945 1023.02
DG0784 -13.2816 -34.8918 1.513e-25 3.828e-27 1.887e-32 49.6209 1019.87
DG0785 -13.2157 -35.0607 1.401e-25 3.780e-27 1.847e-32 61.1034 1023.41
DG0786 -13.5934 -34.6904 1.323e-16 1.117e-16 5.312e-17 41.5739 1021.48
DG0787 -13.6715 -34.4966 1.335e-25 3.809e-27 1.878e-32 53.0331 1020.54
DG0795 12.1294 -21.2173 2.462e-16 2.035e-16 8.600e-17 144.4097 638.89
DG0796 12.3486 -21.2720 3.428e-16 2.691e-16 1.203e-16 70.0283 639.87
DG0797 12.0730 -21.2242 6.728e-26 1.641e-27 8.107e-33 78.289 641.09
DG0798 12.0311 -21.5046 3.452e-16 3.098e-16 1.246e-16 78.6099 639.32
DG0799 12.1370 -21.1636 6.410e-26 1.754e-27 8.108e-33 92.3931 640.03
DG0800 11.9383 -21.2121 3.208e-16 2.835e-16 1.120e-16 73.99 640.29
DG0801 11.8743 -21.1607 3.794e-16 2.921e-16 1.409e-16 85.5291 641.18
DG0802 12.0911 -21.1229 3.079e-16 2.549e-16 1.228e-16 65.4537 640.49
DG0807 1.2105 -9.4378 4.208e-15 3.193e-15 1.049e-15 444.6153 270.49
DG0808 0.5101 -9.2746 1.636e-15 1.476e-15 6.761e-16 211.8269 270.13
DG0809 1.6605 -10.0726 6.773e-26 1.541e-27 7.690e-33 169.8526 270.35
DG0810 0.3483 -9.3025 6.234e-26 1.641e-27 7.478e-33 190.2987 270.37
