Name Equatorial Polar BlueF GreenF RedF Size RadialVelocity
DG2276 241.1158 47.5887 8.796e-15 4.179e-15 1.741e-15 502.2516 -288.59
DG2277 241.7592 48.7381 2.631e-15 1.484e-15 8.183e-16 251.9269 -288.0
DG2278 240.6471 47.8668 2.828e-15 2.047e-15 8.38e-16 244.1993 -287.31
DG2279 240.0001 46.7044 2.577e-15 2.109e-15 7.078e-16 200.7976 -288.1
DG2280 241.8778 47.9168 2.591e-15 2.338e-15 1.031e-15 218.4336 -287.24
DG2281 240.4926 47.5547 2.414e-15 1.466e-15 6.711e-16 393.2774 -286.7
DG2282 239.4123 47.3529 3.19e-15 1.86e-15 9.014e-16 235.7077 -287.4
DG2283 241.322 47.1282 1.687e-15 1.29e-15 3.574e-16 478.3257 -286.39
DG2284 241.8432 48.0387 2.795e-15 1.889e-15 9.163e-16 202.6379 -288.41
DG2285 241.0201 47.5911 2.099e-15 2.405e-15 9.606e-16 249.1332 -286.3
DG2286 239.2185 47.4037 2.832e-15 1.546e-15 7.921e-16 230.0198 -287.63
DG2287 242.1587 47.8438 3.851e-15 2.481e-15 7.9e-16 222.1307 -287.73
DG2288 240.6111 47.7161 2.237e-15 1.74e-15 6.012e-16 201.1254 -287.38
DG2289 238.9872 48.3543 2.173e-15 1.467e-15 7.799e-16 223.7954 -287.0
DG2290 239.823 47.8837 2.398e-15 1.842e-15 7.655e-16 229.8297 -287.2
