Name Equatorial Polar BlueF GreenF RedF Parallax RadialVelocity Variable?
S364576 243.0411 83.407 7.253999999999999e-22 1.5230000000000001e-21 5.322e-21 0.0 -117.19 0.0
S365777 242.9729 83.4271 1.039e-21 2.013e-21 5.554e-21 0.0 -116.18 0.0
S365796 242.9126 83.4225 3.445e-19 4.304e-19 4.829e-19 0.0 -116.89 0.0
S365797 242.9047 83.3665 1.056e-25 5.3270000000000005e-25 1.113e-23 0.0 -116.27 0.0
S365798 242.9403 83.385 4.518999999999999e-22 9.371999999999999e-22 3.0880000000000002e-21 0.0 -116.68 0.0
S365799 242.9259 83.4295 5.555e-22 1.23e-21 4.762e-21 0.0 -116.94 0.0
S365800 242.9291 83.3582 1.6450000000000001e-21 3.223e-21 8.981e-21 0.0 -116.46 0.0
S365802 242.9294 83.3982 1.069e-19 1.435e-19 1.864e-19 0.0 -116.87 0.0
S365803 242.9149 83.3876 1.979e-21 1.361e-21 4.488e-22 0.0 -116.57 0.0
S365804 242.9506 83.3958 1.3969999999999998e-22 3.319e-22 1.467e-21 0.0 -116.86 0.0
S365805 242.8846 83.4675 7.675e-18 1.134e-17 1.84e-17 0.0 -116.81 0.0
S365806 242.9326 83.3114 3.5520000000000003e-20 5.799000000000001e-20 1.109e-19 0.0 -116.45 0.0
S365808 242.9288 83.3877 2.1209999999999998e-22 4.828e-22 1.879e-21 0.0 -116.77 0.0
S365809 242.924 83.4095 3.795e-18 3.693e-18 2.538e-18 0.0 -116.97 0.0
S365810 242.9025 83.4141 1.2970000000000001e-20 2.2070000000000002e-20 4.7730000000000004e-20 0.0 -116.82 0.0
S365811 242.952 83.359 9.757999999999999e-23 2.724e-22 1.575e-21 0.0 -116.6 0.0
S365812 242.9175 83.3963 7.997999999999999e-22 1.7150000000000002e-21 5.97e-21 0.0 -116.81 0.0
S365813 242.9103 83.363 4.694e-21 7.898e-21 1.6380000000000002e-20 0.0 -116.36 0.0
S365814 242.9119 83.4025 9.423e-25 3.341e-24 3.321e-23 0.0 -116.81 0.0
S365815 242.9199 83.392 2.407e-25 1.027e-24 1.553e-23 0.0 -116.82 0.0
S365816 242.9242 83.4062 1.079e-19 1.5e-19 2.046e-19 0.0 -116.93 0.0
S365817 242.9629 83.4098 1.181e-18 1.343e-18 1.257e-18 0.0 -116.86 0.0
S365818 242.9157 83.379 1.57e-18 1.751e-18 1.512e-18 0.0 -116.42 0.0
S365819 242.8841 83.3883 2.613e-17 2.163e-17 1.082e-17 0.0 -116.53 0.0
S365820 242.8939 83.3744 2.3129999999999998e-23 7.916e-23 7.256999999999999e-22 0.0 -116.43 0.0
S365821 242.9844 83.3659 3.573e-20 4.941e-20 6.894000000000001e-20 0.0 -116.68 0.0
S365822 242.9085 83.4293 1.552e-20 2.429e-20 4.4390000000000006e-20 0.0 -116.87 0.0
S365823 242.9281 83.4016 9.455e-25 3.853e-24 5.157e-23 0.0 -116.9 0.0
S365824 242.9109 83.3981 5.335999999999999e-22 1.221e-21 4.947e-21 0.0 -116.75 0.0
S365825 242.9456 83.4044 4.004e-19 4.988e-19 5.593e-19 0.0 -116.92 0.0
S365826 242.8856 83.4467 9.965e-17 9.46e-17 6.197e-17 0.0 -116.82 0.0
S365827 242.9243 83.4073 1.539e-21 2.699e-21 6.282e-21 0.0 -116.96 0.0
S365828 242.9091 83.3864 2.597e-21 4.74e-21 1.1830000000000001e-20 0.0 -116.53 0.0
S365829 242.9198 83.3607 1.445e-24 5.368e-24 5.926999999999999e-23 0.0 -116.36 0.0
S365830 242.9211 83.3771 3.172e-19 4.111e-19 5.006e-19 0.0 -116.5 0.0
S365831 242.9424 83.3893 9.352e-22 7.009e-22 2.828e-22 0.0 -116.82 0.0
S365832 242.9128 83.3923 4.418999999999999e-22 1.005e-21 3.889e-21 0.0 -116.67 0.0
S365833 242.9432 83.3624 4.319e-23 1.0899999999999999e-22 5.483999999999999e-22 0.0 -116.54 0.0
S365834 242.9205 83.3987 1.6289999999999998e-23 4.345e-23 2.5269999999999996e-22 0.0 -116.86 0.0
S365835 242.9098 83.351 1.997e-23 6.992999999999999e-23 6.973999999999999e-22 0.0 -116.34 0.0
S365836 242.9368 83.3711 1.9719999999999997e-22 4.685999999999999e-22 2.072e-21 0.0 -116.55 0.0
S365837 242.9286 83.3789 3.715e-18 4.289e-18 4.192e-18 0.0 -116.57 0.0
S365838 242.9332 83.4122 2.415e-23 6.163999999999999e-23 3.045e-22 0.0 -116.98 0.0
S365839 242.88 83.4114 5.743e-19 6.707e-19 6.547e-19 0.0 -116.6 0.0
S365840 242.9038 83.3667 1.045e-19 1.369e-19 1.706e-19 0.0 -116.32 0.0
S365841 242.9167 83.3919 1.7509999999999999e-22 3.7769999999999997e-22 1.35e-21 0.0 -116.76 0.0
S365842 242.9127 83.4189 9.766e-22 7.250999999999999e-22 2.882e-22 0.0 -116.88 0.0
S365843 242.9064 83.3927 2.544e-21 4.73e-21 1.275e-20 0.0 -116.66 0.0
S365844 242.9021 83.3792 9.831e-19 1.151e-18 1.151e-18 0.0 -116.46 0.0
