Name Equatorial Polar PeakFlux(W)
SNe0001 191.00 145.47 2.246e-09
SNe0002 244.60 134.19 2.195e-09
SNe0003 222.79 125.88 1.209e-07
SNe0004 80.07 97.82 7.678e-08
SNe0005 139.87 98.35 1.008e-07
SNe0006 93.17 89.78 3.625e-08
SNe0007 190.15 111.55 3.308e-09
SNe0008 218.89 20.31 1.886e-07
SNe0009 56.68 63.81 2.739e-09
SNe0010 354.68 131.28 1.156e-08
SNe0011 119.77 91.89 4.989e-08
SNe0012 300.68 57.68 3.697e-08
SNe0013 263.90 172.18 2.970e-07
SNe0014 53.93 116.75 2.137e-07
SNe0015 234.83 97.42 3.631e-09
SNe0016 72.52 90.40 2.582e-09
SNe0017 337.57 109.54 2.807e-07
SNe0018 310.76 6.96 2.800e-09
SNe0019 241.83 161.10 1.756e-09
SNe0020 296.34 89.74 4.340e-09
SNe0021 114.17 10.45 3.429e-09
SNe0022 192.53 29.97 1.350e-09
SNe0023 270.09 42.90 2.437e-09
SNe0024 116.24 105.39 1.386e-09
SNe0025 208.15 36.19 9.299e-09
SNe0026 189.15 176.39 1.001e-07
SNe0027 282.96 21.65 3.482e-08
SNe0028 7.22 102.84 3.494e-09
SNe0029 168.25 83.80 2.569e-07
SNe0030 348.72 50.77 1.294e-05
SNe0031 216.31 24.22 2.030e-09
SNe0032 62.25 75.36 3.350e-08
SNe0033 286.15 136.44 1.762e-09
SNe0034 142.32 158.08 1.353e-08
SNe0035 343.51 30.35 3.247e-05
SNe0036 73.47 109.63 6.303e-08
SNe0037 123.60 104.36 1.029e-09
SNe0038 116.45 80.85 3.005e-08
SNe0039 244.33 134.04 2.106e-09
SNe0040 299.31 68.56 2.341e-09
SNe0041 69.30 58.38 1.269e-07
SNe0042 180.25 76.07 1.112e-09
SNe0043 317.36 47.17 3.431e-08
SNe0044 181.71 60.47 8.268e-09
SNe0045 193.93 109.99 1.240e-08
SNe0046 54.35 115.68 2.422e-07
SNe0047 292.43 31.89 5.059e-09
SNe0048 139.12 57.03 3.753e-08
SNe0049 5.42 119.85 9.998e-09
SNe0050 12.04 19.74 5.985e-08
SNe0051 52.44 93.48 5.959e-08
SNe0052 340.51 20.67 1.579e-09
SNe0053 50.40 139.05 1.291e-08
SNe0054 69.16 45.31 1.769e-07
SNe0055 174.04 39.72 2.016e-09
