Name X Y BlueF GreenF RedF Size RadialVelocity
DG0012 12.9263 25.9220 2.569e-16 1.966e-16 8.853e-17 398.0326 269.12
DG0013 13.0706 25.9779 3.592e-16 2.663e-16 1.215e-16 285.208 268.95
DG0014 13.1261 26.2991 3.897e-16 2.826e-16 1.285e-16 296.6494 268.72
DG0015 12.9082 26.1708 4.413e-16 3.634e-16 1.436e-16 317.8515 267.36
DG0016 12.6566 26.3672 3.478e-16 2.679e-16 1.214e-16 321.3912 267.95
DG0018 13.3076 -15.2424 7.784e-17 7.145e-17 2.254e-17 255.404 747.4
DG0019 13.3480 -15.7029 3.103e-17 2.509e-17 1.123e-17 83.3752 747.82
DG0020 13.5895 -15.1829 3.050e-17 2.507e-17 1.162e-17 74.1241 745.9
DG0021 13.2923 -15.3394 2.894e-17 2.637e-17 1.118e-17 85.6751 750.68
DG0022 13.3868 -15.4522 3.003e-17 2.393e-17 1.101e-17 74.3433 748.6
DG0023 13.4970 -15.1639 5.091e-17 3.543e-17 1.420e-17 68.8161 752.06
DG0024 13.0144 -15.1672 2.981e-17 2.520e-17 1.196e-17 73.5035 748.22
DG0025 13.0367 -15.4325 3.049e-17 2.857e-17 1.147e-17 62.4331 750.2
DG0026 13.0925 -14.8277 3.531e-17 3.188e-17 1.272e-17 90.311 748.37
DG0027 13.4253 -15.3959 3.324e-17 2.654e-17 1.139e-17 69.55 749.12
DG0028 13.1942 -15.5086 3.575e-17 2.920e-17 1.261e-17 101.2465 748.05
DG0029 13.1666 -14.9132 3.336e-17 2.637e-17 1.213e-17 99.4528 749.2
DG0030 13.7068 -15.3243 3.686e-17 3.018e-17 1.342e-17 86.4829 746.59
DG0031 13.0076 -14.8865 3.642e-17 2.661e-17 1.122e-17 115.6396 747.14
DG0035 -21.3134 -38.3765 5.060e-17 4.650e-17 1.865e-17 210.1062 503.23
DG0036 -21.1883 -38.0573 7.587e-17 6.395e-17 2.881e-17 119.9933 503.81
DG0037 -21.1421 -38.0647 8.132e-17 5.986e-17 2.584e-17 121.5224 504.6
DG0038 -21.3477 -37.8807 6.444e-17 5.713e-17 2.338e-17 113.7247 502.29
DG0039 -21.4102 -38.4933 6.969e-17 5.396e-17 2.280e-17 121.9362 503.25
DG0040 -21.0893 -38.5748 7.167e-17 5.098e-17 2.316e-17 107.6318 502.36
DG0041 -7.2283 21.1298 1.856e-16 1.714e-16 7.749e-17 605.8839 229.16
DG0042 -7.6961 20.6394 3.104e-16 2.671e-16 1.082e-16 291.7322 227.94
DG0043 -6.6926 21.4893 3.073e-16 2.522e-16 1.180e-16 263.2883 229.61
DG0044 -7.7621 21.2882 3.057e-16 2.421e-16 1.045e-16 266.5886 229.98
