Name X Y BlueF GreenF RedF Size RadialVelocity
DG0017 9.5254 -17.9216 6.700e-18 5.468e-18 2.711e-18 46.6589 1508.79
DG0032 -42.4289 0.8242 1.061e-16 8.681e-17 3.879e-17 172.7321 437.06
DG0033 -42.4025 0.9445 1.022e-16 7.710e-17 3.481e-17 147.2167 436.44
DG0034 -42.6190 0.9394 1.009e-16 9.013e-17 3.529e-17 144.7461 437.3
DG0086 6.8246 -28.4619 3.929e-17 3.380e-17 1.628e-17 256.1929 528.12
DG0087 6.8551 -28.5975 5.539e-17 4.450e-17 1.870e-17 111.6308 529.41
DG0088 6.8177 -28.5462 5.297e-17 4.435e-17 2.072e-17 97.766 528.08
DG0089 6.6123 -28.5606 5.875e-17 4.769e-17 2.066e-17 141.2242 528.09
DG0090 6.9496 -28.5565 5.656e-17 3.984e-17 2.022e-17 120.2478 530.15
DG0091 6.6969 -28.3669 5.570e-17 4.235e-17 1.879e-17 106.3598 529.46
DG0092 6.7448 -28.6196 6.142e-17 4.653e-17 2.201e-17 111.0827 528.59
DG0093 6.6904 -28.4851 6.041e-17 5.428e-17 2.240e-17 118.5245 527.8
DG0136 44.9780 25.9651 1.327e-16 9.661e-17 4.027e-17 364.3701 367.42
DG0137 44.1870 25.9157 1.630e-16 1.216e-16 5.373e-17 195.1813 368.69
DG0138 44.9014 26.1405 1.607e-16 1.316e-16 5.117e-17 161.3689 367.66
DG0139 44.7911 25.8523 1.478e-16 1.265e-16 5.157e-17 201.1725 368.99
DG0140 44.4506 26.2067 1.771e-16 1.470e-16 6.459e-17 221.0329 367.99
DG0151 4.0821 -4.1641 1.091e-16 8.339e-17 2.724e-17 394.5125 600.45
DG0152 4.3728 -4.5524 4.237e-17 3.275e-17 1.408e-17 89.1918 601.92
DG0153 3.9933 -3.7332 4.187e-17 2.998e-17 1.402e-17 93.024 598.55
DG0154 3.7128 -4.4765 4.167e-17 3.593e-17 1.410e-17 107.4659 601.88
DG0155 4.4671 -4.2424 4.814e-17 3.308e-17 1.477e-17 110.7078 599.68
DG0156 3.8961 -3.9341 3.086e-17 2.345e-17 1.206e-17 170.0276 599.88
DG0157 4.0188 -4.3180 4.061e-17 3.226e-17 1.389e-17 90.2723 599.49
DG0158 3.6407 -3.9205 4.104e-17 3.133e-17 1.392e-17 87.0214 600.27
DG0159 3.7941 -3.8287 4.606e-17 3.591e-17 1.757e-17 108.2223 602.15
DG0160 4.0560 -4.3528 2.902e-17 2.194e-17 9.977e-18 159.4141 599.53
DG0161 4.0272 -3.9491 2.906e-17 2.464e-17 1.030e-17 102.5904 599.31
DG0162 4.1154 -4.5239 5.760e-17 4.527e-17 1.783e-17 114.3001 601.09
DG0163 4.1616 -4.3198 4.052e-17 3.207e-17 1.374e-17 95.1385 598.68
DG0164 3.5898 -3.9245 3.932e-17 3.381e-17 1.396e-17 85.6969 601.95
DG0165 3.8302 -4.1612 4.261e-17 3.239e-17 1.637e-17 127.1123 598.5
DG0166 4.0301 -4.5758 2.907e-17 2.493e-17 1.087e-17 151.9897 600.22
DG0167 3.8973 -4.3947 4.160e-17 3.579e-17 1.565e-17 111.572 598.7
DG0168 3.7013 -4.1986 3.918e-17 3.156e-17 1.511e-17 84.9474 598.7
DG0169 4.6329 -4.0767 2.769e-17 2.365e-17 1.044e-17 100.3837 599.17
DG0224 -31.3339 -17.6701 1.403e-16 1.140e-16 3.795e-17 189.1882 597.34
DG0225 -31.2369 -17.9260 3.343e-17 2.641e-17 1.219e-17 140.4423 597.82
DG0226 -30.8286 -17.8330 6.022e-17 4.451e-17 2.182e-17 123.3674 597.38
DG0227 -31.8923 -18.3303 5.032e-17 3.890e-17 1.833e-17 87.6506 601.47
DG0228 -31.1454 -17.9420 5.723e-17 4.707e-17 1.999e-17 129.2262 597.75
DG0229 -30.6802 -17.7415 4.996e-17 4.181e-17 1.782e-17 106.4507 597.67
DG0230 -31.6505 -18.1998 3.577e-17 2.823e-17 1.337e-17 122.4745 596.96
DG0231 -30.4143 -17.7274 5.971e-17 4.435e-17 2.160e-17 104.8409 600.72
DG0232 -31.7191 -17.6226 3.334e-17 2.882e-17 1.287e-17 230.0574 596.68
DG0233 -30.6228 -17.0030 5.025e-17 4.265e-17 1.882e-17 96.8651 596.7
DG0234 -31.7893 -18.5600 5.411e-17 4.508e-17 2.219e-17 126.9112 597.78
DG0235 -30.5745 -17.0002 6.041e-17 4.698e-17 2.004e-17 101.9009 597.52
DG0236 -32.0854 -17.1797 5.686e-17 4.362e-17 2.102e-17 143.6399 597.19
DG0237 -31.1667 -16.9094 5.989e-17 4.492e-17 2.027e-17 119.1215 597.9
DG0238 -31.3623 -18.0357 5.263e-17 4.017e-17 1.836e-17 101.413 599.64
DG0239 -32.2921 -18.3278 5.239e-17 3.921e-17 2.000e-17 112.2208 598.58
DG0240 -31.5900 -17.7022 5.141e-17 4.378e-17 1.804e-17 107.0642 599.24
DG0241 -31.8915 -18.4976 5.389e-17 4.246e-17 1.732e-17 102.1743 597.25
DG0242 -30.2550 -17.3726 4.818e-17 4.223e-17 1.720e-17 88.4756 600.98
DG0283 -33.7297 -16.9592 3.108e-17 2.466e-17 1.067e-17 197.5198 670.84
DG0284 -33.7769 -17.2674 4.050e-17 3.356e-17 1.682e-17 80.838 669.23
DG0285 -33.2758 -16.8754 4.013e-17 3.301e-17 1.440e-17 100.2053 669.14
DG0286 -34.1374 -17.0175 4.559e-17 3.558e-17 1.578e-17 108.7045 671.96
DG0287 -33.8355 -17.0497 4.216e-17 3.507e-17 1.546e-17 84.5409 669.66
DG0288 -33.8143 -17.0037 4.378e-17 3.264e-17 1.584e-17 91.0271 670.3
DG0289 -33.6019 -17.1685 3.929e-17 3.453e-17 1.465e-17 87.7716 669.44
DG0290 -33.4356 -17.0812 3.998e-17 3.213e-17 1.688e-17 104.2284 670.06
DG0291 18.1348 -15.4047 5.036e-16 4.014e-16 1.709e-16 395.611 233.75
DG0292 18.4055 -15.2861 4.773e-16 4.236e-16 1.743e-16 392.6747 233.57
DG0324 -39.8949 20.8052 4.497e-16 3.629e-16 1.581e-16 458.9352 199.53
DG0371 40.4477 -12.8597 1.031e-15 8.323e-16 2.872e-16 768.7071 223.74
DG0372 40.7878 -13.3125 3.191e-16 2.549e-16 1.181e-16 734.6949 219.18
DG0373 43.7302 -14.0821 5.096e-16 4.180e-16 1.718e-16 324.9986 220.99
DG0374 41.0239 -13.9930 3.140e-16 2.324e-16 1.036e-16 636.9744 219.28
DG0375 37.2421 -11.7393 4.418e-16 3.789e-16 1.533e-16 329.938 218.76
DG0376 42.2324 -13.9423 2.906e-16 2.228e-16 9.611e-17 463.6754 220.01
