Name X Y BlueF GreenF RedF Parallax RadialVelocity Variable?
S118312 -21.6274 -15.7195 4.652e-18 3.718e-18 1.788e-18 0.0 41.53 0.0
S118313 -21.6718 -15.8369 4.778e-18 7.006e-18 1.133e-17 0.0 37.7 0.0
S118315 -21.6226 -15.7243 4.272e-19 4.562e-19 3.809e-19 0.0 38.31 0.0
S118318 -21.6418 -15.7696 8.001e-19 8.156e-19 6.234e-19 0.0 38.51 0.0
S118319 -21.6402 -15.7257 3.150e-18 5.096e-18 1.010e-17 0.0 37.6 0.0
S118320 -21.6379 -15.7498 5.630e-22 9.764e-22 2.222e-21 0.0 37.84 0.0
S118321 -21.6244 -15.7174 2.956e-20 3.947e-20 5.368e-20 0.0 39.94 0.0
S118325 -21.6142 -15.7142 4.489e-20 5.955e-20 8.010e-20 0.0 40.18 0.0
S118328 -21.6718 -15.8265 6.227e-20 7.628e-20 8.535e-20 0.0 37.8 0.0
S118329 -21.6363 -15.7484 2.675e-17 2.115e-17 9.859e-18 0.0 37.43 0.0
S118330 -21.6054 -15.6887 9.401e-20 1.129e-19 1.177e-19 0.0 39.95 0.0
S118331 -21.6179 -15.7176 6.417e-22 1.294e-21 3.866e-21 0.0 39.57 0.0
S118333 -21.6288 -15.7126 2.032e-20 2.844e-20 4.272e-20 0.0 39.11 0.0
S118335 -21.6235 -15.7131 1.431e-22 3.215e-22 1.259e-21 0.0 41.05 0.0
S118336 -21.6065 -15.7062 1.809e-22 3.727e-22 1.241e-21 0.0 40.45 0.0
S118337 -21.6334 -15.7195 4.999e-20 6.581e-20 8.717e-20 0.0 38.64 0.0
S118338 -21.6231 -15.7251 1.178e-20 1.753e-20 2.774e-20 0.0 38.78 0.0
S118340 -21.6104 -15.7173 3.592e-22 7.199e-22 2.193e-21 0.0 39.58 0.0
S118341 -21.6244 -15.7099 3.187e-18 5.156e-18 9.824e-18 0.0 39.37 0.0
S118342 -21.6158 -15.7143 8.221e-14 5.530e-14 1.880e-14 0.0 39.15 0.0
S118344 -21.6387 -15.7559 8.903e-22 1.535e-21 3.427e-21 0.0 38.02 0.0
S118345 -21.6328 -15.7512 5.158e-18 4.382e-18 2.320e-18 0.0 38.2 0.0
S118349 -21.567 -15.6374 3.000e-17 2.329e-17 1.038e-17 0.0 40.52 1.0
S118350 -21.6196 -15.722 1.602e-19 1.815e-19 1.620e-19 0.0 40.87 0.0
S118351 -21.6323 -15.7421 2.924e-22 5.965e-22 1.959e-21 0.001 38.94 0.0
S118352 -21.6518 -15.7791 4.374e-19 4.822e-19 4.149e-19 0.0 38.35 0.0
S118356 -21.6362 -15.7658 1.773e-22 3.691e-22 1.214e-21 0.0 38.66 0.0
S118357 -21.6625 -15.7785 6.715e-21 9.980e-21 1.645e-20 0.0 38.24 0.0
S118358 -21.6202 -15.7175 1.030e-21 1.934e-21 4.993e-21 0.0 39.65 0.0
S118359 -21.5965 -15.6606 1.436e-18 2.528e-18 5.962e-18 0.0 40.48 0.0
S118360 -21.6127 -15.7235 2.559e-20 3.530e-20 4.990e-20 0.0 40.95 0.0
S118362 -21.6321 -15.7203 9.426e-18 1.619e-17 3.725e-17 0.0 38.66 0.0
S118363 -21.5516 -15.5435 2.396e-20 3.219e-20 4.238e-20 0.0 40.21 0.0
S118364 -21.6231 -15.7213 4.730e-22 3.219e-22 1.084e-22 0.0 40.64 0.0
S118366 -21.63 -15.738 3.186e-19 3.452e-19 2.847e-19 0.0 38.77 0.0
S118369 -21.6153 -15.7223 3.121e-22 6.283e-22 1.889e-21 0.0 39.37 0.0
S118371 -21.6809 -15.8325 7.551e-19 7.744e-19 5.893e-19 0.0 37.75 0.0
S118372 -21.5787 -15.6388 6.081e-20 7.507e-20 8.448e-20 0.0 40.37 0.0
S118374 -21.622 -15.7244 5.656e-22 1.044e-21 2.691e-21 0.0 36.59 0.0
S118377 -21.6329 -15.7323 2.015e-13 1.458e-13 5.663e-14 0.0 38.64 0.0
S118380 -21.6283 -15.7366 4.295e-19 4.487e-19 3.376e-19 0.0 38.34 0.0
S118382 -21.6175 -15.7095 6.844e-18 5.786e-18 2.989e-18 0.0 39.86 0.0
S118383 -21.6217 -15.717 6.303e-19 6.082e-19 4.145e-19 0.0 39.55 0.0
S118384 -21.6196 -15.7144 8.872e-19 8.443e-19 5.588e-19 0.0 39.72 0.0
S118386 -21.7431 -15.9576 2.333e-22 4.866e-22 1.554e-21 0.0 38.0 0.0
S118389 -21.5898 -15.673 4.839e-19 4.879e-19 3.723e-19 0.0 40.51 0.0
S118390 -21.6616 -15.8103 4.993e-22 9.490e-22 2.619e-21 0.0 38.79 0.0
S118391 -21.6186 -15.7034 1.812e-21 3.382e-21 8.826e-21 0.0 40.81 0.0
S118396 -21.6303 -15.736 8.032e-21 1.232e-20 2.146e-20 0.0 38.1 1.0
S118397 -21.6579 -15.7783 2.642e-18 2.367e-18 1.370e-18 0.0 37.91 0.0
S118398 -21.6231 -15.7186 5.432e-22 1.091e-21 3.297e-21 0.0 39.22 0.0
S118402 -21.7678 -16.0164 1.210e-19 1.487e-19 1.637e-19 0.0 38.62 0.0
S118403 -21.6301 -15.7463 2.871e-19 3.283e-19 3.027e-19 0.001 38.01 0.0
S118405 -21.6251 -15.7265 2.186e-18 2.073e-18 1.353e-18 0.0 37.47 0.0
S118408 -21.6398 -15.7658 3.103e-22 5.981e-22 1.688e-21 0.0 37.71 0.0
S118409 -21.6097 -15.7037 7.653e-20 9.469e-20 1.047e-19 0.0 40.28 0.0
S118411 -21.6259 -15.7247 2.515e-19 2.696e-19 2.179e-19 0.0 37.37 0.0
S118412 -21.7358 -15.9307 3.899e-20 5.288e-20 6.989e-20 0.0 37.99 0.0
S118413 -21.5902 -15.639 3.545e-21 5.428e-21 9.037e-21 0.0 39.76 0.0
S118414 -21.6119 -15.6931 1.881e-20 2.463e-20 3.059e-20 0.0 40.75 0.0
S118415 -21.602 -15.6632 4.105e-21 6.667e-21 1.281e-20 0.0 40.42 0.0
S118417 -21.6365 -15.7467 1.997e-21 3.453e-21 7.921e-21 0.0 38.4 0.0
S118418 -21.6244 -15.7463 1.213e-22 2.756e-22 1.080e-21 0.0 37.52 0.0
S118419 -21.5649 -15.6023 5.551e-20 6.643e-20 7.226e-20 0.0 40.21 0.0
S118421 -21.637 -15.7286 5.152e-19 5.291e-19 3.968e-19 0.0 37.29 0.0
