Name Equatorial Polar BlueF GreenF RedF Size RadialVelocity
DG3153 238.8056 105.8665 4.898e-17 3.344e-17 1.254e-17 94.102 1124.18
DG3154 239.0738 105.8989 1.737e-17 1.314e-17 5.765e-18 48.0053 1123.78
DG3155 238.6636 106.0936 1.655e-17 1.365e-17 6.308e-18 59.2905 1123.55
DG3156 238.748 105.6921 1.562e-17 1.391e-17 5.483e-18 49.7194 1122.64
DG3157 238.6792 105.6553 1.967e-17 1.497e-17 7.497e-18 67.2308 1124.0
DG3158 238.5925 105.629 1.841e-17 1.505e-17 7.103e-18 61.9623 1124.51
DG3159 238.5616 105.861 1.611e-17 1.407e-17 5.618e-18 55.0337 1121.12
DG3160 238.6389 105.7861 1.773e-17 1.332e-17 6.028e-18 49.4091 1122.18
DG3161 238.6566 105.8213 1.724e-17 1.385e-17 6.28e-18 75.7031 1123.51
DG3162 238.7345 105.7259 1.776e-17 1.274e-17 6.568e-18 69.6699 1122.56
DG3163 238.806 105.817 1.251e-17 9.59e-18 4.296e-18 68.9674 1123.53
DG4383 250.4719 116.9907 1.269e-17 1.101e-17 5.154e-18 69.7548 1092.86
