Name Equatorial Polar BlueF GreenF RedF Size RadialVelocity
DG0001 57.1919 52.1940 4.812e-17 4.459e-17 2.030e-17 228.7079 506.55
DG0002 57.5854 52.2907 4.948e-17 3.538e-17 1.803e-17 141.9233 504.22
DG0003 57.1190 52.2678 6.432e-17 5.332e-17 2.557e-17 117.0452 505.41
DG0004 57.2256 52.2234 8.102e-17 5.596e-17 2.683e-17 148.2461 506.2
DG0005 57.3198 52.0589 9.551e-17 7.244e-17 3.055e-17 129.839 505.78
DG0006 56.7737 52.2596 7.469e-17 6.035e-17 2.709e-17 125.7299 504.71
DG0007 145.0178 60.9459 1.215e-17 1.097e-17 4.929e-18 94.9571 1084.85
DG0008 144.9936 60.8392 1.896e-17 1.535e-17 6.642e-18 61.4266 1084.04
DG0009 145.0382 61.0548 1.868e-17 1.557e-17 7.401e-18 67.4237 1085.5
DG0010 145.1096 60.9224 1.805e-17 1.519e-17 6.528e-18 49.1752 1084.6
DG0011 145.1659 60.9710 1.987e-17 1.604e-17 7.004e-18 75.469 1085.46
DG0012 16.0268 61.0287 2.569e-16 1.966e-16 8.853e-17 398.0326 269.12
DG0013 16.1963 60.9971 3.592e-16 2.663e-16 1.215e-16 285.208 268.95
DG0014 16.2614 60.7057 3.897e-16 2.826e-16 1.285e-16 296.6494 268.72
DG0015 16.0054 60.7935 4.413e-16 3.634e-16 1.436e-16 317.8515 267.36
DG0016 15.7091 60.5747 3.478e-16 2.679e-16 1.214e-16 321.3912 267.95
DG0017 242.0091 155.7239 6.700e-18 5.468e-18 2.711e-18 46.6589 1508.79
DG0018 16.4742 107.9946 7.784e-17 7.145e-17 2.254e-17 255.404 747.4
DG0019 16.5215 108.4975 3.103e-17 2.509e-17 1.123e-17 83.3752 747.82
DG0020 16.8037 107.8999 3.050e-17 2.507e-17 1.162e-17 74.1241 745.9
DG0021 16.4563 108.1032 2.894e-17 2.637e-17 1.118e-17 85.6751 750.68
DG0022 16.5669 108.2178 3.003e-17 2.393e-17 1.101e-17 74.3433 748.6
DG0023 16.6958 107.8885 5.091e-17 3.543e-17 1.420e-17 68.8161 752.06
DG0024 16.1303 107.9410 2.981e-17 2.520e-17 1.196e-17 73.5035 748.22
DG0025 16.1566 108.2319 3.049e-17 2.857e-17 1.147e-17 62.4331 750.2
DG0026 16.2221 107.5566 3.531e-17 3.188e-17 1.272e-17 90.311 748.37
DG0027 16.6120 108.1518 3.324e-17 2.654e-17 1.139e-17 69.55 749.12
DG0028 16.3414 108.2997 3.575e-17 2.920e-17 1.261e-17 101.2465 748.05
DG0029 16.3091 107.6442 3.336e-17 2.637e-17 1.213e-17 99.4528 749.2
DG0030 16.9405 108.0437 3.686e-17 3.018e-17 1.342e-17 86.4829 746.59
DG0031 16.1224 107.6303 3.642e-17 2.661e-17 1.122e-17 115.6396 747.14
DG0032 1.1128 136.6791 1.061e-16 8.681e-17 3.879e-17 172.7321 437.06
DG0033 1.2760 136.6952 1.022e-16 7.710e-17 3.481e-17 147.2167 436.44
DG0034 1.2626 136.5496 1.009e-16 9.013e-17 3.529e-17 144.7461 437.3
DG0035 334.6563 127.6226 5.060e-17 4.650e-17 1.865e-17 210.1062 503.23
DG0036 334.7866 127.4212 7.587e-17 6.395e-17 2.881e-17 119.9933 503.81
DG0037 334.8347 127.4375 8.132e-17 5.986e-17 2.584e-17 121.5224 504.6
DG0038 334.6207 127.2549 6.444e-17 5.713e-17 2.338e-17 113.7247 502.29
DG0039 334.5557 127.6838 6.969e-17 5.396e-17 2.280e-17 121.9362 503.25
DG0040 334.8898 127.8188 7.167e-17 5.098e-17 2.316e-17 107.6318 502.36
DG0041 350.8746 65.1271 1.856e-16 1.714e-16 7.749e-17 605.8839 229.16
DG0042 350.2949 65.6728 3.104e-16 2.671e-16 1.082e-16 291.7322 227.94
DG0043 351.5408 64.7166 3.073e-16 2.522e-16 1.180e-16 263.2883 229.61
DG0044 350.2132 65.0057 3.057e-16 2.421e-16 1.045e-16 266.5886 229.98
DG0045 350.9799 64.8272 2.805e-16 1.993e-16 9.697e-17 242.4675 229.18
DG0046 350.3393 65.4011 2.951e-16 2.211e-16 9.031e-17 221.4678 227.7
DG0047 351.1948 64.9857 2.778e-16 2.193e-16 8.898e-17 228.1577 230.24
DG0048 350.2916 64.9811 2.897e-16 2.354e-16 1.020e-16 260.0353 227.81
DG0049 274.6989 11.6528 2.214e-16 1.464e-16 4.900e-17 217.2702 489.81
DG0050 270.8996 11.5249 8.162e-17 5.742e-17 2.753e-17 151.2708 489.39
DG0051 274.4591 11.6919 7.891e-17 6.181e-17 2.761e-17 146.6316 489.36
DG0052 272.1133 11.3738 7.132e-17 6.784e-17 3.014e-17 169.6322 488.49
DG0053 274.0860 12.1191 7.242e-17 6.378e-17 2.818e-17 136.2615 488.16
DG0054 275.0150 12.0987 7.729e-17 5.867e-17 2.554e-17 107.1141 488.48
DG0055 275.9138 11.7021 5.761e-17 4.722e-17 2.055e-17 226.2189 487.69
DG0056 275.6142 11.5151 7.077e-17 6.449e-17 2.767e-17 130.6024 489.37
DG0057 275.7550 11.0779 6.863e-17 5.749e-17 2.379e-17 114.7832 487.9
DG0058 277.0636 11.1313 7.753e-17 6.747e-17 2.582e-17 108.9 487.77
DG0059 277.1697 11.2410 8.204e-17 6.364e-17 3.006e-17 131.4865 488.97
DG0060 277.6751 11.5331 7.636e-17 6.344e-17 3.188e-17 128.4233 487.71
DG0061 277.7388 11.3051 8.066e-17 6.209e-17 2.874e-17 139.6741 489.28
DG0062 273.3211 11.0220 7.497e-17 5.515e-17 2.462e-17 121.5327 486.74
DG0063 73.1197 117.8336 2.583e-17 2.144e-17 9.504e-18 107.1989 704.28
DG0064 49.7768 80.6588 9.491e-17 7.968e-17 3.676e-17 253.2727 359.06
DG0065 49.7260 81.0056 1.467e-16 1.130e-16 5.204e-17 193.2514 357.89
DG0066 49.7940 80.8835 1.461e-16 1.323e-16 5.555e-17 200.8158 357.56
DG0067 49.7518 80.5819 1.398e-16 1.405e-16 5.014e-17 225.2795 359.12
DG0068 49.4622 80.6100 1.396e-16 1.070e-16 5.080e-17 189.5318 356.61
DG0069 359.8846 60.9428 2.458e-17 2.134e-17 9.677e-18 99.7034 759.43
DG0070 245.1993 57.8640 8.028e-18 5.883e-18 2.812e-18 78.3076 1542.74
DG0071 245.1978 57.8408 6.906e-18 6.013e-18 2.701e-18 53.3898 1541.73
DG0072 245.1838 57.9838 7.047e-18 5.725e-18 2.654e-18 41.8659 1543.52
DG0073 245.0564 57.8368 6.886e-18 5.512e-18 2.680e-18 37.8472 1543.22
DG0074 245.1063 57.7721 9.685e-18 8.232e-18 3.342e-18 41.3363 1541.51
DG0075 245.2541 57.8489 1.026e-17 8.148e-18 3.735e-18 37.0351 1542.06
DG0076 129.3151 115.9967 8.346e-17 8.345e-17 3.249e-17 171.2965 367.58
DG0077 79.0689 45.5771 3.980e-16 3.111e-16 1.473e-16 378.5638 177.96
DG0078 112.2053 62.5877 3.335e-16 2.806e-16 1.200e-16 288.6939 260.78
DG0079 112.3933 62.1140 2.927e-16 2.707e-16 1.037e-16 273.6383 260.06
DG0080 112.1414 62.9754 3.706e-16 2.947e-16 1.127e-16 269.6171 260.16
