Name X Y BlueF GreenF RedF Parallax RadialVelocity Variable?
S261734 -31.5002 -20.3727 3.002e-21 4.905e-21 9.917e-21 0.0 79.04 0.0
S261735 -31.4861 -20.3561 3.798e-22 7.410e-22 2.118e-21 0.0 77.93 0.0
S261737 -31.4826 -20.3592 1.233e-21 2.107e-21 4.619e-21 0.0 77.87 0.0
S261739 -31.5062 -20.3587 2.054e-21 3.305e-21 6.161e-21 0.0 78.23 0.0
S261740 -31.5106 -20.4352 2.635e-20 3.330e-20 3.960e-20 0.0 80.14 0.0
S261741 -31.4829 -20.3646 1.837e-18 3.020e-18 6.184e-18 0.001 78.77 0.0
S261742 -31.4621 -20.3144 9.894e-19 1.573e-18 3.060e-18 0.0 76.09 0.0
S261743 -31.4738 -20.3848 2.374e-22 4.650e-22 1.409e-21 0.0 78.8 0.0
S261744 -31.5433 -20.5161 8.149e-22 1.475e-21 3.700e-21 0.0 79.92 0.0
S261747 -31.451 -20.2917 2.042e-18 3.295e-18 6.391e-18 0.001 76.16 0.0
S261748 -31.4788 -20.3536 1.337e-22 2.657e-22 7.810e-22 0.0 77.62 0.0
S261751 -31.4815 -20.3552 2.302e-20 2.905e-20 3.314e-20 0.0 77.27 0.0
S261753 -31.5202 -20.4452 7.812e-21 1.170e-20 1.958e-20 0.001 80.25 0.0
S261756 -31.5385 -20.4304 3.928e-20 4.823e-20 5.496e-20 0.0 79.91 0.0
S261760 -31.4817 -20.3593 1.499e-19 1.671e-19 1.557e-19 0.0 77.58 0.0
S261761 -31.4801 -20.3812 9.005e-21 1.263e-20 1.816e-20 0.0 79.2 0.0
S261764 -31.4792 -20.3638 1.283e-18 2.616e-18 8.392e-18 0.0 78.55 0.0
S261765 -31.4354 -20.3135 1.502e-20 2.017e-20 2.782e-20 0.0 75.99 0.0
S261767 -31.4865 -20.3593 1.103e-20 1.587e-20 2.415e-20 0.0 79.02 0.0
S261769 -31.4815 -20.3656 9.933e-18 2.698e-17 1.542e-16 0.0 79.32 1.0
S261770 -31.4406 -20.2991 1.050e-22 2.210e-22 7.416e-22 0.0 76.18 0.0
S261771 -31.4581 -20.3088 9.164e-14 7.344e-14 3.379e-14 0.0 76.39 1.0
S261772 -31.4871 -20.3617 5.233e-20 6.256e-20 6.666e-20 0.0 79.04 0.0
S261773 -31.4731 -20.355 6.874e-22 1.190e-21 2.645e-21 0.0 76.87 0.0
S261774 -31.4565 -20.3173 1.546e-18 2.609e-18 5.601e-18 0.001 76.05 0.0
S261778 -31.4488 -20.305 2.983e-21 4.522e-21 7.709e-21 0.0 75.96 0.0
S261779 -31.5419 -20.5226 6.850e-19 1.125e-18 2.331e-18 0.0 79.9 0.0
S261780 -31.4834 -20.3751 6.486e-22 1.179e-21 3.063e-21 0.0 79.73 0.0
S261782 -31.478 -20.3613 6.636e-20 7.827e-20 7.966e-20 0.0 78.12 0.0
S261785 -31.4811 -20.3489 3.604e-19 3.689e-19 2.780e-19 0.0 76.5 0.0
S261786 -31.4848 -20.3618 2.297e-19 2.495e-19 2.104e-19 0.0 78.83 0.0
S261787 -31.502 -20.3709 1.035e-22 2.166e-22 7.271e-22 0.0 79.0 0.0
S261788 -31.4689 -20.3474 2.356e-22 4.555e-22 1.283e-21 0.0 76.41 0.0
S261790 -31.4508 -20.2901 1.129e-18 1.132e-18 7.984e-19 0.0 76.21 0.0
S261792 -31.4838 -20.4057 6.135e-21 8.947e-21 1.416e-20 0.0 79.69 0.0
S261794 -31.4497 -20.3625 5.134e-22 9.815e-22 2.641e-21 0.0 77.96 0.0
S261795 -31.5056 -20.381 2.008e-22 3.771e-22 9.738e-22 0.0 79.09 0.0
S261798 -31.4797 -20.352 1.230e-18 2.444e-18 7.351e-18 0.0 76.96 0.0
S261800 -31.475 -20.3491 1.422e-22 2.839e-22 8.684e-22 0.0 76.71 0.0
S261804 -31.4948 -20.3495 2.966e-21 4.578e-21 8.336e-21 0.0 77.47 0.0
S261805 -31.4711 -20.3805 1.175e-22 2.531e-22 9.308e-22 0.0 78.66 0.0
S261806 -31.43 -20.2827 1.711e-21 3.107e-21 7.873e-21 0.0 75.95 0.0
S261807 -31.4366 -20.3156 7.116e-21 1.023e-20 1.568e-20 0.0 76.49 0.0
S261808 -31.487 -20.3697 1.933e-22 3.927e-22 1.195e-21 0.0 79.59 0.0
S261809 -31.4635 -20.3218 2.270e-20 3.042e-20 4.148e-20 0.0 76.08 0.0
S261810 -31.4741 -20.3614 3.132e-21 4.680e-21 8.002e-21 0.0 77.72 0.0
S261813 -31.4821 -20.3705 1.068e-19 1.231e-19 1.168e-19 0.0 78.85 0.0
S261819 -31.4853 -20.3675 1.618e-21 2.675e-21 5.162e-21 0.0 79.53 0.0
S261820 -31.5478 -20.4485 1.802e-21 3.013e-21 6.042e-21 0.0 80.26 0.0
S261821 -31.4845 -20.357 4.083e-21 6.009e-21 9.398e-21 0.0 76.86 0.0
S261828 -31.4713 -20.3155 3.381e-19 3.511e-19 2.784e-19 0.0 76.34 0.0
S261830 -31.5307 -20.4463 1.333e-19 1.520e-19 1.449e-19 0.0 80.27 0.0
S261834 -31.4003 -20.2003 1.406e-20 1.970e-20 2.800e-20 0.0 75.95 0.0
S261835 -31.3924 -20.1566 5.072e-19 4.815e-19 3.083e-19 0.0 76.2 0.0
S261836 -31.5165 -20.3618 1.001e-21 1.761e-21 4.166e-21 0.0 78.37 0.0
S261837 -31.4768 -20.3477 1.727e-22 3.649e-22 1.187e-21 0.0 76.69 0.0
S261839 -31.5258 -20.4078 1.571e-22 3.342e-22 1.137e-21 0.0 79.54 0.0
S261840 -31.4783 -20.3383 1.575e-22 3.490e-22 1.314e-21 0.0 76.39 0.0
S261841 -31.4236 -20.2749 1.020e-21 1.853e-21 4.511e-21 0.0 75.87 0.0
S261845 -31.4643 -20.3155 5.658e-20 7.031e-20 7.704e-20 0.0 76.11 0.0
S261847 -31.5004 -20.3896 6.003e-19 5.557e-19 3.581e-19 0.0 79.97 0.0
S261848 -31.4757 -20.3635 1.122e-19 1.296e-19 1.297e-19 0.0 78.26 0.0
S261850 -31.4879 -20.3506 2.071e-20 2.601e-20 3.072e-20 0.0 77.28 1.0
S261851 -31.4857 -20.3733 3.424e-21 5.349e-21 1.011e-20 0.0 79.11 0.0
S261852 -31.4769 -20.3514 4.221e-22 7.483e-22 1.709e-21 0.0 76.7 0.0
S261853 -31.5097 -20.3468 2.451e-21 3.932e-21 7.516e-21 0.0 78.06 0.0
S261854 -31.4446 -20.4294 4.717e-18 8.285e-18 2.006e-17 0.0 78.53 0.0
S261857 -31.4839 -20.3574 1.838e-18 3.830e-18 1.288e-17 0.0 77.46 0.0
S261858 -31.598 -20.5482 3.164e-20 4.016e-20 4.896e-20 0.0 80.44 0.0
S261859 -31.4854 -20.4238 5.132e-18 4.517e-18 2.545e-18 0.0 79.25 0.0
S261860 -31.4779 -20.3794 2.470e-19 2.565e-19 2.008e-19 0.0 78.8 0.0
S261861 -31.4114 -20.3249 3.332e-22 6.427e-22 1.804e-21 0.0 77.53 0.0
S261863 -31.4789 -20.3596 1.070e-20 1.483e-20 2.022e-20 0.0 76.81 0.0
S261866 -31.4796 -20.3696 1.436e-20 1.871e-20 2.370e-20 0.0 78.62 0.0
S261868 -31.5403 -20.4469 1.934e-22 3.855e-22 1.146e-21 0.0 80.34 0.0
S261873 -31.471 -20.3779 5.888e-22 1.059e-21 2.618e-21 0.0 78.75 0.0
