Name PL_distance PL_unc MS_distance MS_unc
X000.7-Y065.4-N610 23166.5274545528 19449.12698552726 27581.906456891706 35.73675444975863
X001.3-Y063.9-N1640 14820.84892740725 3695.503080714971 6415.994074913035 8.312942586642084
X002.2-Y076.6-N613 6800.86520058256 650.9212931733883 7548.523170337398 9.780314476023396
X002.4-Y065.4-N781 23709.23948750631 5975.887750193037 24263.992024457028 31.437867658066185
X002.6-Y057.3-N842 7480.182487673013 790.2264492687151 7680.245139217405 9.950981274015069
X002.6-Y064.7-N1142 22131.312732665978 2218.988912585829 25235.299429088638 32.696351159516794
X003.3-Y084.2-N905 5533.070771418498 725.324560615631 6527.470886524849 8.45737855772479
X003.7-Y068.4-N2717 6643.110460493312 836.9413829699172 6588.891202514126 8.536958363209443
X003.9-Y086.8-N947 6308.006399832481 32618.34349270837 6536.46189751726 8.469027845006401
X006.7-Y058.8-N768 5428.821162523637 547.0810520588054 5516.719792362997 7.147789471910829
X009.0-Y067.2-N1078 5830.269973330893 734.7130669938654 7486.84559695078 9.700401352591575
X013.6-Y116.2-N783 29087.962319433773 2956.887127532984 29028.598066259852 37.61117393157793
X014.6-Y116.5-N545 28574.143597204416 2924.918659150484 31399.314993955068 40.68281543856887
X014.8-Y116.7-N792 29092.781474964242 4985.639694369112 29624.504486156922 38.38326564453403
X015.0-Y118.9-N681 28464.408093955935 200103.2143139964 31497.144133316186 40.809568675762385
X015.4-Y062.2-N999 7372.198768222453 502917.08989356447 7466.619952803248 9.674195808039451
X015.4-Y119.9-N643 30076.621126709168 3061.936972200604 31297.445533392973 40.550827321513715
X015.6-Y117.1-N740 29525.611634665198 2925.9016441845124 31916.147694093786 41.35245454873445
X015.8-Y061.3-N819 6175.409146595172 7044.739308885266 6452.516017092586 8.360262581789584
X015.8-Y064.1-N1036 6084.75134470692 6016.819327675399 6496.292068747699 8.416981431562487
X016.4-Y118.6-N640 26619.284705501115 2793.640810641785 30795.49559735427 39.90047120351574
X017.0-Y122.7-N862 29303.436420558653 3118.84426061966 33233.71713006304 43.059575681834204
X018.7-Y122.0-N739 28851.576990289206 2881.3982440591562 30671.40939179075 39.73969775350943
X018.7-Y122.4-N529 32087.770534732554 3311.234289087149 32495.288715238064 42.10282401636943
X019.0-Y112.1-N559 30907.272361799205 11476.287100431022 30046.432644514494 38.92994079964812
X019.1-Y112.7-N661 28404.067045778953 2767.62097257706 31280.15207833043 40.52842089510791
X019.4-Y119.8-N669 28230.858112202834 2857.7461448737213 28634.316508652166 37.10031935267794
X019.9-Y117.7-N723 28291.274329157535 3146.7101769024594 27632.817543943405 35.802717874715505
X020.0-Y115.9-N680 32957.6196073253 3923.5846447951217 34933.69981200135 45.26217410512382
X020.2-Y112.7-N747 29402.466454774032 3548.9149353012813 32999.385159944875 42.755961278350924
X020.3-Y117.9-N2007 29792.32581141473 4100.702489441629 30583.35953444823 39.62561513430746
X020.9-Y113.1-N681 28677.43680179168 2635.471059635324 32095.958399666633 41.58542796710704
X021.1-Y120.3-N670 31653.02885459879 3355.506911637448 33989.995413077864 44.0394546955647
X021.3-Y036.8-N734 26011.94232170674 2354.888436669838 28084.40110936478 36.387816334687194
X021.3-Y117.2-N698 30458.95612333572 3006.874574066818 36948.82986037558 47.87309615417191
X021.5-Y127.8-N681 25473.568376352327 2539.7571194639363 27485.945677215506 35.612421970223345
X021.6-Y040.5-N779 24510.848586131593 2341.520424818401 25430.665637888713 32.949479210784034
X021.7-Y125.8-N620 25262.248195017164 5292.140464012274 25595.40583978899 33.16292639046014
X021.7-Y128.3-N675 23784.81759851006 2351.2374343897586 25781.337949100758 33.40383106270191
X022.0-Y115.9-N616 32698.260336147647 3745.136064130574 38562.08366783183 49.96332350202795
X022.1-Y075.6-N589 28567.923133572418 3038.981267444117 33594.76756399381 43.52737404528413
X022.3-Y117.1-N653 33677.6008460387 7369.031374446213 32087.96139981677 41.57506657963674
X022.3-Y120.3-N739 30850.14105970283 3790.0909804244957 30611.082784921968 39.66153502245144
X022.4-Y126.1-N530 24838.511273407177 2706.0010992693096 26869.26017934327 34.81340765101262
X022.8-Y075.2-N807 25830.673063714923 2499.9558411937464 27902.176544241065 36.151715376665365
X022.8-Y116.2-N676 28530.145910673193 457336.12863863923 30521.256608150477 39.54515089840764
X022.8-Y126.7-N894 26713.349977828395 2583.6644710882465 29343.383655575064 38.01902881743444
X023.0-Y126.0-N741 25322.740499594092 2634.0158907325717 26521.001314201996 34.36218280301464
X023.1-Y123.1-N638 31759.457338573506 3808.786627644092 34082.2171166459 44.15894260625354
X023.5-Y127.1-N738 23425.16181169881 3093.3154709984187 26514.98543540986 34.354388273527356
X023.7-Y118.6-N847 32510.21620800039 3187.81724683447 2805.051827510326 3.6343915724337488
X023.8-Y038.7-N711 24709.67656926395 2559.624540708539 27504.38643452457 35.636314909489585
X024.0-Y129.7-N760 25621.403668665578 16817.758279677528 31819.570292989443 41.2273231378925
X024.0-Y150.9-N844 8068.47895736059 1522212.0967533137 3176.5144598401353 4.115680597888856
X024.1-Y114.1-N837 29185.937140408045 3055.0730453717215 32224.729060849124 41.752270875743676
X024.3-Y129.2-N855 26500.975509529457 2659.239729808709 27942.559792918004 36.204038309603554
X024.5-Y128.7-N727 26762.5157395139 2711.3643168527806 28188.597415855962 36.52281925138067
X024.7-Y127.6-N664 23684.35597285899 2394.8440522664937 26480.47339989983 34.30967243270935
X024.8-Y077.7-N792 26388.55571092142 2688.9284561984464 28469.124370238274 36.88628661724126
X025.0-Y074.8-N858 25356.979755133394 2520.242717215641 26484.967328383555 34.315495033079216
X025.0-Y129.3-N850 25870.322071657854 9100.493314906831 30404.976045930925 39.39449090302934
X025.1-Y039.2-N776 24920.98056595481 99786.8706501371 26596.546961772292 34.46006422615655
X025.1-Y130.8-N754 25719.437743781637 2800.1554686523154 31517.324910099425 40.835716087495335
X025.2-Y038.4-N1206 26049.37807898182 980266.3989480577 25974.208021749455 33.653724971874794
X025.3-Y074.6-N671 27168.877696962987 3291.9267496877096 27891.67054705246 36.13810318338331
X025.5-Y066.3-N1248 24824.28366305313 2389.5527734320303 24927.36965628966 32.29737907629672
X025.5-Y076.6-N550 26949.269932181 2900.106319520389 27019.1353821562 35.00759485592553
X025.8-Y072.6-N722 27930.788650594655 2826.8121800896824 29543.063830542313 38.27774629921701
X026.0-Y067.2-N764 24868.25270078813 2568.550367227537 25861.874451675485 33.50817893369674
X026.3-Y127.2-N1378 24366.1221743835 6407.294005216163 26105.21911266492 33.82347071419896
X026.8-Y074.1-N678 25397.591480808544 3193.91477755177 28268.421123492022 36.626243582962594
X027.0-Y040.2-N750 27223.908798735803 4671.053422696586 27930.250681937137 36.188089895112846
X027.1-Y035.7-N717 25854.667702743103 2816.751739837045 27208.835931222915 35.25338214229666
X027.1-Y036.4-N530 25747.30056791983 691136.1455822033 27930.250681937137 36.188089895112846
X027.2-Y075.6-N613 28309.50584838362 2945.7694896839225 30147.577160474175 39.06098963546518
X027.3-Y075.8-N830 26567.177919010715 2793.871653488656 27707.999724190206 35.900128368028454
X027.3-Y130.3-N714 24214.194758284786 2167.1877979677392 25417.41152449657 32.93230639510197
X027.5-Y040.7-N638 26421.72567208079 1531868.1855772792 27070.18717143269 35.073740583032766
X027.5-Y073.4-N875 26888.842840935096 4915.229916433895 26954.145434375027 34.92339002370379
X027.6-Y074.6-N722 26989.70581683413 2789.588691786495 30116.685980565748 39.02096518999125
X027.8-Y066.3-N582 24519.942762629416 2767.2061729438274 24415.171007489407 31.633744117985156
X027.9-Y076.6-N695 26575.034169134666 2566.969031261136 29020.709860118066 37.60095350369059
X028.6-Y074.6-N613 27014.23382343877 2651.723430933631 32475.93393615397 42.07774681626223
X028.7-Y040.1-N695 26431.35487405286 3012.5210643002847 28910.94587420906 37.458736771210994
X028.7-Y125.0-N820 25643.388034262163 4096.622785092587 27694.284589221043 35.88235822543863
X030.1-Y127.9-N705 23401.164795718763 2360.171394999549 23958.772427627555 31.04240703962791
X035.8-Y140.9-N614 27659.451904934624 58246.84019147739 32262.580085462923 41.80131290894792
X036.1-Y141.0-N716 28029.530531714794 10189.915041714552 32520.224354192174 42.1351321096386
X040.4-Y010.0-N1485 28451.709081572168 3041.6304418604072 28700.821862366152 37.18648763473581
X042.7-Y015.1-N771 29898.077384735872 2782.0142046027017 31952.920487766747 41.40009956195993
X044.6-Y014.8-N620 29915.21755754266 25957.46083133921 31381.85221860389 40.66018963075129
X044.6-Y016.6-N735 31959.851983010994 3233.247727406789 31636.675477820165 40.99035376414548
X044.8-Y013.2-N719 29499.118424743938 3971.0729631212666 33901.6603953828 43.925002605691326
X045.3-Y020.2-N779 29808.14841718341 3154.2735144166095 31130.655451324248 40.334724195471246
X046.6-Y019.0-N669 30350.050621991766 7336.047365536591 30814.35672029669 39.924908793437
X047.0-Y018.7-N743 29400.59057677677 5032.172384617981 28754.361083592386 37.25585622625734
X049.9-Y017.5-N643 29549.947526922606 33161.03657930645 28873.98653384348 37.41085005702269
X051.4-Y014.1-N1302 29431.71480628084 8089.222431259155 26883.352039035053 34.83166590050428
X051.6-Y018.5-N638 31323.28312558195 3319.94207680744 35660.63974972823 46.204040618044914
X053.2-Y061.3-N876 7301.26881203791 14676.58361978053 7846.242108627842 10.166056796241799
X053.8-Y018.3-N635 27184.059579590823 3624.9421930106287 27930.250681937137 36.188089895112846
X054.5-Y016.4-N1147 27797.095477768824 3590.107578602661 28532.6090839901 36.9685411789485
X055.4-Y020.8-N625 30081.49108082582 43362.2748964952 37510.61578709532 48.6009793317866
X056.5-Y017.2-N629 28113.894480118368 3489.121681644867 30420.857465685163 39.415067812713154
X058.5-Y013.5-N887 29631.86781102195 4224.881404330366 33479.1644712593 43.37759181956514
X059.4-Y010.5-N649 29866.150706939618 6143.622972448611 32451.099962903616 42.0455704471107
X059.4-Y014.6-N1073 29971.76263895529 3706.282177496717 33892.236723096335 43.912792736767166
X060.2-Y016.7-N563 28299.87062423321 3533.1648331874444 28852.653700097173 37.38320997193644
X061.0-Y018.6-N634 28896.175647642594 2417334.1048237323 31137.95768891265 40.34418540773511
X061.8-Y015.3-N822 34525.9606165896 3466.7829559758684 31968.71921332442 41.42056932813639
X063.0-Y127.8-N765 25982.520385986383 2802.4035267176455 28004.35039705853 36.2840978823863
X063.2-Y011.8-N532 25858.79816768063 2411.1511505437547 29030.571123055146 37.613730341024066
X063.3-Y018.9-N522 33400.882125331584 3300.574146784372 32037.45217115624 41.50962382625385
X063.5-Y127.9-N694 25118.647930395662 2575.1739726065516 25853.508071626282 33.49733895532472
X064.6-Y012.0-N759 29814.516243068854 3487.012520207919 27644.737416493103 35.818161968801135
X064.9-Y016.2-N711 29765.65655912772 3263.6223841690326 30231.90621236121 39.17025135836232
X065.3-Y019.7-N838 27570.121658842498 2750.527246090999 28983.328502455264 37.55251999885357
X071.9-Y009.6-N845 31512.815782832608 3427.2213678475246 10027.897811784533 12.992739363651692
X075.3-Y014.5-N659 30681.64712155538 16077.288022209737 33826.49032418497 43.82760780158065
X076.1-Y113.8-N1621 15646.649645468546 1605.7911816411442 15861.932170533611 20.551660414157144
X076.7-Y113.3-N636 15264.891568314097 10976.660157711709 320.1360985011775 0.414787323005431
X078.1-Y114.1-N950 15280.65202028713 4847.4704749661505 18227.227762518498 23.61627771695203
X078.9-Y017.2-N670 30012.25588725662 3377.4566180540564 34601.53911254572 44.831806995697995
X079.5-Y127.2-N721 24181.65094318852 2511.7812882118315 26487.964552105044 34.31937841395911
X080.5-Y127.9-N699 21782.065901321625 9513.614053178906 23391.683828221092 30.307653404670862
X080.9-Y129.4-N719 20936.022250403432 2041.26121810515 26422.25972431461 34.234247340783284
X081.0-Y125.2-N730 21617.35959589812 2600.4147150489534 22216.8058830441 28.785411832977896
X081.9-Y019.0-N659 28965.598117300968 1710972.847967761 19659.58102671199 25.47211958806399
X084.5-Y125.9-N3000 23422.645146034738 11569.776933767738 21720.94708142612 28.14294775012456
X085.2-Y123.8-N758 21686.974162332554 2745.7685859555454 26271.80517171549 34.03930949591436
X085.2-Y125.1-N656 23063.615162248887 4884.329260306052 20083.50489157608 26.02138049893389
X085.6-Y123.0-N666 22534.58652858221 2241.4160895112764 23794.105373746184 30.82905463486499
X086.3-Y128.7-N666 22865.768030707695 2612.1687467024794 27140.858244316005 35.165306218
X087.0-Y125.3-N1368 22378.69672491942 2363.7954702413163 23859.563834080756 30.91386649974793
X088.4-Y123.1-N577 22217.351622047965 79585.05000794683 21888.1623829476 28.359601815718438
X088.4-Y126.2-N1886 23381.94640494291 49942.35230256916 23611.52547371719 30.592493283857742
X089.1-Y130.4-N894 21905.55216047522 2211.835403073982 24581.18185328045 31.8488376192739
X091.6-Y145.7-N975 17645.10387563014 1659.293025214912 17628.07908137534 22.839985137961005
X095.3-Y141.7-N741 18170.36467095488 1935.448927368666 18688.621202322982 24.21408643219776
X097.5-Y149.2-N711 23226.006922515895 2668.6093212627056 31952.920487766747 41.40009956195993
X098.9-Y141.0-N660 16418.688122380285 1726.2993863112933 17650.211016119338 22.868660585710792
X099.3-Y149.2-N879 16885.32346264038 1802.5334151884047 18251.697135547496 23.647981688424906
X101.1-Y141.0-N735 17736.912618056653 1727.436663383562 18183.429795106757 23.55953047182457
