Name X Y BlueF GreenF RedF Size RadialVelocity
DG0001 -29.0095 41.5391 4.812e-17 4.459e-17 2.030e-17 228.7079 506.55
DG0002 -28.5740 41.2130 4.948e-17 3.538e-17 1.803e-17 141.9233 504.22
DG0003 -29.0906 41.4626 6.432e-17 5.332e-17 2.557e-17 117.0452 505.41
DG0004 -28.9721 41.4793 8.102e-17 5.596e-17 2.683e-17 148.2461 506.2
DG0005 -28.8675 41.6818 9.551e-17 7.244e-17 3.055e-17 129.839 505.78
DG0006 -29.4767 41.6380 7.469e-17 6.035e-17 2.709e-17 125.7299 504.71
DG0063 -13.6552 -24.8293 2.583e-17 2.144e-17 9.504e-18 107.1989 704.28
DG0064 -38.0592 9.6947 9.491e-17 7.968e-17 3.676e-17 253.2727 359.06
DG0065 -38.1276 9.3357 1.467e-16 1.130e-16 5.204e-17 193.2514 357.89
DG0066 -38.0360 9.4551 1.461e-16 1.323e-16 5.555e-17 200.8158 357.56
DG0067 -38.0929 9.7796 1.398e-16 1.405e-16 5.014e-17 225.2795 359.12
DG0068 -38.4850 9.7919 1.396e-16 1.070e-16 5.080e-17 189.5318 356.61
DG0076 36.8518 -28.3644 8.346e-17 8.345e-17 3.249e-17 171.2965 367.58
DG0077 -8.6910 44.9176 3.980e-16 3.111e-16 1.473e-16 378.5638 177.96
DG0078 18.3690 25.2076 3.335e-16 2.806e-16 1.200e-16 288.6939 260.78
DG0079 18.5415 25.7544 2.927e-16 2.707e-16 1.037e-16 273.6383 260.06
DG0080 18.3105 24.7804 3.706e-16 2.947e-16 1.127e-16 269.6171 260.16
DG0081 18.7453 25.5388 3.495e-16 2.975e-16 1.305e-16 277.2148 259.51
DG0298 -8.7118 18.9412 7.824e-18 7.190e-18 3.321e-18 38.1465 1617.7
DG0299 -8.6763 18.9772 8.517e-18 6.801e-18 3.310e-18 38.9251 1617.7
DG0326 3.5467 5.1523 5.667e-16 4.307e-16 1.250e-16 529.3588 343.93
DG0327 3.9953 5.1056 2.127e-16 1.725e-16 8.945e-17 271.1876 345.22
DG0328 3.4569 5.6977 1.983e-16 1.553e-16 6.524e-17 247.0666 345.59
DG0329 2.8151 5.1162 2.206e-16 1.922e-16 7.796e-17 247.2611 347.71
DG0330 3.0804 4.3447 2.276e-16 1.862e-16 8.239e-17 230.4922 346.93
DG0331 4.2114 5.1800 1.861e-16 1.602e-16 6.911e-17 210.2427 345.78
DG0332 3.5869 5.5783 1.919e-16 1.455e-16 6.836e-17 230.9903 348.1
DG0333 3.9473 5.0941 1.383e-16 1.300e-16 5.115e-17 245.2415 346.26
DG0334 3.6032 5.8039 1.429e-16 1.207e-16 4.926e-17 251.4145 345.13
DG0335 2.7408 5.3982 2.242e-16 1.866e-16 8.045e-17 223.0216 345.38
DG0336 3.1542 4.3840 1.540e-16 1.173e-16 5.117e-17 292.775 346.13
DG0431 29.3620 -19.2026 2.374e-17 1.847e-17 6.091e-18 75.8735 1648.81
DG0432 29.4540 -19.0156 7.580e-18 6.126e-18 2.869e-18 38.4377 1647.5
DG0433 29.2053 -19.1638 8.448e-18 7.152e-18 3.289e-18 42.594 1648.29
DG0434 29.3933 -19.3085 8.533e-18 6.594e-18 2.785e-18 46.2077 1647.6
DG0435 29.3866 -19.3111 7.904e-18 7.144e-18 3.348e-18 42.4948 1645.65
DG0436 29.2567 -19.3518 9.105e-18 7.787e-18 3.518e-18 41.7378 1645.53
DG0437 29.2366 -19.0298 8.288e-18 7.245e-18 3.307e-18 43.6613 1644.36
DG0438 29.2365 -19.3022 1.158e-17 9.057e-18 4.428e-18 33.7464 1645.19
DG0439 29.4984 -19.1426 8.702e-18 7.336e-18 3.157e-18 44.9931 1644.93
DG0440 29.4961 -19.3592 5.501e-18 4.713e-18 2.244e-18 37.5951 1648.52
DG0441 29.3188 -19.1330 9.210e-18 6.818e-18 3.467e-18 37.9334 1643.82
DG0442 29.3267 -19.0343 8.147e-18 6.836e-18 3.229e-18 52.3866 1645.31
DG0443 29.3700 -19.3211 6.087e-18 5.102e-18 2.351e-18 73.1187 1647.45
DG0444 2.6909 -20.4138 3.801e-17 2.910e-17 1.351e-17 82.4219 751.91
DG0445 2.7420 -20.4951 2.502e-17 2.084e-17 9.019e-18 117.65 751.94
DG0446 2.5940 -20.3829 3.910e-17 3.004e-17 1.406e-17 95.4068 751.64
DG0464 -2.6482 -17.0981 4.771e-16 3.976e-16 1.749e-16 448.3049 115.84
DG0465 -2.5701 -16.4003 6.854e-16 5.344e-16 2.345e-16 429.2106 115.28
DG0478 33.9044 22.0861 5.245e-16 3.987e-16 1.747e-16 343.9404 202.75
DG0479 34.1768 22.3640 5.361e-16 4.604e-16 1.814e-16 354.1144 202.27
DG0480 34.4037 22.3328 5.463e-16 4.265e-16 1.917e-16 381.164 203.33
DG0494 2.1743 -27.9442 3.377e-17 2.857e-17 1.225e-17 83.159 711.4
DG0495 2.1223 -27.9364 4.017e-17 3.025e-17 1.454e-17 98.883 710.72
DG0513 20.6770 26.4846 2.084e-16 1.420e-16 5.137e-17 330.4565 505.78
DG0514 20.7525 25.9837 7.248e-17 6.562e-17 3.130e-17 149.8555 508.11
DG0515 20.3618 25.6342 7.615e-17 5.833e-17 2.553e-17 173.6779 508.27
DG0516 20.7267 27.1184 8.652e-17 5.979e-17 2.747e-17 144.4538 507.56
DG0517 20.8664 26.3016 6.740e-17 5.528e-17 2.152e-17 119.6376 506.56
DG0518 20.9269 25.7955 5.268e-17 4.088e-17 1.702e-17 137.2238 508.0
DG0519 21.0663 27.2050 8.048e-17 5.788e-17 2.545e-17 123.4824 508.3
DG0520 20.0703 25.9153 7.291e-17 5.829e-17 2.192e-17 121.5906 505.76
DG0521 21.1554 26.0872 7.638e-17 6.358e-17 2.795e-17 137.6721 506.25
DG0522 21.0774 26.6717 7.769e-17 5.761e-17 2.641e-17 116.9111 503.94
DG0523 20.1475 25.9273 7.035e-17 5.963e-17 2.317e-17 119.0971 503.1
DG0524 20.1152 26.5828 4.795e-17 4.015e-17 2.087e-17 142.4542 507.89
DG0525 20.7175 26.2159 6.569e-17 5.621e-17 2.317e-17 102.8387 508.35
DG0530 -17.0495 7.3103 7.555e-18 5.760e-18 2.996e-18 50.7163 1530.33
DG0566 0.9982 14.7231 6.829e-16 5.340e-16 1.736e-16 725.7851 209.2
DG0567 0.8296 15.2878 2.908e-16 2.291e-16 9.890e-17 236.0213 209.92
DG0568 1.6729 15.1277 3.665e-16 3.027e-16 1.075e-16 260.1258 208.55
DG0569 0.8940 14.4883 3.207e-16 2.396e-16 1.010e-16 240.1224 209.7
DG0570 1.4207 14.6874 2.554e-16 1.952e-16 9.248e-17 252.8173 210.18
DG0571 1.3302 14.2918 2.683e-16 1.970e-16 9.767e-17 248.535 209.26
DG0572 1.5377 15.3632 2.643e-16 2.244e-16 1.086e-16 263.3223 207.95
DG0573 1.6744 14.9799 2.826e-16 2.121e-16 1.037e-16 273.2647 208.91
DG0574 0.5879 13.8340 1.976e-16 1.422e-16 6.755e-17 293.5966 209.41
DG0575 1.4549 14.8586 2.753e-16 2.596e-16 1.084e-16 302.0795 208.73
DG0576 1.1486 15.0211 2.436e-16 2.011e-16 9.350e-17 206.0688 210.07
DG0605 21.7553 -16.8940 4.946e-16 3.737e-16 1.302e-16 478.3621 343.71
DG0606 21.5689 -17.4980 1.553e-16 1.078e-16 4.376e-17 233.6308 342.21
DG0607 22.1120 -16.3766 1.194e-16 9.980e-17 3.895e-17 362.3747 342.66
DG0608 22.5890 -18.4227 2.594e-16 1.903e-16 7.991e-17 209.1779 344.51
DG0609 21.8580 -17.3987 1.843e-16 1.277e-16 5.861e-17 259.4553 336.71
DG0610 22.9678 -17.6632 1.317e-16 9.813e-17 4.619e-17 302.3185 336.77
DG0611 22.4375 -16.0870 1.342e-16 1.100e-16 4.429e-17 289.8572 343.64
DG0612 20.2893 -17.5959 1.933e-16 1.551e-16 6.203e-17 175.8961 339.07
DG0613 21.5323 -17.8296 1.883e-16 1.462e-16 6.793e-17 197.6965 340.1
DG0614 23.9740 -17.5607 2.043e-16 1.656e-16 6.160e-17 235.9287 337.37
DG0615 22.7692 -17.1064 1.693e-16 1.456e-16 6.142e-17 181.3765 338.64
DG0616 22.0678 -15.9965 2.490e-16 1.875e-16 8.127e-17 223.8565 338.99
DG0617 20.9610 -18.0108 1.661e-16 1.201e-16 5.628e-17 176.7343 342.56
DG0618 20.7395 -16.5612 1.399e-16 1.083e-16 4.751e-17 354.1349 337.07
DG0619 21.5549 -18.1537 1.853e-16 1.468e-16 6.668e-17 221.7653 339.35
