Name X Y BlueF GreenF RedF Size RadialVelocity
DG0070 -20.7936 31.1398 8.028e-18 5.883e-18 2.812e-18 78.3076 1542.74
DG0071 -20.7950 31.1682 6.906e-18 6.013e-18 2.701e-18 53.3898 1541.73
DG0072 -20.8083 30.9993 7.047e-18 5.725e-18 2.654e-18 41.8659 1543.52
DG0073 -20.9299 31.2087 6.886e-18 5.512e-18 2.680e-18 37.8472 1543.22
DG0074 -20.8822 31.2743 9.685e-18 8.232e-18 3.342e-18 41.3363 1541.51
DG0075 -20.7413 31.1443 1.026e-17 8.148e-18 3.735e-18 37.0351 1542.06
DG0177 -26.3778 11.6200 9.487e-17 7.574e-17 2.411e-17 250.5518 780.93
DG0178 -26.8018 11.5003 3.928e-17 2.974e-17 1.474e-17 92.9136 780.17
DG0179 -26.7243 11.8881 3.938e-17 2.987e-17 1.533e-17 95.8368 781.0
DG0180 -26.5286 12.2786 2.641e-17 2.056e-17 9.182e-18 105.087 782.47
DG0181 -26.6713 11.7487 3.426e-17 2.589e-17 1.051e-17 71.2332 781.43
DG0182 -26.5097 11.3588 2.407e-17 2.259e-17 1.023e-17 152.7531 784.48
DG0183 -26.3933 11.5544 3.613e-17 3.146e-17 1.525e-17 89.8393 783.6
DG0184 -26.2542 11.9488 3.343e-17 2.960e-17 1.070e-17 76.5618 780.19
DG0185 -26.4623 11.3244 2.879e-17 2.220e-17 1.036e-17 136.6244 779.23
DG0186 -26.2416 11.8677 3.384e-17 2.775e-17 1.245e-17 85.4559 780.06
DG0187 -26.5472 11.3418 3.575e-17 2.659e-17 1.250e-17 98.2767 783.89
DG0188 -25.8866 11.6946 3.819e-17 3.502e-17 1.387e-17 94.4621 780.23
DG0189 -26.6811 11.2083 3.787e-17 3.230e-17 1.442e-17 86.623 782.43
DG0190 -26.6304 11.5875 3.847e-17 2.569e-17 1.273e-17 81.2153 780.65
DG0191 -26.4331 11.9459 3.929e-17 3.057e-17 1.453e-17 89.112 781.01
DG0192 -26.2050 12.0121 3.578e-17 2.848e-17 1.291e-17 89.1386 779.48
DG0300 -5.8753 22.9008 4.678e-17 4.162e-17 2.068e-17 123.0463 518.31
DG0428 16.3780 40.9733 8.933e-17 6.723e-17 2.917e-17 189.4492 416.77
DG0447 -32.8570 -28.3970 1.519e-16 1.021e-16 4.066e-17 171.3661 555.81
DG0448 -32.6820 -28.0217 5.904e-17 4.232e-17 1.795e-17 105.351 554.41
DG0449 -32.4720 -28.5167 6.191e-17 5.193e-17 2.113e-17 110.4111 554.02
DG0450 -32.2224 -29.0197 5.333e-17 4.322e-17 1.899e-17 94.4271 551.73
DG0451 -32.7246 -28.8208 4.197e-17 2.964e-17 1.492e-17 114.97 555.06
DG0452 -32.9699 -28.1724 5.793e-17 4.711e-17 2.133e-17 112.5603 551.77
DG0453 -33.1981 -28.7189 4.131e-17 3.295e-17 1.499e-17 173.8873 555.14
DG0454 -33.0486 -28.4214 5.291e-17 4.902e-17 2.314e-17 131.7658 551.98
DG0455 -33.3530 -27.9117 7.386e-17 6.581e-17 2.298e-17 114.7808 554.82
DG0456 -32.6413 -28.3914 5.739e-17 4.883e-17 2.167e-17 126.9139 551.07
DG0457 -33.0538 -29.0402 5.471e-17 4.878e-17 2.048e-17 130.814 554.26
DG0458 -33.2089 -28.9296 5.307e-17 3.993e-17 1.908e-17 113.8275 554.24
DG0459 -33.5885 -29.2068 6.050e-17 5.190e-17 2.274e-17 126.0061 551.79
DG0460 -33.7333 -29.0147 6.026e-17 5.234e-17 2.352e-17 128.5 555.17
DG0461 -33.2893 -28.0725 5.383e-17 4.109e-17 1.895e-17 108.2582 557.15
DG0462 -33.3724 -28.2411 5.634e-17 4.955e-17 2.278e-17 101.3523 556.67
DG0531 40.4156 26.0785 1.353e-17 1.270e-17 5.820e-18 57.1748 1307.6
DG0532 40.3578 26.0703 9.954e-18 6.968e-18 3.504e-18 54.1063 1308.1
DG0533 40.5061 26.0695 1.008e-17 8.093e-18 3.452e-18 61.4021 1307.89
DG0534 -29.5601 40.8637 1.218e-17 9.674e-18 4.520e-18 120.8015 1106.56
DG0535 -29.7467 40.8672 1.654e-17 1.375e-17 6.646e-18 50.6 1107.49
