Name Equatorial Polar BlueF GreenF RedF Parallax RadialVelocity Variable?
S237553 282.6241 50.2549 2.477e-18 4.619e-18 1.194e-17 0.0 76.28 0.0
S237555 282.5961 50.3111 2.7889999999999997e-22 5.922e-22 1.978e-21 0.0 76.6 0.0
S237557 282.7378 50.1895 2.696e-22 5.465e-22 1.649e-21 0.0 78.8 0.0
S237559 282.7055 50.2116 3.471e-19 3.58e-19 2.886e-19 0.0 77.53 0.0
S237560 282.7318 50.2305 9.22e-19 9.236e-19 6.573e-19 0.0 77.92 0.0
S237561 282.693 50.2095 2.129e-22 4.468e-22 1.5530000000000001e-21 0.0 77.14 0.0
S237563 282.712 50.2152 3.353e-18 3.077e-18 1.926e-18 0.0 77.58 0.0
S237565 282.7028 50.154 3.1220000000000005e-20 4.4110000000000007e-20 6.375000000000001e-20 0.0 78.32 0.0
S237566 282.7687 50.2022 1.439e-21 2.402e-21 4.935e-21 0.0 78.79 0.0
S237567 282.7003 50.2105 4.122e-21 7.038e-21 1.518e-20 0.0 77.38 0.0
S237570 282.8532 50.173 7.703e-18 6.746e-18 3.833e-18 0.0 79.33 0.0
S237572 282.7153 50.2117 1.1419999999999999e-22 2.4079999999999996e-22 8.078e-22 0.0 77.75 0.0
S237573 282.7068 50.2142 1.07e-21 1.98e-21 5.173e-21 0.0 77.34 0.0
S237575 282.7496 50.202 4.805e-19 5.189e-19 4.392e-19 0.0 78.58 0.0
S237576 282.7703 50.1624 3.244e-19 3.569e-19 3.094e-19 0.0 79.49 0.0
S237577 282.7234 50.1862 4.05e-19 4.45e-19 3.879e-19 0.0 78.5 0.0
S237578 282.7307 50.2124 1.3300000000000001e-21 2.505e-21 6.645e-21 0.0 79.12 0.0
S237579 282.7165 50.2038 1.005e-19 1.266e-19 1.472e-19 0.0 78.03 0.0
S237581 282.6902 50.2312 7.759e-18 1.294e-17 2.712e-17 0.0 76.67 0.0
S237582 282.7017 50.2261 3.652e-22 2.6229999999999996e-22 1.0229999999999999e-22 0.0 77.14 0.0
S237586 282.7595 50.1904 1.027e-19 1.225e-19 1.253e-19 0.0 79.45 0.0
S237587 282.7645 50.1866 4.08e-14 4.674e-14 4.394e-14 0.0 79.39 0.0
S237588 282.6942 50.1892 1.633e-18 1.729e-18 1.368e-18 0.0 78.01 0.0
S237589 282.5902 50.2769 5.128999999999999e-22 9.814999999999999e-22 2.615e-21 0.0 76.04 0.0
S237590 282.7222 50.1982 5.812999999999999e-22 1.1190000000000001e-21 3.098e-21 0.0 78.72 0.0
S237591 282.7212 50.1963 1.1710000000000001e-20 1.783e-20 2.9510000000000003e-20 0.0 78.29 0.0
S237592 282.6311 50.2529 5.925e-22 3.9979999999999996e-22 1.337e-22 0.0 76.56 0.0
S237593 282.7297 50.18 6.917000000000001e-20 8.880000000000001e-20 1.097e-19 0.0 78.69 0.0
S237594 282.6321 50.2143 1.265e-22 2.723e-22 9.580999999999999e-22 0.0 77.29 0.0
S237595 282.6667 50.2278 3.196e-19 3.381e-19 2.806e-19 0.0 76.44 0.0
