Equatorial Polar PeakFlux(W)
248.17 33.58 8.332e+12
307.02 17.97 2.232e+12
81.08 153.78 7.648e+12
83.93 153.43 7.669e+12
237.67 118.81 2.923e+15
53.86 72.28 5.027e+13
354.93 132.60 9.755e+13
290.99 65.36 2.278e+14
344.23 85.33 8.410e+11
222.06 64.89 1.349e+12
296.91 49.44 3.726e+13
1.45 9.02 1.932e+14
217.40 70.74 3.178e+13
172.51 104.95 2.755e+14
156.39 77.65 2.231e+16
337.78 113.88 3.684e+12
23.60 51.13 1.575e+13
149.14 79.75 2.738e+16
131.97 92.19 1.344e+13
85.45 30.95 1.252e+14
8.26 55.72 1.984e+12
121.43 58.38 2.507e+15
188.06 109.48 1.234e+13
156.40 77.65 2.219e+16
344.19 85.46 8.716e+11
231.09 143.97 4.635e+14
138.47 119.11 5.266e+12
75.62 88.30 1.822e+14
190.59 57.51 5.010e+14
284.05 32.87 1.573e+13
139.04 119.54 1.199e+14
32.21 128.81 4.209e+12
284.50 32.44 1.580e+13
296.50 49.15 3.734e+13
90.80 111.56 3.183e+13
0.76 85.19 9.081e+13
59.94 58.12 2.617e+13
142.43 120.27 1.285e+14
355.32 131.53 8.947e+13
168.68 81.83 1.467e+14
235.80 58.30 4.487e+11
130.46 108.18 6.733e+16
183.51 28.37 2.010e+13
184.92 113.54 4.780e+13
84.13 153.31 7.962e+12
5.29 10.21 1.897e+14
97.06 148.61 1.696e+12
35.64 17.31 1.502e+15
59.84 26.76 7.258e+12
170.23 107.41 2.897e+14
182.83 29.35 1.954e+13
292.49 64.34 2.288e+14
316.74 138.54 3.186e+12
53.47 70.86 4.978e+13
188.30 109.99 1.224e+13
