Name Equatorial Polar BlueF GreenF RedF Size RadialVelocity
DG0001 59.2621 72.6736 2.824e-15 1.507e-15 9.659e-16 194.6048 85.31
DG0002 59.4667 73.0140 1.924e-15 1.506e-15 9.280e-16 204.7129 85.16
DG0003 51.8110 136.1382 1.964e-16 1.682e-16 7.487e-17 92.2995 205.39
DG0004 296.5375 25.2420 5.786e-17 6.534e-17 3.338e-17 37.8804 391.32
DG0005 296.7245 25.2071 9.392e-17 7.198e-17 2.808e-17 42.9002 391.08
DG0006 296.6645 25.2450 8.488e-17 7.545e-17 2.366e-17 39.566 391.01
DG0007 241.0236 43.3886 1.985e-15 2.056e-15 9.166e-16 219.2061 75.98
DG0008 241.2841 43.4427 2.881e-15 1.854e-15 8.278e-16 225.4802 76.38
DG0009 241.0016 43.5302 1.607e-15 2.216e-15 6.964e-16 187.1491 76.44
DG0010 137.8927 121.6781 2.457e-16 2.253e-16 1.124e-16 90.1579 177.82
DG0011 141.7705 49.1608 1.513e-16 8.857e-17 3.828e-17 74.5126 267.23
DG0012 49.0649 140.4851 5.669e-15 5.132e-15 2.332e-15 423.9228 54.52
DG0013 47.9413 140.7222 7.017e-15 4.934e-15 1.938e-15 329.2344 54.86
DG0014 48.9756 140.4577 4.787e-15 3.212e-15 2.146e-15 274.6389 54.67
DG0015 48.7633 140.9739 7.467e-15 4.580e-15 1.849e-15 375.6884 55.01
DG0016 220.7485 31.0443 8.402e-15 8.699e-15 3.325e-15 846.7675 31.81
DG0017 219.0199 29.9479 1.780e-14 1.092e-14 4.162e-15 536.1841 32.48
DG0018 219.3164 30.7510 1.592e-14 1.055e-14 4.694e-15 681.7438 31.76
DG0019 222.4831 31.6681 1.283e-14 8.754e-15 4.563e-15 593.0151 31.83
DG0020 222.3706 32.0526 1.608e-14 7.281e-15 5.523e-15 489.3798 31.48
DG0021 220.8443 31.3922 1.314e-14 1.007e-14 5.046e-15 433.9959 32.57
DG0022 95.5123 81.1540 4.777e-15 3.194e-15 1.664e-15 398.1241 48.57
DG0023 22.4788 95.7696 3.406e-16 2.095e-16 1.089e-16 109.4744 167.14
DG0024 33.7053 97.6054 6.880e-16 4.738e-16 2.095e-16 262.3641 229.77
DG0025 33.7734 97.7833 1.500e-16 1.550e-16 7.778e-17 121.3331 230.14
DG0026 34.2057 96.9552 2.953e-16 1.747e-16 1.222e-16 54.1011 229.53
DG0027 34.3939 97.7798 3.006e-16 2.173e-16 9.932e-17 70.935 229.78
DG0028 33.7633 96.9111 2.246e-16 2.197e-16 9.864e-17 71.4174 231.2
DG0029 33.9995 97.4770 2.543e-16 3.178e-16 7.878e-17 80.9379 231.87
DG0030 33.7280 98.0601 1.709e-16 1.519e-16 6.867e-17 107.0692 230.54
DG0031 34.0380 97.3233 1.872e-16 1.953e-16 1.010e-16 137.3617 229.52
DG0032 33.8528 98.3337 1.919e-16 1.955e-16 7.960e-17 87.5238 229.72
DG0033 33.9193 98.3258 2.857e-16 2.327e-16 6.314e-17 58.3737 229.29
DG0034 33.0624 97.5409 2.641e-16 2.930e-16 1.250e-16 86.9027 231.63
DG0035 33.1295 97.7178 2.225e-16 1.978e-16 9.651e-17 67.6857 230.59
DG0036 33.6785 98.2618 2.436e-16 1.867e-16 9.902e-17 66.5725 231.91
DG0037 33.6934 97.7771 2.055e-16 1.635e-16 7.324e-17 91.0459 230.61
DG0038 33.5337 97.3007 2.266e-16 1.950e-16 9.705e-17 69.9613 231.54
DG0039 33.7523 96.9805 2.259e-16 2.480e-16 9.024e-17 69.8644 229.24
DG0040 33.4964 98.1205 1.989e-16 1.273e-16 6.340e-17 71.0982 231.17
DG0041 33.4347 97.1868 3.362e-16 2.470e-16 1.267e-16 75.9795 231.46
DG0042 34.0671 98.2836 3.667e-16 2.772e-16 1.040e-16 74.9289 230.83
DG0043 34.0225 98.1714 2.242e-16 2.237e-16 9.370e-17 73.4684 232.32
DG0044 33.0993 97.4694 2.477e-16 2.617e-16 1.099e-16 94.341 231.51
DG0045 34.0230 97.6811 2.243e-16 1.276e-16 6.409e-17 83.8421 229.83
DG0046 34.0700 97.2351 3.346e-16 2.023e-16 9.424e-17 80.998 229.92
DG0047 33.3156 97.2794 3.716e-16 1.954e-16 7.129e-17 66.6483 229.89
DG0048 33.0491 97.7724 2.207e-16 1.933e-16 1.067e-16 72.2018 229.17
DG0049 33.6930 97.9510 3.192e-16 2.292e-16 1.253e-16 79.3804 229.41
DG0050 33.8426 98.3857 3.767e-16 2.684e-16 1.164e-16 76.2972 229.99
DG0051 33.6363 97.1498 1.869e-16 1.193e-16 7.979e-17 79.5631 231.73
DG0052 2.8408 134.3700 4.071e-15 2.248e-15 9.818e-16 266.9367 66.84
DG0053 2.4238 134.7523 3.622e-15 2.776e-15 1.007e-15 257.3712 67.09
DG0054 2.1755 134.3221 3.346e-15 1.975e-15 1.080e-15 268.829 67.28
DG0055 149.8157 143.7801 6.637e-17 5.116e-17 2.624e-17 55.4325 366.57
DG0056 351.7174 103.1823 7.282e-15 4.596e-15 2.010e-15 326.0132 46.81
DG0057 351.7287 103.1340 4.547e-15 3.586e-15 1.732e-15 400.5131 47.09
DG0058 50.7006 108.2020 9.757e-17 9.491e-17 2.670e-17 39.0814 436.65
DG0059 50.6496 108.2127 6.409e-17 6.036e-17 2.402e-17 42.0042 435.9
DG0060 50.7316 108.1442 5.306e-17 4.154e-17 2.080e-17 45.7273 436.44
DG0061 50.7446 108.2165 8.154e-17 6.510e-17 2.074e-17 35.0571 436.41
DG0062 102.6007 118.4346 5.887e-16 4.898e-16 2.491e-16 141.1916 119.24
DG0063 102.7152 118.6163 1.021e-15 5.445e-16 2.866e-16 146.937 119.39
DG0064 80.7075 60.6015 5.471e-16 3.920e-16 1.489e-16 130.3628 131.18
DG0065 353.5739 72.1332 6.930e-16 5.623e-16 1.726e-16 177.3832 134.78
DG0066 135.3590 132.1332 8.303e-16 7.372e-16 2.079e-16 382.1582 108.91
DG0067 135.8060 132.2853 1.709e-15 1.357e-15 5.148e-16 152.3357 108.36
DG0068 135.1059 131.9116 1.185e-15 9.817e-16 5.486e-16 155.7644 108.4
DG0069 135.2464 131.7193 1.225e-15 6.863e-16 4.727e-16 150.7124 107.71
DG0070 135.5749 131.7229 1.171e-15 1.280e-15 4.448e-16 192.3675 108.52
DG0071 134.7746 131.8469 7.379e-16 8.106e-16 3.332e-16 186.0309 107.44
DG0072 135.8907 132.4869 1.931e-15 1.396e-15 4.868e-16 152.6786 108.04
DG0073 135.1641 132.0573 1.152e-15 9.055e-16 4.334e-16 139.9205 107.53
DG0074 136.2848 132.0542 1.913e-15 1.839e-15 5.576e-16 158.2458 108.97
DG0075 210.5050 28.5534 9.786e-17 6.281e-17 3.852e-17 86.8598 333.41
DG0076 210.3126 28.5798 1.178e-16 8.927e-17 3.868e-17 44.3817 332.83
DG0077 210.4449 28.4967 5.183e-17 6.575e-17 2.802e-17 51.9457 333.13
DG0078 210.4950 28.6179 1.417e-16 1.064e-16 5.165e-17 44.597 333.14
DG0079 210.5989 28.4956 1.116e-16 1.017e-16 4.842e-17 57.8885 333.49
DG0080 210.5750 28.4702 1.158e-16 7.741e-17 4.888e-17 59.6571 333.45
DG0081 29.4733 133.7535 9.814e-15 9.209e-15 3.130e-15 945.6894 32.99
DG0082 31.6126 133.7648 1.295e-14 1.078e-14 4.789e-15 467.967 33.16
DG0083 28.0547 133.7770 1.626e-14 6.517e-15 5.349e-15 577.4419 32.83
DG0084 29.5128 134.0707 1.158e-14 8.457e-15 4.850e-15 529.6823 33.65
DG0085 30.4548 134.8202 1.182e-14 1.157e-14 4.257e-15 467.928 33.31
DG0086 31.3099 133.9416 1.087e-14 1.023e-14 5.903e-15 491.2102 33.73
DG0087 327.5498 58.7613 8.529e-16 5.291e-16 2.567e-16 242.9141 197.01
DG0088 327.9061 58.5183 4.748e-16 3.308e-16 1.322e-16 90.0653 197.87
DG0089 327.0549 58.7717 3.677e-16 3.202e-16 1.444e-16 95.1182 196.82
DG0090 327.5005 58.8795 3.642e-16 2.545e-16 1.159e-16 75.1066 197.07
DG0091 327.2108 58.5207 4.810e-16 2.840e-16 1.250e-16 74.7811 197.45
DG0092 327.3275 59.1464 4.307e-16 3.413e-16 1.300e-16 83.6413 195.72
DG0093 327.2367 59.1251 3.311e-16 3.037e-16 1.238e-16 70.2232 196.1
DG0094 327.0557 58.5429 4.132e-16 2.645e-16 1.283e-16 91.3161 196.84
DG0095 327.5884 58.8017 3.198e-16 2.950e-16 1.633e-16 80.4828 197.07
DG0096 327.7693 58.4524 3.486e-16 2.445e-16 1.129e-16 89.3821 196.37
DG0097 327.9512 58.9025 4.293e-16 2.348e-16 1.429e-16 96.327 196.16
DG0098 327.5843 58.7049 2.233e-16 1.896e-16 8.436e-17 197.6985 197.26
DG0099 327.9320 59.1464 2.641e-16 2.256e-16 7.539e-17 109.9689 195.55
DG0100 327.3468 58.6709 5.728e-16 3.100e-16 1.193e-16 86.2072 197.05
DG0101 297.0383 101.9819 5.441e-15 3.916e-15 1.652e-15 767.7233 83.03
DG0102 296.3278 101.7933 1.766e-15 1.656e-15 8.506e-16 175.6378 85.03
DG0103 297.9791 103.0157 1.093e-15 1.190e-15 5.945e-16 251.5565 83.5
DG0104 296.9954 102.3075 1.739e-15 1.224e-15 5.721e-16 468.5198 83.76
DG0105 296.7549 102.1052 1.636e-15 1.056e-15 5.392e-16 523.2952 83.46
DG0106 296.4293 101.1972 1.596e-15 1.587e-15 6.862e-16 193.3791 84.37
DG0107 296.5840 101.7964 1.873e-15 1.392e-15 7.192e-16 197.9998 84.78
DG0108 296.2535 102.7791 1.999e-15 1.508e-15 6.971e-16 203.7845 84.54
DG0109 297.2412 101.6905 2.307e-15 2.233e-15 7.737e-16 221.2248 84.28
DG0110 296.9874 102.0660 1.984e-15 1.287e-15 7.031e-16 197.7082 82.92
DG0111 296.3045 101.5267 2.092e-15 1.710e-15 9.824e-16 197.9136 84.35
DG0112 297.0350 102.7058 2.446e-15 1.449e-15 8.011e-16 191.0072 83.72
DG0113 297.4057 102.9223 1.938e-15 1.239e-15 6.597e-16 240.0382 83.75
DG0114 296.6079 101.0181 2.389e-15 1.607e-15 9.355e-16 193.4668 82.82
DG0115 335.8203 61.1324 1.346e-16 1.189e-16 4.398e-17 59.3212 295.92
DG0116 335.7174 61.0905 1.128e-16 1.079e-16 5.077e-17 45.1411 296.04
DG0117 335.8272 61.1161 8.902e-17 7.180e-17 3.519e-17 119.8668 296.55
DG0118 335.9314 61.1474 1.573e-16 1.158e-16 4.856e-17 49.1292 297.38
DG0119 221.0382 76.9216 1.937e-16 2.027e-16 7.180e-17 81.1104 223.21
DG0120 84.8648 89.9697 5.460e-15 3.399e-15 8.694e-16 346.2424 62.99
DG0121 85.1328 89.7950 2.751e-15 1.865e-15 1.009e-15 295.0434 62.69
DG0122 8.0414 69.2218 1.415e-16 1.245e-16 4.868e-17 76.6558 285.03
DG0123 8.3608 35.5710 3.196e-16 2.280e-16 9.030e-17 107.0908 172.72
DG0124 193.6702 93.2062 1.190e-15 4.543e-16 3.232e-16 180.8218 187.42
DG0125 194.1319 93.1395 3.899e-16 3.275e-16 1.291e-16 89.6375 184.61
DG0126 193.2277 93.1096 4.343e-16 3.574e-16 1.458e-16 81.5789 187.19
DG0127 194.0103 93.4896 4.454e-16 4.110e-16 1.998e-16 81.7093 186.74
DG0128 194.0620 92.9551 3.848e-16 4.338e-16 2.225e-16 87.6647 186.5
DG0129 193.7434 92.9275 3.162e-16 2.090e-16 1.113e-16 116.866 186.9
DG0130 193.1003 93.4301 4.930e-16 3.571e-16 1.773e-16 94.2435 185.39
DG0131 194.3033 93.4395 3.382e-16 3.808e-16 1.873e-16 104.6787 185.68
DG0132 193.1210 93.0139 3.707e-16 3.590e-16 1.550e-16 107.6178 185.74
DG0133 193.5769 92.9836 2.800e-16 1.810e-16 1.097e-16 194.4019 185.47
DG0134 193.6335 93.4605 4.572e-16 2.756e-16 1.731e-16 99.2727 185.62
DG0135 193.8479 93.1207 3.934e-16 3.028e-16 1.344e-16 166.4109 187.08
DG0136 193.5344 93.6513 3.196e-16 2.232e-16 9.699e-17 104.4721 187.17
DG0137 193.9403 92.8694 3.586e-16 2.028e-16 1.098e-16 116.3635 186.09
DG0138 193.9521 93.6303 3.566e-16 2.795e-16 1.151e-16 108.3073 184.67
DG0139 193.4027 93.6162 3.982e-16 3.194e-16 1.641e-16 85.289 187.22
DG0140 193.7375 92.8488 5.001e-16 3.754e-16 1.524e-16 107.1922 186.09
DG0141 193.6536 93.0146 3.889e-16 2.940e-16 1.616e-16 90.7268 185.03
DG0142 146.0824 152.3309 6.393e-15 5.784e-15 2.136e-15 510.102 35.88
DG0143 146.3873 152.4547 1.121e-14 7.267e-15 3.182e-15 461.4867 36.35
DG0144 297.6107 104.0511 9.933e-15 5.770e-15 2.109e-15 543.1666 59.97
DG0145 297.5949 103.2744 4.668e-15 3.027e-15 1.533e-15 303.1652 60.7
DG0146 298.0305 104.3440 4.511e-15 3.092e-15 1.576e-15 292.9271 61.52
DG0147 299.4520 104.3107 4.468e-15 3.398e-15 1.603e-15 276.7039 60.66
DG0148 298.3309 102.9146 2.715e-15 3.145e-15 1.143e-15 304.2008 61.02
DG0149 298.0438 105.7079 3.894e-15 2.371e-15 1.330e-15 230.8241 59.73
DG0150 298.9151 102.6741 4.502e-15 2.956e-15 1.288e-15 292.8603 61.52
DG0151 298.8994 104.6687 1.799e-15 2.134e-15 9.032e-16 351.9312 61.48
DG0152 297.9047 102.8725 3.640e-15 2.078e-15 1.275e-15 305.7474 60.3
DG0153 295.9638 105.0505 3.728e-15 2.653e-15 1.363e-15 270.2109 60.45
DG0154 296.9988 102.8953 2.354e-15 2.084e-15 1.098e-15 419.4235 60.72
DG0155 297.9977 103.8873 2.930e-15 1.895e-15 7.346e-16 559.3932 60.8
DG0156 297.3024 103.8944 3.920e-15 2.949e-15 1.272e-15 369.0604 60.3
DG0157 296.5830 102.2441 5.697e-15 4.096e-15 1.455e-15 295.2027 60.69
DG0158 298.5966 103.6343 4.420e-15 2.443e-15 1.413e-15 289.5252 60.38
DG0159 298.6904 104.6056 3.070e-15 2.037e-15 9.283e-16 475.4705 60.44
DG0160 298.8954 103.6775 4.232e-15 2.671e-15 1.207e-15 233.4005 60.99
DG0161 297.5066 105.4675 2.903e-15 3.096e-15 1.295e-15 275.9898 60.82
DG0162 297.6603 102.6649 2.429e-15 2.477e-15 1.394e-15 271.2401 61.31
DG0163 297.7385 105.1950 3.166e-15 2.377e-15 1.294e-15 270.501 62.47
DG0164 202.7822 100.6571 4.123e-16 2.389e-16 1.017e-16 136.1961 279.29
DG0165 202.3619 100.5884 1.759e-16 1.056e-16 5.466e-17 54.9076 278.88
DG0166 203.0282 100.6774 1.230e-16 9.800e-17 3.829e-17 99.2882 277.7
DG0167 202.8431 100.5346 1.735e-16 1.552e-16 5.507e-17 65.9567 276.99
DG0168 202.5449 100.2919 1.080e-16 7.401e-17 3.293e-17 69.6353 277.06
DG0169 202.7810 100.8057 1.298e-16 8.795e-17 5.367e-17 53.9678 278.69
DG0170 202.3272 100.4739 1.457e-16 9.606e-17 5.433e-17 53.2437 276.77
DG0171 203.2369 100.7802 1.653e-16 1.113e-16 6.216e-17 58.3352 277.08
DG0172 202.7124 100.7106 1.749e-16 1.340e-16 6.674e-17 64.9603 276.22
DG0173 203.1548 100.2731 1.792e-16 1.424e-16 4.117e-17 54.5533 278.9
DG0174 202.5486 100.8959 1.464e-16 1.332e-16 5.431e-17 55.1581 277.82
DG0175 203.0059 101.0821 1.935e-16 1.337e-16 7.870e-17 48.4617 278.6
DG0176 202.5034 100.8462 1.665e-16 1.360e-16 4.454e-17 54.6281 278.33
DG0177 203.3484 100.7269 1.574e-16 1.249e-16 6.312e-17 69.183 276.46
DG0178 202.4110 100.7194 1.438e-16 1.465e-16 5.036e-17 63.9983 276.71
DG0179 202.6607 100.7580 1.920e-16 1.344e-16 4.775e-17 70.8182 278.87
DG0180 202.8031 100.4635 1.560e-16 1.028e-16 6.883e-17 53.948 276.68
DG0181 202.5897 101.0372 1.163e-16 8.922e-17 2.800e-17 70.0039 277.55
DG0182 202.3835 100.6144 1.659e-16 1.154e-16 6.120e-17 52.7833 277.17
DG0183 202.8039 100.5987 1.054e-16 8.660e-17 3.759e-17 103.4793 276.72
DG0184 202.8673 100.5683 1.863e-16 1.286e-16 6.287e-17 61.1843 278.55
DG0185 203.0164 100.6756 1.640e-16 1.122e-16 4.960e-17 51.5625 279.08
DG0186 202.7865 100.2326 1.847e-16 1.356e-16 5.538e-17 68.5339 277.32
DG0187 202.8103 100.8111 9.762e-17 8.410e-17 3.716e-17 133.5723 277.62
DG0188 235.4386 37.4100 1.550e-16 1.572e-16 6.140e-17 74.7911 376.17
DG0189 235.5393 37.5075 1.022e-16 8.176e-17 3.461e-17 47.5318 375.5
DG0190 235.2976 37.5489 8.341e-17 9.085e-17 4.541e-17 46.7414 376.27
DG0191 234.9692 37.4275 1.151e-16 1.086e-16 3.189e-17 42.3204 376.48
DG0192 235.6096 37.2243 6.912e-17 5.034e-17 3.378e-17 52.6953 376.15
