Name Equatorial Polar BlueF GreenF RedF Parallax RadialVelocity
S00000 113.9421 71.9293 1.681e-23 3.781e-23 1.474e-22 0.0 136.9327257632795
S00001 113.9547 71.935 8.131e-15 5.462e-15 1.789e-15 0.0 136.50750612921746
S00002 113.9508 71.93 2.041e-21 3.071e-21 5.195e-21 0.0 136.42514848139623
S00003 113.9485 71.9262 1.098e-14 7.996e-15 3.069e-15 0.0 136.11875357779775
S00004 113.9499 71.9344 5.703e-20 5.941e-20 4.610e-20 0.0 137.22583220930613
S00005 113.9452 71.9361 2.386e-24 6.227e-24 3.210e-23 0.0 135.98410184167386
S00006 113.9525 71.9281 2.505e-25 7.884e-25 6.134e-24 0.0 136.0085796184671
S00007 113.9484 71.9214 5.467e-21 7.227e-21 9.054e-21 0.0 137.61056911644417
S00008 113.943 71.9271 2.484e-14 2.107e-14 1.117e-14 0.0 137.36761791041135
S00009 113.9503 71.9232 1.464e-20 1.794e-20 1.889e-20 0.0 137.61195827859527
S00010 113.9446 71.9294 2.485e-21 3.702e-21 5.860e-21 0.0 136.2558362560901
S00011 113.9537 71.9257 5.647e-23 1.145e-22 3.446e-22 0.0 137.03017131215188
S00012 113.952 71.9309 2.670e-21 3.517e-21 4.601e-21 0.0 136.48380104015834
S00013 113.9557 71.9271 1.603e-20 1.941e-20 2.096e-20 0.0 137.21153157541926
S00014 113.9412 71.9228 3.711e-23 7.573e-23 2.439e-22 0.0 137.41051004981955
S00015 113.9526 71.9321 2.034e-21 3.064e-21 5.218e-21 0.0 137.2952910575106
S00016 113.9495 71.9322 9.683e-20 1.025e-19 8.285e-20 0.0 135.85601209099286
S00017 113.9489 71.9206 2.988e-21 4.256e-21 6.438e-21 0.0 137.06751588278362
S00018 113.9444 71.9317 5.440e-24 1.447e-23 7.646e-23 0.0 136.06448226184796
S00019 113.9508 71.9181 2.577e-20 3.099e-20 3.152e-20 0.0 136.25652418066744
S00020 113.9555 71.9304 8.519e-21 1.081e-20 1.279e-20 0.0 135.96643259866627
S00021 113.948 71.928 2.258e-18 1.874e-18 9.450e-19 0.0 137.55069530687703
S00022 113.9481 71.928 2.188e-16 1.468e-16 4.850e-17 0.0 135.19399342203002
S00023 113.9481 71.928 1.849e-18 1.745e-18 1.147e-18 0.0 134.84775551804995
S00024 113.9481 71.928 9.605e-18 7.398e-18 3.291e-18 0.0 135.13886261852784
S00025 113.9481 71.928 2.883e-18 3.430e-18 3.552e-18 0.0 135.91929063851188
S00026 113.9481 71.928 1.148e-17 9.045e-18 4.026e-18 0.0 138.03399625267755
S00027 113.9481 71.9281 1.044e-17 7.851e-18 3.129e-18 0.0 138.14717293882066
S00028 113.9481 71.928 7.359e-18 5.413e-18 2.166e-18 0.0 138.66201176551115
S00029 113.9481 71.928 3.346e-18 4.233e-18 4.902e-18 0.0 137.46068061361817
S00030 113.9481 71.928 2.571e-18 3.390e-18 4.426e-18 0.0 137.9664353188097
S00031 113.9481 71.928 6.523e-19 5.732e-19 3.209e-19 0.0 138.8924951279931
S00032 113.9481 71.928 6.392e-22 1.035e-21 2.056e-21 0.0 137.8886600071317
S00033 113.9481 71.9281 6.472e-22 1.129e-21 2.514e-21 0.0 134.8048925326562
S00034 113.9481 71.928 9.182e-17 6.445e-17 2.342e-17 0.0 134.6834542221791
S00035 113.9481 71.928 5.892e-19 5.423e-19 3.378e-19 0.0 137.33643336164207
S00036 113.9481 71.928 1.109e-16 7.772e-17 2.683e-17 0.0 138.79990619119738
S00037 113.9481 71.928 2.052e-18 1.707e-18 8.614e-19 0.0 137.7456702621486
S00038 113.9481 71.928 1.571e-14 1.667e-14 1.330e-14 0.0 135.84107973336012
S00039 113.9481 71.9281 3.695e-19 3.491e-19 2.243e-19 0.0 137.98697675111288
S00040 113.9481 71.928 4.934e-20 5.303e-20 4.518e-20 0.0 135.04602475624935
S00041 113.9442 71.9955 1.942e-22 3.665e-22 1.004e-21 0.0 136.07137731130993
S00042 113.8949 71.898 2.824e-21 4.061e-21 6.330e-21 0.0 134.838446128022
S00043 113.9833 71.9558 6.249e-23 1.150e-22 3.019e-22 0.0 137.63255047010534
S00044 113.9301 71.8798 4.366e-21 6.099e-21 8.531e-21 0.0 135.69069457419647
S00045 113.9584 71.9771 1.690e-19 1.657e-19 1.156e-19 0.0 135.8077889832744
S00046 113.9379 71.8975 1.333e-25 4.390e-25 3.754e-24 0.0 135.9673455523092
S00047 113.9868 71.9613 1.116e-23 2.830e-23 1.380e-22 0.0 136.0962995256239
S00048 113.9673 71.8773 2.944e-20 3.295e-20 3.074e-20 0.0 135.46847360224479
S00049 113.9043 71.8822 6.791e-25 2.060e-24 1.440e-23 0.0 138.35560470309807
S00050 113.9708 71.9047 1.054e-23 2.545e-23 1.124e-22 0.0 135.23902226607285
S00051 113.9238 71.8465 1.351e-20 1.697e-20 1.963e-20 0.0 136.04642833636422
S00052 113.9495 71.9656 9.547e-22 1.525e-21 2.785e-21 0.0 136.7799864411687
S00053 113.8932 71.9008 1.442e-21 2.322e-21 4.383e-21 0.0 136.34419960574007
S00054 113.8904 71.9888 1.844e-23 4.240e-23 1.767e-22 0.0 136.0502293211114
S00055 113.9865 71.9517 8.208e-27 3.886e-26 6.982e-25 0.0 135.81096405269938
S00056 113.9645 71.9686 5.471e-24 1.399e-23 7.371e-23 0.0 136.91309784987362
S00057 114.0052 71.9152 1.885e-21 2.838e-21 4.886e-21 0.0 137.98848712472497
S00058 113.9023 71.9352 6.417e-24 1.523e-23 6.498e-23 0.0 135.41950895587416
S00059 113.9869 71.8762 1.419e-18 1.214e-18 6.567e-19 0.0 134.6453615154471
S00060 113.9664 71.9105 5.944e-23 1.206e-22 3.780e-22 0.0 136.25780114159497
S00061 113.9374 71.9207 5.429e-21 7.274e-21 9.743e-21 0.0 136.57793779241504
S00062 113.9324 71.8908 5.060e-25 1.350e-24 7.681e-24 0.0 136.37890029246816
S00063 113.9385 71.9325 9.619e-23 1.944e-22 6.178e-22 0.0 135.50092997542723
S00064 113.9542 71.9053 9.523e-20 9.841e-20 7.635e-20 0.0 135.0394407721213
S00065 113.9973 71.9577 3.511e-29 2.936e-28 1.750e-26 0.0 136.88710870277478
S00066 113.9469 71.9086 4.565e-23 9.780e-23 3.406e-22 0.0 138.17432095140367
S00067 113.9812 71.8893 8.730e-23 1.678e-22 4.622e-22 0.0 136.27083249063753
S00068 113.9482 71.901 9.136e-20 9.514e-20 7.411e-20 0.0 136.23766042201794
S00069 113.972 71.8912 1.195e-21 1.868e-21 3.429e-21 0.0 136.94178130979006
S00070 113.9647 71.9264 4.818e-28 2.995e-27 9.869e-26 0.0 137.22317392018346
S00071 113.9401 71.9362 5.639e-22 9.358e-22 1.975e-21 0.0 136.4834501957026
S00072 113.9416 71.8904 5.159e-23 3.786e-23 1.482e-23 0.0 136.20498621420128
S00073 113.98 71.9308 4.353e-21 5.749e-21 7.356e-21 0.0 136.89190447027073
S00074 113.9749 71.9027 1.365e-22 2.461e-22 5.894e-22 0.001 135.06342866695454
S00075 113.8962 71.9481 7.182e-22 1.075e-21 1.789e-21 0.0 138.50345164915845
S00076 113.9288 71.9167 2.478e-23 5.537e-23 2.148e-22 0.0 135.9090269087353
S00077 113.9333 71.9312 2.816e-20 3.437e-20 3.625e-20 0.0 136.72252952412947
S00078 113.9375 71.9331 1.125e-22 2.272e-22 7.039e-22 0.0 138.04571642219764
S00079 113.9072 71.9462 2.211e-22 3.926e-22 9.110e-22 0.0 134.7975642632406
S00080 113.9788 71.8963 5.907e-23 1.158e-22 3.280e-22 0.0 136.67163550850847
S00081 114.0021 71.8863 1.347e-19 1.421e-19 1.155e-19 0.0 136.85164082320694
S00082 113.9067 71.9067 4.628e-23 9.619e-23 3.179e-22 0.0 138.08546164493558
S00083 113.9726 71.9433 2.993e-20 3.220e-20 2.789e-20 0.0 137.9805412772524
S00084 113.9717 71.9441 3.138e-21 4.410e-21 6.678e-21 0.0 137.71385889706468
S00085 113.9388 71.8715 9.099e-23 6.194e-23 2.103e-23 0.0 136.4821520126211
S00086 113.9758 71.8963 2.788e-21 4.097e-21 6.379e-21 0.0 135.07269421024563
S00087 114.0227 71.9106 2.786e-21 3.864e-21 5.404e-21 0.0 136.6277479853263
S00088 113.8845 71.9874 7.656e-19 7.178e-19 4.528e-19 0.0 135.0255605241383
S00089 113.9299 71.9473 4.485e-25 1.333e-24 9.132e-24 0.0 135.6907105376352
S00090 113.9808 71.8755 7.026e-22 1.102e-21 2.095e-21 0.0 134.9520336244727
S00091 113.9441 71.8921 5.654e-24 1.487e-23 7.755e-23 0.0 135.05877407488438
S00092 114.0135 71.9785 8.368e-24 1.918e-23 7.564e-23 0.0 134.95688724537783
S00093 113.9328 71.8395 4.567e-23 9.535e-23 3.314e-22 0.0 135.63544688303307
S00094 113.9205 71.9603 7.717e-22 1.313e-21 2.922e-21 0.0 135.5240078114998
S00095 113.9131 71.9371 9.306e-21 1.169e-20 1.327e-20 0.0 138.36235763336026
S00096 113.9965 71.9913 9.601e-19 1.274e-18 1.655e-18 0.0 137.2957112046135
S00097 113.9532 71.9707 5.379e-22 9.052e-22 1.896e-21 0.0 135.05843635373665
S00098 113.9944 71.9394 2.200e-20 2.537e-20 2.557e-20 0.0 136.81100608993054
S00099 113.9806 71.8768 1.306e-25 4.477e-25 4.146e-24 0.0 135.9103486729938
S00100 113.8861 71.8611 1.993e-23 4.244e-23 1.508e-22 0.0 134.87516568801013
S00101 113.9852 71.9515 1.728e-20 2.147e-20 2.417e-20 0.0 136.52681191535484
S00102 113.9252 71.8584 1.992e-21 2.781e-21 3.944e-21 0.0 137.01897126384142
S00103 113.9034 71.8843 7.018e-24 1.831e-23 9.325e-23 0.0 137.61562588194548
S00104 113.9946 71.9618 5.433e-20 5.959e-20 5.078e-20 0.0 136.9185886166207
S00105 113.9258 71.9562 2.854e-19 2.672e-19 1.671e-19 0.0 137.34427438769205
S00106 113.9605 71.9197 5.143e-21 7.103e-21 9.979e-21 0.0 137.62486164769663
S00107 113.9513 71.8824 1.237e-22 2.286e-22 5.809e-22 0.0 135.88025573981375
S00108 113.8964 71.9659 9.257e-23 6.352e-23 2.224e-23 0.0 135.53500942587348
S00109 113.8995 71.9774 2.736e-18 3.000e-18 2.579e-18 0.0 135.14590716487908
S00110 113.8865 71.9336 1.112e-18 1.820e-18 3.651e-18 0.0 135.81857919891425
S00111 113.9999 71.9834 7.284e-24 1.672e-23 6.931e-23 0.0 136.14124484202082
S00112 113.9571 71.9486 2.175e-23 4.927e-23 1.917e-22 0.0 137.84108263752674
S00113 113.9382 71.8929 1.283e-21 1.972e-21 3.459e-21 0.0 137.6727810497176
S00114 113.9898 71.9416 1.620e-23 3.596e-23 1.330e-22 0.0 135.36841876050164
S00115 113.9474 71.8744 1.231e-18 1.405e-18 1.339e-18 0.0 136.2366359307881
S00116 113.9159 71.8921 7.887e-21 1.010e-20 1.186e-20 0.0 137.24255852499755
S00117 113.9442 71.8406 6.975e-25 2.093e-24 1.464e-23 0.0 137.68593141464865
S00118 113.9687 71.9079 3.324e-25 1.155e-24 1.072e-23 0.0 137.37225301136033
S00119 113.9336 71.9438 5.438e-21 7.093e-21 8.877e-21 0.0 135.48522065714863
S00120 114.0014 71.9204 1.587e-20 1.959e-20 2.155e-20 0.0 138.20449809947337
S00121 113.8968 71.9418 4.234e-21 5.739e-21 7.855e-21 0.0 137.28466838966892
S00122 113.9328 71.8825 5.610e-21 7.403e-21 9.517e-21 0.0 135.5089179647782
S00123 113.9287 71.9359 1.592e-23 3.785e-23 1.667e-22 0.0 137.8283005481947
S00124 113.9746 71.9029 5.122e-25 1.464e-24 9.737e-24 0.0 137.6762154851535
S00125 113.9033 71.9144 3.411e-23 7.502e-23 2.719e-22 0.0 134.7279802996633
S00126 113.9332 71.9676 5.309e-23 1.062e-22 3.319e-22 0.0 136.68659780732617
S00127 114.5467 72.0072 1.304e-23 3.069e-23 1.321e-22 0.0 137.54818115498173
S00128 114.5488 72.0099 4.294e-20 4.999e-20 4.858e-20 0.0 136.84351396218307
S00129 114.5475 72.0024 1.075e-23 2.353e-23 8.806e-23 0.0 137.29521228094404
S00130 114.5468 72.0083 1.711e-23 4.054e-23 1.771e-22 0.0 137.32385285058245
S00131 114.5502 72.0043 9.935e-23 6.609e-23 2.159e-23 0.0 137.16029696008684
S00132 114.5479 72.0083 6.036e-21 8.161e-21 1.067e-20 0.0 136.99394459787567
S00133 114.5485 72.006 3.903e-24 8.714e-24 3.296e-23 0.0 137.10034903024666
S00134 114.5472 72.0061 8.779e-24 2.360e-23 1.322e-22 0.0 137.62992879614387
S00135 114.5439 72.0094 1.224e-23 2.702e-23 1.008e-22 0.0 137.46570847118338
S00136 114.549 72.0075 1.161e-17 1.039e-17 6.092e-18 0.0 137.2313375467608
S00137 114.5453 72.0128 4.501e-19 4.088e-19 2.470e-19 0.0 137.74077675154209
S00138 114.547 72.0068 1.610e-17 1.160e-17 4.346e-18 0.0 137.99335960883786
S00139 114.547 72.0068 4.300e-19 3.976e-19 2.469e-19 0.0 136.53398205395072
S00140 114.547 72.0068 2.053e-18 3.303e-18 6.284e-18 0.0 137.46506814457956
S00141 114.547 72.0067 6.749e-24 1.745e-23 8.989e-23 0.0 137.0039086092252
S00142 114.547 72.0067 1.341e-16 9.221e-17 3.079e-17 0.0 137.35989616190955
S00143 114.547 72.0067 1.186e-16 8.056e-17 2.658e-17 0.0 137.95271853175032
S00144 114.547 72.0067 9.284e-22 1.465e-21 2.700e-21 0.0 138.401326839979
S00145 114.547 72.0068 3.460e-17 2.472e-17 9.474e-18 0.0 137.48894593553862
S00146 114.547 72.0067 1.556e-17 1.176e-17 4.988e-18 0.0 136.95228951983563
S00147 114.547 72.0068 1.496e-16 1.007e-16 3.357e-17 0.0 138.09387696405642
S00148 114.547 72.0068 7.306e-18 5.161e-18 1.929e-18 0.0 138.2356885268467
S00149 114.547 72.0068 2.252e-19 2.231e-19 1.637e-19 0.0 136.74874512781517
S00150 114.547 72.0067 8.512e-17 6.090e-17 2.202e-17 0.0 135.68093881690044
