Name Equatorial Polar BlueF GreenF RedF Size RadialVelocity
DG0001 157.8482 114.7894 2.044e-16 1.804e-16 6.728e-17 84.1347 185.68
DG0002 168.4311 31.3132 4.213e-16 3.294e-16 1.149e-16 107.7477 317.32
DG0003 168.2648 31.3838 1.662e-16 8.292e-17 5.555e-17 54.1217 317.47
DG0004 168.1898 31.3327 1.466e-16 1.043e-16 4.659e-17 47.0597 318.3
DG0005 168.2818 31.5335 1.018e-16 9.089e-17 3.825e-17 63.0865 319.22
DG0006 168.9759 31.3118 1.487e-16 1.024e-16 4.755e-17 44.127 318.08
DG0007 168.8328 31.0068 1.738e-16 1.008e-16 5.060e-17 57.2705 318.63
DG0008 168.2957 31.1281 1.585e-16 9.639e-17 5.554e-17 55.1092 319.06
DG0009 168.2177 31.2043 2.019e-16 1.431e-16 5.631e-17 61.3268 318.76
DG0010 168.4762 30.9519 1.651e-16 1.189e-16 4.448e-17 58.8322 317.84
DG0011 168.8150 31.4700 1.626e-16 8.900e-17 3.200e-17 55.4405 317.35
DG0012 168.4359 31.5322 1.129e-16 1.228e-16 4.705e-17 41.3674 319.26
DG0013 168.5278 31.1335 1.655e-16 1.482e-16 5.221e-17 59.9135 318.01
DG0014 168.3203 31.0749 1.494e-16 1.141e-16 4.015e-17 45.0935 318.83
DG0015 168.3684 31.1412 1.389e-16 1.198e-16 4.533e-17 48.4016 318.65
DG0016 322.7010 115.8477 5.546e-15 4.161e-15 1.655e-15 397.0193 48.56
DG0017 253.0927 66.5744 2.704e-15 1.758e-15 6.375e-16 211.9087 72.72
DG0018 253.4281 66.6508 2.457e-15 2.065e-15 9.735e-16 246.0045 72.89
DG0019 333.8206 92.9175 2.167e-16 1.642e-16 6.900e-17 129.4587 212.61
DG0020 333.8945 92.9887 2.775e-16 2.136e-16 9.803e-17 75.7902 212.4
DG0021 333.9181 92.9195 4.630e-16 2.865e-16 1.169e-16 84.3094 212.63
DG0022 333.9700 93.0241 4.230e-16 2.870e-16 1.286e-16 84.7684 212.08
DG0023 333.9366 92.9130 3.264e-16 2.170e-16 1.239e-16 83.6563 213.52
DG0024 204.5250 108.5604 1.595e-14 9.347e-15 4.508e-15 1212.268 41.43
DG0025 205.6535 110.1809 5.734e-15 5.440e-15 2.025e-15 354.3684 41.65
DG0026 202.6536 109.4825 5.885e-15 3.843e-15 2.679e-15 378.5319 43.81
DG0027 204.8357 107.0761 5.392e-15 4.270e-15 2.019e-15 296.6898 44.21
DG0028 203.2818 105.0087 4.645e-15 3.333e-15 1.749e-15 454.9087 41.57
DG0029 200.8264 108.0301 5.158e-15 5.134e-15 1.940e-15 403.7976 42.63
DG0030 203.2984 108.2956 4.920e-15 4.833e-15 2.636e-15 312.9721 41.86
