Equatorial Polar PeakFlux(W)
168.21 41.13 7.099e-09
3.83 125.91 3.088e-09
178.28 111.68 1.864e-05
120.99 89.68 2.833e-08
144.16 107.59 4.559e-09
98.44 74.74 1.259e-08
199.03 141.43 3.336e-09
218.72 14.32 9.278e-08
21.47 154.65 9.407e-08
114.17 66.04 2.861e-09
187.70 121.52 5.636e-09
284.42 104.69 3.183e-09
227.54 82.88 1.271e-08
313.99 96.96 9.865e-08
196.62 59.41 1.785e-07
228.22 111.52 1.256e-08
281.46 104.99 3.888e-08
97.73 35.31 1.623e-09
304.21 100.61 3.361e-08
143.87 107.65 4.683e-09
296.61 77.95 1.034e-08
330.93 75.26 1.371e-07
181.92 137.04 1.783e-08
276.94 145.39 3.939e-09
9.03 35.23 1.781e-08
267.69 64.44 1.626e-08
289.46 102.19 2.206e-08
186.51 133.88 5.761e-09
74.00 27.36 4.975e-08
278.76 64.24 2.576e-07
287.02 24.29 2.084e-08
239.26 55.77 4.554e-09
214.24 131.48 2.390e-07
348.61 139.12 1.351e-08
123.35 121.33 1.030e-09
98.44 155.79 2.056e-09
10.01 121.35 3.225e-09
286.23 106.48 9.846e-09
347.60 121.78 1.198e-07
116.40 157.26 8.468e-09
131.10 45.55 6.090e-09
181.94 158.68 1.914e-05
349.16 79.90 1.073e-07
115.10 49.30 2.684e-08
324.77 142.22 3.059e-09
260.51 35.51 2.071e-08
222.47 102.58 2.393e-08
197.83 98.59 2.072e-07
104.73 94.79 9.100e-09
236.49 81.33 6.044e-08
58.86 81.34 8.307e-09
258.55 126.51 1.805e-07
262.96 65.02 1.037e-08
81.84 144.28 2.847e-07
175.56 46.45 6.956e-08
