Name Equatorial Polar BlueF GreenF RedF Size RadialVelocity
DG001 113.9008 48.0280 1.410e-16 1.099e-16 5.438e-17 57.4692 350.84
DG002 114.0045 47.9585 1.153e-16 9.700e-17 3.703e-17 48.0042 351.0
DG003 114.0496 47.8591 1.180e-16 6.080e-17 4.600e-17 40.8993 350.84
DG004 113.9508 47.9571 1.571e-16 8.389e-17 5.787e-17 49.3516 350.66
DG005 255.6906 124.3733 1.455e-16 1.170e-16 6.037e-17 73.3637 261.76
DG006 299.8107 83.6508 2.146e-15 2.511e-15 1.102e-15 341.0492 64.04
DG007 43.7231 66.7760 3.022e-15 2.038e-15 7.377e-16 222.3033 79.51
DG008 43.5822 67.0512 2.270e-15 2.039e-15 9.174e-16 193.5819 79.65
DG009 235.8385 58.3025 2.503e-17 2.679e-17 1.060e-17 25.6243 741.11
DG010 235.8023 58.2962 3.456e-17 1.659e-17 9.658e-18 26.7193 741.46
DG011 235.8062 58.3335 2.759e-17 2.335e-17 1.190e-17 21.8847 741.63
DG012 235.7916 58.3264 2.930e-17 2.725e-17 1.073e-17 24.9909 741.06
DG013 47.6786 115.5081 1.458e-16 1.285e-16 6.235e-17 78.137 252.26
DG014 47.6766 115.6431 1.980e-16 1.657e-16 5.274e-17 55.2281 252.28
DG015 47.6416 115.6877 2.023e-16 1.238e-16 4.035e-17 64.6198 252.58
DG016 47.6234 115.6846 1.246e-16 1.070e-16 3.033e-17 60.5598 252.87
DG017 131.4530 99.8646 5.941e-16 6.417e-16 2.417e-16 120.4981 138.84
DG018 131.5146 99.9541 7.425e-16 5.579e-16 2.376e-16 112.2182 139.03
DG019 131.6278 99.6899 6.787e-16 6.346e-16 2.281e-16 124.6941 138.87
DG020 191.5682 130.0081 7.440e-17 5.373e-17 1.842e-17 40.8418 400.58
DG021 352.8450 144.7201 5.950e-16 3.969e-16 1.506e-16 171.0453 132.32
DG022 352.3383 144.8789 8.909e-16 5.792e-16 2.900e-16 128.567 132.28
DG023 353.1084 144.8649 5.858e-16 5.087e-16 2.582e-16 135.008 132.28
DG024 352.9012 144.8282 8.342e-16 5.529e-16 2.268e-16 116.174 132.15
DG025 352.9643 144.5004 6.444e-16 5.610e-16 2.420e-16 109.9928 132.57
DG026 64.0515 96.7513 4.923e-15 2.659e-15 1.674e-15 544.5846 51.23
DG027 63.9770 97.0512 5.400e-15 5.330e-15 1.820e-15 349.4215 50.95
DG028 223.1605 111.1514 9.183e-18 8.252e-18 2.732e-18 25.8013 1264.94
DG029 223.1875 111.1408 8.982e-18 8.567e-18 3.447e-18 15.6687 1263.34
DG030 223.1723 111.1242 1.205e-17 5.184e-18 2.841e-18 13.7027 1264.61
DG031 223.1552 111.1594 9.943e-18 6.367e-18 4.985e-18 12.2406 1263.64
DG032 223.1657 111.1823 9.130e-18 6.753e-18 3.953e-18 13.4585 1265.5
DG033 223.1702 111.1866 1.100e-17 6.710e-18 3.670e-18 12.6667 1264.98
DG034 132.0087 92.1781 4.685e-16 4.775e-16 2.160e-16 248.3915 137.71
DG035 131.9711 92.1930 6.878e-16 8.731e-16 3.797e-16 124.3254 137.57
DG036 132.0653 92.2042 1.047e-15 6.098e-16 2.773e-16 116.7656 137.77
DG037 131.9907 92.5484 7.714e-16 6.557e-16 2.842e-16 127.0813 137.62
DG038 131.6105 92.2921 8.930e-16 6.931e-16 1.866e-16 123.3838 137.66
DG039 132.1060 92.2735 8.457e-16 6.783e-16 3.091e-16 152.2041 137.7
DG040 131.9276 92.1029 1.292e-15 8.887e-16 3.307e-16 117.969 137.41
DG041 251.1994 48.2977 5.061e-15 2.604e-15 1.529e-15 305.4403 60.01
DG042 251.9831 48.2133 4.736e-15 2.916e-15 1.491e-15 312.8766 60.11
DG043 251.1427 48.4795 5.603e-15 3.996e-15 1.494e-15 302.7707 60.25
DG044 251.9584 48.1109 2.611e-15 3.475e-15 1.055e-15 267.3972 60.48
DG045 191.5296 125.4034 5.105e-16 4.131e-16 1.389e-16 158.0647 242.54
DG046 191.8327 125.4610 2.247e-16 1.356e-16 5.887e-17 60.8327 241.02
DG047 191.9270 125.5425 3.239e-16 2.162e-16 1.052e-16 59.9827 241.13
DG048 191.7524 125.6393 2.188e-16 1.611e-16 8.028e-17 55.3516 243.31
DG049 191.1141 125.1027 1.633e-16 1.856e-16 6.942e-17 71.2661 240.98
DG050 191.7984 125.2196 2.330e-16 1.499e-16 5.784e-17 53.6126 241.09
DG051 191.4255 125.6082 1.800e-16 1.541e-16 7.181e-17 78.2756 242.91
DG052 191.9192 125.6200 1.682e-16 1.277e-16 4.428e-17 78.3362 240.9
DG053 191.3746 125.3410 1.962e-16 1.880e-16 7.742e-17 78.5585 241.94
DG054 191.3361 125.7143 3.270e-16 2.189e-16 8.341e-17 68.494 241.33
DG055 191.6101 125.1643 2.325e-16 1.642e-16 6.973e-17 51.8165 241.18
DG056 191.6653 125.4543 2.104e-16 1.663e-16 8.991e-17 81.5974 242.23
DG057 191.3575 125.3072 2.168e-16 1.680e-16 8.319e-17 64.0217 243.35
DG058 191.9324 125.3922 2.185e-16 1.189e-16 8.409e-17 81.3884 242.06
DG059 191.8082 125.4397 2.430e-16 1.258e-16 8.377e-17 67.1374 242.19
DG060 191.6199 125.1547 2.012e-16 2.161e-16 6.444e-17 59.4581 243.41
