Name Equatorial Polar BlueF GreenF RedF Parallax RadialVelocity
S00001 190.78 127.9378 9.919e-16 9.351e-16 6.234e-16 0.0 -2.42
S00002 190.8291 127.5943 2.413e-15 2.142e-15 1.214e-15 0.001 -1.73
S00003 191.5715 127.9109 5.211e-16 5.368e-16 4.227e-16 0.001 -2.51
S00004 191.7578 127.6504 2.700e-19 1.918e-19 7.008e-20 0.001 -2.3
S00005 190.842 128.1931 2.221e-15 2.063e-15 1.289e-15 0.0 -3.05
S00006 191.2587 127.7811 1.230e-16 1.431e-16 1.441e-16 0.0 -2.97
S00007 191.624 128.1284 1.504e-15 1.503e-15 1.070e-15 0.0 -1.6
S00008 191.8762 128.0719 9.746e-27 1.145e-25 1.385e-23 0.0 -2.54
S00009 191.7249 127.8249 4.194e-15 3.677e-15 2.099e-15 0.001 -2.62
S00010 191.8711 127.9254 2.707e-19 5.822e-19 2.010e-18 0.0 -1.78
S00011 191.3374 127.9456 2.482e-15 2.228e-15 1.262e-15 0.0 -2.99
S00012 191.0053 127.7645 2.848e-17 3.841e-17 5.119e-17 0.0 -2.76
S00013 191.6128 127.7223 4.522e-22 1.447e-21 1.182e-20 0.001 -2.67
S00014 191.6785 127.6843 1.996e-17 2.560e-17 3.228e-17 0.0 -2.24
S00015 191.9835 128.5536 3.095e-21 9.585e-21 7.393e-20 0.001 -3.19
S00016 191.2243 127.2558 4.874e-20 1.120e-19 4.393e-19 0.0 -3.69
S00017 191.9724 127.7284 5.286e-19 9.541e-19 2.336e-18 0.0 -2.59
S00018 191.9335 127.7443 3.836e-19 2.654e-19 9.043e-20 0.001 -2.67
S00019 192.0187 127.5875 4.245e-16 4.441e-16 3.578e-16 0.0 -2.68
S00020 191.9589 127.7661 4.216e-19 7.888e-19 2.148e-18 0.0 -2.29
S00021 191.6971 128.0908 6.183e-15 5.231e-15 2.753e-15 0.0 -2.5
S00022 192.0537 127.8978 7.350e-15 6.153e-15 3.110e-15 0.0 -3.29
S00023 191.3038 127.7207 4.251e-16 4.551e-16 3.878e-16 0.0 -2.67
S00024 191.3587 127.8469 1.052e-14 1.698e-14 3.219e-14 0.001 -2.83
S00025 191.0722 127.8063 9.038e-19 1.672e-18 4.384e-18 0.0 -2.1
S00026 191.6144 127.4298 5.176e-19 3.364e-19 1.032e-19 0.001 -2.41
S00027 191.5159 127.5394 2.241e-14 2.290e-14 1.732e-14 0.0 -3.15
S00028 191.9782 128.2301 9.441e-19 1.673e-18 3.838e-18 0.0 -2.63
S00029 191.6637 128.1133 2.557e-14 2.544e-14 1.844e-14 0.0 -1.74
S00030 190.9436 127.6397 3.541e-18 5.720e-18 1.114e-17 0.0 -1.57
S00031 191.6199 128.3871 1.410e-16 1.611e-16 1.514e-16 0.001 -2.64
S00032 191.6317 127.5721 1.338e-14 1.133e-14 6.030e-15 0.0 -3.2
S00033 191.6728 128.1412 1.183e-19 2.461e-19 7.837e-19 0.001 -2.61
S00034 192.0795 127.7493 3.611e-19 2.459e-19 8.483e-20 0.0 -1.44
S00035 191.4218 127.8413 4.801e-17 6.147e-17 7.299e-17 0.0 -2.75
S00036 190.8792 127.7188 9.082e-15 1.202e-14 1.554e-14 0.0 -2.76
S00037 192.0601 128.0204 2.699e-19 1.918e-19 7.009e-20 0.0 -2.79
S00038 190.9607 127.8842 5.161e-17 6.733e-17 8.056e-17 0.001 -3.45
S00039 191.8196 127.8713 5.799e-16 5.666e-16 3.865e-16 0.0 -2.92
S00040 191.5581 127.9255 1.123e-10 8.153e-11 3.000e-11 0.001 -1.78
S00041 191.3991 127.9994 5.857e-17 7.611e-17 9.172e-17 0.0 -1.71
S00042 191.2168 128.0694 5.494e-15 7.952e-15 1.225e-14 0.0 -2.3
S00043 191.5294 127.8956 2.004e-15 1.820e-15 1.058e-15 0.001 -1.89
S00044 191.6245 127.7591 3.049e-19 5.904e-19 1.585e-18 0.0 -2.6
S00045 191.4029 127.8037 3.146e-18 4.921e-18 9.370e-18 0.0 -2.33
S00046 191.7063 127.3817 4.443e-21 1.481e-20 1.294e-19 0.001 -3.12
S00047 191.7158 127.9182 4.008e-15 3.606e-15 2.176e-15 0.001 -3.02
S00048 191.473 127.639 1.223e-17 1.679e-17 2.252e-17 0.001 -3.42
S00049 191.2861 128.0677 9.853e-19 1.714e-18 3.860e-18 0.0 -1.96
S00050 190.9447 128.3135 5.604e-16 5.934e-16 4.675e-16 0.001 -2.71
S00051 191.6968 127.4451 6.220e-16 6.516e-16 5.034e-16 0.0 -1.46
S00052 191.3456 127.7051 5.620e-17 7.014e-17 8.335e-17 0.001 -2.7
S00053 192.1988 127.8327 4.435e-15 3.235e-15 1.207e-15 0.001 -3.14
S00054 191.1952 127.3845 7.601e-15 1.228e-14 2.298e-14 0.0 -1.87
S00055 191.6121 127.856 1.045e-19 2.561e-19 1.184e-18 0.0 -2.78
S00056 191.6129 128.3411 2.740e-15 2.458e-15 1.410e-15 0.0 -1.66
S00057 191.9908 128.2921 4.133e-18 6.424e-18 1.135e-17 0.0 -2.3
S00058 191.2402 128.1282 8.664e-17 1.047e-16 1.137e-16 0.001 -1.72
S00059 190.92 128.0191 2.009e-19 4.348e-19 1.613e-18 0.0 -2.28
S00060 192.0247 127.7546 9.414e-19 1.692e-18 4.122e-18 0.001 -2.71
S00061 191.3185 127.4858 7.197e-18 1.049e-17 1.616e-17 0.0 -1.8
S00062 191.6149 127.8642 3.356e-20 8.077e-20 3.637e-19 0.0 -3.13
S00063 191.4649 127.7477 3.084e-19 2.168e-19 7.607e-20 0.0 -2.48
S00064 192.3085 128.0042 1.583e-17 2.207e-17 3.218e-17 0.001 -1.63
S00065 191.7902 127.4155 1.109e-16 1.297e-16 1.284e-16 0.0 -1.63
S00066 191.7778 128.3432 9.479e-18 1.325e-17 1.871e-17 0.0 -2.35
S00067 191.3906 128.0361 3.501e-15 3.117e-15 1.860e-15 0.0 -2.41
S00068 191.436 127.7197 1.561e-18 2.701e-18 5.993e-18 0.0 -2.17
S00069 192.107 127.9241 6.467e-17 8.093e-17 9.364e-17 0.0 -3.13
S00070 190.9945 128.1654 1.202e-17 1.682e-17 2.419e-17 0.0 -2.87
S00071 191.7854 127.8838 2.375e-20 6.256e-20 3.223e-19 0.0 -2.34
S00072 191.9289 127.9975 8.637e-17 1.022e-16 1.033e-16 0.0 -2.8
S00073 191.7587 127.5838 9.089e-11 6.258e-11 2.194e-11 0.0 -2.76
S00074 191.2314 127.9105 7.400e-17 9.009e-17 9.711e-17 0.0 -2.42
S00075 191.6329 128.1483 9.971e-17 1.112e-16 1.046e-16 0.002 -1.76
S00076 191.2838 128.4828 3.906e-18 6.216e-18 1.139e-17 0.0 -1.63
S00077 191.8582 127.6239 2.896e-19 5.999e-19 2.011e-18 0.0 -3.49
S00078 190.8688 127.6872 3.529e-19 2.435e-19 8.385e-20 0.001 -3.65
S00079 191.2795 127.8392 4.185e-15 3.663e-15 2.036e-15 0.0 -3.06
S00080 190.8039 127.9891 1.250e-19 2.545e-19 8.316e-19 0.0 -2.41
S00081 191.5376 128.0773 1.552e-15 1.488e-15 9.804e-16 0.0 -2.19
S00082 191.9133 127.7262 3.373e-19 6.859e-19 2.089e-18 0.0 -2.52
S00083 191.795 128.0716 1.761e-20 4.810e-20 2.834e-19 0.0 -3.05
S00084 191.2565 127.8267 3.117e-20 7.076e-20 2.823e-19 0.0 -1.49
S00085 190.7148 127.9077 2.901e-19 2.044e-19 7.437e-20 0.0 -1.42
S00086 191.5646 128.1531 1.112e-10 1.053e-10 6.805e-11 0.001 -2.74
S00087 191.5872 127.9247 2.389e-20 6.011e-20 2.899e-19 0.0 -1.78
S00088 191.0806 127.7848 9.625e-14 7.465e-14 3.280e-14 0.001 -1.83
S00089 191.7469 127.3844 5.306e-15 4.366e-15 2.132e-15 0.0 -2.51
S00090 191.5411 127.9033 2.246e-14 1.971e-14 1.093e-14 0.0 -2.54
S00091 191.822 127.6313 9.344e-22 2.911e-21 2.268e-20 0.001 -2.55
S00092 191.9667 128.1753 3.715e-14 3.548e-14 2.365e-14 0.0 -1.9
S00093 191.7795 127.4745 1.351e-16 1.570e-16 1.541e-16 0.0 -2.31
S00094 191.1913 127.993 1.652e-14 1.236e-14 4.963e-15 0.0 -2.21
S00095 190.984 127.7875 1.383e-17 1.889e-17 2.681e-17 0.0 -2.53
S00096 190.8651 128.0508 9.433e-17 1.097e-16 1.072e-16 0.0 -2.58
S00097 191.7135 128.0444 1.690e-19 3.591e-19 1.206e-18 0.0 -3.36
S00098 192.122 128.139 3.419e-18 5.633e-18 1.135e-17 0.0 -1.94
S00099 191.283 128.0769 2.287e-15 2.085e-15 1.226e-15 0.0 -2.17
S00100 190.9029 127.9627 1.992e-15 1.844e-15 1.100e-15 0.001 -2.08
S00101 191.628 128.1272 2.447e-15 2.223e-15 1.330e-15 0.0 -2.88
S00102 191.7 127.6214 1.747e-17 2.424e-17 3.466e-17 0.0 -2.91
S00103 191.0709 127.4373 3.783e-19 2.543e-19 8.700e-20 0.001 -1.8
S00104 191.621 128.3556 6.024e-20 1.336e-19 5.107e-19 0.0 -2.38
S00105 191.6249 128.0192 4.684e-19 9.207e-19 2.701e-18 0.001 -1.93
S00106 191.9388 127.7299 5.897e-16 5.874e-16 4.184e-16 0.001 -1.79
S00107 191.4563 127.8146 4.326e-17 5.489e-17 6.409e-17 0.001 -1.83
S00108 191.4387 127.3251 2.556e-19 4.887e-19 1.368e-18 0.0 -2.14
S00109 191.63 127.3782 2.361e-14 1.757e-14 7.112e-15 0.0 -3.41
S00110 191.1244 128.198 6.389e-21 1.810e-20 1.161e-19 0.0 -3.23
S00111 191.8202 128.085 5.650e-15 5.097e-15 3.027e-15 0.0 -1.79
S00112 191.2519 127.5417 4.041e-14 3.692e-14 2.236e-14 0.001 -3.35
S00113 191.7342 128.0838 1.373e-19 2.892e-19 9.295e-19 0.001 -2.07
S00114 191.1054 127.8761 3.655e-19 6.993e-19 1.964e-18 0.0 -1.34
S00115 191.4037 127.6259 3.197e-18 5.543e-18 1.234e-17 0.0 -2.11
S00116 190.8657 128.2438 8.037e-16 7.476e-16 4.821e-16 0.0 -2.14
S00117 191.5971 128.6699 6.306e-19 1.193e-18 3.260e-18 0.0 -3.13
