Equatorial Polar PeakFlux(W)
182.08 102.97 9.522e-40
114.23 71.36 4.672e-43
114.04 72.62 4.742e-43
255.65 30.95 3.966e-43
151.73 143.47 9.770e-40
255.89 30.90 3.960e-43
203.12 110.19 7.709e-40
255.30 30.90 3.876e-43
114.05 72.62 4.710e-43
210.31 118.77 6.533e-40
85.37 137.39 1.458e-43
256.07 30.55 3.930e-43
170.82 140.97 1.147e-39
151.74 143.46 9.648e-40
144.61 116.55 3.760e-39
114.00 71.97 4.720e-43
215.98 117.03 8.332e-40
210.35 118.73 6.415e-40
114.04 72.61 4.755e-43
85.38 137.41 1.416e-43
144.61 116.54 3.791e-39
113.76 72.39 4.637e-43
198.07 135.87 1.504e-39
255.73 30.87 3.931e-43
85.53 137.31 1.446e-43
255.62 30.97 3.987e-43
256.10 30.87 4.007e-43
114.04 72.61 4.673e-43
114.53 71.35 4.776e-43
114.04 72.63 4.576e-43
256.10 30.87 3.929e-43
203.12 110.17 7.723e-40
256.11 30.87 3.899e-43
114.50 71.35 4.667e-43
210.31 118.73 6.418e-40
144.60 116.54 3.759e-39
256.10 30.87 3.959e-43
48.45 171.15 5.307e-39
182.08 103.00 9.670e-40
151.76 143.48 9.746e-40
85.52 137.33 1.433e-43
