Name,X,Y,BlueF,GreenF,RedF,Size,RadialVelocity
BackDG0051,-24.6277,-7.5940,1.022e-17,9.515e-18,4.491e-18,60.2022,-920.66
BackDG0052,-24.6831,-7.5816,7.616e-18,5.851e-18,2.890e-18,56.0868,-922.79
BackDG0053,-24.5830,-7.5892,1.002e-17,9.653e-18,3.922e-18,44.2129,-920.64
BackDG0054,-24.6557,-7.5330,1.114e-17,8.653e-18,4.338e-18,46.019,-921.39
BackDG0100,-18.2729,-34.8706,3.740e-17,3.242e-17,1.402e-17,80.6272,-437.81
BackDG0101,-18.1122,-34.8907,3.938e-17,3.161e-17,1.256e-17,81.045,-437.83
BackDG0102,-18.2709,-34.5933,2.949e-17,2.441e-17,1.055e-17,102.4825,-438.63
BackDG0103,-17.9670,-34.5628,4.367e-17,3.378e-17,1.702e-17,90.5104,-437.42
BackDG0133,-38.2643,-25.9904,7.246e-18,5.793e-18,2.730e-18,44.9589,-989.17
BackDG0143,30.2890,2.9341,3.092e-17,2.501e-17,1.097e-17,110.4109,-417.86
BackDG0144,34.6528,28.5510,8.122e-17,5.374e-17,1.759e-17,115.5337,-559.18
BackDG0145,35.1430,28.3762,2.946e-17,2.085e-17,9.533e-18,75.9085,-559.04
BackDG0146,35.1192,28.8258,1.603e-17,1.381e-17,6.104e-18,101.5651,-560.09
BackDG0147,34.1107,28.3193,1.750e-17,1.392e-17,6.474e-18,105.4294,-561.38
BackDG0148,35.2464,29.0081,2.958e-17,2.435e-17,1.000e-17,79.1189,-557.51
BackDG0149,35.0272,28.9333,1.788e-17,1.401e-17,6.761e-18,118.871,-561.82
BackDG0150,34.2914,28.4243,2.698e-17,2.396e-17,1.126e-17,80.8319,-557.29
BackDG0151,35.0574,28.7859,2.608e-17,2.099e-17,8.781e-18,62.862,-562.31
BackDG0152,34.3773,28.3777,2.682e-17,2.105e-17,9.329e-18,80.0988,-556.57
BackDG0153,34.2393,28.4046,2.202e-17,1.717e-17,8.152e-18,137.8959,-558.52
BackDG0154,35.4114,28.8359,2.508e-17,1.881e-17,9.792e-18,74.6038,-556.65
BackDG0155,34.9264,28.8048,1.941e-17,1.780e-17,7.542e-18,141.8734,-558.08
BackDG0156,35.4466,28.8273,2.710e-17,2.132e-17,9.723e-18,75.7823,-559.14
BackDG0157,35.0568,29.0533,2.949e-17,2.057e-17,1.045e-17,88.7122,-556.31
BackDG0158,34.3905,29.0749,3.781e-17,3.105e-17,1.107e-17,69.3752,-559.56
BackDG0159,35.4323,28.8165,2.694e-17,2.068e-17,9.097e-18,65.334,-559.02
BackDG0160,34.0243,28.2856,2.494e-17,2.394e-17,1.024e-17,79.4745,-558.18
BackDG0161,34.9711,29.2836,2.683e-17,2.212e-17,1.023e-17,77.8806,-554.35
BackDG0162,-8.1300,9.6982,1.423e-17,1.172e-17,5.180e-18,50.8034,-776.7
BackDG0163,-8.1660,9.7342,1.338e-17,1.099e-17,5.008e-18,45.8279,-776.54
BackDG0338,-2.9809,-30.6968,1.201e-17,9.161e-18,4.084e-18,83.7248,-797.85
BackDG0339,-3.0752,-30.6393,1.724e-17,1.430e-17,5.903e-18,76.7457,-796.31
BackDG0340,-2.8514,-30.6123,1.804e-17,1.242e-17,6.101e-18,60.1583,-796.4
BackDG0341,-3.0859,-30.7880,1.149e-17,9.172e-18,4.518e-18,65.1971,-798.12
BackDG0342,-2.8611,-30.7203,1.740e-17,1.461e-17,5.977e-18,61.3717,-797.81
BackDG0362,39.9490,-20.5844,6.096e-18,5.427e-18,2.612e-18,86.9719,-1029.69
BackDG0363,39.7824,-20.5646,8.538e-18,7.790e-18,3.656e-18,40.7948,-1029.75
BackDG0364,39.8928,-20.6030,1.030e-17,7.899e-18,3.523e-18,33.0922,-1028.15
BackDG0365,40.0127,-20.5396,6.655e-18,5.261e-18,2.641e-18,44.7342,-1029.41
BackDG0366,40.1431,-20.6132,8.805e-18,7.896e-18,3.744e-18,39.2477,-1028.61
BackDG0367,39.8473,-20.5905,8.368e-18,7.033e-18,3.500e-18,38.5263,-1029.0
BackDG0368,39.7924,-20.4924,9.491e-18,8.424e-18,3.944e-18,40.4767,-1029.15
BackDG0389,17.2536,-22.4213,3.989e-17,3.298e-17,1.430e-17,140.7592,-405.87
BackDG0390,16.8724,24.7148,6.110e-17,4.381e-17,1.486e-17,94.8896,-650.55
BackDG0391,16.9288,24.5014,1.835e-17,1.710e-17,7.457e-18,66.2479,-652.79
BackDG0392,16.8079,24.9291,1.949e-17,1.749e-17,7.350e-18,64.4743,-649.41
BackDG0393,17.1485,25.0908,2.291e-17,1.999e-17,8.303e-18,73.9545,-646.9
BackDG0394,17.0617,24.8342,1.807e-17,1.484e-17,5.759e-18,126.9796,-646.87
BackDG0395,16.7867,24.2385,1.823e-17,1.641e-17,8.021e-18,61.0255,-650.47
BackDG0396,16.7349,24.7351,2.041e-17,1.693e-17,7.148e-18,62.6257,-647.56
BackDG0397,17.1715,24.5240,2.247e-17,1.841e-17,8.780e-18,69.5475,-653.22
BackDG0398,16.5569,24.8199,2.196e-17,1.711e-17,8.562e-18,64.2166,-650.23
BackDG0399,16.9955,24.4726,3.069e-17,2.306e-17,9.213e-18,66.5064,-653.23
BackDG0400,16.6446,24.4892,2.184e-17,1.852e-17,8.835e-18,76.6733,-647.97
BackDG0401,16.6973,24.8759,2.209e-17,1.780e-17,7.525e-18,76.1575,-653.68
BackDG0402,16.8594,24.5576,1.556e-17,1.285e-17,5.610e-18,116.9947,-652.02
BackDG0403,16.7825,24.5870,1.382e-17,1.142e-17,5.348e-18,174.8414,-650.59
BackDG0404,17.1633,24.8217,2.202e-17,1.906e-17,7.636e-18,66.255,-648.09
BackDG0405,16.7900,24.7396,1.346e-17,1.248e-17,5.833e-18,140.309,-649.21
BackDG0447,-0.4503,-17.8889,2.511e-17,1.858e-17,7.023e-18,112.6244,-1008.63
BackDG0448,-0.5938,-17.7081,9.071e-18,7.852e-18,3.487e-18,42.183,-1004.43
BackDG0449,-0.3311,-18.0397,6.970e-18,5.746e-18,2.513e-18,68.7955,-1009.69
BackDG0450,-0.6392,-18.1315,5.941e-18,4.826e-18,2.489e-18,61.512,-1008.67
BackDG0451,-0.4926,-18.0596,6.332e-18,5.635e-18,2.579e-18,70.9693,-1009.51
BackDG0452,-0.4381,-17.9075,5.491e-18,4.948e-18,2.510e-18,45.2286,-1005.21
BackDG0453,-0.3922,-18.0174,8.163e-18,6.793e-18,3.060e-18,37.184,-1009.37
BackDG0454,-0.5643,-18.0214,5.198e-18,4.542e-18,2.242e-18,83.0264,-1009.3
BackDG0455,-0.4655,-18.0778,8.102e-18,7.007e-18,3.425e-18,37.098,-1003.47
BackDG0456,-0.3647,-18.0492,9.772e-18,7.286e-18,3.764e-18,44.1502,-1000.04
BackDG0457,-0.5322,-18.1082,8.840e-18,6.808e-18,3.589e-18,37.105,-1006.12
BackDG0458,-0.4954,-17.5252,9.655e-18,7.647e-18,3.458e-18,43.8108,-1008.62
BackDG0459,-0.4501,-17.7531,8.378e-18,7.074e-18,3.280e-18,39.2543,-1002.61
BackDG0460,-0.3189,-17.8558,5.885e-18,4.876e-18,2.499e-18,50.15,-1003.37
