Name,X,Y,BlueF,GreenF,RedF,Parallax,RadialVelocity,Variable?
BottomS000002,12.4875,-0.9418,4.399e-18,3.586e-18,1.737e-18,-0.0008,-85.17,0
BottomS000003,12.4670,-0.9374,2.813e-18,2.242e-18,1.021e-18,0.0002,-84.65,0
BottomS000004,12.4806,-0.8975,2.944e-19,2.929e-19,2.067e-19,0.0,-84.71,0
BottomS000006,12.4829,-0.9224,6.314e-20,6.813e-20,5.876e-20,-0.0002,-88.66,0
BottomS000008,12.4704,-0.9186,1.008e-17,7.801e-18,3.318e-18,-0.0001,-84.65,1
BottomS000009,12.4893,-0.9094,6.302e-19,5.777e-19,3.438e-19,0.0008,-90.02,0
BottomS000010,12.4372,-0.9148,1.474e-18,3.567e-18,1.593e-17,0.0008,-89.57,0
BottomS000013,12.4886,-0.9502,6.075e-19,5.864e-19,3.828e-19,0.0003,-82.56,0
BottomS000016,12.4317,-0.9475,1.034e-17,8.207e-18,3.775e-18,-0.0004,-89.54,0
BottomS000018,12.4562,-0.9543,2.507e-18,2.121e-18,1.095e-18,-0.0006,-83.04,0
BottomS000023,12.4658,-0.9248,9.073e-19,1.527e-18,3.415e-18,-0.0004,-86.4,0
BottomS000024,12.4573,-0.9141,8.454e-19,7.658e-19,4.515e-19,-0.0005,-83.69,0
BottomS000027,12.4469,-0.9391,4.876e-19,4.565e-19,2.935e-19,0.0007,-86.59,0
BottomS000028,12.4850,-0.9205,8.871e-19,1.485e-18,3.138e-18,0.0002,-83.62,0
BottomS000029,12.4201,-0.9129,2.356e-18,2.089e-18,1.188e-18,-0.0001,-90.06,0
BottomS000030,12.4861,-0.9474,3.339e-19,3.270e-19,2.175e-19,-0.0008,-87.38,0
BottomS000032,12.4417,-0.9365,3.684e-20,4.413e-20,4.566e-20,0.0004,-84.52,0
BottomS000033,12.4585,-0.9447,2.112e-18,1.851e-18,1.021e-18,-0.0003,-83.78,0
BottomS000034,12.4786,-0.9380,4.222e-14,3.031e-14,1.137e-14,0.0,-87.66,0
BottomS000035,12.4475,-0.9113,1.047e-19,1.178e-19,1.086e-19,-0.0003,-86.72,0
BottomS000041,12.4343,-0.9124,1.668e-18,3.778e-18,1.489e-17,-0.0009,-87.38,0
BottomS000042,12.4539,-0.9673,1.094e-19,1.217e-19,1.064e-19,-0.0001,-86.24,0
BottomS000044,12.5005,-0.9612,6.764e-20,7.805e-20,7.778e-20,-0.0002,-88.03,0
BottomS000045,12.4631,-0.9690,4.005e-20,4.767e-20,4.872e-20,-0.0001,-89.73,0
BottomS000046,12.4384,-0.9590,6.719e-20,7.881e-20,7.680e-20,-0.001,-82.58,0
BottomS000047,12.4883,-0.9647,5.403e-19,9.854e-19,2.424e-18,0.001,-88.48,0
BottomS000048,12.4498,-0.9415,4.823e-20,5.544e-20,5.548e-20,0.0003,-84.22,0
BottomS000049,12.4685,-0.9267,3.902e-14,3.189e-14,1.559e-14,0.0008,-86.69,1
BottomS000050,12.4635,-0.9349,5.692e-20,6.849e-20,7.244e-20,0.0001,-85.94,0
BottomS000051,12.4267,-0.9600,3.689e-20,4.783e-20,5.895e-20,-0.0006,-84.78,0
BottomS000054,12.4681,-0.9533,4.176e-20,4.611e-20,4.232e-20,-0.0006,-86.24,0
BottomS000055,12.4825,-0.9601,2.703e-18,2.333e-18,1.225e-18,0.0012,-83.79,0
BottomS000057,12.4602,-0.9572,1.612e-18,1.347e-18,6.909e-19,0.0005,-88.79,0
BottomS000058,12.4607,-0.9422,1.417e-17,1.111e-17,4.913e-18,-0.0005,-88.26,1
BottomS000059,12.4523,-0.9393,6.281e-20,7.131e-20,6.414e-20,-0.0001,-87.8,0
BottomS000060,12.4673,-0.9279,6.292e-19,6.050e-19,3.842e-19,-0.0006,-86.08,0
BottomS000061,12.4597,-0.9879,2.957e-20,3.728e-20,4.406e-20,0.0,-83.07,0
BottomS000063,12.4485,-0.9704,3.678e-19,6.302e-19,1.369e-18,-0.0002,-83.2,0
BottomS000064,12.4497,-0.9330,7.737e-18,6.326e-18,3.023e-18,0.0003,-83.34,0
BottomS000071,12.4243,-0.9537,1.005e-19,1.113e-19,9.933e-20,-0.0005,-89.92,0
BottomS000073,12.4572,-0.9578,2.893e-18,2.363e-18,1.148e-18,-0.0002,-82.72,0
BottomS000075,12.4749,-0.9734,1.247e-18,1.121e-18,6.398e-19,0.0003,-88.34,0
BottomS000076,12.4517,-0.9438,9.280e-19,1.911e-18,6.201e-18,0.0002,-84.15,0
BottomS000077,12.4662,-0.9075,1.360e-19,1.495e-19,1.355e-19,0.0004,-85.47,0
BottomS000078,12.4467,-0.9398,4.247e-14,3.017e-14,1.096e-14,-0.0004,-87.89,0
BottomS000079,12.4592,-0.9293,3.396e-20,3.969e-20,4.030e-20,0.0004,-83.08,0
BottomS000082,12.4402,-0.9251,3.881e-14,2.696e-14,9.370e-15,0.0001,-85.62,0
BottomS000086,12.4548,-0.9466,2.187e-18,1.889e-18,9.888e-19,0.0004,-89.23,0
BottomS000092,12.4928,-0.9560,9.694e-20,1.070e-19,9.112e-20,-0.0003,-85.93,0
BottomS000093,12.4454,-0.9208,1.009e-19,1.115e-19,9.430e-20,0.0,-83.46,0
BottomS000094,12.4745,-0.9312,1.850e-19,1.930e-19,1.530e-19,-0.0002,-83.66,0
BottomS000095,12.4546,-0.9610,1.899e-20,2.263e-20,2.429e-20,-0.0002,-86.54,0
BottomS000098,12.4744,-0.9319,1.055e-18,2.393e-18,9.135e-18,0.0005,-84.07,0
BottomS000100,12.4185,-0.9361,5.822e-19,5.413e-19,3.354e-19,0.0001,-89.79,0
BottomS000101,12.4543,-0.9482,1.117e-17,2.822e-17,1.387e-16,-0.0,-86.18,0
BottomS000102,12.4721,-0.9619,1.332e-18,2.713e-18,8.625e-18,-0.001,-87.06,0
BottomS000106,12.4489,-0.9160,3.617e-20,4.531e-20,5.011e-20,0.0005,-84.4,0
BottomS000107,12.4437,-0.9560,5.109e-19,5.004e-19,3.373e-19,-0.0,-85.52,0
BottomS000108,12.4727,-0.9317,1.019e-14,6.947e-15,2.286e-15,-0.0005,-88.9,0
BottomS000109,12.4325,-0.9154,5.179e-18,4.268e-18,2.101e-18,-0.0004,-85.21,0
BottomS000112,12.4741,-0.9304,1.039e-18,2.265e-18,8.259e-18,-0.0,-84.11,0
BottomS000113,12.4704,-0.9530,3.289e-18,2.858e-18,1.546e-18,-0.0003,-89.68,0
BottomS000114,12.4707,-0.9187,1.674e-17,1.283e-17,5.381e-18,-0.0007,-86.36,1
BottomS000115,12.4576,-0.9455,1.506e-17,1.107e-17,4.356e-18,0.0007,-85.87,0
BottomS000116,12.4808,-0.9630,2.421e-18,4.002e-18,8.346e-18,-0.0004,-85.04,0
BottomS000117,12.4537,-0.9424,1.600e-18,2.465e-18,4.248e-18,-0.0001,-84.88,0
BottomS000118,12.5102,-0.9376,4.745e-18,3.877e-18,1.832e-18,0.0002,-88.41,0
BottomS000119,12.4588,-0.9384,1.483e-20,1.955e-20,2.569e-20,0.0005,-86.97,0
BottomS000122,12.4287,-0.9371,1.473e-18,1.381e-18,8.597e-19,0.0004,-89.34,0
BottomS000123,12.4506,-0.9429,1.744e-18,2.875e-18,5.685e-18,-0.0009,-85.94,0
BottomS000124,12.4560,-0.9402,8.824e-19,7.927e-19,4.695e-19,-0.0005,-86.32,0
BottomS000125,12.4545,-0.9803,2.870e-14,1.946e-14,6.719e-15,0.0004,-90.32,0
