Name,X,Y,BlueF,GreenF,RedF,Size,RadialVelocity
FrontDG0035,42.5152,5.6494,7.422e-18,6.387e-18,2.965e-18,71.8025,-953.62
FrontDG0036,42.6280,5.5491,1.021e-17,7.498e-18,4.043e-18,50.4442,-954.7
FrontDG0037,42.4008,5.5739,1.054e-17,8.505e-18,3.773e-18,47.3742,-954.44
FrontDG0038,42.3778,5.5864,9.959e-18,8.617e-18,4.139e-18,49.5031,-952.56
FrontDG0039,42.4862,5.5311,8.716e-18,7.839e-18,3.712e-18,42.018,-954.26
FrontDG0040,42.5900,5.6966,1.029e-17,9.313e-18,3.688e-18,45.6105,-953.53
FrontDG0055,18.0324,27.7913,7.622e-17,5.603e-17,1.813e-17,177.9622,-572.64
FrontDG0056,17.8551,27.9031,2.858e-17,2.260e-17,9.952e-18,69.6501,-575.84
FrontDG0057,17.9952,27.6332,2.844e-17,2.173e-17,8.851e-18,69.7667,-573.02
FrontDG0058,17.7947,27.6422,3.084e-17,2.570e-17,1.003e-17,82.6382,-573.71
FrontDG0059,18.3188,28.0572,3.087e-17,2.319e-17,1.187e-17,90.8177,-574.32
FrontDG0060,17.7593,27.6657,2.932e-17,2.294e-17,9.510e-18,68.7232,-573.15
FrontDG0061,17.8519,27.9412,2.836e-17,2.659e-17,1.158e-17,92.2829,-575.41
FrontDG0062,18.1933,27.7793,3.004e-17,2.277e-17,1.062e-17,92.0153,-573.53
FrontDG0063,17.9154,27.4541,2.886e-17,2.165e-17,1.060e-17,73.3529,-571.15
FrontDG0064,17.8792,27.6210,2.908e-17,2.176e-17,1.074e-17,82.8277,-574.77
FrontDG0065,-4.0539,-6.7697,6.151e-18,5.775e-18,2.800e-18,49.2568,-1022.88
FrontDG0066,-10.4324,-27.6953,5.916e-17,4.699e-17,1.760e-17,183.3872,-612.08
FrontDG0067,-10.4271,-27.5465,3.681e-17,2.642e-17,1.132e-17,70.8369,-612.66
FrontDG0068,-10.3501,-27.4549,2.080e-17,1.775e-17,8.354e-18,66.5863,-613.31
FrontDG0069,-10.3799,-27.6924,1.504e-17,1.468e-17,5.777e-18,160.8102,-612.03
FrontDG0070,-10.3621,-27.8521,1.991e-17,1.422e-17,7.003e-18,124.7455,-614.69
FrontDG0071,-10.1387,-27.6995,2.223e-17,1.974e-17,7.848e-18,61.8409,-616.41
