Name,X,Y,BlueF,GreenF,RedF,Parallax,RadialVelocity,Variable?
RightS075397,11.7150,17.3901,2.238e-19,2.410e-19,2.028e-19,0.0001,-2.03,0
RightS075399,11.6405,17.3540,1.428e-20,1.977e-20,2.868e-20,0.0001,0.34,0
RightS075401,11.7083,17.3628,3.833e-20,4.769e-20,5.325e-20,-0.0001,-0.01,0
RightS075414,11.7126,17.3902,2.768e-16,8.794e-16,6.981e-15,0.0005,-1.87,0
RightS075423,11.7210,17.3745,1.260e-13,9.648e-14,4.136e-14,0.0011,-2.03,1
RightS075427,11.7064,17.3672,7.721e-19,7.468e-19,4.813e-19,-0.0008,-0.27,0
RightS075432,11.6707,17.3318,1.251e-20,1.797e-20,2.792e-20,-0.0001,0.99,0
RightS075436,11.7100,17.3746,9.143e-20,1.058e-19,1.050e-19,0.0005,-2.08,0
RightS075437,11.7067,17.4123,2.035e-18,4.609e-18,1.807e-17,-0.0006,-1.55,0
RightS075440,11.7234,17.3712,3.522e-19,3.737e-19,3.039e-19,-0.0,-1.5,0
RightS075441,11.7105,17.3694,1.854e-18,1.645e-18,9.150e-19,0.0001,-0.48,0
RightS075443,11.7148,17.3726,1.459e-20,1.858e-20,2.222e-20,0.0,-1.24,0
RightS075444,11.7281,17.3779,1.528e-18,2.923e-18,8.014e-18,0.0003,-1.76,0
RightS075446,11.6988,17.3563,6.405e-14,4.457e-14,1.571e-14,-0.0004,0.58,0
RightS075449,11.7099,17.3666,1.453e-20,2.045e-20,2.842e-20,0.0006,-0.6,0
RightS075453,11.6890,17.3634,1.448e-18,2.190e-18,3.727e-18,-0.0003,0.59,0
RightS075458,11.6196,17.2182,3.914e-18,5.752e-18,9.273e-18,0.0002,0.92,0
RightS075459,11.6689,17.3679,1.210e-19,1.397e-19,1.364e-19,-0.0003,0.16,0
RightS075460,11.7058,17.3479,1.077e-18,1.002e-18,6.192e-19,-0.0002,0.08,0
RightS075461,11.7141,17.3605,1.805e-20,2.303e-20,2.767e-20,-0.0007,-0.6,0
RightS075463,11.7148,17.3747,1.768e-20,2.420e-20,3.278e-20,0.0003,-1.58,0
RightS075470,11.7220,17.3806,5.010e-19,4.940e-19,3.492e-19,-0.0005,-1.81,0
RightS075473,11.7033,17.3750,2.439e-19,2.702e-19,2.359e-19,-0.0001,-0.6,0
RightS075474,11.6489,17.3495,6.212e-20,7.744e-20,8.901e-20,-0.0,0.65,0
RightS075475,11.7323,17.3998,2.815e-18,2.452e-18,1.316e-18,-0.0003,-2.43,0
RightS075477,11.6340,17.3593,1.637e-20,2.162e-20,2.714e-20,-0.0,0.32,0
RightS075480,11.7131,17.3781,1.411e-20,1.845e-20,2.377e-20,0.0005,-2.05,0
RightS075483,11.7185,17.3762,1.395e-20,1.876e-20,2.457e-20,-0.0004,-1.91,0
RightS075486,11.6861,17.3981,7.558e-20,8.745e-20,8.405e-20,-0.0004,-0.82,0
RightS075489,11.7136,17.3792,2.976e-20,3.900e-20,4.795e-20,0.0005,-1.98,0
RightS075492,11.7084,17.3750,3.659e-18,5.806e-18,1.090e-17,0.0002,-1.2,0
RightS075498,11.6743,17.2869,9.252e-19,8.719e-19,5.410e-19,0.0002,0.61,0
RightS075507,11.7632,17.4068,1.382e-20,1.961e-20,2.999e-20,-0.0004,-2.32,0
RightS075512,11.7028,17.3800,1.262e-18,1.192e-18,7.426e-19,-0.0008,-0.84,0
RightS075513,11.6725,17.4064,1.828e-20,2.393e-20,2.964e-20,0.0003,-0.58,0
RightS075515,11.6747,17.3472,4.063e-18,5.268e-18,6.558e-18,0.0001,0.89,0
RightS075517,11.7161,17.3707,3.392e-19,3.733e-19,3.204e-19,0.0002,-1.17,1
RightS075518,11.7071,17.3870,3.605e-18,7.067e-18,2.088e-17,0.0001,-1.46,0
RightS075519,11.7121,17.3668,1.290e-20,1.652e-20,2.071e-20,0.0002,-0.68,0
RightS075521,11.7473,17.4144,1.139e-20,1.500e-20,1.918e-20,0.001,-2.47,0
RightS075528,11.7619,17.4668,2.265e-19,2.454e-19,2.053e-19,-0.0011,-2.4,0
RightS075530,11.6018,17.3398,1.978e-20,2.664e-20,3.620e-20,0.0,0.49,0
RightS075534,11.6828,17.3671,2.164e-20,2.795e-20,3.383e-20,-0.0003,0.13,0
RightS075537,11.6848,17.3574,8.874e-18,1.978e-17,7.300e-17,-0.0004,0.83,0
RightS075541,11.5372,17.0562,2.523e-17,1.887e-17,7.651e-18,0.0005,0.68,0
RightS075543,11.7439,17.4192,2.327e-19,2.434e-19,1.929e-19,-0.0006,-2.46,0
RightS075544,11.6733,17.3884,2.987e-18,6.502e-18,2.249e-17,0.0002,-0.35,0
RightS075545,11.7156,17.4050,6.711e-20,8.187e-20,8.490e-20,-0.0001,-1.86,0
RightS075546,11.6919,17.3178,1.111e-18,1.048e-18,6.855e-19,0.0003,0.46,0
RightS075548,11.7333,17.3984,7.125e-20,8.550e-20,8.844e-20,0.0002,-2.38,0
RightS075549,11.7301,17.3791,6.129e-20,7.321e-20,7.742e-20,0.0004,-1.79,0
RightS075552,11.6849,17.3590,6.073e-14,4.439e-14,1.762e-14,-0.0003,0.79,0
RightS075554,11.7403,17.3816,4.572e-20,5.997e-20,7.727e-20,0.0005,-1.95,0
RightS075558,11.7047,17.3764,3.040e-18,5.918e-18,1.667e-17,0.0006,-0.74,0
RightS075562,11.7070,17.3068,1.975e-20,2.528e-20,2.982e-20,0.0008,0.14,0
RightS075570,11.7551,17.4013,1.226e-18,2.531e-18,8.261e-18,-0.0002,-2.44,0
RightS075575,11.7237,17.3873,4.432e-19,4.614e-19,3.572e-19,-0.0008,-2.17,0
RightS075577,11.7057,17.3140,3.150e-19,3.209e-19,2.375e-19,-0.0003,0.05,0
RightS075579,11.7432,17.3907,1.456e-19,1.631e-19,1.460e-19,-0.0001,-2.06,0
RightS075580,11.7126,17.3125,1.717e-20,2.371e-20,3.197e-20,-0.0001,-0.14,0
RightS075584,11.7069,17.3852,2.647e-19,2.797e-19,2.215e-19,-0.0,-1.28,0
RightS075594,11.7204,17.3369,3.345e-20,4.287e-20,5.136e-20,0.0009,-0.32,0
RightS075595,11.8072,17.3712,7.724e-20,8.870e-20,8.661e-20,0.0005,-1.56,0
RightS075596,11.7040,17.3569,5.953e-18,1.496e-17,7.309e-17,0.0003,0.19,0
RightS075598,11.6222,17.3120,1.107e-20,1.472e-20,1.934e-20,0.0001,0.99,0
RightS075601,11.6730,17.2783,2.894e-18,2.516e-18,1.321e-18,-0.0006,0.56,0
RightS075608,11.7237,17.4195,3.832e-20,4.935e-20,5.810e-20,0.0003,-1.97,0
RightS075609,11.7192,17.3669,8.713e-14,7.317e-14,3.629e-14,0.0004,-1.04,1
RightS075610,11.7069,17.3756,3.880e-20,4.714e-20,5.210e-20,0.0003,-1.33,0
RightS075622,11.6374,17.3681,3.123e-18,5.303e-18,1.136e-17,-0.0001,0.21,0
RightS075623,11.7063,17.3773,1.419e-19,1.588e-19,1.451e-19,-0.0003,-2.02,0
RightS075627,11.7129,17.3726,4.227e-20,5.043e-20,5.240e-20,-0.0,-1.47,0
RightS075630,11.6247,17.3550,1.286e-20,1.818e-20,2.601e-20,0.0005,0.32,0
RightS075631,11.7246,17.3406,1.635e-18,1.447e-18,7.921e-19,0.0001,-0.43,0
RightS075633,11.6776,17.3771,1.895e-20,2.570e-20,3.459e-20,0.0,-0.21,0
RightS075634,11.7039,17.3717,1.897e-20,2.508e-20,3.208e-20,0.0003,0.16,0
RightS075637,11.6839,17.3283,3.673e-18,7.517e-18,2.477e-17,-0.0003,0.68,0
RightS075641,11.7028,17.3679,2.306e-19,2.613e-19,2.524e-19,-0.0004,0.42,0
RightS075645,11.7075,17.3734,1.212e-18,2.039e-18,4.160e-18,0.0004,-0.82,0
RightS075650,11.7065,17.3830,2.217e-20,2.808e-20,3.318e-20,-0.0001,-1.19,0
RightS075654,11.6944,17.4212,1.610e-19,1.782e-19,1.587e-19,0.0001,-1.13,0
RightS075675,11.7103,17.3859,3.638e-18,5.498e-18,9.112e-18,0.0002,-1.82,0
RightS075676,11.7125,17.3547,7.657e-14,5.395e-14,1.924e-14,-0.0004,-0.37,0
RightS075685,11.7038,17.3647,2.484e-18,4.060e-18,8.282e-18,0.0007,0.26,0
RightS075687,11.7329,17.3749,4.608e-19,4.708e-19,3.494e-19,-0.0003,-1.79,0
RightS075690,11.7170,17.3759,1.137e-18,1.681e-18,2.831e-18,-0.0001,-1.5,0
RightS075692,11.6895,17.3592,7.440e-19,1.148e-18,2.043e-18,0.0007,0.78,0
RightS075698,11.7401,17.3924,4.505e-19,4.578e-19,3.478e-19,0.0003,-2.36,0
RightS075706,11.7096,17.3662,3.738e-20,4.810e-20,5.962e-20,-0.0004,-0.34,0
RightS075707,11.6864,17.3605,3.436e-19,3.469e-19,2.510e-19,-0.0005,0.62,0
RightS075715,11.6965,17.3738,1.673e-18,2.585e-18,4.547e-18,0.0004,-0.2,0
RightS075721,11.7052,17.3646,2.045e-18,4.420e-18,1.536e-17,-0.0001,0.32,0
RightS075722,11.6996,17.3633,1.000e-18,9.428e-19,6.066e-19,0.0001,0.31,0
RightS075723,11.6668,17.2904,1.216e-20,1.634e-20,2.220e-20,0.0001,0.65,0
RightS075727,11.6816,17.3269,1.027e-13,7.394e-14,2.753e-14,-0.0001,0.88,0
