Name,X,Y,BlueF,GreenF,RedF,Size,RadialVelocity
TopDG0089,1.6443,10.8428,8.613e-18,7.134e-18,3.012e-18,82.8465,-909.32
TopDG0090,1.6584,10.7496,1.197e-17,8.438e-18,4.009e-18,48.4205,-911.41
TopDG0091,1.5956,10.8337,7.860e-18,6.194e-18,2.780e-18,56.3017,-911.23
TopDG0092,1.6916,10.8834,1.573e-17,1.293e-17,5.782e-18,44.7506,-910.32
TopDG0093,1.7506,10.8152,1.097e-17,8.743e-18,3.504e-18,45.9592,-909.9
TopDG0094,1.6400,10.7770,1.068e-17,9.596e-18,4.110e-18,61.3896,-910.03
TopDG0164,7.4871,-12.7620,7.546e-18,7.165e-18,3.278e-18,55.15,-900.88
TopDG0167,-5.3324,3.6874,3.060e-17,2.213e-17,7.274e-18,117.4272,-1003.73
TopDG0168,-5.4503,3.8192,9.466e-18,8.118e-18,3.536e-18,40.3577,-999.93
TopDG0169,-5.2516,3.6738,1.082e-17,9.049e-18,4.072e-18,48.0718,-1000.12
TopDG0170,-5.1779,3.7930,8.922e-18,8.223e-18,3.333e-18,33.3503,-998.66
TopDG0171,-5.3008,3.7549,1.074e-17,8.887e-18,4.435e-18,42.0934,-1000.26
TopDG0172,-5.3992,3.5494,9.843e-18,7.615e-18,3.369e-18,40.7188,-1004.01
TopDG0173,-5.1048,3.7847,1.025e-17,7.826e-18,3.788e-18,57.7146,-1005.1
TopDG0174,-5.2896,3.7771,9.774e-18,9.215e-18,4.079e-18,43.782,-999.25
TopDG0175,-5.2053,3.4906,1.044e-17,9.213e-18,3.912e-18,55.4307,-998.72
TopDG0176,-5.3930,3.8002,9.805e-18,7.524e-18,3.686e-18,41.8534,-1003.5
TopDG0177,-5.4759,3.5022,1.375e-17,1.204e-17,4.936e-18,43.3723,-998.55
TopDG0178,-5.3441,3.8213,6.315e-18,5.606e-18,2.655e-18,63.4299,-1000.05
TopDG0179,-5.2863,3.5930,1.049e-17,8.961e-18,3.472e-18,44.1657,-1002.36
TopDG0180,-5.3457,3.8199,1.121e-17,8.273e-18,3.441e-18,45.8867,-998.39
TopDG0181,-5.1886,3.5250,9.821e-18,8.147e-18,3.360e-18,40.4513,-1001.57
TopDG0182,34.8686,13.6933,1.003e-17,9.247e-18,4.095e-18,83.0491,-772.59
TopDG0183,34.9290,13.7540,1.321e-17,1.020e-17,4.751e-18,49.1807,-774.43
TopDG0184,35.0086,13.7249,1.388e-17,1.096e-17,4.573e-18,37.9828,-774.68
TopDG0185,34.8284,13.5485,1.363e-17,1.188e-17,4.819e-18,55.9785,-772.64
TopDG0186,34.8923,13.7084,9.829e-18,7.959e-18,3.638e-18,63.8335,-772.97
TopDG0187,34.9649,13.6322,1.358e-17,1.011e-17,4.525e-18,47.6878,-773.21
TopDG0199,-0.9189,13.6948,6.616e-18,5.237e-18,2.514e-18,102.0034,-999.55
TopDG0200,-0.9004,13.7925,1.028e-17,7.669e-18,3.634e-18,43.7019,-999.29
TopDG0201,-0.9678,13.8189,1.037e-17,8.551e-18,3.976e-18,47.8346,-1000.63
TopDG0202,-0.8428,13.6994,9.767e-18,7.401e-18,3.690e-18,41.626,-1000.67
TopDG0203,-0.9365,13.6254,9.798e-18,8.507e-18,3.561e-18,33.4847,-999.09
TopDG0204,-0.9923,13.6212,8.976e-18,8.493e-18,3.649e-18,44.2697,-1001.15
TopDG0205,-0.9176,13.8048,1.013e-17,8.502e-18,4.011e-18,41.4128,-1000.46
TopDG0217,13.3444,-39.5041,3.474e-17,2.841e-17,1.253e-17,259.4814,-385.49
TopDG0218,13.2518,-39.8262,5.192e-17,4.266e-17,1.761e-17,104.5523,-385.28
TopDG0219,13.4023,-39.3126,4.098e-17,2.959e-17,1.476e-17,122.4062,-382.87
TopDG0220,13.1696,-39.2244,5.778e-17,4.960e-17,2.125e-17,112.7777,-383.22
TopDG0221,13.5109,-39.4803,5.496e-17,4.468e-17,1.926e-17,102.0657,-382.65
TopDG0222,13.1159,-39.7385,4.969e-17,4.408e-17,1.793e-17,109.7249,-382.23
TopDG0223,13.1784,-40.1265,5.655e-17,5.024e-17,2.333e-17,137.6313,-384.08
TopDG0224,13.2827,-39.4954,5.534e-17,4.586e-17,1.910e-17,111.7436,-384.17
TopDG0225,13.2822,-39.6591,5.785e-17,4.372e-17,1.885e-17,123.3927,-382.68
TopDG0228,44.2486,-8.6827,4.430e-17,3.810e-17,1.584e-17,80.7006,-507.22
TopDG0229,44.4616,-8.6023,4.016e-17,3.057e-17,1.356e-17,97.7052,-507.39
TopDG0230,44.3125,-8.5765,4.027e-17,3.351e-17,1.466e-17,96.7867,-507.4
TopDG0261,-36.3393,-19.5269,3.557e-17,2.905e-17,1.242e-17,87.5216,-556.7
TopDG0262,-36.2790,-19.5109,3.785e-17,2.954e-17,1.496e-17,85.279,-556.17
TopDG0263,-36.3006,-19.4880,3.184e-17,2.696e-17,1.211e-17,89.4354,-555.92
TopDG0264,-14.9204,0.5076,5.103e-17,3.858e-17,1.310e-17,143.2205,-687.73
TopDG0265,-14.9879,0.2303,1.838e-17,1.492e-17,7.247e-18,52.3558,-690.24
