Name,X,Y,BlueF,GreenF,RedF,Size,RadialVelocity
BottomDG059,-27.1357,8.1789,1.224e-17,1.022e-17,4.344e-18,60.8857,-1184.01
BottomDG071,-23.3908,42.8816,4.326e-17,3.023e-17,1.045e-17,116.1166,-1214.54
BottomDG072,-23.6460,43.3000,2.018e-17,1.548e-17,7.172e-18,52.9712,-1214.51
BottomDG073,-23.1775,42.7985,1.128e-17,9.213e-18,4.331e-18,101.4879,-1214.38
BottomDG074,-23.5605,43.1355,1.323e-17,1.295e-17,5.201e-18,53.5728,-1214.59
BottomDG075,-23.3497,42.4946,1.508e-17,1.086e-17,5.442e-18,56.8715,-1214.48
BottomDG076,-23.0881,42.7199,1.397e-17,1.174e-17,5.352e-18,58.77,-1214.61
BottomDG077,-23.2463,42.6353,1.496e-17,1.416e-17,6.219e-18,57.1349,-1214.66
BottomDG078,-23.4687,42.4773,1.073e-17,8.747e-18,4.018e-18,59.2178,-1214.45
BottomDG079,-23.5134,43.0921,1.470e-17,1.191e-17,5.602e-18,51.0133,-1214.72
BottomDG080,-23.2507,42.5033,1.611e-17,1.225e-17,5.160e-18,46.5235,-1214.35
BottomDG081,-23.4108,43.1956,1.653e-17,1.389e-17,6.089e-18,60.4125,-1214.64
BottomDG082,-23.0725,42.5460,1.124e-17,8.985e-18,3.712e-18,65.8349,-1214.42
BottomDG083,-23.4980,43.0828,1.442e-17,1.222e-17,5.950e-18,68.1265,-1214.66
BottomDG205,-30.4099,-19.4814,7.912e-17,5.747e-17,1.970e-17,294.2585,-898.42
BottomDG206,-30.4260,-19.8833,1.793e-17,1.644e-17,7.116e-18,121.9369,-898.4
BottomDG207,-30.5896,-19.3636,2.195e-17,1.934e-17,8.275e-18,134.6981,-898.5
BottomDG208,-30.4409,-19.4049,2.045e-17,1.645e-17,7.690e-18,172.2768,-898.83
BottomDG209,-30.7084,-19.9757,2.872e-17,2.284e-17,1.122e-17,86.6081,-898.81
BottomDG210,-30.4360,-19.4536,3.627e-17,3.187e-17,1.261e-17,57.4719,-898.52
BottomDG211,-30.6457,-19.0691,3.934e-17,3.152e-17,1.332e-17,73.9769,-898.48
BottomDG212,-30.3777,-19.6198,2.013e-17,1.559e-17,7.536e-18,87.6444,-898.56
BottomDG213,-30.5738,-19.8513,1.956e-17,1.513e-17,7.163e-18,85.622,-898.81
BottomDG214,-29.8207,-19.5960,3.934e-17,2.947e-17,1.218e-17,70.2069,-898.26
BottomDG215,-30.4600,-19.9101,2.978e-17,2.724e-17,1.098e-17,77.2394,-898.57
BottomDG216,-30.4403,-19.5445,1.880e-17,1.725e-17,7.117e-18,153.7135,-898.51
BottomDG217,-29.9994,-18.9799,2.974e-17,2.161e-17,1.024e-17,80.5814,-898.45
BottomDG218,-30.5901,-19.0448,2.025e-17,1.559e-17,7.245e-18,84.3004,-898.75
BottomDG219,-29.7703,-19.5303,2.761e-17,2.156e-17,1.054e-17,67.0165,-898.57
BottomDG220,-30.3201,-19.3407,3.256e-17,2.567e-17,1.180e-17,90.4366,-898.86
BottomDG221,-30.9942,-19.3700,4.026e-17,2.909e-17,1.214e-17,60.4352,-898.62
BottomDG222,-29.8937,-19.1546,3.027e-17,2.296e-17,1.064e-17,78.7558,-898.39
BottomDG263,7.2502,-2.1132,1.612e-16,1.542e-16,5.669e-17,185.0635,-308.78
