Name,X,Y,BlueF,GreenF,RedF,Parallax,RadialVelocity,Variable?
TopS60365,33.3689,27.8591,3.777e-15,5.658e-15,9.068e-15,0.0406,1.62,0
TopS60368,34.0738,34.4609,4.902e-14,6.317e-14,7.421e-14,0.0452,1.81,0
TopS60393,23.8663,22.7593,3.659e-13,4.021e-13,3.483e-13,0.0632,1.48,0
TopS60428,-7.7963,-16.2533,6.359e-16,4.262e-16,1.383e-16,0.0692,-1.03,0
TopS60438,27.6826,11.0193,1.933e-07,1.456e-07,6.285e-08,0.0717,0.85,1
TopS60455,7.9572,-19.2900,3.961e-12,3.695e-12,2.279e-12,0.1041,-1.35,0
TopS60457,28.4903,31.2772,6.157e-17,1.786e-16,1.162e-15,0.2107,1.59,0
TopS60458,23.8495,25.2047,2.346e-18,6.375e-18,3.572e-17,0.0467,1.47,0
TopS60466,36.7129,-24.8118,3.966e-13,3.885e-13,2.656e-13,0.0368,-1.63,0
TopS60480,40.9025,-31.6112,6.409e-16,1.169e-15,2.993e-15,0.0622,-2.1,0
TopS60502,30.2879,-11.7045,1.533e-11,2.837e-11,7.389e-11,0.1338,-0.89,0
TopS60508,35.4520,42.0712,5.757e-14,7.530e-14,9.293e-14,0.0831,2.07,0
