Name,X,Y,BlueF,GreenF,RedF,Size,RadialVelocity
LeftDG025,9.2529,3.5953,1.941e-17,1.662e-17,7.049e-18,85.5333,287.72
LeftDG026,-31.3702,-1.4212,7.070e-18,6.195e-18,2.880e-18,59.6485,493.71
LeftDG027,14.6130,25.2762,1.073e-17,8.279e-18,4.043e-18,66.0487,359.89
LeftDG028,20.7686,-10.0784,8.104e-18,5.999e-18,2.830e-18,51.8731,440.5
LeftDG072,42.0283,-15.8944,3.887e-17,3.051e-17,9.969e-18,136.1035,405.54
LeftDG073,41.9156,-15.7422,1.167e-17,1.077e-17,5.244e-18,45.8758,405.02
LeftDG074,42.0973,-16.1774,1.354e-17,1.052e-17,5.377e-18,56.7435,404.86
LeftDG075,42.1289,-16.0266,1.355e-17,1.178e-17,5.354e-18,61.4565,404.9
LeftDG076,41.9817,-15.8216,1.355e-17,1.055e-17,4.770e-18,45.8067,405.0
LeftDG077,42.0744,-15.7468,1.543e-17,1.145e-17,5.263e-18,49.2625,405.31
LeftDG078,41.8317,-15.9667,1.732e-17,1.446e-17,6.395e-18,61.7596,405.21
LeftDG079,41.9036,-16.0077,1.412e-17,1.213e-17,5.393e-18,50.0741,405.6
LeftDG080,42.3060,-15.8754,1.244e-17,1.057e-17,4.836e-18,44.9089,405.03
LeftDG081,41.9222,-15.6703,1.858e-17,1.457e-17,5.790e-18,55.5163,404.98
LeftDG082,42.1088,-15.9677,1.349e-17,1.209e-17,5.396e-18,58.7018,405.26
LeftDG083,41.9537,-15.9341,8.488e-18,8.023e-18,3.644e-18,94.1541,405.28
LeftDG084,42.0513,-15.8437,1.445e-17,1.206e-17,5.623e-18,41.8383,404.95
LeftDG085,-29.9845,27.5611,1.843e-17,1.549e-17,6.168e-18,57.7889,344.97
LeftDG086,-29.9629,27.5916,1.773e-17,1.532e-17,6.743e-18,59.7663,345.45
LeftDG087,-29.8793,27.6252,1.851e-17,1.320e-17,6.934e-18,56.3523,345.17
LeftDG117,10.7644,35.8026,1.511e-17,1.142e-17,6.191e-18,68.2913,402.65
LeftDG118,10.8492,35.7356,1.499e-17,1.188e-17,5.599e-18,71.6346,402.6
LeftDG119,10.7242,35.7546,2.063e-17,1.628e-17,6.171e-18,59.301,402.57
LeftDG120,10.7518,35.8402,1.512e-17,1.320e-17,5.912e-18,53.5875,402.69
LeftDG282,32.5868,-4.4254,8.698e-18,7.044e-18,3.535e-18,59.3322,415.72
LeftDG297,16.4407,26.3151,7.824e-18,6.886e-18,2.723e-18,52.4653,449.79
LeftDG304,0.2209,3.4393,5.165e-17,3.580e-17,1.389e-17,100.3567,425.1
LeftDG305,0.2825,3.4656,1.844e-17,1.457e-17,6.795e-18,60.5519,424.89
LeftDG306,0.2516,3.5310,1.863e-17,1.512e-17,6.074e-18,52.5043,425.22
LeftDG307,0.0892,3.3919,2.058e-17,1.552e-17,7.424e-18,65.9029,424.85
LeftDG308,0.4073,3.4145,1.632e-17,1.432e-17,7.093e-18,57.4746,425.14
LeftDG309,0.3865,3.4406,1.846e-17,1.540e-17,6.262e-18,53.3406,425.13
LeftDG310,0.2238,3.5855,1.347e-17,1.095e-17,4.937e-18,78.1134,424.72
LeftDG311,0.0222,3.3920,2.203e-17,1.640e-17,7.061e-18,61.7483,425.23
LeftDG312,0.0083,3.3928,1.748e-17,1.397e-17,5.866e-18,53.0142,425.03
LeftDG313,0.3156,3.4339,1.748e-17,1.445e-17,6.498e-18,61.9697,425.14
